model,explain_method,seed,function,samples,dimension,noise,test_mse,train_mse,selected_variables,true_variables,variable_precision,variable_recall,variable_f1,formula,score_x0,score_x1,score_x2,score_x3,score_x4,score_x5,score_x6,score_x7,score_x8,score_x9,score_x10,score_x11,score_x12,score_x13,score_x14,score_x15,score_x16,score_x17,score_x18,score_x19
KAN,grad,0,core_interaction,2048,20,0.1,0.03676209598779678,0.005341845564544201,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.762389183044434,1.1592235565185547,0.6263420581817627,0.5969350337982178,0.1985875964164734,0.16657844185829163,0.15716835856437683,0.17607393860816956,0.21596938371658325,0.1850290596485138,0.16259829699993134,0.14585936069488525,0.18953588604927063,0.18207891285419464,0.275176465511322,0.1615837812423706,0.14918363094329834,0.190434530377388,0.16501015424728394,0.187063530087471
KAN,perm,0,core_interaction,2048,20,0.1,0.03676209598779678,0.005341845564544201,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.3905683755874634,0.24743150174617767,0.29322487115859985,0.3048900067806244,0.0,0.0,0.00031074261642061174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.617489296128042e-05,0.0,0.0,0.0,0.0
MLP,grad,0,core_interaction,2048,20,0.1,0.05172109603881836,0.0036796575877815485,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.307107925415039,1.1612333059310913,0.5871161818504333,0.6007372140884399,0.09473676234483719,0.07605314999818802,0.09979938715696335,0.0747378021478653,0.09470383077859879,0.0934516116976738,0.08063703030347824,0.08726505190134048,0.09456105530261993,0.07901278138160706,0.08774608373641968,0.11109891533851624,0.08356740325689316,0.09150947630405426,0.08681272715330124,0.0946463793516159
MLP,perm,0,core_interaction,2048,20,0.1,0.05172109603881836,0.0036796575877815485,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.3279491662979126,0.24730193614959717,0.2972724139690399,0.31297552585601807,0.0005575418472290039,0.0,0.0006394212250597775,0.0,0.0006015102262608707,0.0,0.0012368994066491723,0.0009477610583417118,0.0,0.0,0.0,0.0,0.0,0.0,0.00012004002928733826,0.0
KAN,grad,1,core_interaction,2048,20,0.1,0.026821395382285118,0.006648954004049301,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.532233238220215,1.2242367267608643,0.6421954035758972,0.5736997127532959,0.1391851156949997,0.12343534827232361,0.14818552136421204,0.12905186414718628,0.10661222785711288,0.12029498815536499,0.11771302670240402,0.1275973618030548,0.1263897716999054,0.11580365151166916,0.11036622524261475,0.13683144748210907,0.14730742573738098,0.10829120874404907,0.11995109915733337,0.11175239086151123
KAN,perm,1,core_interaction,2048,20,0.1,0.026821395382285118,0.006648954004049301,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.4513983726501465,0.23872728645801544,0.3025869131088257,0.3116132318973541,0.0,0.0005490388721227646,0.0,0.0,0.0,0.0,0.00011552000796655193,0.0003981099871452898,0.0008215128327719867,0.0006813742220401764,0.0,0.00044168843305669725,0.0002340686769457534,0.0,0.0,0.0008721022750250995
MLP,grad,1,core_interaction,2048,20,0.1,0.23456549644470215,0.0027909590862691402,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,3.141148567199707,1.183347225189209,0.5772396326065063,0.586212694644928,0.21486428380012512,0.21569670736789703,0.22494208812713623,0.17711065709590912,0.2048645168542862,0.24816349148750305,0.2452951967716217,0.18393105268478394,0.23110193014144897,0.2190057784318924,0.19956263899803162,0.23471035063266754,0.19146154820919037,0.14964449405670166,0.22194314002990723,0.22056472301483154
MLP,perm,1,core_interaction,2048,20,0.1,0.23456549644470215,0.0027909590862691402,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.2691653966903687,0.22356349229812622,0.2665470838546753,0.2809784710407257,0.0,0.0022608835715800524,0.0,0.0,0.0,0.0,0.0,0.003452013013884425,0.0019338080892339349,0.0004504720272962004,0.0,0.007118195295333862,0.004157567862421274,0.001836756826378405,0.005571529269218445,0.0
KAN,grad,2,core_interaction,2048,20,0.1,0.022679973393678665,0.00751270167529583,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.786844730377197,1.1009056568145752,0.5832032561302185,0.5523373484611511,0.11405046284198761,0.12370043992996216,0.06977752596139908,0.07789245992898941,0.12173152714967728,0.08382926881313324,0.10335700213909149,0.11040572077035904,0.09675270318984985,0.09073568880558014,0.09696938097476959,0.10059322416782379,0.10866255313158035,0.09274405986070633,0.11549268662929535,0.11340619623661041
KAN,perm,2,core_interaction,2048,20,0.1,0.022679973393678665,0.00751270167529583,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.3563312292099,0.23685680329799652,0.2909073829650879,0.2948504686355591,0.0005312965367920697,0.00040300251566804945,0.00024478384875692427,0.00030497772968374193,0.0005186529015190899,0.0005663353949785233,0.0006401936407200992,0.00033393315970897675,0.0,0.0,0.00017168186604976654,0.0,0.0,0.00038436116301454604,0.00013013184070587158,0.0005237745936028659
