model,explain_method,seed,function,samples,dimension,noise,test_mse,train_mse,selected_variables,true_variables,variable_precision,variable_recall,variable_f1,formula,score_x0,score_x1,score_x2,score_x3,score_x4,score_x5,score_x6,score_x7,score_x8,score_x9,score_x10,score_x11,score_x12,score_x13,score_x14,score_x15,score_x16,score_x17,score_x18,score_x19,selected_interactions,true_interactions,interaction_precision,interaction_recall,interaction_f1
KAN,grad,0,core_interaction,1024,20,0.0,4.9249989388044924e-05,1.6575490008108318e-05,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.82452392578125,1.1965699195861816,0.5926556587219238,0.592583179473877,0.002989434404298663,0.0010915653547272086,0.0034632752649486065,0.002985652070492506,0.0028733531944453716,0.003009225009009242,0.004075771197676659,0.004386139567941427,0.0034091356210410595,0.0031394679099321365,0.0035644392482936382,0.004417969845235348,0.001916084554977715,0.0022568965796381235,0.005404986906796694,0.0021155995782464743,"[(2, 3)]","[(2, 3)]",1.0,1.0,1.0
KAN,perm,0,core_interaction,1024,20,0.0,4.9249989388044924e-05,1.6575490008108318e-05,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.3956254720687866,0.2408432513475418,0.33034971356391907,0.3285570442676544,0.0,4.944789111505088e-07,0.0,0.0,0.0,0.0,2.6338361180933134e-07,3.689274308271706e-08,7.316702976822853e-08,0.0,0.0,0.0,7.461203495040536e-07,1.1663117760463138e-07,6.122924673945818e-07,0.0,"[(2, 3)]","[(2, 3)]",1.0,1.0,1.0
MLP,grad,0,core_interaction,1024,20,0.0,1.472245216369629,0.0006976050208322704,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.6339218616485596,1.2185434103012085,0.8695491552352905,0.8585644960403442,0.4530046880245209,0.4350387454032898,0.5212228298187256,0.5199445486068726,0.5242368578910828,0.5270931720733643,0.6155266165733337,0.5003985166549683,0.4930384159088135,0.4614473581314087,0.4897522032260895,0.6238970756530762,0.37701958417892456,0.5861203670501709,0.5051249265670776,0.5676586031913757,,,,,
MLP,perm,0,core_interaction,1024,20,0.0,1.472245216369629,0.0006976050208322704,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,0.47171035408973694,0.2656579911708832,0.32783588767051697,0.39103126525878906,0.0503079891204834,0.01432983111590147,0.0,0.052650053054094315,0.03158394619822502,0.0,0.033338744193315506,0.01553062628954649,0.021637916564941406,0.0,0.013973872177302837,0.0680307149887085,0.0,0.060392219573259354,0.017028728500008583,0.0,,,,,
KAN,grad,1,core_interaction,1024,20,0.0,6.985880190768512e-06,4.2418346311023924e-06,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.790864944458008,1.2281583547592163,0.6029573678970337,0.5922914743423462,0.001123114605434239,0.001322909607551992,0.001336113316938281,0.0017452689353376627,0.002539433306083083,0.0016497359611093998,0.0008807974518276751,0.002575567690655589,0.001099741319194436,0.0017230717930942774,0.0021661650389432907,0.0013876837911084294,0.0012934019323438406,0.0016271169297397137,0.0016244427533820271,0.001249204040504992,"[(2, 3)]","[(2, 3)]",1.0,1.0,1.0
KAN,perm,1,core_interaction,1024,20,0.0,6.985880190768512e-06,4.2418346311023924e-06,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.4248214960098267,0.2555152475833893,0.32000014185905457,0.30839815735816956,3.487472710617112e-08,2.1185163845416355e-08,0.0,2.1813730199937709e-07,7.675453161937185e-08,1.1734118743333966e-07,0.0,1.3991120795253664e-07,0.0,5.733924623996245e-08,5.407385472722126e-08,0.0,0.0,0.0,0.0,0.0,"[(2, 3)]","[(2, 3)]",1.0,1.0,1.0
MLP,grad,1,core_interaction,1024,20,0.0,1.6937110424041748,0.0006486194906756282,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.1290053129196167,1.3918572664260864,0.9133307933807373,0.8849397897720337,0.6705996990203857,0.5598317384719849,0.6196733117103577,0.5772315263748169,0.5547271966934204,0.5201079845428467,0.5068714618682861,0.5471277236938477,0.5701504349708557,0.6077632308006287,0.5453773140907288,0.58536297082901,0.4421001076698303,0.5227370858192444,0.4780106544494629,0.6181713938713074,,,,,
MLP,perm,1,core_interaction,1024,20,0.0,1.6937110424041748,0.0006486194906756282,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,0.14535856246948242,0.24833305180072784,0.3800440728664398,0.36606040596961975,0.04583585262298584,0.045163195580244064,0.009816646575927734,0.01645195484161377,0.0,0.05225181579589844,0.04051883891224861,0.0,0.0,0.07839413732290268,0.0,0.036973316222429276,0.0,0.041470009833574295,0.0,0.0551583357155323,,,,,
KAN,grad,2,core_interaction,1024,20,0.0,4.481833093450405e-05,1.6897502064239234e-05,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.670558929443359,1.179513692855835,0.5702935457229614,0.5683675408363342,0.002987529616802931,0.0045238034799695015,0.0046334415674209595,0.004712836816906929,0.003922032658010721,0.005320450756698847,0.004549452103674412,0.006414854899048805,0.003175568301230669,0.002370301866903901,0.004728611558675766,0.0023709391243755817,0.0031037493608891964,0.005421007052063942,0.004386590328067541,0.003475815523415804,"[(2, 3)]","[(2, 3)]",1.0,1.0,1.0
KAN,perm,2,core_interaction,1024,20,0.0,4.481833093450405e-05,1.6897502064239234e-05,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.3092994689941406,0.2267158031463623,0.2962322235107422,0.2814488410949707,0.0,0.0,1.7719260370085976e-07,0.0,1.7617882974718668e-07,9.596697054803371e-07,0.0,0.0,0.0,0.0,1.1025355206584209e-06,0.0,6.413683877326548e-07,0.0,6.192228170220915e-07,0.0,"[(2, 3)]","[(2, 3)]",1.0,1.0,1.0
