Using device=cuda
[RUN] function=core_interaction_c025 screen=raw seed=0
checkpoint directory created: ./model
saving model version 0.0

description:   0%|                                                           | 0/50 [00:00<?, ?it/s]
| train_loss: 2.11e-01 | test_loss: 1.18e+00 | reg: 7.90e+01 | :   0%|       | 0/50 [00:00<?, ?it/s]
| train_loss: 2.11e-01 | test_loss: 1.18e+00 | reg: 7.90e+01 | :   2%| | 1/50 [00:00<00:37,  1.31it/
| train_loss: 5.55e-02 | test_loss: 1.18e+00 | reg: 7.24e+01 | :   2%| | 1/50 [00:00<00:37,  1.31it/
| train_loss: 5.55e-02 | test_loss: 1.18e+00 | reg: 7.24e+01 | :   4%| | 2/50 [00:00<00:18,  2.60it/
| train_loss: 4.70e-02 | test_loss: 1.13e+00 | reg: 6.09e+01 | :   4%| | 2/50 [00:01<00:18,  2.60it/
| train_loss: 4.70e-02 | test_loss: 1.13e+00 | reg: 6.09e+01 | :   6%| | 3/50 [00:01<00:12,  3.74it/
| train_loss: 3.56e-02 | test_loss: 1.04e+00 | reg: 5.35e+01 | :   6%| | 3/50 [00:01<00:12,  3.74it/
| train_loss: 3.56e-02 | test_loss: 1.04e+00 | reg: 5.35e+01 | :   8%| | 4/50 [00:01<00:09,  4.79it/
| train_loss: 3.10e-02 | test_loss: 9.05e-01 | reg: 4.70e+01 | :   8%| | 4/50 [00:01<00:09,  4.79it/
| train_loss: 3.10e-02 | test_loss: 9.05e-01 | reg: 4.70e+01 | :  10%| | 5/50 [00:01<00:07,  5.67it/
| train_loss: 2.72e-02 | test_loss: 8.05e-01 | reg: 4.28e+01 | :  10%| | 5/50 [00:01<00:07,  5.67it/
| train_loss: 2.72e-02 | test_loss: 8.05e-01 | reg: 4.28e+01 | :  12%| | 6/50 [00:01<00:06,  6.31it/
| train_loss: 2.59e-02 | test_loss: 6.94e-01 | reg: 3.88e+01 | :  12%| | 6/50 [00:01<00:06,  6.31it/
| train_loss: 2.59e-02 | test_loss: 6.94e-01 | reg: 3.88e+01 | :  14%|▏| 7/50 [00:01<00:06,  6.76it/
| train_loss: 2.63e-02 | test_loss: 5.78e-01 | reg: 3.51e+01 | :  14%|▏| 7/50 [00:01<00:06,  6.76it/
| train_loss: 2.63e-02 | test_loss: 5.78e-01 | reg: 3.51e+01 | :  16%|▏| 8/50 [00:01<00:05,  7.11it/
| train_loss: 2.73e-02 | test_loss: 4.76e-01 | reg: 3.22e+01 | :  16%|▏| 8/50 [00:01<00:05,  7.11it/
| train_loss: 2.73e-02 | test_loss: 4.76e-01 | reg: 3.22e+01 | :  18%|▏| 9/50 [00:01<00:05,  7.29it/
| train_loss: 2.47e-02 | test_loss: 4.12e-01 | reg: 2.98e+01 | :  18%|▏| 9/50 [00:01<00:05,  7.29it/
| train_loss: 2.47e-02 | test_loss: 4.12e-01 | reg: 2.98e+01 | :  20%|▏| 10/50 [00:01<00:05,  7.58it
| train_loss: 2.46e-02 | test_loss: 3.66e-01 | reg: 2.78e+01 | :  20%|▏| 10/50 [00:01<00:05,  7.58it
| train_loss: 2.46e-02 | test_loss: 3.66e-01 | reg: 2.78e+01 | :  22%|▏| 11/50 [00:01<00:05,  7.70it
| train_loss: 2.71e-02 | test_loss: 3.45e-01 | reg: 2.64e+01 | :  22%|▏| 11/50 [00:02<00:05,  7.70it
| train_loss: 2.71e-02 | test_loss: 3.45e-01 | reg: 2.64e+01 | :  24%|▏| 12/50 [00:02<00:04,  7.79it
| train_loss: 2.83e-02 | test_loss: 3.15e-01 | reg: 2.48e+01 | :  24%|▏| 12/50 [00:02<00:04,  7.79it
| train_loss: 2.83e-02 | test_loss: 3.15e-01 | reg: 2.48e+01 | :  26%|▎| 13/50 [00:02<00:04,  7.85it
| train_loss: 2.72e-02 | test_loss: 2.93e-01 | reg: 2.35e+01 | :  26%|▎| 13/50 [00:02<00:04,  7.85it
| train_loss: 2.72e-02 | test_loss: 2.93e-01 | reg: 2.35e+01 | :  28%|▎| 14/50 [00:02<00:04,  7.99it
| train_loss: 2.80e-02 | test_loss: 2.70e-01 | reg: 2.20e+01 | :  28%|▎| 14/50 [00:02<00:04,  7.99it
| train_loss: 2.80e-02 | test_loss: 2.70e-01 | reg: 2.20e+01 | :  30%|▎| 15/50 [00:02<00:04,  7.99it
| train_loss: 2.85e-02 | test_loss: 2.55e-01 | reg: 2.07e+01 | :  30%|▎| 15/50 [00:02<00:04,  7.99it
| train_loss: 2.85e-02 | test_loss: 2.55e-01 | reg: 2.07e+01 | :  32%|▎| 16/50 [00:02<00:04,  8.08it
| train_loss: 2.94e-02 | test_loss: 2.40e-01 | reg: 1.94e+01 | :  32%|▎| 16/50 [00:02<00:04,  8.08it
| train_loss: 2.94e-02 | test_loss: 2.40e-01 | reg: 1.94e+01 | :  34%|▎| 17/50 [00:02<00:03,  8.25it
| train_loss: 3.05e-02 | test_loss: 2.31e-01 | reg: 1.84e+01 | :  34%|▎| 17/50 [00:02<00:03,  8.25it
| train_loss: 3.05e-02 | test_loss: 2.31e-01 | reg: 1.84e+01 | :  36%|▎| 18/50 [00:02<00:03,  8.38it
| train_loss: 3.24e-02 | test_loss: 2.21e-01 | reg: 1.73e+01 | :  36%|▎| 18/50 [00:02<00:03,  8.38it
| train_loss: 3.24e-02 | test_loss: 2.21e-01 | reg: 1.73e+01 | :  38%|▍| 19/50 [00:02<00:03,  8.37it
| train_loss: 3.25e-02 | test_loss: 2.16e-01 | reg: 1.64e+01 | :  38%|▍| 19/50 [00:03<00:03,  8.37it
| train_loss: 3.25e-02 | test_loss: 2.16e-01 | reg: 1.64e+01 | :  40%|▍| 20/50 [00:03<00:03,  8.35it
| train_loss: 3.16e-02 | test_loss: 2.12e-01 | reg: 1.57e+01 | :  40%|▍| 20/50 [00:03<00:03,  8.35it
| train_loss: 3.16e-02 | test_loss: 2.12e-01 | reg: 1.57e+01 | :  42%|▍| 21/50 [00:03<00:03,  8.34it
| train_loss: 3.13e-02 | test_loss: 2.11e-01 | reg: 1.49e+01 | :  42%|▍| 21/50 [00:03<00:03,  8.34it
| train_loss: 3.13e-02 | test_loss: 2.11e-01 | reg: 1.49e+01 | :  44%|▍| 22/50 [00:03<00:03,  8.33it
| train_loss: 3.01e-02 | test_loss: 2.12e-01 | reg: 1.45e+01 | :  44%|▍| 22/50 [00:03<00:03,  8.33it
| train_loss: 3.01e-02 | test_loss: 2.12e-01 | reg: 1.45e+01 | :  46%|▍| 23/50 [00:03<00:03,  8.43it
| train_loss: 2.93e-02 | test_loss: 2.14e-01 | reg: 1.41e+01 | :  46%|▍| 23/50 [00:03<00:03,  8.43it
| train_loss: 2.93e-02 | test_loss: 2.14e-01 | reg: 1.41e+01 | :  48%|▍| 24/50 [00:03<00:03,  8.50it
| train_loss: 2.74e-02 | test_loss: 2.15e-01 | reg: 1.37e+01 | :  48%|▍| 24/50 [00:03<00:03,  8.50it
| train_loss: 2.74e-02 | test_loss: 2.15e-01 | reg: 1.37e+01 | :  50%|▌| 25/50 [00:03<00:02,  8.44it
