function,c,samples,screen_mode,test_mse_mean,variable_f1_mean,explain_interaction_endpoint_recall_mean,interaction_f1_mean,true_interaction_mean_score_margin_mean
core_interaction_c01,0.1,128,oracle_support,0.0020728342467918,1.0,1.0,0.2,-0.3448508662753738
core_interaction_c01,0.1,256,oracle_support,0.002647351392079,1.0,1.0,0.0,-0.3955455605871975
core_interaction_c01,0.1,512,oracle_support,0.0019506634038406,1.0,1.0,0.0,-0.4314206163166091
core_interaction_c01,0.1,1024,oracle_support,0.0020071696839294,1.0,1.0,0.0,-0.2326948603382334
core_interaction_c025,0.25,128,oracle_support,0.0010172611975576,1.0,1.0,0.5,-0.1331128306686878
core_interaction_c025,0.25,256,oracle_support,0.000548793238704,1.0,1.0,0.6,0.029263998940587
core_interaction_c025,0.25,512,oracle_support,0.0016141937143401,1.0,1.0,0.7,-0.0143944889307022
core_interaction_c025,0.25,1024,oracle_support,0.0015319087484385,1.0,1.0,0.5,-0.0641428424976766
core_interaction_c05,0.5,128,oracle_support,0.0015843548258998,1.0,1.0,0.8,0.2072953045368194
core_interaction_c05,0.5,256,oracle_support,0.0005223342930548,1.0,1.0,0.8,0.2170798363629728
core_interaction_c05,0.5,512,oracle_support,0.0003011508859344,1.0,1.0,1.0,0.4096135890111327
core_interaction_c05,0.5,1024,oracle_support,0.0002874162630177,1.0,1.0,0.9,0.3000620156526566
core_interaction_c1,1.0,128,oracle_support,0.0017508916091173,1.0,1.0,1.0,0.6244048127438873
core_interaction_c1,1.0,256,oracle_support,0.0006866525334771,1.0,1.0,1.0,0.8367723315954209
core_interaction_c1,1.0,512,oracle_support,0.0004674204101319,1.0,1.0,1.0,0.8571916380897164
core_interaction_c1,1.0,1024,oracle_support,0.000287932732317,1.0,1.0,1.0,0.936544194817543
core_interaction_c01,0.1,128,raw,1.2457589626312255,0.375,0.0,0.0,-1.882209914457053
core_interaction_c01,0.1,256,raw,0.5321888103149831,0.425,0.0,0.0,-2.063202668935992
core_interaction_c01,0.1,512,raw,0.0047133145621046,0.5,0.0,0.0,-0.4509949417901225
core_interaction_c01,0.1,1024,raw,0.0024941804440458,0.55,0.1,0.0,-0.2555654751486145
core_interaction_c025,0.25,128,raw,1.436101885139942,0.4,0.0,0.0,-2.476177949132398
core_interaction_c025,0.25,256,raw,0.3543893590569496,0.5,0.05,0.0,-2.4922498214058577
core_interaction_c025,0.25,512,raw,0.0322680855169891,0.575,0.15,0.0,-0.8954137542285026
core_interaction_c025,0.25,1024,raw,0.0058061656323843,0.9,0.8,0.6,-0.0699312892742455
core_interaction_c05,0.5,128,raw,1.403941597044468,0.35,0.0,0.0,-1.5449579967767932
core_interaction_c05,0.5,256,raw,0.4710545316338539,0.475,0.0,0.0,-2.3599179673939945
core_interaction_c05,0.5,512,raw,0.0747546596452593,0.7,0.4,0.1,-1.0057025230489671
core_interaction_c05,0.5,1024,raw,0.0114498378374264,0.95,0.9,0.9,0.1431965000927448
core_interaction_c1,1.0,128,raw,1.646858996152878,0.35,0.0,0.0,-1.4087924109771848
core_interaction_c1,1.0,256,raw,0.68612901866436,0.5,0.05,0.0,-2.490149723459035
core_interaction_c1,1.0,512,raw,0.301996437832713,0.625,0.25,0.1,-1.1970773321576416
core_interaction_c1,1.0,1024,raw,0.063693941652309,0.925,0.85,0.8,0.5219556167721747
core_interaction_c01,0.1,128,rf,0.0462033240357413,0.475,0.0,0.0,-2.0867721170186995
core_interaction_c01,0.1,256,rf,0.0026546689448877,0.5,0.0,0.0,-0.5259370654821396
core_interaction_c01,0.1,512,rf,0.0025405935011803,0.5,0.0,0.0,-0.4478388551622629
core_interaction_c01,0.1,1024,rf,0.0022127444157376,0.5,0.0,0.0,-0.2857668384909629
core_interaction_c025,0.25,128,rf,0.1350665923207998,0.475,0.05,0.0,-6.541408181190491
core_interaction_c025,0.25,256,rf,0.0187500542029738,0.5,0.0,0.0,-1.7535436570644378
core_interaction_c025,0.25,512,rf,0.0133179526776074,0.5,0.0,0.0,-0.6882149815559387
core_interaction_c025,0.25,1024,rf,0.0125244164839386,0.5,0.0,0.0,-0.3761190935969352
core_interaction_c05,0.5,128,rf,0.2604318141937255,0.5,0.1,0.0,-10.469754266738892
core_interaction_c05,0.5,256,rf,0.1432871051132678,0.525,0.05,0.0,-12.839009952545164
core_interaction_c05,0.5,512,rf,0.0692244250327348,0.525,0.05,0.0,-5.484628796577454
core_interaction_c05,0.5,1024,rf,0.0458286145847523,0.775,0.55,0.1,-1.3616629153490067
core_interaction_c1,1.0,128,rf,0.8257590383291245,0.4,0.15,0.0,-22.511810398101808
core_interaction_c1,1.0,256,rf,0.6635143339633942,0.65,0.3,0.0,-34.96633338928223
core_interaction_c1,1.0,512,rf,0.2432001095963641,0.725,0.45,0.3,-17.607855029404163
core_interaction_c1,1.0,1024,rf,0.000333972518274,1.0,1.0,1.0,0.8851637214422226
