function,interaction_strength,seed,samples,dimension,top_m,support,true_variables,true_interactions,formula,steps,width_hidden,grid,k,lamb,effective_dim,screen_contains_all_true_vars,screen_true_var_recall,screen_contains_all_interaction_endpoints,screen_interaction_endpoint_recall,screen_contains_true_interactions,pair_score_method,status,error,traceback,test_mse,runtime_sec,selected_interactions,interaction_precision,interaction_recall,interaction_f1,selected_interaction_endpoint_recall,selected_interaction_contains_all_endpoints,true_interaction_best_rank,true_interaction_worst_rank,true_interaction_rank_mean,true_interaction_score_mean,max_nontrue_interaction_score,true_interaction_mean_score_margin,true_interaction_beats_all_false
core_interaction_c025,0.25,100,512,100,4,"[0, 1, 2, 3]","[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + 0.25*x2*x3,100,8,5,3,0.001,4,1,1.0,1,1.0,1,fd,ok,,,0.000439797411672771,50.77266836166382,"[(0, 1)]",0.0,0.0,0.0,0.0,0,2.0,2.0,2.0,0.27335745096206665,0.595451831817627,-0.3220943808555603,0
core_interaction_c025,0.25,100,512,100,4,"[0, 1, 2, 3]","[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + 0.25*x2*x3,100,8,5,3,0.001,4,1,1.0,1,1.0,1,anova_abs,ok,,,0.000439797411672771,50.77586054801941,"[(2, 3)]",1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,0.07471457944484428,0.005491423362400383,0.06922315608244389,1
core_interaction_c025,0.25,100,512,100,4,"[0, 1, 2, 3]","[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + 0.25*x2*x3,100,8,5,3,0.001,4,1,1.0,1,1.0,1,anova_var,ok,,,0.000439797411672771,50.77812194824219,"[(2, 3)]",1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,0.009998630870231291,4.322484432645396e-05,0.009955406025904837,1
core_interaction_c025,0.25,100,512,100,4,"[0, 1, 2, 3]","[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + 0.25*x2*x3,100,8,5,3,0.001,4,1,1.0,1,1.0,1,fd_anova_hybrid,ok,,,0.000439797411672771,50.780354738235474,"[(2, 3)]",1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,0.7295378369461375,0.5367493426530913,0.19278849429304623,1
core_interaction_c025,0.25,101,512,100,4,"[0, 1, 2, 3]","[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + 0.25*x2*x3,100,8,5,3,0.001,4,1,1.0,1,1.0,1,fd,ok,,,0.00018929780344478786,27.811262607574463,"[(2, 3)]",1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,0.27712374925613403,0.08500588685274124,0.1921178624033928,1
core_interaction_c025,0.25,101,512,100,4,"[0, 1, 2, 3]","[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + 0.25*x2*x3,100,8,5,3,0.001,4,1,1.0,1,1.0,1,anova_abs,ok,,,0.00018929780344478786,27.813834190368652,"[(2, 3)]",1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,0.07727194909239188,0.001350668608210981,0.0759212804841809,1
core_interaction_c025,0.25,101,512,100,4,"[0, 1, 2, 3]","[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + 0.25*x2*x3,100,8,5,3,0.001,4,1,1.0,1,1.0,1,anova_var,ok,,,0.00018929780344478786,27.816531658172607,"[(2, 3)]",1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,0.010683356938593671,3.074594314101233e-06,0.01068028234427957,1
core_interaction_c025,0.25,101,512,100,4,"[0, 1, 2, 3]","[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + 0.25*x2*x3,100,8,5,3,0.001,4,1,1.0,1,1.0,1,fd_anova_hybrid,ok,,,0.00018929780344478786,27.818674564361572,"[(2, 3)]",1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.16183743469307704,0.8381625653069229,1
core_interaction_c025,0.25,102,512,100,4,"[0, 1, 2, 3]","[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + 0.25*x2*x3,100,8,5,3,0.001,4,1,1.0,1,1.0,1,fd,ok,,,0.00014896532229613513,44.21000933647156,"[(2, 3)]",1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,0.27986854314804077,0.08941002190113068,0.1904585212469101,1
core_interaction_c025,0.25,102,512,100,4,"[0, 1, 2, 3]","[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + 0.25*x2*x3,100,8,5,3,0.001,4,1,1.0,1,1.0,1,anova_abs,ok,,,0.00014896532229613513,44.21358132362366,"[(2, 3)]",1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,0.06885358311410528,0.001967785312444903,0.06688579780166037,1
