function,samples,dimension,seed,trees,top_m,selected_features,true_variables,true_interactions,top12,endpoint_scores,max_noise_score,effective_dim,screen_contains_all_true_vars,screen_true_var_recall,screen_contains_all_interaction_endpoints,screen_interaction_endpoint_recall,screen_contains_true_interactions,endpoint_best_rank,endpoint_worst_rank,endpoint_mean_rank
core_interaction_c025,512,100,100,500,4,"[0, 1, 58, 67]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 67, 58, 5, 24, 6, 72, 14, 93, 95, 2]","{2: 0.0014064655152004539, 3: 0.0009089142836632928}",0.0022556684372611008,4,0,0.5,0,0.0,0,12.0,54.0,33.0
core_interaction_c025,512,100,100,500,5,"[0, 1, 5, 58, 67]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 67, 58, 5, 24, 6, 72, 14, 93, 95, 2]","{2: 0.0014064655152004539, 3: 0.0009089142836632928}",0.0022556684372611008,5,0,0.5,0,0.0,0,12.0,54.0,33.0
core_interaction_c025,512,100,100,500,6,"[0, 1, 5, 24, 58, 67]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 67, 58, 5, 24, 6, 72, 14, 93, 95, 2]","{2: 0.0014064655152004539, 3: 0.0009089142836632928}",0.0022556684372611008,6,0,0.5,0,0.0,0,12.0,54.0,33.0
core_interaction_c025,512,100,101,500,4,"[0, 1, 17, 65]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 65, 17, 67, 90, 34, 10, 20, 81, 46, 78]","{2: 0.0007609516815201958, 3: 0.0008808562997310185}",0.001640926304168969,4,0,0.5,0,0.0,0,37.0,55.0,46.0
core_interaction_c025,512,100,101,500,5,"[0, 1, 17, 65, 67]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 65, 17, 67, 90, 34, 10, 20, 81, 46, 78]","{2: 0.0007609516815201958, 3: 0.0008808562997310185}",0.001640926304168969,5,0,0.5,0,0.0,0,37.0,55.0,46.0
core_interaction_c025,512,100,101,500,6,"[0, 1, 17, 65, 67, 90]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 65, 17, 67, 90, 34, 10, 20, 81, 46, 78]","{2: 0.0007609516815201958, 3: 0.0008808562997310185}",0.001640926304168969,6,0,0.5,0,0.0,0,37.0,55.0,46.0
core_interaction_c025,512,100,102,500,4,"[0, 1, 19, 98]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 19, 98, 34, 36, 56, 72, 25, 77, 85, 41]","{2: 0.0010259275546765983, 3: 0.0009078946399275872}",0.0026300768707235907,4,0,0.5,0,0.0,0,18.0,27.0,22.5
core_interaction_c025,512,100,102,500,5,"[0, 1, 19, 34, 98]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 19, 98, 34, 36, 56, 72, 25, 77, 85, 41]","{2: 0.0010259275546765983, 3: 0.0009078946399275872}",0.0026300768707235907,5,0,0.5,0,0.0,0,18.0,27.0,22.5
core_interaction_c025,512,100,102,500,6,"[0, 1, 19, 34, 36, 98]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 19, 98, 34, 36, 56, 72, 25, 77, 85, 41]","{2: 0.0010259275546765983, 3: 0.0009078946399275872}",0.0026300768707235907,6,0,0.5,0,0.0,0,18.0,27.0,22.5
core_interaction_c025,512,100,103,500,4,"[0, 1, 50, 72]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 50, 72, 62, 10, 60, 2, 45, 48, 74, 39]","{2: 0.0016638243885689257, 3: 0.0008418554691809653}",0.0024180470778604867,4,0,0.5,0,0.0,0,8.0,40.0,24.0
