wave,method,function,samples,dimension,top_m,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,explain_contains_all_interaction_endpoints_mean,explain_interaction_endpoint_recall_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auprc_mean,interaction_f1_mean,interaction_f1_std,true_interaction_best_rank_mean,true_interaction_rank_mean_mean,true_interaction_rank_mean_std,true_interaction_mean_score_margin_mean,true_interaction_mean_score_margin_std,true_interaction_beats_all_false_mean,runtime_sec_mean,runtime_sec_std,num_runs
broad,edge_pair_hybrid,core_interaction_c025,512,100,4,0.014628873206675053,,0.015957873314619064,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7447916666666666,0.52,0.0,,199.0,199.0,,-1.8506124019622803,,0.0,0.34898972511291504,,1
broad,edge_pair_hybrid,core_interaction_c025,1024,100,4,0.015666378661990166,,0.017534997314214706,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7447916666666666,0.52,0.0,,199.0,199.0,,-0.6211549043655396,,0.0,0.341414213180542,,1
broad,edge_pair_hybrid,core_interaction_c025,1024,100,6,0.017379583790898323,,0.02347765862941742,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7395833333333334,0.52,0.0,,204.0,204.0,,-1.298561692237854,,0.0,0.5247542858123779,,1
broad,edge_pair_hybrid,core_interaction_c05,512,100,4,0.04693111777305603,,0.04847589135169983,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7447916666666666,0.52,0.0,,199.0,199.0,,-0.9342655539512634,,0.0,0.3415038585662842,,1
broad,edge_pair_hybrid,core_interaction_c05,512,100,6,0.04833127185702324,,0.05770516023039818,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7395833333333334,0.52,0.0,,204.0,204.0,,-0.6708130240440369,,0.0,0.5200309753417969,,1
broad,edge_pair_hybrid,core_interaction_c1,512,100,4,0.14571906626224518,,0.16727733612060547,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7447916666666666,0.52,0.0,,199.0,199.0,,-1.9791722297668457,,0.0,0.3507683277130127,,1
exploit,edge_pair_hybrid,core_interaction_c025,1024,100,5,0.01384584978222847,,0.017042413353919983,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7421875,0.52,0.0,,201.0,201.0,,-1.5629456043243408,,0.0,0.4463009834289551,,1
exploit,edge_pair_hybrid,core_interaction_c025,1024,100,6,0.017386145889759064,,0.023487038910388947,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7395833333333334,0.52,0.0,,204.0,204.0,,-1.2971832752227783,,0.0,0.48876237869262695,,1
exploit,edge_pair_hybrid,core_interaction_c025,2048,100,6,0.015096338465809822,,0.01874726451933384,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7395833333333334,0.52,0.0,,204.0,204.0,,-0.45340508222579956,,0.0,0.5012903213500977,,1
exploit,edge_pair_hybrid,core_interaction_c05,512,100,5,0.04270438104867935,,0.05843208730220795,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7421875,0.52,0.0,,201.0,201.0,,-1.3965741395950317,,0.0,0.43444252014160156,,1
exploit,edge_pair_hybrid,core_interaction_c05,1024,100,5,0.0436750128865242,,0.05467326566576958,,0.0,0.75,0.0,0.5,0.0,0.0,0.5,0.75,,0.8723958333333333,0.76,0.0,,201.0,201.0,,-1.1513382196426392,,0.0,0.4064779281616211,,1
exploit,edge_pair_hybrid,core_interaction_c1,512,100,5,0.13036289811134338,,0.20046642422676086,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7421875,0.52,0.0,,201.0,201.0,,-2.743974208831787,,0.0,0.4179549217224121,,1
exploit,edge_stability_var,core_interaction_c025,1024,100,5,0.013843385502696037,,0.017049938440322876,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7421875,0.52,0.0,,201.0,201.0,,-1.5747175216674805,,0.0,0.4043550491333008,,1
exploit,edge_stability_var,core_interaction_c025,1024,100,6,0.017379583790898323,,0.02347765862941742,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7395833333333334,0.52,0.0,,204.0,204.0,,-1.298561692237854,,0.0,0.4997067451477051,,1
exploit,edge_stability_var,core_interaction_c025,2048,100,6,0.015096358023583889,,0.018747327849268913,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7395833333333334,0.52,0.0,,204.0,204.0,,-0.4548206925392151,,0.0,0.5000760555267334,,1
exploit,edge_stability_var,core_interaction_c05,512,100,5,0.04270201176404953,,0.05844388157129288,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7421875,0.52,0.0,,201.0,201.0,,-1.396499514579773,,0.0,0.4045684337615967,,1
exploit,edge_stability_var,core_interaction_c05,1024,100,5,0.003703721333295107,,0.005399585701525211,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,,2.0,2.0,,-1.0496005415916443,,0.0,0.4083235263824463,,1
exploit,edge_stability_var,core_interaction_c1,512,100,5,0.13036289811134338,,0.20046642422676086,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7421875,0.52,0.0,,201.0,201.0,,-2.743974208831787,,0.0,0.4077017307281494,,1
exploit,feature_edge_hybrid,core_interaction_c025,1024,100,5,0.01384584978222847,,0.017042413353919983,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7421875,0.52,0.0,,201.0,201.0,,-1.5629456043243408,,0.0,0.40155506134033203,,1
exploit,feature_edge_hybrid,core_interaction_c025,1024,100,6,0.017398972064256668,,0.023504504933953285,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7395833333333334,0.52,0.0,,204.0,204.0,,-1.2950599193572998,,0.0,0.49617838859558105,,1
exploit,feature_edge_hybrid,core_interaction_c025,2048,100,6,0.015096338465809822,,0.01874726451933384,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7395833333333334,0.52,0.0,,204.0,204.0,,-0.45340508222579956,,0.0,0.5008189678192139,,1
