model,function,screen_mode,dimension,samples,noise,grid,k,width_hidden,lamb,steps,opt,update_grid,interaction_method,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,effective_dim_mean,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,explain_contains_all_interaction_endpoints_mean,explain_interaction_endpoint_recall_mean,selected_interaction_endpoint_recall_mean,selected_interaction_contains_all_endpoints_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,true_interaction_best_rank_mean,true_interaction_best_rank_std,true_interaction_worst_rank_mean,true_interaction_worst_rank_std,true_interaction_rank_mean_mean,true_interaction_rank_mean_std,true_interaction_score_mean_mean,true_interaction_score_mean_std,max_nontrue_interaction_score_mean,max_nontrue_interaction_score_std,true_interaction_mean_score_margin_mean,true_interaction_mean_score_margin_std,true_interaction_beats_all_false_mean,source_file
KAN_tuned_fixed,core_interaction_c025,exclude_interaction,100,1024,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.4485540881752968,0.1525352320369516,1.5981901615858078,0.5353125090297102,4.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0790569415042094,0.492578125,0.042410755077779,0.064,0.0758946638440411,0.0,0.0,203.7,0.9486832980505132,203.7,0.9486832980505132,203.7,0.9486832980505132,0.0,0.0,138.41927757263184,53.63739977792596,-138.41927757263184,53.63739977792596,0.0,c025_n1024_d100_top4_screen_summary.csv
KAN_tuned_fixed,core_interaction_c025,oracle_support,100,1024,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.0002377968339715,7.007828441774446e-05,0.0002601297499495,8.159077724147442e-05,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,1.0,0.0,1.0,0.0,1.0,0.0,0.4,0.5163977794943222,1.6,0.5163977794943222,1.6,0.5163977794943222,1.6,0.5163977794943222,0.2784570962190628,0.0131717775201042,0.3628171131014824,0.2037235804248716,-0.0843600168824195,0.2042929805549153,0.4,c025_n1024_d100_top4_screen_summary.csv
KAN_tuned_fixed,core_interaction_c025,random,100,1024,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.4495561175048351,0.140315529851762,1.602774041891098,0.5224220429516492,4.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0790569415042094,0.492578125,0.042410755077779,0.064,0.0758946638440411,0.0,0.0,203.7,0.9486832980505132,203.7,0.9486832980505132,203.7,0.9486832980505132,0.0,0.0,144.06380233764648,66.42694563722519,-144.06380233764648,66.42694563722519,0.0,c025_n1024_d100_top4_screen_summary.csv
KAN_tuned_fixed,core_interaction_c025,rf,100,1024,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.0110693817026913,0.0008597592667115,0.0122187667526304,0.0005338275065325,4.0,0.0,0.525,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.525,0.0790569415042094,0.7576822916666666,0.040763735463108,0.544,0.0758946638440411,0.0,0.0,199.0,0.0,199.0,0.0,199.0,0.0,0.0,0.0,0.4485919043421745,0.2041737540806783,-0.4485919043421745,0.2041737540806783,0.0,c025_n1024_d100_top4_screen_summary.csv
KAN_tuned_fixed,core_interaction_c025,exclude_interaction,100,1024,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.3226500242948532,0.1010773332405863,1.87904854118824,0.5451170304488225,5.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0790569415042094,0.4875,0.0428225099814468,0.064,0.0758946638440411,0.0,0.0,207.6,1.2649110640673549,207.6,1.2649110640673549,207.6,1.2649110640673549,0.0,0.0,121.17194442749025,50.213711561048775,-121.17194442749025,50.213711561048775,0.0,c025_n1024_d100_top5_screen_summary.csv
KAN_tuned_fixed,core_interaction_c025,oracle_support,100,1024,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.0025291121470218,0.0042558634680232,0.0031020089489175,0.0052138365150099,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.6,1.0,0.0,1.0,0.0,1.0,0.0,0.6,0.5163977794943222,2.7,2.79085809185793,2.7,2.79085809185793,2.7,2.79085809185793,0.2127646004781127,0.1143919556907866,0.2729107491672039,0.217547245823354,-0.0601461486890912,0.2646774166232057,0.6,c025_n1024_d100_top5_screen_summary.csv
KAN_tuned_fixed,core_interaction_c025,random,100,1024,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.3024911575019359,0.088177568522998,1.8925525426864624,0.5781202221346166,5.0,0.0,0.1,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.1,0.1290994448735805,0.5263020833333334,0.067601968626882,0.0839166666666666,0.0758837337601591,0.0,0.0,207.6,1.2649110640673549,207.6,1.2649110640673549,207.6,1.2649110640673549,0.0,0.0,144.73495330810547,61.24423195932203,-144.73495330810547,61.24423195932203,0.0,c025_n1024_d100_top5_screen_summary.csv
KAN_tuned_fixed,core_interaction_c025,rf,100,1024,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.0106850076466798,0.0004692197943984,0.0123118058778345,0.0005271268144558,5.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.7421875,0.0,0.52,0.0,0.0,0.0,201.0,0.0,201.0,0.0,201.0,0.0,0.0,0.0,0.5470869690179825,0.4008805156252155,-0.5470869690179825,0.4008805156252155,0.0,c025_n1024_d100_top5_screen_summary.csv
KAN_tuned_fixed,core_interaction_c025,exclude_interaction,100,1024,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.2337799333035946,0.0769717787037604,2.170779621601105,0.6162242631470304,6.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0790569415042094,0.482421875,0.0432342648851145,0.064,0.0758946638440411,0.0,0.0,212.5,1.5811388300841902,212.5,1.5811388300841902,212.5,1.5811388300841902,0.0,0.0,99.96470794677734,30.42483144103795,-99.96470794677734,30.42483144103795,0.0,c025_n1024_d100_top6_screen_summary.csv
KAN_tuned_fixed,core_interaction_c025,oracle_support,100,1024,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.0001969445984286,4.935257472942968e-05,0.0002244691830128,5.987576903548129e-05,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6,1.0,0.0,1.0,0.0,1.0,0.0,0.6,0.5163977794943222,1.4,0.5163977794943222,1.4,0.5163977794943222,1.4,0.5163977794943222,0.2785242468118667,0.0099716080126372,0.2489119365811348,0.2387420359218133,0.0296123102307319,0.2351505359452093,0.6,c025_n1024_d100_top6_screen_summary.csv
