row_type,model,function,seed,samples,test_samples,dimension,noise,kan_width,kan_grid,kan_k,kan_steps,kan_lamb,intervention_method,variable,pair,baseline_mse,ablated_mse,delta_mse,synergy,is_true_active,true_variables,true_interactions,formula,is_true_interaction
single_variable,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,zero,0,,4.068456109962426e-05,0.7240629196166992,0.7240222350555996,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
single_variable,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,zero,1,,4.068456109962426e-05,0.27901673316955566,0.27897604860845604,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
single_variable,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,zero,2,,4.068456109962426e-05,0.15916326642036438,0.15912258185926476,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
single_variable,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,zero,3,,4.068456109962426e-05,0.1592431366443634,0.15920245208326378,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
single_variable,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,zero,4,,4.068456109962426e-05,4.2013001802843064e-05,1.3284407032188028e-06,,0,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
single_variable,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,zero,5,,4.068456109962426e-05,4.043351873406209e-05,-2.5104236556217074e-07,,0,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
single_variable,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,permute,0,,4.068456109962426e-05,1.4377473592758179,1.4377066747147182,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
single_variable,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,permute,1,,4.068456109962426e-05,0.24267825484275818,0.24263757028165855,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
single_variable,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,permute,2,,4.068456109962426e-05,0.33073535561561584,0.3306946710545162,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
single_variable,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,permute,3,,4.068456109962426e-05,0.3186447024345398,0.31860401787344017,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
single_variable,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,permute,4,,4.068456109962426e-05,4.0429848013445735e-05,-2.547130861785263e-07,,0,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
single_variable,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,permute,5,,4.068456109962426e-05,4.1113613406196237e-05,4.2905230657197535e-07,,0,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
pair,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,zero,,"(2, 3)",4.068456109962426e-05,0.15930308401584625,0.15926239945474663,-0.1590626344877819,,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,1.0
pair,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,zero,,"(0, 1)",4.068456109962426e-05,1.0122543573379517,1.012213672776852,0.009215389112796402,,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,0.0
pair,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,permute,,"(2, 3)",4.068456109962426e-05,0.34061455726623535,0.3405738727051357,-0.30872481622282066,,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,1.0
pair,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,permute,,"(0, 1)",4.068456109962426e-05,1.6573500633239746,1.657309378762875,-0.023034866233501816,,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,0.0
single_variable,KAN,core_interaction,1,1024,2048,20,0.0,8,5,3,50,0.0,zero,0,,5.533423973247409e-06,0.7140803337097168,0.7140748002857435,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
single_variable,KAN,core_interaction,1,1024,2048,20,0.0,8,5,3,50,0.0,zero,1,,5.533423973247409e-06,0.2830953001976013,0.28308976677362807,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
single_variable,KAN,core_interaction,1,1024,2048,20,0.0,8,5,3,50,0.0,zero,2,,5.533423973247409e-06,0.15364253520965576,0.15363700178568251,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
single_variable,KAN,core_interaction,1,1024,2048,20,0.0,8,5,3,50,0.0,zero,3,,5.533423973247409e-06,0.1536446362733841,0.15363910284941085,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
single_variable,KAN,core_interaction,1,1024,2048,20,0.0,8,5,3,50,0.0,zero,4,,5.533423973247409e-06,5.402460374170914e-06,-1.3096359907649457e-07,,0,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
single_variable,KAN,core_interaction,1,1024,2048,20,0.0,8,5,3,50,0.0,zero,5,,5.533423973247409e-06,5.265869731374551e-06,-2.6755424187285826e-07,,0,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
single_variable,KAN,core_interaction,1,1024,2048,20,0.0,8,5,3,50,0.0,permute,0,,5.533423973247409e-06,1.4339152574539185,1.4339097240299452,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
single_variable,KAN,core_interaction,1,1024,2048,20,0.0,8,5,3,50,0.0,permute,1,,5.533423973247409e-06,0.2486695945262909,0.24866406110231765,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
single_variable,KAN,core_interaction,1,1024,2048,20,0.0,8,5,3,50,0.0,permute,2,,5.533423973247409e-06,0.29777106642723083,0.2977655330032576,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
single_variable,KAN,core_interaction,1,1024,2048,20,0.0,8,5,3,50,0.0,permute,3,,5.533423973247409e-06,0.3308073878288269,0.33080185440485366,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
single_variable,KAN,core_interaction,1,1024,2048,20,0.0,8,5,3,50,0.0,permute,4,,5.533423973247409e-06,5.445787337521324e-06,-8.763663572608493e-08,,0,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
single_variable,KAN,core_interaction,1,1024,2048,20,0.0,8,5,3,50,0.0,permute,5,,5.533423973247409e-06,5.524741027329583e-06,-8.682945917826146e-09,,0,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
