setting,type,target,delta_mse_mean,delta_mse_std,synergy_mean
"Clean core, d=20",pair,"(0, 1)",1.6334971612401812,0.0636043544033018,-0.0214981164244818
"Clean core, d=20",pair,"(2, 3)",0.3115261421310909,0.0301391810464165,-0.3090388701069362
"Clean core, d=20",single_variable,x0,1.4110178575623042,0.0429800808491518,
"Clean core, d=20",single_variable,x1,0.2439774201023586,0.0041809575818281,
"Clean core, d=20",single_variable,x2,0.3063410248068976,0.0213961363671865,
"Clean core, d=20",single_variable,x3,0.3142239874311296,0.0191473732424984,
"Clean core, d=20",single_variable,x4,-3.3390021296024014e-07,2.93968120095131e-07,
"Clean core, d=20",single_variable,x5,1.3117642083670944e-08,4.054741551617796e-07,
"High-dimensional core, d=100",pair,"(0, 1)",0.950525999069214,0.4373189077480868,0.0623726050059
"High-dimensional core, d=100",pair,"(0, 79)",0.7422122955322266,0.4837242422771613,-0.0160453716913859
"High-dimensional core, d=100",pair,"(0, 91)",0.7662231922149658,0.5424967065895229,-0.0238384008407592
"High-dimensional core, d=100",pair,"(2, 3)",0.0162788232167561,0.008997695586954,0.0032329161961873
"High-dimensional core, d=100",single_variable,x0,0.7795625527699789,0.4928074917189888,
"High-dimensional core, d=100",single_variable,x1,0.1085908412933349,0.0146612767910584,
"High-dimensional core, d=100",single_variable,x2,0.0128216346104939,0.0139184118527727,
"High-dimensional core, d=100",single_variable,x3,0.0002242724100748,0.0241922257666967,
"High-dimensional core, d=100",single_variable,x4,-0.0272247791290283,0.0300782853038111,
"High-dimensional core, d=100",single_variable,x5,-0.004353920618693,0.0189346729183759,
"High-dimensional core, d=100",single_variable,x20,0.0063722531000773,0.01258215910566,
"High-dimensional core, d=100",single_variable,x48,-0.0072733561197916,0.0203367070768818,
"High-dimensional core, d=100",single_variable,x79,-0.0213048855463663,0.0205341960817361,
"High-dimensional core, d=100",single_variable,x91,0.0104990402857462,0.0042805381707266,
"High-dimensional core, d=100",single_variable,x97,-0.0171363751093546,0.0239727595671254,
"Correlated proxy, d=100",pair,"(0, 1)",0.0735392570495605,0.0488205821464937,-0.0240729252497355
"Correlated proxy, d=100",pair,"(0, 4)",0.228047490119934,0.0223352943506138,0.0900803009668986
"Correlated proxy, d=100",pair,"(1, 5)",-0.0075560013453165,0.0121880567920572,-0.0073834260304768
"Correlated proxy, d=100",pair,"(2, 3)",-0.0014012654622395,0.021717940235902,0.0320444504419962
"Correlated proxy, d=100",single_variable,x0,0.0971275568008422,0.0497070834480584,
"Correlated proxy, d=100",single_variable,x1,0.0004846254984537,0.0096229570671335,
"Correlated proxy, d=100",single_variable,x2,-0.0128185351689656,0.0221234205925047,
"Correlated proxy, d=100",single_variable,x3,-0.0206271807352701,0.0175345451169161,
"Correlated proxy, d=100",single_variable,x4,0.0408396323521932,0.0484333991935286,
"Correlated proxy, d=100",single_variable,x5,-0.0006572008132934,0.0310401589035745,
"Correlated proxy, d=100",single_variable,x33,0.0070025126139322,0.0118618507557963,
"Correlated proxy, d=100",single_variable,x73,0.003337025642395,0.0108515094627189,
"Correlated proxy, d=100",single_variable,x95,0.0350056091944376,0.0282372305504677,
