setting,variable,delta_mse_mean,delta_mse_std
Clean core d=20,0,1.6531067441246703,0.4105757158648236
Clean core d=20,1,0.2776778787714041,0.1250287377296698
Clean core d=20,2,0.3760769317887025,0.0825697347187651
Clean core d=20,3,0.3636697680097616,0.0842170749963825
Clean core d=20,4,7.806302771011056e-06,1.0963261608645493e-05
Clean core d=20,5,0.0080517026065839,0.0139398550216633
High-dimensional core d=100,0,0.5132634242375692,0.3353726875817211
High-dimensional core d=100,1,0.0748127698898315,0.0259641558104949
High-dimensional core d=100,2,-0.0066726207733154,0.0342541123479366
High-dimensional core d=100,3,-0.0263889829317728,0.032006781491256
High-dimensional core d=100,4,-0.0080647865931193,0.019886007569397
High-dimensional core d=100,5,-0.0130191246668497,0.0167485025611748
Correlated proxy d=100,0,0.0915558735529581,0.0203684634362362
Correlated proxy d=100,1,-0.0165828069051106,0.0132500605931453
Correlated proxy d=100,2,0.0032534996668497,0.01982047839958
Correlated proxy d=100,3,-0.0283542871475219,0.0592411328226342
Correlated proxy d=100,4,0.0715389649073282,0.0084393865158824
Correlated proxy d=100,5,-0.0169616937637329,0.0199796991919858
