model,function,seed,samples,test_samples,dimension,noise,variant,opt,steps,lamb,lr,update_grid_mode,kan_width,kan_grid,kan_k,true_variables,true_interactions,formula,status,error,explain_method,train_mse,test_mse,importance_scores,selected_variables,variable_precision,variable_recall,variable_f1,variable_auroc,variable_auprc,active_score_mean,inactive_score_mean,active_score_min,inactive_score_max,selected_interactions,interaction_precision,interaction_recall,interaction_f1
KAN_ROBUSTNESS,core_interaction,0,1024,2048,100,0.0,adam200,Adam,200,0.0,0.001,false,8,5,3,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,ok,,grad,0.07274755835533142,1.1998106241226196,"[0.47846007347106934, 0.3891572058200836, 0.23885893821716309, 0.305364727973938, 0.2102908194065094, 0.23245538771152496, 0.13432708382606506, 0.24819746613502502, 0.23429083824157715, 0.19384253025054932, 0.18346036970615387, 0.30522608757019043, 0.1829821616411209, 0.20874960720539093, 0.2203826755285263, 0.23679330945014954, 0.159911647439003, 0.18743984401226044, 0.2782468795776367, 0.20477911829948425, 0.25473350286483765, 0.17417685687541962, 0.16133557260036469, 0.1594109684228897, 0.1548105627298355, 0.21321964263916016, 0.25918078422546387, 0.28666815161705017, 0.17192807793617249, 0.170205220580101, 0.17581240832805634, 0.23647990822792053, 0.18343575298786163, 0.18503762781620026, 0.23097971081733704, 0.13262233138084412, 0.21833103895187378, 0.2044132947921753, 0.241123229265213, 0.1358056515455246, 0.10991489887237549, 0.2335861772298813, 0.2517891228199005, 0.1476244330406189, 0.16648872196674347, 0.22308196127414703, 0.21401439607143402, 0.21521688997745514, 0.1916745901107788, 0.3006155788898468, 0.2474358081817627, 0.1918688267469406, 0.25707462430000305, 0.22198040783405304, 0.22951629757881165, 0.13858744502067566, 0.27382367849349976, 0.23050342500209808, 0.23095309734344482, 0.18450544774532318, 0.19236116111278534, 0.18619957566261292, 0.25601235032081604, 0.11229836940765381, 0.20329707860946655, 0.15952497720718384, 0.21734948456287384, 0.2096814513206482, 0.219981387257576, 0.19635801017284393, 0.15308137238025665, 0.2185831367969513, 0.19329175353050232, 0.18404841423034668, 0.19453494250774384, 0.1329011768102646, 0.1814650297164917, 0.23540322482585907, 0.2607972323894501, 0.11615579575300217, 0.13802465796470642, 0.18252786993980408, 0.22813811898231506, 0.19689422845840454, 0.2409762442111969, 0.22993499040603638, 0.18555334210395813, 0.1995498389005661, 0.17826293408870697, 0.17762425541877747, 0.21575380861759186, 0.17798952758312225, 0.18723075091838837, 0.24055328965187073, 0.26987332105636597, 0.20815157890319824, 0.2527749240398407, 0.22792848944664001, 0.13532091677188873, 0.221990704536438]","[0, 1, 3, 11]",0.75,0.75,0.75,0.953125,0.7954545454545454,0.3529602289199829,0.20364294946193695,0.23885893821716309,0.30522608757019043,"[(0, 11)]",0.0,0.0,0.0
KAN_ROBUSTNESS,core_interaction,0,1024,2048,100,0.0,adam200,Adam,200,0.0,0.001,false,8,5,3,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,ok,,perm,0.07274755835533142,1.1998106241226196,"[0.11070263385772705, 0.04617290943861008, 0.019744761288166046, 0.015694957226514816, 0.00825820118188858, 0.01317652128636837, 0.009096059948205948, 0.010087525472044945, 0.007996032014489174, 0.012352106161415577, 0.010580996051430702, 0.015018979087471962, 0.006264857016503811, 0.013427482917904854, 0.009594440460205078, 0.011889219284057617, 0.007768935523927212, 0.01702030748128891, 0.01668592356145382, 0.011746707372367382, 0.011010145768523216, 0.008746219798922539, 0.009896336123347282, 0.007289336062967777, 0.009051727131009102, 0.00955323874950409, 0.007576772477477789, 0.016427895054221153, 0.012752853333950043, 0.007962871342897415, 0.007754185702651739, 0.011256061494350433, 0.019011501222848892, 0.008594360202550888, 0.010057377628982067, 0.010603221133351326, 0.007838841527700424, 0.011821217834949493, 0.011240391992032528, 0.006125326734036207, 0.008730579167604446, 0.00839341338723898, 0.009828805923461914, 0.009218648076057434, 0.011677530594170094, 0.0157490111887455, 0.011477310210466385, 0.013531590811908245, 0.013580994680523872, 0.019946737214922905, 0.016343072056770325, 0.009480026550590992, 0.02250492572784424, 0.01362538244575262, 0.015651490539312363, 0.0069687245413661, 0.017661113291978836, 0.016070328652858734, 0.018134376034140587, 0.015079116448760033, 0.023852061480283737, 0.017671454697847366, 0.0167149156332016, 0.014469391666352749, 0.008223481476306915, 0.008036771789193153, 0.014580040238797665, 0.014826053753495216, 0.013139084912836552, 0.013897955417633057, 0.008276731707155704, 0.008812256157398224, 0.009268260560929775, 0.008697074837982655, 0.009418698027729988, 0.00947180949151516, 0.005103749223053455, 0.03894505277276039, 0.008043277077376842, 0.007918208837509155, 0.007621187251061201, 0.015957524999976158, 0.025389093905687332, 0.010460296645760536, 0.009027968160808086, 0.009283376857638359, 0.012103656306862831, 0.013549011200666428, 0.009918658062815666, 0.009880703873932362, 0.010612856596708298, 0.019607096910476685, 0.01179535873234272, 0.014214474707841873, 0.013469962403178215, 0.010600276291370392, 0.020335640758275986, 0.010464153252542019, 0.012979110702872276, 0.01080232672393322]","[0, 1, 77, 82]",0.5,0.5,0.5,0.9348958333333334,0.6268115942028986,0.0480788154527545,0.012256525185269615,0.015694957226514816,0.03894505277276039,"[(0, 11)]",0.0,0.0,0.0
KAN_ROBUSTNESS,core_interaction,0,1024,2048,100,0.0,adam500,Adam,500,0.0,0.001,false,8,5,3,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,ok,,grad,0.0002909791946876794,1.295045018196106,"[0.5855579376220703, 0.46182239055633545, 0.33375194668769836, 0.4053422808647156, 0.2748400568962097, 0.2797304093837738, 0.1824294924736023, 0.3201242983341217, 0.2780861556529999, 0.30482128262519836, 0.33118265867233276, 0.3923730254173279, 0.2454361915588379, 0.25604110956192017, 0.2975319027900696, 0.2683980166912079, 0.25330063700675964, 0.2203352451324463, 0.38939961791038513, 0.24958249926567078, 0.3273804187774658, 0.2472061663866043, 0.2486153244972229, 0.20909640192985535, 0.22345030307769775, 0.2926352322101593, 0.32160115242004395, 0.34588420391082764, 0.2172776609659195, 0.21446280181407928, 0.19887632131576538, 0.34010595083236694, 0.22991086542606354, 0.2755945324897766, 0.2786245346069336, 0.21781933307647705, 0.2626860737800598, 0.2540409564971924, 0.30794352293014526, 0.20311345160007477, 0.14106735587120056, 0.2819986939430237, 0.3341968357563019, 0.23053108155727386, 0.2415248304605484, 0.2820330560207367, 0.30346444249153137, 0.2580139935016632, 0.27576279640197754, 0.3479999005794525, 0.3188820481300354, 0.24912129342556, 0.29751598834991455, 0.2712857723236084, 0.2648054361343384, 0.2123430371284485, 0.3653290271759033, 0.2787841260433197, 0.3024838864803314, 0.23850777745246887, 0.2635195255279541, 0.22132591903209686, 0.27575555443763733, 0.20162369310855865, 0.24350161850452423, 0.24117037653923035, 0.2649650573730469, 0.2545584440231323, 0.28586405515670776, 0.2512977421283722, 0.17789612710475922, 0.26683399081230164, 0.2637065649032593, 0.23148953914642334, 0.24946320056915283, 0.19356343150138855, 0.23697611689567566, 0.2864290475845337, 0.29720577597618103, 0.16986055672168732, 0.1956636607646942, 0.2336490899324417, 0.2775057554244995, 0.19847935438156128, 0.3472689688205719, 0.26893705129623413, 0.2667124271392822, 0.26408571004867554, 0.28244560956954956, 0.24176490306854248, 0.29739201068878174, 0.21872299909591675, 0.24249516427516937, 0.38768863677978516, 0.3348633050918579, 0.25453659892082214, 0.319351464509964, 0.26114487648010254, 0.18343837559223175, 0.26574546098709106]","[0, 1, 3, 11]",0.75,0.75,0.75,0.9739583333333334,0.8214285714285714,0.44661861658096313,0.2653592526912689,0.33375194668769836,0.3923730254173279,"[(0, 11)]",0.0,0.0,0.0
KAN_ROBUSTNESS,core_interaction,0,1024,2048,100,0.0,adam500,Adam,500,0.0,0.001,false,8,5,3,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,ok,,perm,0.0002909791946876794,1.295045018196106,"[0.13933882117271423, 0.06744334846735, 0.0331406369805336, 0.03333304822444916, 0.017712220549583435, 0.025314263999462128, 0.01276787556707859, 0.018062463030219078, 0.01199620496481657, 0.027903350070118904, 0.02656358852982521, 0.029608234763145447, 0.014349502511322498, 0.024503469467163086, 0.02081681787967682, 0.018471166491508484, 0.02078014239668846, 0.023385345935821533, 0.02850218489766121, 0.01705014705657959, 0.017885897308588028, 0.017805542796850204, 0.01668722927570343, 0.013825735077261925, 0.017683936282992363, 0.017467541620135307, 0.01794569194316864, 0.030211828649044037, 0.021829107776284218, 0.014062800444662571, 0.011760121211409569, 0.02111690677702427, 0.03172404319047928, 0.021465051919221878, 0.016956165432929993, 0.022647999227046967, 0.01342625543475151, 0.021889248862862587, 0.019132699817419052, 0.013353314250707626, 0.010872086510062218, 0.01288536936044693, 0.021505223587155342, 0.01769133098423481, 0.019747404381632805, 0.027792498469352722, 0.022413980215787888, 0.02114729955792427, 0.028332935646176338, 0.030989132821559906, 0.031130151823163033, 0.01695561408996582, 0.03325630724430084, 0.02163621038198471, 0.026274435222148895, 0.016996154561638832, 0.030702980235219002, 0.028897808864712715, 0.032089248299598694, 0.02809865213930607, 0.03943688049912453, 0.026609765365719795, 0.02150890603661537, 0.025177283212542534, 0.012096541933715343, 0.016581902280449867, 0.0241482462733984, 0.02493271604180336, 0.025418799370527267, 0.022566165775060654, 0.015135731548070908, 0.016317931935191154, 0.020297037437558174, 0.015929054468870163, 0.020523279905319214, 0.01738181710243225, 0.01258192490786314, 0.04768490791320801, 0.0119593171402812, 0.013761247508227825, 0.01435290090739727, 0.030641959980130196, 0.03506485000252724, 0.013907650485634804, 0.01920653134584427, 0.02174762636423111, 0.024226389825344086, 0.024430125951766968, 0.02103181928396225, 0.01703382283449173, 0.019039632752537727, 0.028816979378461838, 0.020689046010375023, 0.034303389489650726, 0.020715339109301567, 0.01872473582625389, 0.03276728838682175, 0.01839344948530197, 0.019101209938526154, 0.018590863794088364]","[0, 1, 60, 77]",0.5,0.5,0.5,0.9765625,0.7182539682539683,0.06831396371126175,0.021655354037648067,0.0331406369805336,0.04768490791320801,"[(0, 11)]",0.0,0.0,0.0
KAN_ROBUSTNESS,core_interaction,1,1024,2048,100,0.0,adam200,Adam,200,0.0,0.001,false,8,5,3,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,ok,,grad,0.06345920264720917,1.1671221256256104,"[0.46317586302757263, 0.4726419150829315, 0.21544331312179565, 0.23406821489334106, 0.18853016197681427, 0.1593688428401947, 0.18097367882728577, 0.2132311463356018, 0.23966604471206665, 0.18576429784297943, 0.17403152585029602, 0.2347119152545929, 0.21317331492900848, 0.17507147789001465, 0.23671971261501312, 0.2617667317390442, 0.1900283545255661, 0.294196754693985, 0.22720812261104584, 0.23522640764713287, 0.20214220881462097, 0.23462502658367157, 0.21723435819149017, 0.15921346843242645, 0.17046581208705902, 0.22688591480255127, 0.14199098944664001, 0.21622619032859802, 0.2228238433599472, 0.15817852318286896, 0.14954373240470886, 0.2561601400375366, 0.1738501340150833, 0.19151897728443146, 0.25285953283309937, 0.21000123023986816, 0.19522103667259216, 0.16656441986560822, 0.1976945698261261, 0.18362751603126526, 0.22832916676998138, 0.23124046623706818, 0.2004428505897522, 0.19150027632713318, 0.11419032514095306, 0.2141675502061844, 0.19797883927822113, 0.2756361961364746, 0.21580559015274048, 0.18772044777870178, 0.19850432872772217, 0.1764032542705536, 0.25919467210769653, 0.2215210497379303, 0.19790534675121307, 0.2921931743621826, 0.2608295977115631, 0.21144185960292816, 0.2134457379579544, 0.2562575042247772, 0.2737862765789032, 0.24013040959835052, 0.14811865985393524, 0.18824318051338196, 0.15501238405704498, 0.14651739597320557, 0.20461660623550415, 0.14980842173099518, 0.2251998782157898, 0.1557353138923645, 0.188228577375412, 0.25585001707077026, 0.1847180873155594, 0.35558539628982544, 0.20341426134109497, 0.27464398741722107, 0.19396407902240753, 0.11767891049385071, 0.26139745116233826, 0.28329217433929443, 0.18485869467258453, 0.27814722061157227, 0.20341603457927704, 0.274529367685318, 0.18362826108932495, 0.2444966733455658, 0.18586549162864685, 0.23054173588752747, 0.1843113750219345, 0.13912424445152283, 0.2028396874666214, 0.2714221477508545, 0.229920893907547, 0.2164337933063507, 0.24355021119117737, 0.19582712650299072, 0.12902019917964935, 0.21414054930210114, 0.22619056701660156, 0.1614709049463272]","[0, 1, 17, 73]",0.5,0.5,0.5,0.828125,0.54858934169279,0.346332311630249,0.20923835039138794,0.21544331312179565,0.35558539628982544,"[(0, 73)]",0.0,0.0,0.0
KAN_ROBUSTNESS,core_interaction,1,1024,2048,100,0.0,adam200,Adam,200,0.0,0.001,false,8,5,3,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,ok,,perm,0.06345920264720917,1.1671221256256104,"[0.08465110510587692, 0.06975771486759186, 0.015300454571843147, 0.041045695543289185, 0.007943600416183472, 0.012670987285673618, 0.007956239394843578, 0.00955873355269432, 0.01155645027756691, 0.012192904017865658, 0.012317702174186707, 0.015334238298237324, 0.0074983336962759495, 0.012186199426651001, 0.011203117668628693, 0.012112485244870186, 0.01647557131946087, 0.0108179384842515, 0.016059167683124542, 0.008247010409832, 0.016943249851465225, 0.00879555381834507, 0.011325065977871418, 0.01109217293560505, 0.007537565194070339, 0.006644691806286573, 0.00766213471069932, 0.012157462537288666, 0.022123053669929504, 0.020297078415751457, 0.010591991245746613, 0.012301054783165455, 0.009557262063026428, 0.0066916015930473804, 0.011173324659466743, 0.009344998747110367, 0.011623619124293327, 0.013790251687169075, 0.009941067546606064, 0.005937090143561363, 0.010309694334864616, 0.025161264464259148, 0.012518452480435371, 0.00841454416513443, 0.007272850722074509, 0.01017658319324255, 0.010502179153263569, 0.012095845304429531, 0.01286284439265728, 0.01216521579772234, 0.011756259948015213, 0.00744234211742878, 0.012854239903390408, 0.027245089411735535, 0.009323282167315483, 0.020188873633742332, 0.0161263570189476, 0.00734808249399066, 0.011277400888502598, 0.0194467231631279, 0.012670835480093956, 0.00886719673871994, 0.005669149104505777, 0.01002986915409565, 0.012090470641851425, 0.009114135056734085, 0.010717334225773811, 0.012625820934772491, 0.00846035499125719, 0.005248887464404106, 0.020390883088111877, 0.009214927442371845, 0.007938572205603123, 0.03230325132608414, 0.007705623749643564, 0.033803582191467285, 0.010210955515503883, 0.007711175363510847, 0.010450145229697227, 0.013864883221685886, 0.007152429781854153, 0.014537673443555832, 0.006247281096875668, 0.012100025080144405, 0.0072904969565570354, 0.017474960535764694, 0.012409722432494164, 0.010824976488947868, 0.024026090279221535, 0.007422059774398804, 0.016190577298402786, 0.015213824808597565, 0.009736461564898491, 0.010057585313916206, 0.00960184633731842, 0.011481873691082, 0.006894561927765608, 0.015171092934906483, 0.012177043594419956, 0.01073717325925827]","[0, 1, 3, 75]",0.75,0.75,0.75,0.9557291666666666,0.7976190476190477,0.05268874252215028,0.01208317608688958,0.015300454571843147,0.033803582191467285,"[(0, 73)]",0.0,0.0,0.0
KAN_ROBUSTNESS,core_interaction,1,1024,2048,100,0.0,adam500,Adam,500,0.0,0.001,false,8,5,3,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,ok,,grad,8.171603440132458e-06,1.2590699195861816,"[0.5593020915985107, 0.5261961817741394, 0.29037705063819885, 0.2822865843772888, 0.22407953441143036, 0.20660242438316345, 0.19284626841545105, 0.259145587682724, 0.2884278893470764, 0.2693708539009094, 0.24393610656261444, 0.2499360740184784, 0.2258213311433792, 0.24409225583076477, 0.31584182381629944, 0.31474757194519043, 0.24850663542747498, 0.36021941900253296, 0.29073089361190796, 0.28495994210243225, 0.22440537810325623, 0.32090631127357483, 0.2738569378852844, 0.184601292014122, 0.24685430526733398, 0.2919052541255951, 0.15269790589809418, 0.23099620640277863, 0.29720187187194824, 0.20304696261882782, 0.18143203854560852, 0.26161086559295654, 0.2030070722103119, 0.2977990508079529, 0.3071838617324829, 0.25483453273773193, 0.2526511251926422, 0.22404533624649048, 0.3031969666481018, 0.22140805423259735, 0.30816349387168884, 0.24237953126430511, 0.2320242077112198, 0.24878950417041779, 0.16935183107852936, 0.2481611967086792, 0.2534501552581787, 0.3397233188152313, 0.2603733241558075, 0.2311117798089981, 0.26025351881980896, 0.19715726375579834, 0.3353416621685028, 0.25355544686317444, 0.2797855734825134, 0.3796371519565582, 0.3180539906024933, 0.2665001451969147, 0.24407947063446045, 0.3583761155605316, 0.32479652762413025, 0.31118813157081604, 0.21731264889240265, 0.24522070586681366, 0.19647471606731415, 0.20837903022766113, 0.3038177788257599, 0.23278579115867615, 0.253217488527298, 0.20703935623168945, 0.23132780194282532, 0.31455421447753906, 0.2227959930896759, 0.45341551303863525, 0.24327482283115387, 0.27327847480773926, 0.2775234580039978, 0.16504280269145966, 0.2914491593837738, 0.3725627660751343, 0.18297404050827026, 0.3207954466342926, 0.26889246702194214, 0.312459796667099, 0.22710661590099335, 0.30518731474876404, 0.29016292095184326, 0.28244781494140625, 0.1934661567211151, 0.21907579898834229, 0.232905775308609, 0.2973410487174988, 0.2618260979652405, 0.28722232580184937, 0.3021681308746338, 0.25737547874450684, 0.18816810846328735, 0.271349161863327, 0.25290679931640625, 0.24315734207630157]","[0, 1, 55, 73]",0.5,0.5,0.5,0.8411458333333333,0.5512205754141237,0.41454046964645386,0.26168355345726013,0.2822865843772888,0.45341551303863525,"[(0, 73)]",0.0,0.0,0.0
KAN_ROBUSTNESS,core_interaction,1,1024,2048,100,0.0,adam500,Adam,500,0.0,0.001,false,8,5,3,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,ok,,perm,8.171603440132458e-06,1.2590699195861816,"[0.10758260637521744, 0.0858267992734909, 0.026187987998127937, 0.053668804466724396, 0.012998387217521667, 0.019757209345698357, 0.013669386506080627, 0.018107619136571884, 0.019714608788490295, 0.021259285509586334, 0.02469620294868946, 0.026084868237376213, 0.009118988178670406, 0.022214926779270172, 0.021109772846102715, 0.02105461247265339, 0.027493134140968323, 0.01788381300866604, 0.021902602165937424, 0.013524031266570091, 0.02139436826109886, 0.01734198071062565, 0.018711254000663757, 0.02015695534646511, 0.01709633879363537, 0.015044812113046646, 0.01379469595849514, 0.014377888292074203, 0.04341566562652588, 0.02418253943324089, 0.018741609528660774, 0.01514735259115696, 0.014608150348067284, 0.014406321570277214, 0.01998330093920231, 0.0159493125975132, 0.018848244100809097, 0.02131412923336029, 0.019014952704310417, 0.012569325044751167, 0.019153766334056854, 0.02721487358212471, 0.01620299369096756, 0.016340449452400208, 0.014370574615895748, 0.017008904367685318, 0.021929100155830383, 0.020343611016869545, 0.01771198771893978, 0.020015619695186615, 0.021208975464105606, 0.014444872736930847, 0.025652967393398285, 0.03949867933988571, 0.019822269678115845, 0.0367729589343071, 0.02581465244293213, 0.009401208721101284, 0.01629079133272171, 0.03424692898988724, 0.017436783760786057, 0.01659516617655754, 0.010339813306927681, 0.018335772678256035, 0.018061211332678795, 0.01878797449171543, 0.020617300644516945, 0.02387535572052002, 0.013654086738824844, 0.010697615332901478, 0.02893753908574581, 0.01662641018629074, 0.014720635488629341, 0.0488692969083786, 0.013431291095912457, 0.034122101962566376, 0.019806187599897385, 0.013581246137619019, 0.015466376207768917, 0.024226797744631767, 0.012116903439164162, 0.023228440433740616, 0.012902284041047096, 0.01953335478901863, 0.012863747775554657, 0.026106908917427063, 0.024335628375411034, 0.02152807079255581, 0.025193843990564346, 0.01380885113030672, 0.021575510501861572, 0.023293757811188698, 0.018471596762537956, 0.016628578305244446, 0.019643492996692657, 0.020651642233133316, 0.015431961044669151, 0.027106642723083496, 0.015432204119861126, 0.021114448085427284]","[0, 1, 3, 73]",0.75,0.75,0.75,0.9739583333333334,0.8214285714285714,0.06831654952839017,0.019888454815372825,0.026187987998127937,0.0488692969083786,"[(0, 73)]",0.0,0.0,0.0
KAN_ROBUSTNESS,core_interaction,2,1024,2048,100,0.0,adam200,Adam,200,0.0,0.001,false,8,5,3,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,ok,,grad,0.058034252375364304,1.0527722835540771,"[0.5381189584732056, 0.4099036753177643, 0.2304861694574356, 0.28671252727508545, 0.29929986596107483, 0.1525958925485611, 0.18029530346393585, 0.1689542531967163, 0.1984318047761917, 0.17076376080513, 0.13729894161224365, 0.2100536972284317, 0.20350444316864014, 0.2529735863208771, 0.2407434582710266, 0.10778266191482544, 0.25299373269081116, 0.21445968747138977, 0.09770860522985458, 0.16479700803756714, 0.1729671061038971, 0.23550868034362793, 0.24042345583438873, 0.22149936854839325, 0.24842852354049683, 0.2562148869037628, 0.21280460059642792, 0.20065838098526, 0.27899569272994995, 0.13196417689323425, 0.20879797637462616, 0.2470192015171051, 0.21255217492580414, 0.11725709587335587, 0.1702582687139511, 0.21465076506137848, 0.16727186739444733, 0.22817493975162506, 0.2419399917125702, 0.24049977958202362, 0.31637609004974365, 0.2057642638683319, 0.14636418223381042, 0.18616677820682526, 0.14877210557460785, 0.1912297010421753, 0.25940197706222534, 0.20401719212532043, 0.1441556066274643, 0.1770504266023636, 0.3090481162071228, 0.2017722725868225, 0.22039717435836792, 0.19045159220695496, 0.17310574650764465, 0.1642414629459381, 0.1712445467710495, 0.1683966964483261, 0.20392881333827972, 0.2239905297756195, 0.16194462776184082, 0.22805258631706238, 0.2697650194168091, 0.21293607354164124, 0.26308414340019226, 0.21634012460708618, 0.21493075788021088, 0.17553210258483887, 0.2727772295475006, 0.2237616628408432, 0.20405764877796173, 0.16275347769260406, 0.22463060915470123, 0.23422425985336304, 0.2482280284166336, 0.15975648164749146, 0.26993170380592346, 0.20719587802886963, 0.16975659132003784, 0.18544605374336243, 0.1841532588005066, 0.1990879625082016, 0.1528785228729248, 0.16330870985984802, 0.1725545972585678, 0.21947968006134033, 0.14576135575771332, 0.24183697998523712, 0.12598928809165955, 0.21270716190338135, 0.19579219818115234, 0.13201011717319489, 0.19429682195186615, 0.19212256371974945, 0.22313077747821808, 0.2714586853981018, 0.1963433474302292, 0.18381662666797638, 0.22429589927196503, 0.24727393686771393]","[0, 1, 40, 50]",0.5,0.5,0.5,0.9296875,0.6607142857142857,0.36630532145500183,0.20301897823810577,0.2304861694574356,0.31637609004974365,"[(13, 50)]",0.0,0.0,0.0
KAN_ROBUSTNESS,core_interaction,2,1024,2048,100,0.0,adam200,Adam,200,0.0,0.001,false,8,5,3,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,ok,,perm,0.058034252375364304,1.0527722835540771,"[0.14272060990333557, 0.05004161596298218, 0.014815419912338257, 0.022412404417991638, 0.011272430419921875, 0.00875394232571125, 0.010729150846600533, 0.011353631503880024, 0.008308682590723038, 0.008887011557817459, 0.012098426930606365, 0.010045362636446953, 0.014507833868265152, 0.018032589927315712, 0.014074238017201424, 0.007245846092700958, 0.018509361892938614, 0.013080595061182976, 0.005556452088057995, 0.009413862600922585, 0.0066408440470695496, 0.011089369654655457, 0.01208362728357315, 0.014487601816654205, 0.008788663893938065, 0.008514661341905594, 0.01003582775592804, 0.017611006274819374, 0.01050197146832943, 0.007392123341560364, 0.008680125698447227, 0.013597622513771057, 0.02185942605137825, 0.00897316262125969, 0.003989038988947868, 0.011296380311250687, 0.006393134593963623, 0.009971525520086288, 0.019197193905711174, 0.00807645171880722, 0.019529327750205994, 0.007975548505783081, 0.009131046012043953, 0.016027133911848068, 0.0034970236010849476, 0.011805661022663116, 0.013689392246305943, 0.006821844261139631, 0.011148719117045403, 0.00973055325448513, 0.01243186928331852, 0.01564023084938526, 0.008843138813972473, 0.012313362210988998, 0.010291717015206814, 0.0061051929369568825, 0.007254354655742645, 0.009195704013109207, 0.009374714456498623, 0.010089557617902756, 0.008977117016911507, 0.010552266612648964, 0.018758855760097504, 0.010799231007695198, 0.01601133868098259, 0.012082070112228394, 0.012838422320783138, 0.008764585480093956, 0.017679927870631218, 0.011171617545187473, 0.010090597905218601, 0.007362524978816509, 0.012081434950232506, 0.012776019051671028, 0.010109897702932358, 0.01580677554011345, 0.022133182734251022, 0.008507478050887585, 0.006514559034258127, 0.008506294339895248, 0.008270841091871262, 0.008087662979960442, 0.008620664477348328, 0.008229101076722145, 0.004868891555815935, 0.012352658435702324, 0.016510192304849625, 0.01764512248337269, 0.012345070950686932, 0.011366289108991623, 0.013136417604982853, 0.00794469378888607, 0.011784931644797325, 0.009111660532653332, 0.011415792629122734, 0.009696988388895988, 0.008628064766526222, 0.012561677955091, 0.014800776727497578, 0.011688017286360264]","[0, 1, 3, 76]",0.75,0.75,0.75,0.9609375,0.8026315789473684,0.05749751254916191,0.011172239387330288,0.014815419912338257,0.022133182734251022,"[(13, 50)]",0.0,0.0,0.0
