function,dimension,noise,variant,opt,steps,lamb,update_grid_mode,explain_method,train_mse_mean,train_mse_std,train_mse_min,train_mse_max,test_mse_mean,test_mse_std,test_mse_min,test_mse_max,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,num_runs,num_failed
core_interaction,100,0.0,default,LBFGS,50,0.0,default,grad,3.2070996321594453e-10,2.20679605975477e-10,8.957672104070724e-11,5.291881377544883e-10,1.5020308097203572,0.7857522510446642,0.8352742195129395,2.36830997467041,0.4166666666666667,0.14433756729740643,0.7838541666666666,0.1424219678528679,0.5110500201073972,0.12521103064822556,0.0,0.0,3,0
core_interaction,100,0.0,default,LBFGS,50,0.0,default,perm,3.2070996321594453e-10,2.20679605975477e-10,8.957672104070724e-11,5.291881377544883e-10,1.5020308097203572,0.7857522510446642,0.8352742195129395,2.36830997467041,0.3333333333333333,0.14433756729740643,0.7395833333333334,0.09507883470587859,0.4073169687590645,0.1088122467501362,0.0,0.0,3,0
core_interaction,100,0.0,lbfgs100,LBFGS,100,0.0,default,grad,1.0033262830942923e-12,8.077376668598733e-13,4.461797955841035e-13,1.929688830601406e-12,1.4413900971412659,0.8855086335476864,0.8763936161994934,2.461932897567749,0.4166666666666667,0.14433756729740643,0.7586805555555557,0.09252429845396368,0.46331680308498885,0.08345482862562846,0.0,0.0,3,0
core_interaction,100,0.0,lbfgs100,LBFGS,100,0.0,default,perm,1.0033262830942923e-12,8.077376668598733e-13,4.461797955841035e-13,1.929688830601406e-12,1.4413900971412659,0.8855086335476864,0.8763936161994934,2.461932897567749,0.3333333333333333,0.14433756729740643,0.7352430555555555,0.06635942657505686,0.39461092556680794,0.12416914341981793,0.0,0.0,3,0
core_interaction,100,0.0,lbfgs200,LBFGS,200,0.0,default,grad,3.119388319698657e-12,3.6149366334745946e-12,8.271659182254587e-13,7.286601010070282e-12,1.5949369271596272,0.8740700468850371,1.0180683135986328,2.6005988121032715,0.4166666666666667,0.14433756729740643,0.7439236111111112,0.11991426395650964,0.4907688254727729,0.10211689631474336,0.0,0.0,3,0
core_interaction,100,0.0,lbfgs200,LBFGS,200,0.0,default,perm,3.119388319698657e-12,3.6149366334745946e-12,8.271659182254587e-13,7.286601010070282e-12,1.5949369271596272,0.8740700468850371,1.0180683135986328,2.6005988121032715,0.3333333333333333,0.14433756729740643,0.7404513888888888,0.04437283999698629,0.40853109669956167,0.10833304110823909,0.0,0.0,3,0
core_interaction,100,0.0,lbfgs_nogrid100,LBFGS,100,0.0,false,grad,4.624216229838959e-13,1.688381937283565e-13,3.0385551930481314e-13,6.399336355961127e-13,0.46305081248283386,0.037051141442573245,0.42690950632095337,0.5009492635726929,0.6666666666666666,0.14433756729740643,0.9366319444444445,0.09186226369896472,0.7771329365079365,0.186940321944535,0.0,0.0,3,0
core_interaction,100,0.0,lbfgs_nogrid100,LBFGS,100,0.0,false,perm,4.624216229838959e-13,1.688381937283565e-13,3.0385551930481314e-13,6.399336355961127e-13,0.46305081248283386,0.037051141442573245,0.42690950632095337,0.5009492635726929,0.6666666666666666,0.14433756729740643,0.9210069444444445,0.11262330883652391,0.7728505291005291,0.20578468293858115,0.0,0.0,3,0
core_interaction,100,0.0,lbfgs_nogrid200,LBFGS,200,0.0,false,grad,4.5206011966188636e-13,2.0481843171621655e-13,2.516688571950476e-13,6.610357877398498e-13,0.46740878621737164,0.03454167296866662,0.4363330602645874,0.5045996308326721,0.6666666666666666,0.14433756729740643,0.9348958333333334,0.09486461250045304,0.7747740563530038,0.19096193591024066,0.0,0.0,3,0
core_interaction,100,0.0,lbfgs_nogrid200,LBFGS,200,0.0,false,perm,4.5206011966188636e-13,2.0481843171621655e-13,2.516688571950476e-13,6.610357877398498e-13,0.46740878621737164,0.03454167296866662,0.4363330602645874,0.5045996308326721,0.6666666666666666,0.14433756729740643,0.9140625,0.12459243451985087,0.7706043956043956,0.20948392173280841,0.0,0.0,3,0
