setting,method,variable_f1,interaction_f1
core d=100,Raw KAN,0.425,0.0
core d=100,Stability-selected,0.5,0.0
core d=100,RF-screened M=10,1.0,1.0
core d=100,RF-screened M=20,1.0,1.0
core c=5 d=100,Raw KAN,0.35,0.0
core c=5 d=100,Stability-selected,0.75,0.0
core c=5 d=100,RF-screened M=10,1.0,1.0
core c=5 d=100,RF-screened M=20,1.0,1.0
proxy d=100,Raw KAN,0.325,
proxy d=100,Stability-selected,0.5,
proxy d=100,RF-screened M=10,1.0,0.3333333333333333
proxy d=100,RF-screened M=20,0.5833333333333334,0.3333333333333333
