nohup: 忽略输入
/home/perzival/anaconda3/envs/prism/lib/python3.10/site-packages/torch/cuda/__init__.py:180: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at /pytorch/c10/cuda/CUDAFunctions.cpp:119.)
  return torch._C._cuda_getDeviceCount() > 0
Using device=cpu
[TUNE] function=core_interaction screen=rf seed=4 trial=0/47 params={'hidden': 256, 'depth': 4, 'activation': 'silu', 'lr': 1.7914823299257556e-05, 'weight_decay': 0.0, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=1/47 params={'hidden': 512, 'depth': 3, 'activation': 'softplus', 'lr': 0.0002349946928359988, 'weight_decay': 1e-06, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=2/47 params={'hidden': 512, 'depth': 2, 'activation': 'tanh', 'lr': 0.00041324246804951963, 'weight_decay': 0.0, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=3/47 params={'hidden': 256, 'depth': 4, 'activation': 'tanh', 'lr': 0.006515615594780321, 'weight_decay': 1e-06, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=4/47 params={'hidden': 128, 'depth': 2, 'activation': 'gelu', 'lr': 0.0002533452472041356, 'weight_decay': 0.0001, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=5/47 params={'hidden': 128, 'depth': 3, 'activation': 'tanh', 'lr': 0.0014731561285094583, 'weight_decay': 0.01, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=6/47 params={'hidden': 64, 'depth': 2, 'activation': 'silu', 'lr': 0.0016913174270757525, 'weight_decay': 1e-05, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=7/47 params={'hidden': 512, 'depth': 3, 'activation': 'tanh', 'lr': 0.00048091451585791014, 'weight_decay': 0.01, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=8/47 params={'hidden': 128, 'depth': 3, 'activation': 'gelu', 'lr': 0.005812568311600871, 'weight_decay': 0.0, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=9/47 params={'hidden': 256, 'depth': 3, 'activation': 'gelu', 'lr': 6.265918157676308e-05, 'weight_decay': 0.001, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=10/47 params={'hidden': 128, 'depth': 3, 'activation': 'silu', 'lr': 0.0003874098440497466, 'weight_decay': 0.01, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=11/47 params={'hidden': 128, 'depth': 4, 'activation': 'softplus', 'lr': 0.0008311192088702598, 'weight_decay': 1e-05, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=12/47 params={'hidden': 256, 'depth': 4, 'activation': 'silu', 'lr': 0.0011583143386989596, 'weight_decay': 1e-05, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=13/47 params={'hidden': 256, 'depth': 2, 'activation': 'silu', 'lr': 0.0001646713906204355, 'weight_decay': 1e-05, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=14/47 params={'hidden': 64, 'depth': 2, 'activation': 'softplus', 'lr': 0.004957841965580642, 'weight_decay': 0.0, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=15/47 params={'hidden': 128, 'depth': 3, 'activation': 'tanh', 'lr': 0.0002108886822061897, 'weight_decay': 0.01, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=16/47 params={'hidden': 256, 'depth': 4, 'activation': 'gelu', 'lr': 0.007709403417572489, 'weight_decay': 1e-06, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=17/47 params={'hidden': 512, 'depth': 4, 'activation': 'softplus', 'lr': 0.00423619314986977, 'weight_decay': 0.0001, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=18/47 params={'hidden': 512, 'depth': 2, 'activation': 'softplus', 'lr': 0.0009465721866261548, 'weight_decay': 0.001, 'dropout': 0.0}
[TUNE] function=core_interaction screen=rf seed=4 trial=19/47 params={'hidden': 512, 'depth': 4, 'activation': 'gelu', 'lr': 0.0006707653911035234, 'weight_decay': 0.0001, 'dropout': 0.0}
