function,screen_mode,seed,trial,status,error,screen_score_type,effective_dim,hidden,depth,activation,lr,weight_decay,dropout,best_val_mse,best_epoch,epochs_run,final_train_mse,final_val_mse
core_interaction,raw,0,0,ok,,none,100,256,4,silu,1.7914823299257556e-05,0.0,0.0,0.9643493890762329,191,492,0.4444049596786499,1.0295673608779907
core_interaction,raw,0,1,ok,,none,100,64,2,tanh,1.5843926038635003e-05,0.0,0.0,0.9589688777923584,984,1285,0.7329555153846741,0.9674549102783203
core_interaction,raw,0,2,ok,,none,100,64,3,silu,0.002066553240872167,1e-05,0.0,0.9405571818351746,7,308,4.196020745439455e-05,1.3837451934814453
core_interaction,raw,0,3,ok,,none,100,128,3,silu,0.002108566049574975,1e-06,0.0,0.9804337620735168,2,303,1.0886300572110486e-07,1.2780749797821045
core_interaction,raw,0,4,ok,,none,100,128,4,tanh,0.00022214759077027576,1e-06,0.0,0.9653009176254272,24,325,2.4438170237450763e-11,1.259787678718567
core_interaction,raw,0,5,ok,,none,100,256,3,silu,0.0004724929191988205,0.0001,0.0,0.9765398502349854,26,327,7.552971510449424e-05,1.211072564125061
core_interaction,raw,0,6,ok,,none,100,64,3,tanh,1.4177701805152161e-05,0.0,0.0,0.9759904146194458,1407,1500,0.6440626382827759,0.9763392806053162
core_interaction,raw,0,7,ok,,none,100,128,4,tanh,4.4301138634094854e-05,0.0001,0.0,1.002623200416565,93,394,0.20139221847057343,1.1936475038528442
core_interaction,raw,0,8,ok,,none,100,256,4,silu,0.0006219207450639635,1e-06,0.0,0.9670270681381226,5,306,2.9060458928142907e-07,1.2305320501327515
core_interaction,raw,0,9,ok,,none,100,64,3,tanh,0.0004909193748786563,0.0001,0.0,0.9822303652763367,20,321,5.328869567833294e-10,1.4314887523651123
core_interaction,raw,0,10,ok,,none,100,64,3,tanh,2.927010530212845e-05,1e-06,0.0,0.9741973280906677,305,606,0.6768072247505188,0.9890044927597046
core_interaction,raw,0,11,ok,,none,100,64,4,silu,0.00015661451307490061,0.0,0.0,1.013087272644043,44,345,0.016136910766363144,1.6293400526046753
core_interaction_c5,raw,0,0,ok,,none,100,256,4,silu,1.7914823299257556e-05,0.0,0.0,0.9975757002830505,95,396,0.6004571914672852,1.1292096376419067
core_interaction_c5,raw,0,1,ok,,none,100,64,2,silu,0.0002295359700982727,1e-05,0.0,0.9862024784088135,31,332,0.048270951956510544,1.4129184484481812
core_interaction_c5,raw,0,2,ok,,none,100,128,3,tanh,0.0022262467557912628,0.0,0.0,1.0462567806243896,2,303,4.5790722651872784e-05,1.24104642868042
core_interaction_c5,raw,0,3,ok,,none,100,128,3,silu,2.9372110213987655e-05,0.0001,0.0,0.9969596862792969,77,378,0.7126692533493042,1.0958518981933594
core_interaction_c5,raw,0,4,ok,,none,100,64,4,tanh,0.0003516389900653387,0.0001,0.0,1.0813605785369873,21,322,6.312645961514818e-10,1.5931168794631958
core_interaction_c5,raw,0,5,ok,,none,100,128,2,tanh,4.8712811263946826e-05,1e-06,0.0,1.0148730278015137,89,390,0.6797971725463867,1.1344702243804932
core_interaction_c5,raw,0,6,ok,,none,100,256,4,tanh,0.0004680013580735943,0.0,0.0,1.0189045667648315,1,302,0.0002718385658226907,1.247312068939209
core_interaction_c5,raw,0,7,ok,,none,100,256,3,tanh,0.0017956659219753705,0.0001,0.0,1.1298662424087524,9,310,0.00026679009897634387,1.2480603456497192
core_interaction_c5,raw,0,8,ok,,none,100,64,3,silu,3.21437537620875e-05,1e-05,0.0,1.0000364780426025,154,455,0.7995410561561584,1.0452579259872437
core_interaction_c5,raw,0,9,ok,,none,100,128,2,tanh,7.28438516612561e-05,0.0,0.0,1.0390275716781616,62,363,0.519594669342041,1.156166911125183
core_interaction_c5,raw,0,10,ok,,none,100,128,4,silu,3.732655895458345e-05,1e-06,0.0,0.9866545796394348,102,403,0.4091227352619171,1.1863434314727783
core_interaction_c5,raw,0,11,ok,,none,100,64,3,silu,0.0005961202478526138,0.0001,0.0,0.9760463833808899,4,305,1.6253612900030134e-09,1.4601726531982422
correlated_proxy,raw,0,0,ok,,none,100,256,4,silu,1.7914823299257556e-05,0.0,0.0,0.9198468327522278,195,496,0.43971145153045654,1.0113617181777954
