function,screen_mode,seed,trial,status,error,screen_score_type,effective_dim,hidden,depth,activation,lr,weight_decay,dropout,best_val_mse,best_epoch,epochs_run,final_train_mse,final_val_mse
core_interaction,rf,0,0,ok,,rf,20,256,4,silu,1.7914823299257556e-05,0.0,0.0,0.7425383925437927,786,1287,0.41365575790405273,0.8766329288482666
core_interaction,rf,0,1,ok,,rf,20,64,5,tanh,0.0002782663795467144,1e-06,0.0,0.8999506235122681,32,533,0.0019331667572259903,2.112349510192871
core_interaction,rf,0,2,ok,,rf,20,512,3,silu,1.7600401965768428e-05,1e-06,0.0,0.7403488755226135,694,1195,0.42532071471214294,0.8411460518836975
core_interaction,rf,0,3,ok,,rf,20,256,3,silu,0.0007157165729571984,0.0001,0.0,0.7505515217781067,44,545,0.023531312122941017,1.7248647212982178
core_interaction,rf,0,4,ok,,rf,20,128,3,tanh,1.3557187388223322e-05,0.0001,0.0,0.8649234175682068,1619,2120,0.5141081809997559,0.8774117231369019
core_interaction,rf,0,5,ok,,rf,20,64,5,gelu,0.0005279167693664737,1e-05,0.0,0.814709484577179,66,567,0.008559192530810833,2.6190950870513916
core_interaction,rf,0,6,ok,,rf,20,64,5,tanh,0.00010624684437585684,0.0,0.0,0.8560780882835388,277,778,0.0120062455534935,1.7253519296646118
core_interaction,rf,0,7,ok,,rf,20,128,3,tanh,0.002670221481988668,0.0001,0.0,0.8625613451004028,11,512,7.467200339306146e-05,1.4931223392486572
core_interaction,rf,0,8,ok,,rf,20,64,3,tanh,0.0035921029343202503,0.0001,0.0,0.8555546998977661,28,529,0.00026243587490171194,1.5365910530090332
core_interaction,rf,0,9,ok,,rf,20,512,2,gelu,0.004762312088445395,1e-06,0.0,0.7480677962303162,13,514,3.0313287879835116e-08,1.3729991912841797
core_interaction,rf,0,10,ok,,rf,20,256,4,gelu,0.0007725124057609556,0.0001,0.0,0.7881978750228882,28,529,0.0034548649564385414,1.8482469320297241
core_interaction,rf,0,11,ok,,rf,20,512,5,silu,0.00026271423156148396,1e-05,0.0,0.7616444826126099,52,553,0.23790249228477478,1.193771481513977
core_interaction,rf,0,12,ok,,rf,20,64,4,gelu,1.536639159982531e-05,1e-06,0.0,0.7711538672447205,2098,2500,0.5408186912536621,0.7883644700050354
core_interaction,rf,0,13,ok,,rf,20,64,4,gelu,0.00019988207037977,1e-06,0.0,0.8240195512771606,173,674,0.03679376095533371,1.688327431678772
core_interaction,rf,0,14,ok,,rf,20,256,2,gelu,0.007564915913062037,0.0,0.0,0.7871312499046326,8,509,4.828777568771647e-12,1.3610783815383911
core_interaction,rf,0,15,ok,,rf,20,512,3,gelu,0.0003021491808925905,0.0001,0.0,0.7677342891693115,50,551,0.016365934163331985,1.6036486625671387
core_interaction,oracle_support,0,0,ok,,forced_true_support_random_fill,20,256,4,silu,1.7914823299257556e-05,0.0,0.0,0.7828393578529358,782,1283,0.4431810677051544,0.8574973344802856
core_interaction,oracle_support,0,1,ok,,forced_true_support_random_fill,20,256,4,silu,0.00010734099635159689,1e-05,0.0,0.8178560733795166,144,645,0.15328969061374664,1.1298434734344482
core_interaction,oracle_support,0,2,ok,,forced_true_support_random_fill,20,128,3,silu,0.0059658727311056176,0.0001,0.0,0.7901306748390198,24,525,0.00011084473953815177,1.6839144229888916
core_interaction,oracle_support,0,3,ok,,forced_true_support_random_fill,20,512,3,tanh,0.0016424970748048818,0.0001,0.0,0.8839268684387207,34,535,0.010934331454336643,1.2644376754760742
core_interaction,oracle_support,0,4,ok,,forced_true_support_random_fill,20,64,3,silu,0.00362103347018083,1e-06,0.0,0.8518661260604858,22,523,0.000577810627873987,2.154278039932251
core_interaction,oracle_support,0,5,ok,,forced_true_support_random_fill,20,128,4,silu,0.007402791193801778,1e-06,0.0,0.7526164650917053,21,522,1.104820739783463e-06,1.5772172212600708
core_interaction,oracle_support,0,6,ok,,forced_true_support_random_fill,20,128,2,silu,0.0010438910412242824,1e-06,0.0,0.7906513214111328,57,558,0.00024303168174810708,1.7463823556900024
core_interaction,oracle_support,0,7,ok,,forced_true_support_random_fill,20,128,5,tanh,7.371763326557767e-05,0.0,0.0,0.8728216290473938,169,670,0.0026600020937621593,1.6473495960235596
core_interaction,oracle_support,0,8,ok,,forced_true_support_random_fill,20,64,2,tanh,0.0005480207779319944,1e-06,0.0,0.8974131345748901,169,670,0.004279565066099167,1.5973910093307495
core_interaction,oracle_support,0,9,ok,,forced_true_support_random_fill,20,64,4,silu,0.0006215416408528872,1e-05,0.0,0.8759217262268066,110,611,0.019528573378920555,2.620096445083618
core_interaction,oracle_support,0,10,ok,,forced_true_support_random_fill,20,128,2,silu,0.0003496600779027751,0.0,0.0,0.8353878855705261,148,649,0.1082100048661232,1.253921627998352
core_interaction,oracle_support,0,11,ok,,forced_true_support_random_fill,20,256,5,tanh,0.0002070713149615563,0.0,0.0,0.884404182434082,7,508,0.0002041996776824817,1.4804776906967163
core_interaction,oracle_support,0,12,ok,,forced_true_support_random_fill,20,256,2,gelu,0.006797445232868167,1e-05,0.0,0.7864463925361633,9,510,5.169944028438067e-09,1.4426710605621338
core_interaction,oracle_support,0,13,ok,,forced_true_support_random_fill,20,512,2,tanh,0.004400497503076846,0.0,0.0,0.8534890413284302,71,572,1.5185961501629208e-06,1.125074028968811
