model,function,screen_mode,dimension,samples,noise,variable_method,interaction_method,hidden,depth,activation,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,effective_dim_mean,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,true_interaction_score_mean_mean,true_interaction_score_mean_std,max_nontrue_interaction_score_mean,max_nontrue_interaction_score_std
MLP,core_interaction,exclude_interaction,100,1024,0.0,grad,fd,64,3,silu,0.9887128671010336,0.008781812352977368,1.0347657998402913,0.061028650085280134,20.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.4440104166666667,0.08344515609381316,0.05333333333333334,0.02309401076758503,0.0,0.0,0.0,0.0,0.01530327865233024,0.0021097143603246004
MLP,core_interaction,oracle_support,100,1024,0.0,grad,fd,64,3,silu,0.6056310931841532,0.13861934626783334,0.8773203293482462,0.049629865469820685,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.765181968609492,0.5769294965286156,0.214352418979009,0.07009381400057459
MLP,core_interaction,random,100,1024,0.0,grad,fd,64,3,silu,0.9888833165168762,0.007036764494863004,1.035787582397461,0.0612488014426963,20.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.16666666666666666,0.14433756729740646,0.5833333333333334,0.09622210826480371,0.1707638888888889,0.16169355625459927,0.0,0.0,0.0,0.0,0.014737597356239954,0.0022954185418838867
MLP,core_interaction,raw,100,1024,0.0,grad,fd,64,3,silu,0.810478130976359,0.1859557704019131,1.0445820490519206,0.11495516482634224,100.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.5746527777777778,0.019195611447479173,0.30071168023688793,0.013558323700973807,0.3333333333333333,0.5773502691896258,0.023684988263994455,0.03536755304326423,0.023889491334557533,0.023549457040139853
MLP,core_interaction,rf,100,1024,0.0,grad,fd,64,3,silu,0.4889216919740041,0.02098748299516858,0.832452138264974,0.03374004922066585,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.1534740527470906,0.10471056863246121,0.27254534761110943,0.04263610843497794
MLP,core_interaction_c5,exclude_interaction,100,1024,0.0,grad,fd,64,3,silu,0.9966623584429423,0.006396820193643971,1.0280568599700928,0.06444621857090974,20.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.14433756729740646,0.4466145833333333,0.0879557050718571,0.07833333333333332,0.06639528095680697,0.0,0.0,0.0,0.0,0.014363128071029982,0.0033314910862782573
MLP,core_interaction_c5,oracle_support,100,1024,0.0,grad,fd,64,3,silu,0.110319751004378,0.010465876775299233,0.18988864123821259,0.015397028640042654,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.5923142433166504,0.05440270828722144,0.1370383029182752,0.024309157696014033
MLP,core_interaction_c5,random,100,1024,0.0,grad,fd,64,3,silu,0.9949016571044922,0.0007924130841081199,1.027456025282542,0.0657484912446153,20.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.08333333333333333,0.14433756729740646,0.568576388888889,0.10544731435118349,0.10583333333333333,0.10610856599623697,0.0,0.0,0.0,0.0,0.015213639164964357,0.0027291929009310312
MLP,core_interaction_c5,raw,100,1024,0.0,grad,fd,64,3,silu,0.9426524043083191,0.05527407479140006,1.035710632801056,0.08656976563910654,100.0,1.0,1.0,1.0,1.0,1.0,0.08333333333333333,0.14433756729740646,0.5477430555555555,0.14125853946245095,0.13748834671668322,0.1480099979236009,0.3333333333333333,0.5773502691896258,0.005641874546806018,0.00625108535131412,0.009355135262012482,0.002984954232386558
MLP,core_interaction_c5,rf,100,1024,0.0,grad,fd,64,3,silu,0.10872450470924377,0.009937199907733613,0.1817950705687205,0.01709783943675104,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.598036766052246,0.039533333930339906,0.14254939556121826,0.002504490479300866
