function,screen_mode,seed,trial,status,error,screen_score_type,effective_dim,hidden,depth,activation,lr,weight_decay,dropout,best_val_mse,best_epoch,epochs_run,final_train_mse,final_val_mse
core_interaction,rf,4,0,ok,,rf,20,256,4,silu,1.7914823299257556e-05,0.0,0.0,0.8233674764633179,903,1604,0.42245811223983765,0.8862065076828003
core_interaction,rf,4,1,ok,,rf,20,512,3,softplus,0.0002349946928359988,1e-06,0.0,0.8272418975830078,725,1426,0.45692095160484314,0.8730285167694092
core_interaction,rf,4,2,ok,,rf,20,512,2,tanh,0.00041324246804951963,0.0,0.0,0.8993185758590698,136,837,5.13333861817955e-06,1.2241065502166748
core_interaction,rf,4,3,ok,,rf,20,256,4,tanh,0.006515615594780321,1e-06,0.0,0.927794873714447,23,724,2.0380488543005927e-14,1.447163701057434
core_interaction,rf,4,4,ok,,rf,20,128,2,gelu,0.0002533452472041356,0.0001,0.0,0.8381294012069702,204,905,0.010387245565652847,1.7214686870574951
core_interaction,rf,4,5,ok,,rf,20,128,3,tanh,0.0014731561285094583,0.01,0.0,0.8927345275878906,50,751,0.0001733145909383893,1.3012951612472534
core_interaction,rf,4,6,ok,,rf,20,64,2,silu,0.0016913174270757525,1e-05,0.0,0.8023061752319336,82,783,0.0004614513018168509,1.817230224609375
core_interaction,rf,4,7,ok,,rf,20,512,3,tanh,0.00048091451585791014,0.01,0.0,0.903311014175415,24,725,0.0003152936405967921,1.4549334049224854
core_interaction,rf,4,8,ok,,rf,20,128,3,gelu,0.005812568311600871,0.0,0.0,0.8115336894989014,23,724,8.094719827159841e-14,1.3506314754486084
core_interaction,rf,4,9,ok,,rf,20,256,3,gelu,6.265918157676308e-05,0.001,0.0,0.8155266046524048,317,1018,0.08604564517736435,1.349945306777954
core_interaction,rf,4,10,ok,,rf,20,128,3,silu,0.0003874098440497466,0.01,0.0,0.8118364810943604,120,821,0.0060097225941717625,2.039233446121216
core_interaction,rf,4,11,ok,,rf,20,128,4,softplus,0.0008311192088702598,1e-05,0.0,0.8317728638648987,286,987,0.3795003294944763,0.8787264227867126
core_interaction,rf,4,12,ok,,rf,20,256,4,silu,0.0011583143386989596,1e-05,0.0,0.7918562889099121,32,733,0.003351611318066716,1.7866243124008179
core_interaction,rf,4,13,ok,,rf,20,256,2,silu,0.0001646713906204355,1e-05,0.0,0.7937890291213989,280,981,0.15964215993881226,1.157741665840149
core_interaction,rf,4,14,ok,,rf,20,64,2,softplus,0.004957841965580642,0.0,0.0,0.7912207841873169,139,840,0.011709343641996384,1.4477976560592651
core_interaction,rf,4,15,ok,,rf,20,128,3,tanh,0.0002108886822061897,0.01,0.0,0.9004344940185547,198,899,4.898744009551592e-06,1.3810925483703613
core_interaction,rf,4,16,ok,,rf,20,256,4,gelu,0.007709403417572489,1e-06,0.0,0.7500646710395813,24,725,3.397240103705616e-14,1.3086178302764893
core_interaction,rf,4,17,ok,,rf,20,512,4,softplus,0.00423619314986977,0.0001,0.0,0.7363801598548889,574,1275,0.29190683364868164,0.9729982614517212
core_interaction,rf,4,18,ok,,rf,20,512,2,softplus,0.0009465721866261548,0.001,0.0,0.8146186470985413,384,1085,0.23074273765087128,1.0625165700912476
core_interaction,rf,4,19,ok,,rf,20,512,4,gelu,0.0006707653911035234,0.0001,0.0,0.7805216908454895,29,730,0.0017520228866487741,1.9861663579940796
core_interaction,rf,4,20,ok,,rf,20,256,4,softplus,0.0009413626551194698,1e-05,0.0,0.8031741976737976,676,1377,0.22040581703186035,1.1041464805603027
core_interaction,rf,4,21,ok,,rf,20,64,4,gelu,3.842891495846515e-05,0.001,0.0,0.8604985475540161,637,1338,0.43616655468940735,0.9364222288131714
core_interaction,rf,4,22,ok,,rf,20,512,4,gelu,0.0007852744995050266,0.0,0.0,0.7966687679290771,26,727,0.02858150005340576,1.8945448398590088
core_interaction,rf,4,23,ok,,rf,20,256,4,gelu,0.0041220891245246655,0.01,0.0,0.7285263538360596,18,719,5.263451384962536e-06,1.5155608654022217
core_interaction,rf,4,24,ok,,rf,20,128,4,softplus,8.098322776636636e-05,1e-05,0.0,0.8413119912147522,896,1597,0.4828035235404968,0.908523440361023
core_interaction,rf,4,25,ok,,rf,20,64,4,tanh,2.2806463565571747e-05,0.0001,0.0,0.9173218607902527,322,1023,0.802599310874939,0.9317185282707214
core_interaction,rf,4,26,ok,,rf,20,512,3,gelu,2.428029526205958e-05,0.01,0.0,0.818293035030365,495,1196,0.3617473840713501,0.9285814762115479
core_interaction,rf,4,27,ok,,rf,20,128,2,gelu,0.0003682340497606203,0.0,0.0,0.8637703657150269,141,842,0.0005466052098199725,1.7258670330047607
core_interaction,rf,4,28,ok,,rf,20,64,3,tanh,0.009827127867933976,1e-06,0.0,0.9177961945533752,14,715,0.0007350950036197901,1.2380367517471313
core_interaction,rf,4,29,ok,,rf,20,64,3,softplus,0.0007258087218586972,1e-06,0.0,0.8211899995803833,318,1019,0.304166316986084,0.9960073828697205
core_interaction,rf,4,30,ok,,rf,20,512,2,silu,0.0005639856474473735,0.0001,0.0,0.8053110241889954,77,778,0.0012330322060734034,1.5553103685379028
core_interaction,rf,4,31,ok,,rf,20,64,3,tanh,0.0006563773510151774,1e-05,0.0,0.9093121290206909,66,767,3.694292900036089e-06,1.6773382425308228
core_interaction,rf,4,32,ok,,rf,20,256,2,softplus,0.00011239888969396,0.001,0.0,0.8674530982971191,1130,1831,0.4748394787311554,0.9203159213066101
