model,function,screen_mode,dimension,samples,noise,grid,k,width_hidden,lamb,steps,opt,update_grid,interaction_method,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,effective_dim_mean,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,true_interaction_score_mean_mean,true_interaction_score_mean_std,max_nontrue_interaction_score_mean,max_nontrue_interaction_score_std
KAN_tuned_fixed,feynman_coulomb,exclude_interaction,100,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,0.004269433052589496,0.00023382421138543437,7.018755594889323,1.1700035952529828,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39690721649484545,0.0,0.03,0.0,0.0,0.0,0.0,0.0,18.239341100056965,6.939227173237691
KAN_tuned_fixed,feynman_coulomb,oracle_support,100,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,0.0021281195416425667,0.0016753840259933093,0.08136564497059832,0.09514132844443902,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7777777777777777,0.3849001794597505,2.0776689317491317,0.4646705442606889,0.8328911066055298,0.7047977972821378
KAN_tuned_fixed,feynman_coulomb,random,100,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,0.004250831125924985,0.00045142901528558605,7.052322705586751,0.7975442675125959,20.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.44558991981672397,0.08432091560329583,0.032839506172839504,0.00491816895976348,0.0,0.0,0.0,0.0,18.648024876912434,1.6424035718267305
KAN_tuned_fixed,feynman_coulomb,raw,100,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,4.493889586842936e-09,5.1576972679280645e-09,3.748136361440023,0.517156058934132,100.0,1.0,1.0,1.0,1.0,1.0,0.2222222222222222,0.19245008972987526,0.7972508591065292,0.05290310762316369,0.30068958078111396,0.16495019434771976,0.1111111111111111,0.19245008972987526,0.9859198033809662,0.21714284561049899,2.7589747111002603,1.932727611420522
KAN_tuned_fixed,feynman_coulomb,rf,100,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,0.0029005940208056322,0.004438909021847163,0.6347631784544016,1.0958984357006325,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7777777777777777,0.3849001794597505,3.3925747606489396,1.7701671739395972,2.5783519906302295,4.3626910872443085
KAN_tuned_fixed,feynman_energy,exclude_interaction,100,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,0.004152725295474132,0.0005252223654924126,7.237058003743489,1.8197790447724924,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39795918367346933,0.0,0.02,0.0,0.0,0.0,0.0,0.0,15.22777016957601,2.184005346018975
KAN_tuned_fixed,feynman_energy,oracle_support,100,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,8.512461893891062e-07,5.006475267829281e-07,3.2814075818047663e-06,2.837997305362882e-06,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.059643268585205,0.08565300546243276,0.008501422901948294,0.006604870383651479
KAN_tuned_fixed,feynman_energy,random,100,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,0.003490369359496981,0.0031121383582500355,3.413534641265869,2.4017890757862976,20.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.2886751345948129,0.5497448979591837,0.21465741571734476,0.265,0.3464823227814083,0.0,0.0,0.0,0.0,13.109110355377197,1.8722945090212668
KAN_tuned_fixed,feynman_energy,raw,100,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,4.999218499908883e-07,7.034607671639282e-07,0.002556603712340196,0.0013406112583556004,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.8703564405441284,0.17597305378605474,0.06137570987145106,0.023268985185724275
KAN_tuned_fixed,feynman_energy,rf,100,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,1.392925696563907e-06,1.0506371723984336e-06,7.193133645462997e-06,5.7124311026774215e-06,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0455257892608643,0.09482215666707139,0.009324091176191965,0.008451713024931026
KAN_tuned_fixed,feynman_gravity,exclude_interaction,100,1024,0.0,5,3,8,0.0,50,LBFGS,1,fd,0.006099022924900055,0.002980570952126593,7.802469571431478,2.1293181629560283,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39690721649484545,0.0,0.03,0.0,0.0,0.0,0.0,0.0,14.554262161254883,2.9165817449113236
