model,function,seed,samples,dimension,noise,explain_method,formula,true_variables,true_interactions,importance_scores,selected_variables,variable_precision,variable_recall,variable_f1,variable_auroc,variable_auprc,active_score_mean,inactive_score_mean,active_score_min,inactive_score_max,selected_interactions,interaction_precision,interaction_recall,interaction_f1
ORACLE,core_interaction,0,2048,20,0.0,grad,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]","[4.0215630531311035, 0.9815104603767395, 0.49602705240249634, 0.4990861415863037, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,1.499546766281128,0.0,0.49602705240249634,0.0,"[(2, 3)]",1.0,1.0,1.0
ORACLE,core_interaction,0,2048,20,0.0,perm,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]","[0.9618868827819824, 0.16937875747680664, 0.21839246153831482, 0.225949227809906, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,0.39390183240175247,0.0,0.16937875747680664,0.0,"[(2, 3)]",1.0,1.0,1.0
ORACLE,core_interaction,1,2048,20,0.0,grad,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]","[3.966710090637207, 1.0222530364990234, 0.5007857084274292, 0.49898940324783325, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,1.4971846342086792,0.0,0.49898940324783325,0.0,"[(2, 3)]",1.0,1.0,1.0
ORACLE,core_interaction,1,2048,20,0.0,perm,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]","[1.0170034170150757, 0.18078026175498962, 0.22142285108566284, 0.20685748755931854, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,0.4065160043537617,0.0,0.18078026175498962,0.0,"[(2, 3)]",1.0,1.0,1.0
ORACLE,core_interaction,2,2048,20,0.0,grad,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]","[3.950284957885742, 1.010232925415039, 0.4999116063117981, 0.4927632510662079, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,1.4882981777191162,0.0,0.4927632510662079,0.0,"[(2, 3)]",1.0,1.0,1.0
ORACLE,core_interaction,2,2048,20,0.0,perm,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]","[1.0292096138000488, 0.1818387359380722, 0.21270382404327393, 0.20878742635250092, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,0.40813490003347397,0.0,0.1818387359380722,0.0,"[(2, 3)]",1.0,1.0,1.0
ORACLE,core_interaction,3,2048,20,0.0,grad,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]","[4.00623893737793, 0.9947691559791565, 0.504253625869751, 0.5030361413955688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,1.5020743608474731,0.0,0.5030361413955688,0.0,"[(2, 3)]",1.0,1.0,1.0
ORACLE,core_interaction,3,2048,20,0.0,perm,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]","[0.9857264757156372, 0.1780916005373001, 0.23301681876182556, 0.22190560400485992, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,0.4046851247549057,0.0,0.1780916005373001,0.0,"[(2, 3)]",1.0,1.0,1.0
ORACLE,core_interaction,4,2048,20,0.0,grad,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]","[4.03148078918457, 0.9964933395385742, 0.4984748363494873, 0.509544849395752, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,1.5089985132217407,0.0,0.4984748363494873,0.0,"[(2, 3)]",1.0,1.0,1.0
ORACLE,core_interaction,4,2048,20,0.0,perm,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]","[0.9872332811355591, 0.17871436476707458, 0.23225855827331543, 0.2268841564655304, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,0.4062725901603699,0.0,0.17871436476707458,0.0,"[(2, 3)]",1.0,1.0,1.0
