model,function,seed,samples,dimension,explain_method,variable_index,score,is_active
ORACLE,core_interaction,0,2048,20,grad,0,4.0215630531311035,1
ORACLE,core_interaction,0,2048,20,grad,1,0.9815104603767395,1
ORACLE,core_interaction,0,2048,20,grad,2,0.49602705240249634,1
ORACLE,core_interaction,0,2048,20,grad,3,0.4990861415863037,1
ORACLE,core_interaction,0,2048,20,grad,4,0.0,0
ORACLE,core_interaction,0,2048,20,grad,5,0.0,0
ORACLE,core_interaction,0,2048,20,grad,6,0.0,0
ORACLE,core_interaction,0,2048,20,grad,7,0.0,0
ORACLE,core_interaction,0,2048,20,grad,8,0.0,0
ORACLE,core_interaction,0,2048,20,grad,9,0.0,0
ORACLE,core_interaction,0,2048,20,grad,10,0.0,0
ORACLE,core_interaction,0,2048,20,grad,11,0.0,0
ORACLE,core_interaction,0,2048,20,grad,12,0.0,0
ORACLE,core_interaction,0,2048,20,grad,13,0.0,0
ORACLE,core_interaction,0,2048,20,grad,14,0.0,0
ORACLE,core_interaction,0,2048,20,grad,15,0.0,0
ORACLE,core_interaction,0,2048,20,grad,16,0.0,0
ORACLE,core_interaction,0,2048,20,grad,17,0.0,0
ORACLE,core_interaction,0,2048,20,grad,18,0.0,0
ORACLE,core_interaction,0,2048,20,grad,19,0.0,0
ORACLE,core_interaction,0,2048,20,perm,0,0.9618868827819824,1
ORACLE,core_interaction,0,2048,20,perm,1,0.16937875747680664,1
ORACLE,core_interaction,0,2048,20,perm,2,0.21839246153831482,1
ORACLE,core_interaction,0,2048,20,perm,3,0.225949227809906,1
ORACLE,core_interaction,0,2048,20,perm,4,0.0,0
ORACLE,core_interaction,0,2048,20,perm,5,0.0,0
ORACLE,core_interaction,0,2048,20,perm,6,0.0,0
ORACLE,core_interaction,0,2048,20,perm,7,0.0,0
ORACLE,core_interaction,0,2048,20,perm,8,0.0,0
ORACLE,core_interaction,0,2048,20,perm,9,0.0,0
ORACLE,core_interaction,0,2048,20,perm,10,0.0,0
ORACLE,core_interaction,0,2048,20,perm,11,0.0,0
ORACLE,core_interaction,0,2048,20,perm,12,0.0,0
ORACLE,core_interaction,0,2048,20,perm,13,0.0,0
ORACLE,core_interaction,0,2048,20,perm,14,0.0,0
ORACLE,core_interaction,0,2048,20,perm,15,0.0,0
ORACLE,core_interaction,0,2048,20,perm,16,0.0,0
ORACLE,core_interaction,0,2048,20,perm,17,0.0,0
ORACLE,core_interaction,0,2048,20,perm,18,0.0,0
ORACLE,core_interaction,0,2048,20,perm,19,0.0,0
ORACLE,core_interaction,1,2048,20,grad,0,3.966710090637207,1
ORACLE,core_interaction,1,2048,20,grad,1,1.0222530364990234,1
ORACLE,core_interaction,1,2048,20,grad,2,0.5007857084274292,1
ORACLE,core_interaction,1,2048,20,grad,3,0.49898940324783325,1
ORACLE,core_interaction,1,2048,20,grad,4,0.0,0
ORACLE,core_interaction,1,2048,20,grad,5,0.0,0
ORACLE,core_interaction,1,2048,20,grad,6,0.0,0
ORACLE,core_interaction,1,2048,20,grad,7,0.0,0
ORACLE,core_interaction,1,2048,20,grad,8,0.0,0
ORACLE,core_interaction,1,2048,20,grad,9,0.0,0
ORACLE,core_interaction,1,2048,20,grad,10,0.0,0
ORACLE,core_interaction,1,2048,20,grad,11,0.0,0
ORACLE,core_interaction,1,2048,20,grad,12,0.0,0
ORACLE,core_interaction,1,2048,20,grad,13,0.0,0
ORACLE,core_interaction,1,2048,20,grad,14,0.0,0
ORACLE,core_interaction,1,2048,20,grad,15,0.0,0
ORACLE,core_interaction,1,2048,20,grad,16,0.0,0
ORACLE,core_interaction,1,2048,20,grad,17,0.0,0
ORACLE,core_interaction,1,2048,20,grad,18,0.0,0
ORACLE,core_interaction,1,2048,20,grad,19,0.0,0
ORACLE,core_interaction,1,2048,20,perm,0,1.0170034170150757,1
ORACLE,core_interaction,1,2048,20,perm,1,0.18078026175498962,1
ORACLE,core_interaction,1,2048,20,perm,2,0.22142285108566284,1
ORACLE,core_interaction,1,2048,20,perm,3,0.20685748755931854,1
ORACLE,core_interaction,1,2048,20,perm,4,0.0,0
ORACLE,core_interaction,1,2048,20,perm,5,0.0,0
ORACLE,core_interaction,1,2048,20,perm,6,0.0,0
ORACLE,core_interaction,1,2048,20,perm,7,0.0,0
ORACLE,core_interaction,1,2048,20,perm,8,0.0,0
ORACLE,core_interaction,1,2048,20,perm,9,0.0,0
ORACLE,core_interaction,1,2048,20,perm,10,0.0,0
ORACLE,core_interaction,1,2048,20,perm,11,0.0,0
ORACLE,core_interaction,1,2048,20,perm,12,0.0,0
ORACLE,core_interaction,1,2048,20,perm,13,0.0,0
ORACLE,core_interaction,1,2048,20,perm,14,0.0,0
ORACLE,core_interaction,1,2048,20,perm,15,0.0,0
ORACLE,core_interaction,1,2048,20,perm,16,0.0,0
ORACLE,core_interaction,1,2048,20,perm,17,0.0,0
ORACLE,core_interaction,1,2048,20,perm,18,0.0,0
ORACLE,core_interaction,1,2048,20,perm,19,0.0,0
ORACLE,core_interaction,2,2048,20,grad,0,3.950284957885742,1
ORACLE,core_interaction,2,2048,20,grad,1,1.010232925415039,1
ORACLE,core_interaction,2,2048,20,grad,2,0.4999116063117981,1
ORACLE,core_interaction,2,2048,20,grad,3,0.4927632510662079,1
ORACLE,core_interaction,2,2048,20,grad,4,0.0,0
ORACLE,core_interaction,2,2048,20,grad,5,0.0,0
ORACLE,core_interaction,2,2048,20,grad,6,0.0,0
ORACLE,core_interaction,2,2048,20,grad,7,0.0,0
ORACLE,core_interaction,2,2048,20,grad,8,0.0,0
ORACLE,core_interaction,2,2048,20,grad,9,0.0,0
ORACLE,core_interaction,2,2048,20,grad,10,0.0,0
ORACLE,core_interaction,2,2048,20,grad,11,0.0,0
ORACLE,core_interaction,2,2048,20,grad,12,0.0,0
ORACLE,core_interaction,2,2048,20,grad,13,0.0,0
ORACLE,core_interaction,2,2048,20,grad,14,0.0,0
ORACLE,core_interaction,2,2048,20,grad,15,0.0,0
ORACLE,core_interaction,2,2048,20,grad,16,0.0,0
ORACLE,core_interaction,2,2048,20,grad,17,0.0,0
ORACLE,core_interaction,2,2048,20,grad,18,0.0,0
ORACLE,core_interaction,2,2048,20,grad,19,0.0,0
ORACLE,core_interaction,2,2048,20,perm,0,1.0292096138000488,1
ORACLE,core_interaction,2,2048,20,perm,1,0.1818387359380722,1
ORACLE,core_interaction,2,2048,20,perm,2,0.21270382404327393,1
ORACLE,core_interaction,2,2048,20,perm,3,0.20878742635250092,1
ORACLE,core_interaction,2,2048,20,perm,4,0.0,0
ORACLE,core_interaction,2,2048,20,perm,5,0.0,0
ORACLE,core_interaction,2,2048,20,perm,6,0.0,0
ORACLE,core_interaction,2,2048,20,perm,7,0.0,0
ORACLE,core_interaction,2,2048,20,perm,8,0.0,0
ORACLE,core_interaction,2,2048,20,perm,9,0.0,0
ORACLE,core_interaction,2,2048,20,perm,10,0.0,0
ORACLE,core_interaction,2,2048,20,perm,11,0.0,0
ORACLE,core_interaction,2,2048,20,perm,12,0.0,0
ORACLE,core_interaction,2,2048,20,perm,13,0.0,0
ORACLE,core_interaction,2,2048,20,perm,14,0.0,0
ORACLE,core_interaction,2,2048,20,perm,15,0.0,0
ORACLE,core_interaction,2,2048,20,perm,16,0.0,0
ORACLE,core_interaction,2,2048,20,perm,17,0.0,0
ORACLE,core_interaction,2,2048,20,perm,18,0.0,0
ORACLE,core_interaction,2,2048,20,perm,19,0.0,0
ORACLE,core_interaction,3,2048,20,grad,0,4.00623893737793,1
ORACLE,core_interaction,3,2048,20,grad,1,0.9947691559791565,1
ORACLE,core_interaction,3,2048,20,grad,2,0.504253625869751,1
ORACLE,core_interaction,3,2048,20,grad,3,0.5030361413955688,1
ORACLE,core_interaction,3,2048,20,grad,4,0.0,0
ORACLE,core_interaction,3,2048,20,grad,5,0.0,0
ORACLE,core_interaction,3,2048,20,grad,6,0.0,0
ORACLE,core_interaction,3,2048,20,grad,7,0.0,0
ORACLE,core_interaction,3,2048,20,grad,8,0.0,0
ORACLE,core_interaction,3,2048,20,grad,9,0.0,0
ORACLE,core_interaction,3,2048,20,grad,10,0.0,0
ORACLE,core_interaction,3,2048,20,grad,11,0.0,0
ORACLE,core_interaction,3,2048,20,grad,12,0.0,0
ORACLE,core_interaction,3,2048,20,grad,13,0.0,0
ORACLE,core_interaction,3,2048,20,grad,14,0.0,0
ORACLE,core_interaction,3,2048,20,grad,15,0.0,0
ORACLE,core_interaction,3,2048,20,grad,16,0.0,0
ORACLE,core_interaction,3,2048,20,grad,17,0.0,0
ORACLE,core_interaction,3,2048,20,grad,18,0.0,0
ORACLE,core_interaction,3,2048,20,grad,19,0.0,0
ORACLE,core_interaction,3,2048,20,perm,0,0.9857264757156372,1
ORACLE,core_interaction,3,2048,20,perm,1,0.1780916005373001,1
ORACLE,core_interaction,3,2048,20,perm,2,0.23301681876182556,1
ORACLE,core_interaction,3,2048,20,perm,3,0.22190560400485992,1
ORACLE,core_interaction,3,2048,20,perm,4,0.0,0
ORACLE,core_interaction,3,2048,20,perm,5,0.0,0
ORACLE,core_interaction,3,2048,20,perm,6,0.0,0
ORACLE,core_interaction,3,2048,20,perm,7,0.0,0
ORACLE,core_interaction,3,2048,20,perm,8,0.0,0
ORACLE,core_interaction,3,2048,20,perm,9,0.0,0
ORACLE,core_interaction,3,2048,20,perm,10,0.0,0
ORACLE,core_interaction,3,2048,20,perm,11,0.0,0
ORACLE,core_interaction,3,2048,20,perm,12,0.0,0
ORACLE,core_interaction,3,2048,20,perm,13,0.0,0
ORACLE,core_interaction,3,2048,20,perm,14,0.0,0
ORACLE,core_interaction,3,2048,20,perm,15,0.0,0
ORACLE,core_interaction,3,2048,20,perm,16,0.0,0
ORACLE,core_interaction,3,2048,20,perm,17,0.0,0
ORACLE,core_interaction,3,2048,20,perm,18,0.0,0
ORACLE,core_interaction,3,2048,20,perm,19,0.0,0
ORACLE,core_interaction,4,2048,20,grad,0,4.03148078918457,1
ORACLE,core_interaction,4,2048,20,grad,1,0.9964933395385742,1
ORACLE,core_interaction,4,2048,20,grad,2,0.4984748363494873,1
ORACLE,core_interaction,4,2048,20,grad,3,0.509544849395752,1
ORACLE,core_interaction,4,2048,20,grad,4,0.0,0
ORACLE,core_interaction,4,2048,20,grad,5,0.0,0
ORACLE,core_interaction,4,2048,20,grad,6,0.0,0
ORACLE,core_interaction,4,2048,20,grad,7,0.0,0
ORACLE,core_interaction,4,2048,20,grad,8,0.0,0
ORACLE,core_interaction,4,2048,20,grad,9,0.0,0
ORACLE,core_interaction,4,2048,20,grad,10,0.0,0
ORACLE,core_interaction,4,2048,20,grad,11,0.0,0
ORACLE,core_interaction,4,2048,20,grad,12,0.0,0
ORACLE,core_interaction,4,2048,20,grad,13,0.0,0
ORACLE,core_interaction,4,2048,20,grad,14,0.0,0
