model_family,function,screen_mode,dimension,samples,test_mse,variable_f1,screen_endpoint_recall,explain_endpoint_recall,interaction_f1,source_file
KAN tuned fixed,core_interaction_c1,raw,100,1024,0.063693941652309,0.925,1.0,0.85,0.8,results/hard_regime/summaries/core_interaction_c1_n1024_d100_summary.csv
KAN tuned fixed,core_interaction_c1,rf,100,1024,0.000333972518274,1.0,1.0,1.0,1.0,results/hard_regime/summaries/core_interaction_c1_n1024_d100_summary.csv
KAN tuned fixed,core_interaction_c1,oracle_support,100,1024,0.000287932732317,1.0,1.0,1.0,1.0,results/hard_regime/summaries/core_interaction_c1_n1024_d100_summary.csv
KAN tuned fixed,core_interaction_c1,random,100,1024,1.5270348131656646,0.05,0.0,0.0,0.0,results/hard_regime/summaries/core_interaction_c1_n1024_d100_summary.csv
KAN tuned fixed,core_interaction_c1,exclude_interaction,100,1024,1.607996654510498,0.05,0.0,0.0,0.0,results/hard_regime/summaries/core_interaction_c1_n1024_d100_summary.csv
MLP early stopped,core_interaction,raw,100,1024,1.0445820490519206,0.25,1.0,,0.3333333333333333,results/mlp_tuning/mlp_screened_summary.csv
MLP early stopped,core_interaction,rf,100,1024,0.832452138264974,1.0,1.0,,1.0,results/mlp_tuning/mlp_screened_summary.csv
MLP early stopped,core_interaction,oracle_support,100,1024,0.8773203293482462,1.0,1.0,,1.0,results/mlp_tuning/mlp_screened_summary.csv
MLP early stopped,core_interaction,random,100,1024,1.035787582397461,0.1666666666666666,0.5,,0.0,results/mlp_tuning/mlp_screened_summary.csv
MLP early stopped,core_interaction,exclude_interaction,100,1024,1.0347657998402913,0.0,0.0,,0.0,results/mlp_tuning/mlp_screened_summary.csv
