function,dimension,noise,row_type,target,variable,hidden,pair,is_true_active,is_true_interaction,baseline_mse_mean,baseline_mse_std,baseline_mse_min,baseline_mse_max,ablated_mse_mean,ablated_mse_std,ablated_mse_min,ablated_mse_max,delta_mse_mean,delta_mse_std,delta_mse_min,delta_mse_max,synergy_mean,synergy_std,synergy_min,synergy_max
core_interaction,100,0.0,feature_pair_path,"x0,x1",,,"(0, 1)",,0,1.4908979336420696,0.8109710244709809,0.9294686317443848,2.4206671714782715,2.067365050315857,0.4917330742565076,1.7389858961105347,2.632711410522461,0.5764671166737875,0.3196679521397404,0.21204423904418945,0.8095172643661499,-0.011609077453613281,0.041750933374811984,-0.04448819160461426,0.03536510467529297
core_interaction,100,0.0,feature_pair_path,"x0,x79",,,"(0, 79)",,0,1.4908979336420696,0.8109710244709809,0.9294686317443848,2.4206671714782715,1.9911202589670818,0.49371590992747577,1.659038782119751,2.558467388153076,0.5002223253250122,0.31753659210349666,0.1378002166748047,0.7295701503753662,-0.0002260009447733561,0.016998784225319415,-0.010545432567596436,0.0193936824798584
core_interaction,100,0.0,feature_pair_path,"x0,x91",,,"(0, 91)",,0,1.4908979336420696,0.8109710244709809,0.9294686317443848,2.4206671714782715,1.9832319815953572,0.4321454096088715,1.6928876638412476,2.479865074157715,0.4923340479532878,0.3790478649158149,0.05919790267944336,0.7634190320968628,-0.020050545533498127,0.021942014814555197,-0.04538321495056152,-0.007004857063293457
core_interaction,100,0.0,feature_pair_path,"x2,x3",,,"(2, 3)",,1,1.4908979336420696,0.8109710244709809,0.9294686317443848,2.4206671714782715,1.4664952754974365,0.8275535563252495,0.9372915029525757,2.420156240463257,-0.024402658144632976,0.04877727873929653,-0.0805199146270752,0.007822871208190918,0.008658945560455322,0.006598992088545359,0.0025481581687927246,0.015656471252441406
core_interaction,100,0.0,feature_path,x0,0,,,1,,1.4908979336420696,0.8109710244709809,0.9294686317443848,2.4206671714782715,2.0041613578796387,0.4762808008251051,1.689773678779602,2.5521411895751953,0.5132634242375692,0.3353726875817211,0.13147401809692383,0.7603050470352173,,,,
core_interaction,100,0.0,feature_path,x1,1,,,1,,1.4908979336420696,0.8109710244709809,0.9294686317443848,2.4206671714782715,1.5657107035319011,0.7850268599833857,1.0231690406799316,2.465872287750244,0.07481276988983154,0.025964155810494906,0.045205116271972656,0.09370040893554688,,,,
core_interaction,100,0.0,feature_path,x2,2,,,1,,1.4908979336420696,0.8109710244709809,0.9294686317443848,2.4206671714782715,1.4842253128687541,0.8369680428291197,0.9259496927261353,2.4465627670288086,-0.00667262077331543,0.03425411234793663,-0.04239451885223389,0.02589559555053711,,,,
core_interaction,100,0.0,feature_path,x20,20,,,0,,1.4908979336420696,0.8109710244709809,0.9294686317443848,2.4206671714782715,1.4740887482961018,0.8315822019445211,0.9488554000854492,2.432856559753418,-0.01680918534596761,0.056574688361075216,-0.08200371265411377,0.019386768341064453,,,,
core_interaction,100,0.0,feature_path,x3,3,,,1,,1.4908979336420696,0.8109710244709809,0.9294686317443848,2.4206671714782715,1.4645089507102966,0.8011199016459746,0.9382622838020325,2.386488437652588,-0.02638898293177287,0.03200678149125604,-0.053781867027282715,0.008793652057647705,,,,
core_interaction,100,0.0,feature_path,x4,4,,,0,,1.4908979336420696,0.8109710244709809,0.9294686317443848,2.4206671714782715,1.4828331470489502,0.7954485965548852,0.9208393096923828,2.3930046558380127,-0.008064786593119303,0.019886007569397013,-0.02766251564025879,0.012097477912902832,,,,
core_interaction,100,0.0,feature_path,x48,48,,,0,,1.4908979336420696,0.8109710244709809,0.9294686317443848,2.4206671714782715,1.475410242875417,0.8084804684916247,0.9084001183509827,2.401188850402832,-0.015487690766652426,0.008327167067792171,-0.0210685133934021,-0.005916237831115723,,,,
core_interaction,100,0.0,feature_path,x5,5,,,0,,1.4908979336420696,0.8109710244709809,0.9294686317443848,2.4206671714782715,1.4778788089752197,0.8240428246385553,0.917201042175293,2.4240081310272217,-0.013019124666849772,0.016748502561174813,-0.030130743980407715,0.0033409595489501953,,,,
core_interaction,100,0.0,feature_path,x79,79,,,0,,1.4908979336420696,0.8109710244709809,0.9294686317443848,2.4206671714782715,1.4780828356742859,0.8116813388732115,0.9092791676521301,2.407599687576294,-0.01281509796778361,0.007503743111337,-0.02018946409225464,-0.005188345909118652,,,,
core_interaction,100,0.0,feature_path,x91,91,,,0,,1.4908979336420696,0.8109710244709809,0.9294686317443848,2.4206671714782715,1.4900191028912861,0.788761041730969,0.9403461813926697,2.3937742710113525,-0.0008788307507832845,0.02256353261288645,-0.026892900466918945,0.01337885856628418,,,,
core_interaction,100,0.0,feature_path,x97,97,,,0,,1.4908979336420696,0.8109710244709809,0.9294686317443848,2.4206671714782715,1.4791114727656047,0.7847355324169146,0.9277119636535645,2.377530097961426,-0.011786460876464844,0.027731164918988655,-0.0431370735168457,0.009534358978271484,,,,
