function,seed,mc_rep,samples,test_samples,dimension,noise,update_grid,width_hidden,grid,lamb,steps,anova_points,anova_background,candidate_pairs,train_mse,test_mse,train_runtime_sec,score_runtime_sec,true_pair_score,max_false_pair_score,true_minus_max_false,true_pair_rank,true_pair_rank1,top_pair,top_pair_score
core_interaction_c025,0,0,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00016661148401908576,0.0002286271337652579,18.1214816570282,42.11261177062988,0.11773570906370878,0.002779623493552208,0.11495608557015657,1,1,"(2, 3)",0.11773570906370878
core_interaction_c025,0,1,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00016661148401908576,0.0002286271337652579,18.1214816570282,42.02207851409912,0.0855782707221806,0.00289990846067667,0.08267836226150393,1,1,"(2, 3)",0.0855782707221806
core_interaction_c025,0,2,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00016661148401908576,0.0002286271337652579,18.1214816570282,42.08566689491272,0.08110258495435119,0.002475366462022066,0.07862721849232912,1,1,"(2, 3)",0.08110258495435119
core_interaction_c025,0,3,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00016661148401908576,0.0002286271337652579,18.1214816570282,41.99447512626648,0.09494129195809364,0.003001956269145012,0.09193933568894863,1,1,"(2, 3)",0.09494129195809364
core_interaction_c025,0,4,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00016661148401908576,0.0002286271337652579,18.1214816570282,42.07916975021362,0.07019947841763496,0.0038065342232584953,0.06639294419437647,1,1,"(2, 3)",0.07019947841763496
core_interaction_c025,0,5,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00016661148401908576,0.0002286271337652579,18.1214816570282,42.042529821395874,0.08584682224318385,0.0027140649035573006,0.08313275733962655,1,1,"(2, 3)",0.08584682224318385
core_interaction_c025,0,6,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00016661148401908576,0.0002286271337652579,18.1214816570282,42.0627338886261,0.0888423677533865,0.0024752188473939896,0.08636714890599251,1,1,"(2, 3)",0.0888423677533865
core_interaction_c025,0,7,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00016661148401908576,0.0002286271337652579,18.1214816570282,42.034727334976196,0.07855483470484614,0.0015309015288949013,0.07702393317595124,1,1,"(2, 3)",0.07855483470484614
core_interaction_c025,0,8,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00016661148401908576,0.0002286271337652579,18.1214816570282,42.06048917770386,0.10430979635566473,0.003919812384992838,0.10038998397067189,1,1,"(2, 3)",0.10430979635566473
core_interaction_c025,0,9,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00016661148401908576,0.0002286271337652579,18.1214816570282,42.05084419250488,0.06954539101570845,0.0023393183946609497,0.0672060726210475,1,1,"(2, 3)",0.06954539101570845
