function,samples,dimension,noise,update_grid,width_hidden,seed,test_mse,rank1_mean,rank_mean,rank_std,margin_mean,margin_std,score_repeats
core_interaction_c025,768,100,0.0,0,16,0,0.001055505475960672,1.0,1.0,0.0,0.08351715030148625,0.016948176820811307,10
core_interaction_c025,768,100,0.0,0,16,1,0.0005728771793656051,1.0,1.0,0.0,0.08210247680544853,0.014485008707123466,10
core_interaction_c025,768,100,0.0,0,16,2,0.02633664757013321,0.0,533.3,242.97235782423206,-0.02708664080128074,0.007062717719531052,10
core_interaction_c025,768,100,0.0,0,16,3,0.0003527197986841202,1.0,1.0,0.0,0.08004897742066533,0.015761707283939132,10
core_interaction_c025,768,100,0.0,0,16,4,0.0004350202507339418,1.0,1.0,0.0,0.08234454269986599,0.012009648474145063,10
core_interaction_c025,768,100,0.0,0,16,5,0.0005686200456693769,1.0,1.0,0.0,0.08820063411258161,0.014928264118124297,10
core_interaction_c025,768,100,0.0,0,16,6,0.0007793466793373227,1.0,1.0,0.0,0.07427615337073804,0.011648036718267283,10
core_interaction_c025,768,100,0.0,0,16,7,0.0012592505663633347,1.0,1.0,0.0,0.06640337833669037,0.018514787302309852,10
core_interaction_c025,768,100,0.0,0,16,8,0.0008984425803646445,1.0,1.0,0.0,0.0821768956957385,0.020318915366629185,10
core_interaction_c025,768,100,0.0,0,16,9,0.0010511436266824603,1.0,1.0,0.0,0.07204361511394382,0.020710672534028463,10
core_interaction_c025,768,100,0.0,0,16,10,0.00037090887781232595,1.0,1.0,0.0,0.07708067833445967,0.009881290353033284,10
core_interaction_c025,768,100,0.0,0,16,11,0.0014763432554900646,1.0,1.0,0.0,0.06388327381573618,0.027529393249875512,10
core_interaction_c025,768,100,0.0,0,16,12,0.00047734324471093714,1.0,1.0,0.0,0.0722424692241475,0.011855534641869626,10
core_interaction_c025,768,100,0.0,0,16,13,0.0008011536556296051,1.0,1.0,0.0,0.07423034470994025,0.019659829774390136,10
core_interaction_c025,768,100,0.0,0,16,14,0.0006975653232075274,1.0,1.0,0.0,0.07146707493811846,0.01979941551294587,10
core_interaction_c025,768,100,0.0,0,16,15,0.0004344938788563013,1.0,1.0,0.0,0.08417656989768148,0.019833898352886587,10
core_interaction_c025,768,100,0.0,0,16,16,0.0007989621954038739,1.0,1.0,0.0,0.079568509478122,0.01655161864468439,10
core_interaction_c025,768,100,0.0,0,16,17,0.0010027948301285505,1.0,1.0,0.0,0.07698765670647845,0.019969293346157303,10
core_interaction_c025,768,100,0.0,0,16,18,0.0013977432390674949,1.0,1.0,0.0,0.07904681039508432,0.021967699694799264,10
core_interaction_c025,768,100,0.0,0,16,19,0.0002676995354704559,1.0,1.0,0.0,0.07760856142267585,0.010947122375023228,10
