function,seed,mc_rep,samples,test_samples,dimension,noise,update_grid,width_hidden,grid,lamb,steps,anova_points,anova_background,candidate_pairs,train_mse,test_mse,train_runtime_sec,score_runtime_sec,true_pair_score,max_false_pair_score,true_minus_max_false,true_pair_rank,true_pair_rank1,top_pair,top_pair_score
core_interaction_c025,0,0,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00023264024639502168,0.0010745471809059381,21.978357791900635,61.81536316871643,0.10889373440295458,0.004379668273031712,0.10451406612992287,1,1,"(2, 3)",0.10889373440295458
core_interaction_c025,0,1,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00023264024639502168,0.0010745471809059381,21.978357791900635,61.87024760246277,0.08238555677235126,0.0031699640676379204,0.07921559270471334,1,1,"(2, 3)",0.08238555677235126
core_interaction_c025,0,2,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00023264024639502168,0.0010745471809059381,21.978357791900635,61.8940224647522,0.07913610618561506,0.00291500985622406,0.076221096329391,1,1,"(2, 3)",0.07913610618561506
core_interaction_c025,0,3,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00023264024639502168,0.0010745471809059381,21.978357791900635,61.87898588180542,0.0867487657815218,0.0029617836698889732,0.08378698211163282,1,1,"(2, 3)",0.0867487657815218
core_interaction_c025,0,4,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00023264024639502168,0.0010745471809059381,21.978357791900635,61.85423278808594,0.06515671033412218,0.003735894337296486,0.061420815996825695,1,1,"(2, 3)",0.06515671033412218
core_interaction_c025,0,5,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00023264024639502168,0.0010745471809059381,21.978357791900635,61.874207496643066,0.08062539901584387,0.0027028676122426987,0.07792253140360117,1,1,"(2, 3)",0.08062539901584387
core_interaction_c025,0,6,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00023264024639502168,0.0010745471809059381,21.978357791900635,61.844608545303345,0.08722115959972143,0.0021734749898314476,0.08504768460988998,1,1,"(2, 3)",0.08722115959972143
core_interaction_c025,0,7,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00023264024639502168,0.0010745471809059381,21.978357791900635,61.893290519714355,0.0738179930485785,0.002517209853976965,0.07130078319460154,1,1,"(2, 3)",0.0738179930485785
core_interaction_c025,0,8,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00023264024639502168,0.0010745471809059381,21.978357791900635,61.92492437362671,0.09639375796541572,0.0040895817801356316,0.09230417618528008,1,1,"(2, 3)",0.09639375796541572
core_interaction_c025,0,9,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00023264024639502168,0.0010745471809059381,21.978357791900635,61.92385959625244,0.06256584357470274,0.0036125145852565765,0.05895332898944616,1,1,"(2, 3)",0.06256584357470274
core_interaction_c025,1,0,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.0004308809293434024,0.0376717634499073,22.49695062637329,42.4102258682251,0.0020783552899956703,0.04204166121780872,-0.03996330592781305,315,0,"(0, 1)",0.04204166121780872
core_interaction_c025,1,1,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.0004308809293434024,0.0376717634499073,22.49695062637329,42.498841285705566,0.0008431160822510719,0.03499322384595871,-0.03415010776370764,1265,0,"(0, 1)",0.03499322384595871
core_interaction_c025,1,2,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.0004308809293434024,0.0376717634499073,22.49695062637329,42.43325114250183,0.0008682496845722198,0.023372234776616096,-0.022503985092043877,1880,0,"(0, 1)",0.023372234776616096
core_interaction_c025,1,3,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.0004308809293434024,0.0376717634499073,22.49695062637329,42.44547200202942,0.0021985704079270363,0.029777168296277523,-0.027578597888350487,255,0,"(0, 1)",0.029777168296277523
core_interaction_c025,1,4,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.0004308809293434024,0.0376717634499073,22.49695062637329,42.43396329879761,0.0018470780923962593,0.046000792644917965,-0.044153714552521706,375,0,"(0, 1)",0.046000792644917965
core_interaction_c025,1,5,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.0004308809293434024,0.0376717634499073,22.49695062637329,42.41976046562195,0.0009802286513149738,0.06328177358955145,-0.062301544938236475,1448,0,"(0, 1)",0.06328177358955145
core_interaction_c025,1,6,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.0004308809293434024,0.0376717634499073,22.49695062637329,42.43647837638855,0.001060284674167633,0.03749290853738785,-0.036432623863220215,967,0,"(0, 1)",0.03749290853738785
core_interaction_c025,1,7,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.0004308809293434024,0.0376717634499073,22.49695062637329,42.41798782348633,0.0010937363840639591,0.042001697700470686,-0.04090796131640673,1045,0,"(0, 1)",0.042001697700470686
core_interaction_c025,1,8,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.0004308809293434024,0.0376717634499073,22.49695062637329,42.43367886543274,0.001122649759054184,0.040785154327750206,-0.03966250456869602,1140,0,"(0, 1)",0.040785154327750206
core_interaction_c025,1,9,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.0004308809293434024,0.0376717634499073,22.49695062637329,42.42831993103027,0.0011614486575126648,0.05156096629798412,-0.05039951764047146,1006,0,"(0, 1)",0.05156096629798412
core_interaction_c025,2,0,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00043147397809661925,0.04563979059457779,20.705326318740845,42.282050371170044,0.0011785374954342842,0.05893207620829344,-0.057753538712859154,1184,0,"(0, 1)",0.05893207620829344
core_interaction_c025,2,1,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00043147397809661925,0.04563979059457779,20.705326318740845,42.40579795837402,0.0025187311694025993,0.06418127566576004,-0.06166254449635744,156,0,"(0, 1)",0.06418127566576004
core_interaction_c025,2,2,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00043147397809661925,0.04563979059457779,20.705326318740845,42.35074520111084,0.0012845718301832676,0.09518290683627129,-0.09389833500608802,1003,0,"(0, 1)",0.09518290683627129
core_interaction_c025,2,3,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00043147397809661925,0.04563979059457779,20.705326318740845,42.35013818740845,0.0010022055357694626,0.08246124070137739,-0.08145903516560793,1638,0,"(0, 1)",0.08246124070137739
core_interaction_c025,2,4,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00043147397809661925,0.04563979059457779,20.705326318740845,42.340612173080444,0.0019074175506830215,0.07275586575269699,-0.07084844820201397,450,0,"(0, 1)",0.07275586575269699
core_interaction_c025,2,5,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00043147397809661925,0.04563979059457779,20.705326318740845,42.34760808944702,0.00195272546261549,0.08089216705411673,-0.07893944159150124,356,0,"(0, 1)",0.08089216705411673
core_interaction_c025,2,6,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00043147397809661925,0.04563979059457779,20.705326318740845,42.42697024345398,0.0014931336045265198,0.0670126099139452,-0.06551947630941868,700,0,"(0, 1)",0.0670126099139452
core_interaction_c025,2,7,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00043147397809661925,0.04563979059457779,20.705326318740845,42.34006857872009,0.0011629750952124596,0.08042251411825418,-0.07925953902304173,588,0,"(0, 1)",0.08042251411825418
core_interaction_c025,2,8,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00043147397809661925,0.04563979059457779,20.705326318740845,42.345364809036255,0.001007281243801117,0.10167948342859745,-0.10067220218479633,1007,0,"(0, 1)",0.10167948342859745
core_interaction_c025,2,9,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00043147397809661925,0.04563979059457779,20.705326318740845,42.33445453643799,0.001044943928718567,0.05178511142730713,-0.05074016749858856,1238,0,"(0, 1)",0.05178511142730713
core_interaction_c025,3,0,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.0003366745077073574,0.022106515243649483,19.26264500617981,42.665260553359985,0.0014152303338050842,0.014971379190683365,-0.01355614885687828,352,0,"(0, 1)",0.014971379190683365
core_interaction_c025,3,1,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.0003366745077073574,0.022106515243649483,19.26264500617981,42.68195581436157,0.0013212300837039948,0.013169653713703156,-0.01184842362999916,464,0,"(0, 81)",0.013169653713703156
core_interaction_c025,3,2,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.0003366745077073574,0.022106515243649483,19.26264500617981,42.68166494369507,0.001005650730803609,0.021062417654320598,-0.02005676692351699,1051,0,"(0, 1)",0.021062417654320598
core_interaction_c025,3,3,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.0003366745077073574,0.022106515243649483,19.26264500617981,42.70012426376343,0.0014301473274827003,0.01722667645663023,-0.01579652912914753,353,0,"(0, 1)",0.01722667645663023
core_interaction_c025,3,4,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.0003366745077073574,0.022106515243649483,19.26264500617981,42.7520227432251,0.002806132659316063,0.013258244842290878,-0.010452112182974815,117,0,"(0, 1)",0.013258244842290878
core_interaction_c025,3,5,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.0003366745077073574,0.022106515243649483,19.26264500617981,42.71396470069885,0.0019724667072296143,0.009520411491394043,-0.007547944784164429,187,0,"(0, 81)",0.009520411491394043
core_interaction_c025,3,6,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.0003366745077073574,0.022106515243649483,19.26264500617981,42.72702145576477,0.0015734713524580002,0.016270246356725693,-0.014696775004267693,350,0,"(0, 81)",0.016270246356725693
core_interaction_c025,3,7,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.0003366745077073574,0.022106515243649483,19.26264500617981,42.747138261795044,0.002677200362086296,0.014513486064970493,-0.011836285702884197,115,0,"(0, 1)",0.014513486064970493
core_interaction_c025,3,8,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.0003366745077073574,0.022106515243649483,19.26264500617981,42.71230983734131,0.00365174887701869,0.02102402877062559,-0.0173722798936069,59,0,"(0, 1)",0.02102402877062559
core_interaction_c025,3,9,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.0003366745077073574,0.022106515243649483,19.26264500617981,42.72529673576355,0.002096302807331085,0.01012333668768406,-0.008027033880352974,233,0,"(0, 1)",0.01012333668768406
core_interaction_c025,4,0,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00026095914654433727,0.001405077986419201,19.864030838012695,42.62227129936218,0.0981145016849041,0.014119956642389297,0.0839945450425148,1,1,"(2, 3)",0.0981145016849041
core_interaction_c025,4,1,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00026095914654433727,0.001405077986419201,19.864030838012695,42.61407804489136,0.05365573521703482,0.011300904676318169,0.04235483054071665,1,1,"(2, 3)",0.05365573521703482
core_interaction_c025,4,2,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00026095914654433727,0.001405077986419201,19.864030838012695,42.57350134849548,0.08783961436711252,0.00867343321442604,0.07916618115268648,1,1,"(2, 3)",0.08783961436711252
core_interaction_c025,4,3,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00026095914654433727,0.001405077986419201,19.864030838012695,42.604572057724,0.08938913978636265,0.012738410383462906,0.07665072940289974,1,1,"(2, 3)",0.08938913978636265
core_interaction_c025,4,4,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00026095914654433727,0.001405077986419201,19.864030838012695,42.57870578765869,0.06693239836022258,0.00901452824473381,0.05791787011548877,1,1,"(2, 3)",0.06693239836022258
core_interaction_c025,4,5,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00026095914654433727,0.001405077986419201,19.864030838012695,42.60024285316467,0.09457704843953252,0.010352430399507284,0.08422461804002523,1,1,"(2, 3)",0.09457704843953252
core_interaction_c025,4,6,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00026095914654433727,0.001405077986419201,19.864030838012695,42.65950417518616,0.10118078626692295,0.00933956727385521,0.09184121899306774,1,1,"(2, 3)",0.10118078626692295
core_interaction_c025,4,7,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00026095914654433727,0.001405077986419201,19.864030838012695,42.60703206062317,0.11055304389446974,0.007641328498721123,0.10291171539574862,1,1,"(2, 3)",0.11055304389446974
core_interaction_c025,4,8,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00026095914654433727,0.001405077986419201,19.864030838012695,42.639116048812866,0.1059169564396143,0.010788952931761742,0.09512800350785255,1,1,"(2, 3)",0.1059169564396143
core_interaction_c025,4,9,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00026095914654433727,0.001405077986419201,19.864030838012695,42.64195108413696,0.10152280516922474,0.0108718266710639,0.09065097849816084,1,1,"(2, 3)",0.10152280516922474
core_interaction_c025,5,0,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00032243860187008977,0.03126459941267967,20.29907751083374,42.43311953544617,0.00031851138919591904,0.02068136353045702,-0.0203628521412611,2809,0,"(0, 1)",0.02068136353045702
core_interaction_c025,5,1,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00032243860187008977,0.03126459941267967,20.29907751083374,42.4619996547699,0.0007846374064683914,0.04327639751136303,-0.04249176010489464,1000,0,"(0, 1)",0.04327639751136303
core_interaction_c025,5,2,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00032243860187008977,0.03126459941267967,20.29907751083374,42.471986293792725,0.0009876936674118042,0.021579950116574764,-0.02059225644916296,538,0,"(0, 1)",0.021579950116574764
core_interaction_c025,5,3,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00032243860187008977,0.03126459941267967,20.29907751083374,42.45770883560181,0.0006051999516785145,0.02306195837445557,-0.022456758422777057,1066,0,"(0, 1)",0.02306195837445557
core_interaction_c025,5,4,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00032243860187008977,0.03126459941267967,20.29907751083374,42.450573682785034,0.0008940314874053001,0.04302252735942602,-0.04212849587202072,1405,0,"(0, 1)",0.04302252735942602
core_interaction_c025,5,5,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00032243860187008977,0.03126459941267967,20.29907751083374,42.46433424949646,0.0010433318093419075,0.03770140465348959,-0.03665807284414768,694,0,"(0, 1)",0.03770140465348959
