function,samples,dimension,noise,update_grid,width_hidden,seed,test_mse,rank1_mean,rank_mean,rank_std,margin_mean,margin_std,score_repeats
core_interaction_c025,1024,100,0.1,0,16,0,0.06710073351860046,0.0,2880.5,296.24848804114873,-0.01978866325225681,0.004245644135056687,10
core_interaction_c025,1024,100,0.1,0,16,1,0.06759096682071686,0.0,9.3,10.414199707877488,-0.021646544430404903,0.009480705335378998,10
core_interaction_c025,1024,100,0.1,0,16,2,0.06188694387674332,0.0,1583.3,700.9285983607746,-0.028534621419385075,0.0071875096458224015,10
core_interaction_c025,1024,100,0.1,0,16,3,0.03636375814676285,1.0,1.0,0.0,0.05520766347181052,0.013194250585451598,10
core_interaction_c025,1024,100,0.1,0,16,4,0.07078003883361816,0.0,597.9,343.74165040364574,-0.0075553014874458315,0.0015792397885680011,10
core_interaction_c025,1024,100,0.1,0,16,5,0.07173453271389008,0.0,209.4,101.28200454396845,-0.01910225856117904,0.00497394687503705,10
core_interaction_c025,1024,100,0.1,0,16,6,0.04060489684343338,1.0,1.0,0.0,0.035758462827652694,0.0088501349313333,10
core_interaction_c025,1024,100,0.1,0,16,7,0.03475078195333481,1.0,1.0,0.0,0.05571145869325846,0.010465308027202764,10
core_interaction_c025,1024,100,0.1,0,16,8,0.038573406636714935,1.0,1.0,0.0,0.054086308996193114,0.010160301241546441,10
core_interaction_c025,1024,100,0.1,0,16,9,0.03648264333605766,1.0,1.0,0.0,0.05563344140537083,0.01189862072564645,10
core_interaction_c025,1024,100,0.1,0,16,10,0.05563445761799812,0.0,46.2,40.107632967082736,-0.01263687526807189,0.004586639600155269,10
core_interaction_c025,1024,100,0.1,0,16,11,0.06384922564029694,0.0,3354.5,810.2281228833712,-0.01574113261885941,0.0028104599837513477,10
core_interaction_c025,1024,100,0.1,0,16,12,0.07181678712368011,0.0,1088.4,481.2562726863931,-0.019841771200299264,0.0039281038029666355,10
core_interaction_c025,1024,100,0.1,0,16,13,0.037880390882492065,1.0,1.0,0.0,0.05970229792874306,0.0132658328297298,10
core_interaction_c025,1024,100,0.1,0,16,14,0.059852346777915955,1.0,1.0,0.0,0.015962686762213706,0.007471101832020518,10
core_interaction_c025,1024,100,0.1,0,16,15,0.06885392963886261,0.0,2742.2,494.20076891886765,-0.01756723471917212,0.00422126307653925,10
core_interaction_c025,1024,100,0.1,0,16,16,0.04112108796834946,1.0,1.0,0.0,0.06489341356791556,0.013802130926344386,10
core_interaction_c025,1024,100,0.1,0,16,17,0.04308082163333893,1.0,1.0,0.0,0.061049784813076255,0.010708211583464211,10
core_interaction_c025,1024,100,0.1,0,16,18,0.055171601474285126,1.0,1.0,0.0,0.05899585757870227,0.016666470585151187,10
core_interaction_c025,1024,100,0.1,0,16,19,0.03678062558174133,1.0,1.0,0.0,0.058233133982867,0.009779278272479604,10
