function,seed,samples,test_samples,dimension,noise,width_hidden,grid,k,lamb,steps,pair_mode,train_mse,test_mse,candidate_pairs,true_pair,top_pair,top_pair_score,true_pair_score,max_false_pair_score,false_pair_score_p95,false_pair_score_p99,true_minus_max_false,true_pair_rank,true_pair_beats_candidates,endpoint_rank_worst_feature,endpoint_rank_worst_hybrid,runtime_sec
core_interaction_c025,0,896,2048,100,0.0,16,5,3,0.001,75,all,0.00020071699691470712,0.0004623723798431456,4950,"(2, 3)","(2, 3)",0.06213095597922802,0.06213095597922802,0.001778407022356987,8.858740329742376e-06,0.0002598368376493441,0.06035254895687103,1,1,4,4,85.89200830459595
core_interaction_c025,1,896,2048,100,0.0,16,5,3,0.001,75,all,0.00019052835705224425,0.0004695736279245466,4950,"(2, 3)","(2, 3)",0.052157621597871184,0.052157621597871184,0.003819336649030447,7.1712769567965855e-06,0.0003071070648729731,0.04833828494884074,1,1,4,4,83.72650480270386
core_interaction_c025,2,896,2048,100,0.0,16,5,3,0.001,75,all,0.0001443875953555107,0.00029209995409473777,4950,"(2, 3)","(2, 3)",0.0588865652680397,0.0588865652680397,0.004389437846839428,8.181110024452204e-06,0.00012274451553821557,0.054497127421200275,1,1,4,4,82.62715363502502
core_interaction_c025,3,896,2048,100,0.0,16,5,3,0.001,75,all,0.0006071907700970769,0.022569477558135986,4950,"(2, 3)","(0, 1)",0.015952237881720066,4.744064062833786e-05,0.015952237881720066,0.00019353674724698067,0.0036367663741111657,-0.015904797241091728,2143,0,89,66,57.8459894657135
core_interaction_c025,4,896,2048,100,0.0,16,5,3,0.001,75,all,,,4950,"(2, 3)","(0, 1)",,,,,,,198,0,4,4,62.487940073013306
core_interaction_c025,5,896,2048,100,0.0,16,5,3,0.001,75,all,0.0006067578797228634,0.03374224156141281,4950,"(2, 3)","(0, 52)",0.015090636909008026,0.00017929775640368462,0.015090636909008026,0.0008495920337736604,0.006216087974607926,-0.014911339152604342,2812,0,90,83,59.8559250831604
core_interaction_c025,6,896,2048,100,0.0,16,5,3,0.001,75,all,0.00020864045654889196,0.00044945208355784416,4950,"(2, 3)","(2, 3)",0.08473374135792255,0.08473374135792255,0.0010667834430932999,1.0117515921592342e-05,0.000168163441121576,0.08366695791482925,1,1,4,4,59.24616622924805
core_interaction_c025,7,896,2048,100,0.0,16,5,3,0.001,75,all,0.00021670143178198487,0.0005324378143996,4950,"(2, 3)","(2, 3)",0.06782093551009893,0.06782093551009893,0.008919551968574524,2.0000338554382152e-05,0.00033055320382118164,0.05890138354152441,1,1,4,4,57.85424041748047
core_interaction_c025,8,896,2048,100,0.0,16,5,3,0.001,75,all,0.000247160904109478,0.0004988501314073801,4950,"(2, 3)","(2, 3)",0.08084532292559743,0.08084532292559743,0.0030737221240997314,3.1179096549749336e-05,0.00013957506045699113,0.0777716008014977,1,1,4,4,56.95722270011902
core_interaction_c025,9,896,2048,100,0.0,16,5,3,0.001,75,all,0.00019700669508893043,0.0003006311017088592,4950,"(2, 3)","(2, 3)",0.07653542514890432,0.07653542514890432,0.0018472876399755478,7.080286741256493e-06,9.346157312393188e-05,0.07468813750892878,1,1,4,4,82.96634364128113
core_interaction_c025,10,896,2048,100,0.0,16,5,3,0.001,75,all,0.00020054452761542052,0.0004928841954097152,4950,"(2, 3)","(2, 3)",0.07528625894337893,0.07528625894337893,0.0022096503525972366,1.9248574972152364e-05,0.00029924832284450477,0.07307660859078169,1,1,4,4,60.868741035461426
core_interaction_c025,11,896,2048,100,0.0,16,5,3,0.001,75,all,0.0001830229739425704,0.0003669533762149513,4950,"(2, 3)","(2, 3)",0.08571540703997016,0.08571540703997016,0.0010070465505123138,1.774830743670392e-05,0.00021919908002018855,0.08470836048945785,1,1,4,4,79.99639511108398
core_interaction_c025,12,896,2048,100,0.0,16,5,3,0.001,75,all,0.0001495067699579522,0.00023411805159412324,4950,"(2, 3)","(2, 3)",0.0849084546789527,0.0849084546789527,0.0008615069091320038,1.8309056758880504e-05,0.00017772179096937164,0.08404694776982069,1,1,4,4,79.86779141426086
core_interaction_c025,13,896,2048,100,0.0,16,5,3,0.001,75,all,0.00015579586033709347,0.000363641360308975,4950,"(2, 3)","(2, 3)",0.06102461740374565,0.06102461740374565,0.005756476894021034,1.6533583402633636e-05,0.00020553816109895496,0.05526814050972462,1,1,4,4,80.81760954856873
core_interaction_c025,14,896,2048,100,0.0,16,5,3,0.001,75,all,0.0004030627605970949,0.0010126763954758644,4950,"(2, 3)","(2, 3)",0.0701775811612606,0.0701775811612606,0.009974539279937744,2.341717481613158e-05,0.00028630748391151234,0.06020304188132286,1,1,4,4,82.5886721611023
core_interaction_c025,15,896,2048,100,0.0,16,5,3,0.001,75,all,0.0001763391774147749,0.0002998722775373608,4950,"(2, 3)","(2, 3)",0.09662722004577518,0.09662722004577518,0.0024352488107979298,1.7165578901767624e-05,0.00015621302649378773,0.09419197123497725,1,1,4,4,60.12056851387024
core_interaction_c025,16,896,2048,100,0.0,16,5,3,0.001,75,all,0.0005215251003392041,0.02168341353535652,4950,"(2, 3)","(0, 3)",0.011162768118083477,0.005192119628190994,0.011162768118083477,0.0015075959265232087,0.0034056580066680626,-0.005970648489892483,21,0,4,7,56.607417583465576
core_interaction_c025,17,896,2048,100,0.0,16,5,3,0.001,75,all,0.0005141188739798963,0.026643432676792145,4950,"(2, 3)","(0, 2)",0.014077585190534592,0.00028296560049057007,0.014077585190534592,0.00047353059053420867,0.004496229737997002,-0.013794619590044022,724,0,39,45,62.37080454826355
core_interaction_c025,18,896,2048,100,0.0,16,5,3,0.001,75,all,0.0008532425272278488,0.004520245362073183,4950,"(2, 3)","(2, 3)",0.13385015539824963,0.13385015539824963,0.008450508117675781,0.00010829772800207127,0.0017332050949334969,0.12539964728057384,1,1,4,4,58.27273488044739
core_interaction_c025,19,896,2048,100,0.0,16,5,3,0.001,75,all,0.0001965862902579829,0.00047090579755604267,4950,"(2, 3)","(2, 3)",0.05685344850644469,0.05685344850644469,0.002682651858776808,1.0471884161233868e-05,0.0003164002671837765,0.054170796647667885,1,1,4,4,58.80594873428345
core_interaction_c025,20,896,2048,100,0.0,16,5,3,0.001,75,all,0.0006636419566348195,0.02557884156703949,4950,"(2, 3)","(0, 1)",0.01962042972445488,5.99883496761322e-05,0.01962042972445488,0.0011249169707298254,0.004261458963155726,-0.019560441374778748,3344,0,28,17,58.5682156085968
core_interaction_c025,21,896,2048,100,0.0,16,5,3,0.001,75,all,0.00017410769942216575,0.00027272102306596935,4950,"(2, 3)","(2, 3)",0.08007611241191626,0.08007611241191626,0.0017700889147818089,5.996134132146792e-06,0.00013731949031352985,0.07830602349713445,1,1,4,4,58.04835605621338
core_interaction_c025,22,896,2048,100,0.0,16,5,3,0.001,75,all,0.0013039476471021771,0.02584606409072876,4950,"(2, 3)","(0, 76)",0.01682599727064371,6.225146353244781e-05,0.01682599727064371,0.0006756920367479323,0.0035063688829541162,-0.016763745807111263,2843,0,46,48,57.73025918006897
core_interaction_c025,23,896,2048,100,0.0,16,5,3,0.001,75,all,0.00027354160556569695,0.0006049772491678596,4950,"(2, 3)","(2, 3)",0.05946371704339981,0.05946371704339981,0.007771759759634733,3.0453037470578735e-05,0.00022512322291731637,0.05169195728376508,1,1,4,4,58.71590757369995
core_interaction_c025,24,896,2048,100,0.0,16,5,3,0.001,75,all,0.000172839718288742,0.00028777000261470675,4950,"(2, 3)","(2, 3)",0.0839857051614672,0.0839857051614672,0.0016432181000709534,9.198859333991951e-06,0.00012987270951271006,0.08234248706139624,1,1,4,4,57.521474838256836
core_interaction_c025,25,896,2048,100,0.0,16,5,3,0.001,75,all,0.00041415574378333986,0.0016587601276114583,4950,"(2, 3)","(2, 3)",0.10192030295729637,0.10192030295729637,0.007072256878018379,4.652328789234159e-05,0.0008992322534322684,0.09484804607927799,1,1,4,4,58.38088631629944
core_interaction_c025,26,896,2048,100,0.0,16,5,3,0.001,75,all,0.00018280914810020477,0.0003276023780927062,4950,"(2, 3)","(2, 3)",0.07598819024860859,0.07598819024860859,0.0026721395552158356,1.3943761587142833e-05,0.00015766963362693712,0.07331605069339275,1,1,4,4,56.80131506919861
core_interaction_c025,27,896,2048,100,0.0,16,5,3,0.001,75,all,0.0001765973720466718,0.0003422421286813915,4950,"(2, 3)","(2, 3)",0.0868038865737617,0.0868038865737617,0.0032209865748882294,1.0340567678212962e-05,0.0001351669244468206,0.08358289999887347,1,1,4,4,77.64469695091248
core_interaction_c025,28,896,2048,100,0.0,16,5,3,0.001,75,all,0.00014345285308081657,0.00025779209681786597,4950,"(2, 3)","(2, 3)",0.07281959801912308,0.07281959801912308,0.0049494244158267975,1.0330229997634872e-05,0.00013714917004108393,0.06787017360329628,1,1,4,4,58.77405858039856
core_interaction_c025,29,896,2048,100,0.0,16,5,3,0.001,75,all,0.0002255103172501549,0.0007535881595686078,4950,"(2, 3)","(2, 3)",0.11571029387414455,0.11571029387414455,0.00761233177036047,6.222724914550718e-05,0.0006135338917374598,0.10809796210378408,1,1,4,4,80.32075548171997
core_interaction_c025,30,896,2048,100,0.0,16,5,3,0.001,75,all,0.00012419043923728168,0.00021660432685166597,4950,"(2, 3)","(2, 3)",0.11998926475644112,0.11998926475644112,0.00376859400421381,3.483090549707361e-05,0.00015624251216649995,0.1162206707522273,1,1,4,4,76.4415352344513
core_interaction_c025,31,896,2048,100,0.0,16,5,3,0.001,75,all,0.0005975478561595082,0.02619820274412632,4950,"(2, 3)","(0, 1)",0.02455770503729582,0.00017043761909008026,0.02455770503729582,0.0007993292063474629,0.005971863977611036,-0.024387267418205738,1304,0,31,43,62.91327261924744
core_interaction_c025,32,896,2048,100,0.0,16,5,3,0.001,75,all,0.0002896950754802674,0.0007073034066706896,4950,"(2, 3)","(2, 3)",0.075171684846282,0.075171684846282,0.0037750350311398506,3.170836716890331e-05,0.00032773178070783605,0.07139664981514215,1,1,4,4,60.301231145858765
