function,seed,samples,test_samples,dimension,noise,width_hidden,grid,k,lamb,steps,pair_mode,train_mse,test_mse,candidate_pairs,true_pair,top_pair,top_pair_score,true_pair_score,max_false_pair_score,false_pair_score_p95,false_pair_score_p99,true_minus_max_false,true_pair_rank,true_pair_beats_candidates,endpoint_rank_worst_feature,endpoint_rank_worst_hybrid,runtime_sec
core_interaction_c025,0,1024,2048,100,0.0,16,5,3,0.001,75,all,0.00020699825836345553,0.0008555748499929905,4950,"(2, 3)","(2, 3)",0.0940236235037446,0.0940236235037446,0.0020210109651088715,2.762749791145323e-05,0.0006151570007205009,0.09200261253863573,1,1,4,4,65.60140085220337
core_interaction_c025,1,1024,2048,100,0.0,16,5,3,0.001,75,all,0.0004308809293434024,0.0376717634499073,4950,"(2, 3)","(0, 1)",0.06359677296131849,0.0015793668571859598,0.06359677296131849,0.0026296976953744887,0.005933996737003306,-0.06201740610413253,794,0,44,77,63.79509353637695
core_interaction_c025,2,1024,2048,100,0.0,16,5,3,0.001,75,all,0.00043147397809661925,0.04563979059457779,4950,"(2, 3)","(0, 1)",0.061812255531549454,0.0020765261724591255,0.061812255531549454,0.0017930544912815086,0.007109774947166319,-0.05973572935909033,187,0,42,45,63.04300308227539
core_interaction_c025,3,1024,2048,100,0.0,16,5,3,0.001,75,all,0.000431099470006302,0.025550860911607742,4950,"(2, 3)","(0, 1)",0.01458390150219202,0.0037160376086831093,0.01458390150219202,0.002374017052352427,0.004352458938956248,-0.010867863893508911,74,0,32,75,62.886592626571655
core_interaction_c025,4,1024,2048,100,0.0,16,5,3,0.001,75,all,0.00026095914654433727,0.001405077986419201,4950,"(2, 3)","(2, 3)",0.0667385458946228,0.0667385458946228,0.01131046935915947,0.00011337548494338935,0.001043429076671593,0.05542807653546333,1,1,4,4,63.464417695999146
core_interaction_c025,5,1024,2048,100,0.0,16,5,3,0.001,75,all,0.0003101108886767179,0.03214244544506073,4950,"(2, 3)","(0, 1)",0.021245187614113092,0.007563082501292229,0.021245187614113092,0.00232655694708228,0.004531195871531936,-0.013682105112820864,18,0,8,50,65.46863007545471
core_interaction_c025,6,1024,2048,100,0.0,16,5,3,0.001,75,all,0.00041674321983009577,0.02249818667769432,4950,"(2, 3)","(0, 1)",0.018566071055829525,0.0025589270517230034,0.018566071055829525,0.001755124144256115,0.0030344248935580223,-0.01600714400410652,78,0,37,71,64.40045428276062
core_interaction_c025,7,1024,2048,100,0.0,16,5,3,0.001,75,all,0.0003117146552540362,0.01767953485250473,4950,"(2, 3)","(0, 1)",0.01956314407289028,0.0166803989559412,0.01956314407289028,0.0018739171326160424,0.00444190666079518,-0.0028827451169490814,2,0,4,4,63.85111355781555
core_interaction_c025,8,1024,2048,100,0.0,16,5,3,0.001,75,all,0.0004082445229869336,0.022409263998270035,4950,"(2, 3)","(0, 1)",0.015735724940896034,0.0011711865663528442,0.015735724940896034,0.0016925260424613948,0.003875062242150304,-0.01456453837454319,645,0,14,45,64.92311143875122
core_interaction_c025,9,1024,2048,100,0.0,16,5,3,0.001,75,all,0.0003052315441891551,0.0006739320233464241,4950,"(2, 3)","(2, 3)",0.061175525188446045,0.061175525188446045,0.004405763000249863,2.240762114524826e-05,0.0004588802158832548,0.05676976218819618,1,1,4,4,65.41453790664673
core_interaction_c025,10,1024,2048,100,0.0,16,5,3,0.001,75,all,0.00023522601986769587,0.0005015353672206402,4950,"(2, 3)","(2, 3)",0.09634158108383417,0.09634158108383417,0.005557384341955185,1.785531640052794e-05,0.0003845509886741622,0.09078419674187899,1,1,4,4,63.965429067611694
core_interaction_c025,11,1024,2048,100,0.0,16,5,3,0.001,75,all,0.00036488909972831607,0.02127915620803833,4950,"(2, 3)","(2, 3)",0.01623587030917406,0.01623587030917406,0.012229105923324823,0.002647039853036401,0.005222398173063952,0.0040067643858492374,1,1,7,63,64.442138671875
core_interaction_c025,12,1024,2048,100,0.0,16,5,3,0.001,75,all,0.00027347731520421803,0.02045731246471405,4950,"(2, 3)","(3, 67)",0.01733512058854103,0.013458243571221828,0.01733512058854103,0.002519129961729049,0.004721852056682064,-0.0038768770173192024,2,0,4,7,63.248467683792114
core_interaction_c025,13,1024,2048,100,0.0,16,5,3,0.001,75,all,0.00020549536566250026,0.0024757222272455692,4950,"(2, 3)","(2, 3)",0.0676396582275629,0.0676396582275629,0.012360405176877975,8.712746202945557e-05,0.0012515614926815017,0.05527925305068493,1,1,4,4,86.42660403251648
core_interaction_c025,14,1024,2048,100,0.0,16,5,3,0.001,75,all,0.0002111616195179522,0.00048764055827632546,4950,"(2, 3)","(2, 3)",0.1210813969373703,0.1210813969373703,0.0018754731863737106,3.485195338726028e-05,0.00044234454631804864,0.11920592375099659,1,1,4,4,68.44849252700806
core_interaction_c025,15,1024,2048,100,0.0,16,5,3,0.001,75,all,0.0002819093060679734,0.02661481313407421,4950,"(2, 3)","(0, 1)",0.017104879021644592,0.0016612056642770767,0.017104879021644592,0.0020459167659282657,0.004710756167769372,-0.015443673357367516,366,0,61,58,63.87258696556091
core_interaction_c025,16,1024,2048,100,0.0,16,5,3,0.001,75,all,0.0002281416382174939,0.0007424005307257175,4950,"(2, 3)","(2, 3)",0.10630025202408433,0.10630025202408433,0.002030428498983383,1.3544689863920081e-05,0.0004844247922301229,0.10426982352510095,1,1,4,4,65.95982122421265
core_interaction_c025,17,1024,2048,100,0.0,16,5,3,0.001,75,all,0.0003525283536873758,0.023721449077129364,4950,"(2, 3)","(0, 1)",0.014062742237001657,0.005500428844243288,0.014062742237001657,0.002721532899886366,0.004245847202837443,-0.00856231339275837,18,0,4,12,65.6168646812439
core_interaction_c025,18,1024,2048,100,0.0,16,5,3,0.001,75,all,0.0005269069224596024,0.0208786278963089,4950,"(2, 3)","(0, 1)",0.014777161180973053,0.0016118232160806656,0.014777161180973053,0.002058926969766613,0.004192061722278591,-0.013165337964892387,454,0,74,90,65.44254422187805
core_interaction_c025,19,1024,2048,100,0.0,16,5,3,0.001,75,all,0.0003779816906899214,0.019323084503412247,4950,"(2, 3)","(0, 1)",0.016711845062673092,0.0021542301401495934,0.016711845062673092,0.0015952017158269857,0.0036284098774194413,-0.014557614922523499,137,0,5,33,66.67773842811584
core_interaction_c025,20,1024,2048,100,0.0,16,5,3,0.001,75,all,0.0003146386006847024,0.02210252732038498,4950,"(2, 3)","(0, 40)",0.009715737774968147,0.000875324010848999,0.009715737774968147,0.0025061331689357727,0.004447398632764805,-0.008840413764119148,2167,0,33,42,65.4859983921051
