function,seed,samples,test_samples,dimension,noise,width_hidden,grid,k,lamb,steps,pair_mode,train_mse,test_mse,candidate_pairs,true_pair,top_pair,top_pair_score,true_pair_score,max_false_pair_score,false_pair_score_p95,false_pair_score_p99,true_minus_max_false,true_pair_rank,true_pair_beats_candidates,endpoint_rank_worst_feature,endpoint_rank_worst_hybrid,runtime_sec
core_interaction_c025,0,512,2048,100,0.1,16,5,3,0.001,75,all,0.00010690650378819555,0.08043299615383148,4950,"(2, 3)","(0, 50)",0.044428750872612,7.74487853050232e-06,0.044428750872612,0.0010434143245220168,0.007489716634154303,-0.0444210059940815,4723,0,91,85,84.62789297103882
core_interaction_c025,1,512,2048,100,0.1,16,5,3,0.001,75,all,0.00020646971825044602,0.0699537917971611,4950,"(2, 3)","(0, 14)",0.009487686678767204,0.0007359292358160019,0.009487686678767204,0.002760947123169894,0.005264648906886563,-0.008751757442951202,1325,0,42,59,65.50935697555542
core_interaction_c025,2,512,2048,100,0.1,16,5,3,0.001,75,all,4.0770166378933936e-05,0.0974862277507782,4950,"(2, 3)","(0, 1)",0.059479310642927885,0.0005892072804272175,0.059479310642927885,0.0005688162520527839,0.007203793367370904,-0.05889010336250067,234,0,14,16,62.08830404281616
core_interaction_c025,3,512,2048,100,0.1,16,5,3,0.001,75,all,0.0003261370584368706,0.07342958450317383,4950,"(2, 3)","(0, 1)",0.032675182446837425,0.0007245708256959915,0.032675182446837425,0.0006211910396814335,0.008100051507353781,-0.031950611621141434,215,0,30,29,82.15759944915771
core_interaction_c025,4,512,2048,100,0.1,16,5,3,0.001,75,all,0.00014732418640051037,0.058517515659332275,4950,"(2, 3)","(0, 1)",0.04076119279488921,0.00016339309513568878,0.04076119279488921,0.0014629945158958417,0.004875425398349732,-0.04059779969975352,2597,0,88,87,66.81137609481812
core_interaction_c025,5,512,2048,100,0.1,16,5,3,0.001,75,all,0.00023822271032258868,0.08344441652297974,4950,"(2, 3)","(0, 99)",0.02159353531897068,0.0005222037434577942,0.02159353531897068,0.0014843557029962505,0.004292614236474035,-0.021071331575512886,1045,0,46,44,85.2148187160492
core_interaction_c025,6,512,2048,100,0.1,16,5,3,0.001,75,all,0.00010086537804454565,0.07847179472446442,4950,"(2, 3)","(0, 1)",0.0666382946074009,5.624815821647644e-05,0.0666382946074009,0.0007964152842760066,0.007815323546528813,-0.06658204644918442,3421,0,77,74,85.68338108062744
core_interaction_c025,7,512,2048,100,0.1,16,5,3,0.001,75,all,0.00019282608991488814,0.07358606159687042,4950,"(2, 3)","(0, 1)",0.024429903365671635,0.00017969124019145966,0.024429903365671635,0.001450979057699436,0.0037340812198817354,-0.024250212125480175,1900,0,47,54,86.20546364784241
core_interaction_c025,8,512,2048,100,0.1,16,5,3,0.001,75,all,0.0001815309515222907,0.05555170029401779,4950,"(2, 3)","(2, 3)",0.06884067668579519,0.06884067668579519,0.039233015617355704,0.0015012271702289554,0.006694066599011392,0.029607661068439484,1,1,4,8,85.49704694747925
core_interaction_c025,9,512,2048,100,0.1,16,5,3,0.001,75,all,0.00016119153588078916,0.05251317471265793,4950,"(2, 3)","(0, 1)",0.03067217767238617,2.8702430427074432e-05,0.03067217767238617,0.0014411300420761105,0.0035824435204267315,-0.030643475241959095,3924,0,60,50,65.75849938392639
