function,seed,samples,test_samples,dimension,noise,width_hidden,grid,k,lamb,steps,pair_mode,train_mse,test_mse,candidate_pairs,true_pair,top_pair,top_pair_score,true_pair_score,max_false_pair_score,false_pair_score_p95,false_pair_score_p99,true_minus_max_false,true_pair_rank,true_pair_beats_candidates,endpoint_rank_worst_feature,endpoint_rank_worst_hybrid,runtime_sec
core_interaction_c01,0,1024,2048,20,0.0,16,5,3,0.001,75,all,0.0016671210760250688,0.002179698785766959,190,"(2, 3)","(0, 5)",0.0014425846748054028,1.0118819773197174e-06,0.0014425846748054028,0.0004146287217736239,0.0010900480486452588,-0.001441572792828083,65,0,14,12,21.143349409103394
core_interaction_c01,1,1024,2048,20,0.0,16,5,3,0.001,75,all,0.0016961258370429277,0.0019602952525019646,190,"(2, 3)","(0, 1)",0.0038546500727534294,3.2223761081695557e-07,0.0038546500727534294,5.4292194545268995e-05,0.00043310396373271977,-0.0038543278351426125,63,0,8,10,21.970452308654785
core_interaction_c01,2,1024,2048,20,0.0,16,5,3,0.001,75,all,0.0015858288388699293,0.0020193245727568865,190,"(2, 3)","(0, 1)",0.0023403153754770756,8.493661880493164e-07,0.0023403153754770756,0.00012460798025131216,0.0007406352832913411,-0.0023394660092890263,51,0,18,18,22.75600552558899
core_interaction_c01,3,1024,2048,20,0.0,16,5,3,0.001,75,all,0.0016166421119123697,0.0021440484561026096,190,"(2, 3)","(0, 1)",0.002270748373121023,1.30385160446167e-07,0.002270748373121023,0.000795612856745719,0.0016521689482033274,-0.002270617987960577,169,0,13,17,22.425443172454834
core_interaction_c01,4,1024,2048,20,0.0,16,5,3,0.001,75,all,0.001706775976344943,0.002291751792654395,190,"(2, 3)","(0, 1)",0.0028225465212017298,1.6583362594246864e-06,0.0028225465212017298,0.00015083923935890165,0.0007592569920234438,-0.002820888184942305,47,0,5,5,21.640709400177002
core_interaction_c01,5,1024,2048,20,0.0,16,5,3,0.001,75,all,0.0019396769348531961,0.002255452563986182,190,"(2, 3)","(0, 1)",0.004053610027767718,4.6100467443466187e-08,0.004053610027767718,7.95873813331127e-05,0.0009547643642872583,-0.004053563927300274,175,0,16,16,19.000569820404053
core_interaction_c01,6,1024,2048,20,0.0,16,5,3,0.001,75,all,0.0016917367465794086,0.002423329744488001,190,"(2, 3)","(0, 1)",0.006934439996257424,5.457550287246704e-07,0.006934439996257424,0.00021609051618724993,0.0011404762649908696,-0.0069338942412287,100,0,13,15,21.310410499572754
core_interaction_c01,7,1024,2048,20,0.0,16,5,3,0.001,75,all,0.0016008224338293076,0.002094659022986889,190,"(2, 3)","(0, 1)",0.004198551177978516,5.336478352546692e-07,0.004198551177978516,0.0006580890156328673,0.0014990225806832335,-0.004198017530143261,136,0,17,17,18.806186199188232
core_interaction_c01,8,1024,2048,20,0.0,16,5,3,0.001,75,all,0.0015405472368001938,0.0019927392713725567,190,"(2, 3)","(0, 1)",0.00351921608671546,1.5459954738616943e-07,0.00351921608671546,2.8251204639673226e-05,0.00011065851897001278,-0.0035190614871680737,59,0,11,11,23.859846830368042
core_interaction_c01,9,1024,2048,20,0.0,16,5,3,0.001,75,all,0.0017086826264858246,0.0022384158801287413,190,"(2, 3)","(0, 1)",0.0027765375562012196,3.116205334663391e-06,0.0027765375562012196,0.0007299425080418581,0.001316836047917607,-0.002773421350866556,48,0,12,13,23.5921413898468
core_interaction_c01,10,1024,2048,20,0.0,16,5,3,0.001,75,all,0.001873536384664476,0.002284429268911481,190,"(2, 3)","(0, 1)",0.003045720048248768,2.5238841772079468e-06,0.003045720048248768,0.0003476720303297041,0.0010374332498759092,-0.00304319616407156,84,0,19,19,23.265517950057983
core_interaction_c01,11,1024,2048,20,0.0,16,5,3,0.001,75,all,0.0016667230520397425,0.0021361014805734158,190,"(2, 3)","(0, 1)",0.0019975071772933006,2.9103830456733704e-08,0.0019975071772933006,4.031709395349022e-05,0.00022902803495526429,-0.001997478073462844,188,0,19,19,22.81500244140625
core_interaction_c01,12,1024,2048,20,0.0,16,5,3,0.001,75,all,0.0017147777834907174,0.002326195128262043,190,"(2, 3)","(0, 1)",0.0029653417877852917,1.8207356333732605e-07,0.0029653417877852917,6.291298195719714e-05,0.0008058973401784903,-0.0029651597142219543,79,0,19,19,27.073927402496338
core_interaction_c01,13,1024,2048,20,0.0,16,5,3,0.001,75,all,0.0016936588799580932,0.002048400230705738,190,"(2, 3)","(0, 1)",0.008458033204078674,7.878988981246948e-07,0.008458033204078674,0.0002279253676533699,0.0005726836621761334,-0.00845724530518055,61,0,12,11,25.784183025360107
core_interaction_c01,14,1024,2048,20,0.0,16,5,3,0.001,75,all,0.0018228045664727688,0.0023312722332775593,190,"(2, 3)","(0, 1)",0.008401566185057163,8.074566721916199e-07,0.008401566185057163,0.0008017283864319316,0.0016442872583866154,-0.008400758728384972,126,0,10,10,23.45036292076111
