function,seed,samples,test_samples,dimension,noise,width_hidden,grid,k,lamb,steps,pair_mode,train_mse,test_mse,candidate_pairs,true_pair,top_pair,top_pair_score,true_pair_score,max_false_pair_score,false_pair_score_p95,false_pair_score_p99,true_minus_max_false,true_pair_rank,true_pair_beats_candidates,endpoint_rank_worst_feature,endpoint_rank_worst_hybrid,runtime_sec
core_interaction_c025,0,768,2048,100,0.0,32,5,3,0.001,75,all,0.00023149624757934362,0.0009254742180928588,4950,"(2, 3)","(2, 3)",0.06701447069644928,0.06701447069644928,0.0034280922263860703,3.380998969078048e-05,0.00040785685181617544,0.06358637847006321,1,1,4,4,106.20331192016602
core_interaction_c025,1,768,2048,100,0.0,32,5,3,0.001,75,all,0.00019112696463707834,0.0005454894853755832,4950,"(2, 3)","(2, 3)",0.0971744628623128,0.0971744628623128,0.0028245244175195694,9.3746930360794e-06,0.00022749939933418569,0.09434993844479322,1,1,4,4,145.2803795337677
core_interaction_c025,2,768,2048,100,0.0,32,5,3,0.001,75,all,0.00016364397015422583,0.0010463333455845714,4950,"(2, 3)","(2, 3)",0.04987817443907261,0.04987817443907261,0.004988439381122589,4.85666096210477e-05,0.00047413736581802297,0.04488973505795002,1,1,4,4,145.2295367717743
core_interaction_c025,3,768,2048,100,0.0,32,5,3,0.001,75,all,0.0003350655024405569,0.0016967491246759892,4950,"(2, 3)","(2, 3)",0.10030087921768427,0.10030087921768427,0.01635638577863574,9.201997891068449e-05,0.0007680615596473143,0.08394449343904853,1,1,4,4,147.13850593566895
core_interaction_c025,4,768,2048,100,0.0,32,5,3,0.001,75,all,0.00016660899564158171,0.00026681716553866863,4950,"(2, 3)","(2, 3)",0.1010450404137373,0.1010450404137373,0.0044743577018380165,1.2969318777322619e-05,0.00023953294381499286,0.09657068271189928,1,1,4,4,148.84929990768433
core_interaction_c025,5,768,2048,100,0.0,32,5,3,0.001,75,all,0.000202916024136357,0.0004808000521734357,4950,"(2, 3)","(2, 3)",0.07147608045488596,0.07147608045488596,0.005304037127643824,1.0854844003915705e-05,0.00021863894537091084,0.06617204332724214,1,1,4,4,147.86986994743347
core_interaction_c025,6,768,2048,100,0.0,32,5,3,0.001,75,all,0.00018922022718470544,0.0009400389972142875,4950,"(2, 3)","(2, 3)",0.08547679707407951,0.08547679707407951,0.0029732156544923782,4.6461634337901374e-05,0.0003787382319569583,0.08250358141958714,1,1,4,4,107.29726314544678
core_interaction_c025,7,768,2048,100,0.0,32,5,3,0.001,75,all,0.00020037428475916386,0.0007123019313439727,4950,"(2, 3)","(2, 3)",0.10361356823705137,0.10361356823705137,0.003638419322669506,2.8863083571195467e-05,0.00034999234601855076,0.09997514891438186,1,1,4,4,103.04174566268921
core_interaction_c025,8,768,2048,100,0.0,32,5,3,0.001,75,all,0.0001542319660075009,0.001004673889838159,4950,"(2, 3)","(2, 3)",0.11094748973846436,0.11094748973846436,0.006623420864343643,5.979891866445531e-05,0.0006019182503223348,0.10432406887412071,1,1,4,4,103.46316623687744
core_interaction_c025,9,768,2048,100,0.0,32,5,3,0.001,75,all,0.00017731446132529527,0.00048380219959653914,4950,"(2, 3)","(2, 3)",0.06486509554088116,0.06486509554088116,0.002688085660338402,6.60531222820278e-06,0.0002772134169936178,0.062177009880542755,1,1,4,4,105.62491464614868
