function,seed,samples,test_samples,dimension,noise,width_hidden,grid,k,lamb,steps,pair_mode,train_mse,test_mse,candidate_pairs,true_pair,top_pair,top_pair_score,true_pair_score,max_false_pair_score,false_pair_score_p95,false_pair_score_p99,true_minus_max_false,true_pair_rank,true_pair_beats_candidates,endpoint_rank_worst_feature,endpoint_rank_worst_hybrid,runtime_sec
core_interaction_c025,0,1024,2048,100,0.0,32,5,3,0.001,75,all,0.0002487185411155224,0.0009273063624277711,4950,"(2, 3)","(2, 3)",0.08827065117657185,0.08827065117657185,0.003191485069692135,6.079152226448037e-05,0.0007133987173438017,0.08507916610687971,1,1,4,4,109.94067788124084
core_interaction_c025,1,1024,2048,100,0.0,32,5,3,0.001,75,all,0.0003394077648408711,0.0025055324658751488,4950,"(2, 3)","(2, 3)",0.05710643529891968,0.05710643529891968,0.02681908756494522,0.00037988894619047633,0.00117222212255001,0.030287347733974457,1,1,4,4,107.90216112136841
core_interaction_c025,2,1024,2048,100,0.0,32,5,3,0.001,75,all,0.0003430513897910714,0.0017729870742186904,4950,"(2, 3)","(2, 3)",0.05897591635584831,0.05897591635584831,0.010664957575500011,0.00016296468675136485,0.000810185223817823,0.0483109587803483,1,1,4,4,107.7569329738617
core_interaction_c025,3,1024,2048,100,0.0,32,5,3,0.001,75,all,0.00023475708439946175,0.0015837978571653366,4950,"(2, 3)","(2, 3)",0.08417875040322542,0.08417875040322542,0.009729331359267235,0.0001743901520967483,0.001077741235494609,0.07444941904395819,1,1,4,4,107.1480450630188
core_interaction_c025,4,1024,2048,100,0.0,32,5,3,0.001,75,all,0.00029164343141019344,0.0006334399804472923,4950,"(2, 3)","(2, 3)",0.06651576608419418,0.06651576608419418,0.0030700676143169403,4.1481852531432864e-05,0.00038060128688811835,0.06344569846987724,1,1,4,4,107.24950528144836
core_interaction_c025,5,1024,2048,100,0.0,32,5,3,0.001,75,all,0.00035855299211107194,0.026102755218744278,4950,"(2, 3)","(0, 28)",0.015554722398519516,0.002308719092980027,0.015554722398519516,0.001711869612336158,0.0034982507675886125,-0.013246003305539489,115,0,29,46,107.56974411010742
core_interaction_c025,6,1024,2048,100,0.0,32,5,3,0.001,75,all,0.00014882764662615955,0.0004824379284400493,4950,"(2, 3)","(2, 3)",0.09497812949120998,0.09497812949120998,0.005138196051120758,4.234462976455607e-05,0.00043258763849735157,0.08983993344008923,1,1,4,4,106.55532908439636
core_interaction_c025,7,1024,2048,100,0.0,32,5,3,0.001,75,all,0.00034872692776843905,0.002148462925106287,4950,"(2, 3)","(2, 3)",0.06201325636357069,0.06201325636357069,0.018915878608822823,0.00018159933388233143,0.0010622608661651576,0.04309737775474787,1,1,4,4,107.19530415534973
core_interaction_c025,8,1024,2048,100,0.0,32,5,3,0.001,75,all,0.00020092306658625603,0.0006642165244556963,4950,"(2, 3)","(2, 3)",0.06005708873271942,0.06005708873271942,0.003507990390062332,3.892071545124014e-05,0.0005904509872198015,0.05654909834265709,1,1,4,4,106.97840809822083
core_interaction_c025,9,1024,2048,100,0.0,32,5,3,0.001,75,all,0.00040447607170790434,0.025677058845758438,4950,"(2, 3)","(0, 1)",0.018912041559815407,0.0005435766652226448,0.018912041559815407,0.0020554218441247913,0.003785535879433153,-0.018368464894592762,2375,0,75,69,107.41759777069092
core_interaction_c025,10,1024,2048,100,0.0,32,5,3,0.001,75,all,0.0003065998898819089,0.0249299518764019,4950,"(2, 3)","(0, 1)",0.016290969215333462,0.001258261501789093,0.016290969215333462,0.0015969794243574126,0.004949140995740886,-0.015032707713544369,449,0,69,77,107.08232760429382
core_interaction_c025,11,1024,2048,100,0.0,32,5,3,0.001,75,all,0.0002135148097295314,0.0008192351670004427,4950,"(2, 3)","(2, 3)",0.08707001712173223,0.08707001712173223,0.01097562164068222,6.85889273881908e-05,0.000522021576762198,0.07609439548105001,1,1,4,4,107.1152925491333
core_interaction_c025,12,1024,2048,100,0.0,32,5,3,0.001,75,all,0.0003290408058091998,0.026889830827713013,4950,"(2, 3)","(0, 1)",0.01545935682952404,0.010614441707730293,0.01545935682952404,0.0023003771901130674,0.003963219411671138,-0.004844915121793747,3,0,4,52,107.93798542022705
core_interaction_c025,13,1024,2048,100,0.0,32,5,3,0.001,75,all,0.000274467165581882,0.001132509089075029,4950,"(2, 3)","(2, 3)",0.07215766608715057,0.07215766608715057,0.007869452238082886,6.174892187118484e-05,0.0007183250784873943,0.06428821384906769,1,1,4,4,106.93646335601807
core_interaction_c025,14,1024,2048,100,0.0,32,5,3,0.001,75,all,0.0002537044638302177,0.001803015940822661,4950,"(2, 3)","(2, 3)",0.10878167022019625,0.10878167022019625,0.005200585350394249,0.00024586115032434086,0.0012856508046388577,0.103581084869802,1,1,4,4,106.8526496887207
core_interaction_c025,15,1024,2048,100,0.0,32,5,3,0.001,75,all,0.0001990621822187677,0.0009673549793660641,4950,"(2, 3)","(2, 3)",0.10729722678661346,0.10729722678661346,0.008357524871826172,6.763264536857579e-05,0.0005494320392608634,0.09893970191478729,1,1,4,4,107.67045593261719
core_interaction_c025,16,1024,2048,100,0.0,32,5,3,0.001,75,all,0.0003680940717458725,0.0016318857669830322,4950,"(2, 3)","(2, 3)",0.10428384458646178,0.10428384458646178,0.0066533079370856285,9.118672460317589e-05,0.0009594989195466,0.09763053664937615,1,1,4,4,107.8607873916626
core_interaction_c025,17,1024,2048,100,0.0,32,5,3,0.001,75,all,0.0003162060456816107,0.016898855566978455,4950,"(2, 3)","(2, 3)",0.01475178636610508,0.01475178636610508,0.007881706580519676,0.002258662227541206,0.003321668282151214,0.0068700797855854034,1,1,4,4,107.02755403518677
core_interaction_c025,18,1024,2048,100,0.0,32,5,3,0.001,75,all,0.0002187624340876937,0.0006472909008152783,4950,"(2, 3)","(2, 3)",0.1429432025179267,0.1429432025179267,0.00469689816236496,2.8285011649131723e-05,0.0005032956227660072,0.13824630435556173,1,1,4,4,106.19192600250244
core_interaction_c025,19,1024,2048,100,0.0,32,5,3,0.001,75,all,0.00030595858697779477,0.0016534609021618962,4950,"(2, 3)","(2, 3)",0.061324103735387325,0.061324103735387325,0.008145519532263279,0.00021466575562953933,0.0009755739569663986,0.053178584203124046,1,1,4,4,107.36852145195007
core_interaction_c025,20,1024,2048,100,0.0,32,5,3,0.001,75,all,0.000312594958813861,0.027860216796398163,4950,"(2, 3)","(0, 80)",0.01613130047917366,0.0001912824809551239,0.01613130047917366,0.0006112612783908836,0.005858829617500304,-0.015940017998218536,1419,0,14,10,108.0221438407898
core_interaction_c025,21,1024,2048,100,0.0,32,5,3,0.001,75,all,0.00024454493541270494,0.0006598850013688207,4950,"(2, 3)","(2, 3)",0.051973164081573486,0.051973164081573486,0.004641998093575239,3.654481843113886e-05,0.0004879883304238249,0.04733116598799825,1,1,4,4,106.95669913291931
