function,seed,samples,test_samples,dimension,noise,width_hidden,grid,k,lamb,steps,pair_mode,train_mse,test_mse,candidate_pairs,true_pair,top_pair,top_pair_score,true_pair_score,max_false_pair_score,false_pair_score_p95,false_pair_score_p99,true_minus_max_false,true_pair_rank,true_pair_beats_candidates,endpoint_rank_worst_feature,endpoint_rank_worst_hybrid,runtime_sec
core_interaction_c025,0,768,2048,100,0.1,16,5,3,0.001,75,all,0.00026043420075438917,0.06040322780609131,4950,"(2, 3)","(2, 3)",0.04121449962258339,0.04121449962258339,0.023151068948209286,0.0020231783390045124,0.00675652801990509,0.018063430674374104,1,1,4,4,82.67360949516296
core_interaction_c025,1,768,2048,100,0.1,16,5,3,0.001,75,all,0.0001789726666174829,0.06182575970888138,4950,"(2, 3)","(0, 1)",0.05149204097688198,0.004600614309310913,0.05149204097688198,0.0023370385169982828,0.005543825626373271,-0.04689142666757107,73,0,30,48,63.973909854888916
core_interaction_c025,2,768,2048,100,0.1,16,5,3,0.001,75,all,0.00018634209118317813,0.06942316889762878,4950,"(2, 3)","(0, 1)",0.029405534267425537,0.004353366792201996,0.029405534267425537,0.0025249693542718837,0.005412163585424394,-0.02505216747522354,78,0,15,18,62.004770040512085
core_interaction_c025,3,768,2048,100,0.1,16,5,3,0.001,75,all,0.0003119931498076767,0.0567299947142601,4950,"(2, 3)","(0, 1)",0.01905624009668827,0.0004581683315336704,0.01905624009668827,0.0022824934683740128,0.004427114408463239,-0.0185980717651546,2538,0,66,85,59.359572410583496
core_interaction_c025,4,768,2048,100,0.1,16,5,3,0.001,75,all,0.00032125264988280833,0.057272445410490036,4950,"(2, 3)","(0, 1)",0.018304383847862482,0.00010370416566729546,0.018304383847862482,0.002534708287566899,0.006298614144325229,-0.018200679682195187,4465,0,82,73,60.25533580780029
core_interaction_c025,5,768,2048,100,0.1,16,5,3,0.001,75,all,0.0002587979834061116,0.03836126998066902,4950,"(2, 3)","(2, 3)",0.048863936215639114,0.048863936215639114,0.022041980177164078,0.0014599125832319235,0.0050354175642132485,0.026821956038475037,1,1,4,4,82.54880857467651
core_interaction_c025,6,768,2048,100,0.1,16,5,3,0.001,75,all,0.0003064312331844121,0.07341822236776352,4950,"(2, 3)","(0, 50)",0.03545717382803559,0.0006664819084107876,0.03545717382803559,0.001481997407972809,0.010150890294462436,-0.034790691919624805,814,0,63,69,85.54155969619751
core_interaction_c025,7,768,2048,100,0.1,16,5,3,0.001,75,all,0.00018016179092228413,0.03778133541345596,4950,"(2, 3)","(2, 3)",0.08836493641138077,0.08836493641138077,0.0321929850615561,0.0018520365469157569,0.006099499166011808,0.05617195134982467,1,1,4,4,62.35053753852844
core_interaction_c025,8,768,2048,100,0.1,16,5,3,0.001,75,all,0.0005214942502789199,0.05703480914235115,4950,"(2, 3)","(2, 3)",0.1106564849615097,0.1106564849615097,0.027185136452317238,0.0022467169910669314,0.009593078121542864,0.08347134850919247,1,1,4,4,59.44317650794983
core_interaction_c025,9,768,2048,100,0.1,16,5,3,0.001,75,all,0.00018262800585944206,0.052765462547540665,4950,"(2, 3)","(0, 1)",0.04824535083025694,0.004071014933288097,0.04824535083025694,0.002251596748828885,0.005167142413556563,-0.04417433589696884,86,0,14,42,81.40423655509949
core_interaction_c025,10,768,2048,100,0.1,16,5,3,0.001,75,all,0.00025318600819446146,0.05076706036925316,4950,"(2, 3)","(2, 3)",0.03021087567321956,0.03021087567321956,0.015230720862746239,0.002697752602398391,0.005210422324016673,0.014980154810473323,1,1,7,25,85.16094517707825
core_interaction_c025,11,768,2048,100,0.1,16,5,3,0.001,75,all,0.0002913457283284515,0.04832958057522774,4950,"(2, 3)","(2, 3)",0.05834309756755829,0.05834309756755829,0.034077649004757404,0.0019169558770954598,0.005648481920361468,0.024265448562800884,1,1,4,5,79.63637804985046
core_interaction_c025,12,768,2048,100,0.1,16,5,3,0.001,75,all,0.00034403856261633337,0.07834342122077942,4950,"(2, 3)","(0, 1)",0.01679898053407669,4.33456152677536e-05,0.01679898053407669,0.002164467051625248,0.00534767784178254,-0.016755634918808937,3919,0,84,78,83.98016548156738
core_interaction_c025,13,768,2048,100,0.1,16,5,3,0.001,75,all,0.00034339004196226597,0.06799018383026123,4950,"(2, 3)","(0, 1)",0.043621333315968513,0.00012772344052791595,0.043621333315968513,0.002241218090057372,0.007240380942821367,-0.0434936098754406,3035,0,92,87,65.08975672721863
core_interaction_c025,14,768,2048,100,0.1,16,5,3,0.001,75,all,0.0003067097859457135,0.06428750604391098,4950,"(2, 3)","(0, 88)",0.015896432101726532,0.0020992495119571686,0.015896432101726532,0.0022814026102423663,0.00450759883970021,-0.013797182589769363,287,0,52,79,64.41988325119019
core_interaction_c025,15,768,2048,100,0.1,16,5,3,0.001,75,all,0.00042613327968865633,0.05653306096792221,4950,"(2, 3)","(0, 66)",0.026524486020207405,0.00046029500663280487,0.026524486020207405,0.0019476495683193192,0.00630293868482112,-0.0260641910135746,1503,0,80,80,84.67534971237183
core_interaction_c025,16,768,2048,100,0.1,16,5,3,0.001,75,all,0.0002948729379568249,0.058281589299440384,4950,"(2, 3)","(68, 96)",0.01670663058757782,0.0023015523329377174,0.01670663058757782,0.0029094145633280243,0.005390541329979888,-0.014405078254640102,402,0,44,65,86.0982460975647
core_interaction_c025,17,768,2048,100,0.1,16,5,3,0.001,75,all,0.0003312155604362488,0.0580233633518219,4950,"(2, 3)","(0, 1)",0.015724200755357742,0.003772575408220291,0.015724200755357742,0.0023187376558780662,0.005074257701635358,-0.011951625347137451,96,0,24,28,79.49716377258301
