function,samples,dimension,noise,nuisance_correlation,n_correlated_proxies,width_hidden,grid,k,lamb,probe_steps,method,top_m,heldout_seed,num_probe_rows,selected_screen_features,top_selection_variables,top_edge_pairs,effective_dim,screen_contains_all_true_vars,screen_true_var_recall,screen_contains_all_interaction_endpoints,screen_interaction_endpoint_recall,screen_contains_true_interactions,true_endpoint_rank_mean,true_endpoint_rank_worst,true_endpoint_score_mean,max_nuisance_score,endpoint_minus_max_nuisance
core_interaction_c025,768,100,0.0,0.0,0,16,5,3,0.001,75,grad_stability_var,4,all,30,"[0, 1, 2, 3]","[0, 1, 2, 3, 92, 11, 52, 34, 42, 98, 56, 77]","[[0, 1, 1.0], [0, 3, 0.10738754366503879], [0, 2, 0.10190467427109227], [1, 2, 0.07355761018532189], [1, 3, 0.0677598463252679], [0, 56, 0.022523169121417903], [0, 77, 0.019208933101742952], [0, 78, 0.01797581736169616], [0, 92, 0.01709057528463094], [0, 50, 0.016779991447009607]]",4,1,1.0,1,1.0,1,3.5,4.0,0.02424397394507182,0.0031129482348096617,0.02113102571026216
core_interaction_c025,768,100,0.0,0.0,0,16,5,3,0.001,75,grad_stability_var,6,all,30,"[0, 1, 2, 3, 92, 11]","[0, 1, 2, 3, 92, 11, 52, 34, 42, 98, 56, 77]","[[0, 1, 1.0], [0, 3, 0.10738754366503879], [0, 2, 0.10190467427109227], [1, 2, 0.07355761018532189], [1, 3, 0.0677598463252679], [0, 56, 0.022523169121417903], [0, 77, 0.019208933101742952], [0, 78, 0.01797581736169616], [0, 92, 0.01709057528463094], [0, 50, 0.016779991447009607]]",6,1,1.0,1,1.0,1,3.5,4.0,0.02424397394507182,0.0031129482348096617,0.02113102571026216
core_interaction_c025,768,100,0.0,0.0,0,16,5,3,0.001,75,grad_stability_var,10,all,30,"[0, 1, 2, 3, 92, 11, 52, 34, 42, 98]","[0, 1, 2, 3, 92, 11, 52, 34, 42, 98, 56, 77]","[[0, 1, 1.0], [0, 3, 0.10738754366503879], [0, 2, 0.10190467427109227], [1, 2, 0.07355761018532189], [1, 3, 0.0677598463252679], [0, 56, 0.022523169121417903], [0, 77, 0.019208933101742952], [0, 78, 0.01797581736169616], [0, 92, 0.01709057528463094], [0, 50, 0.016779991447009607]]",10,1,1.0,1,1.0,1,3.5,4.0,0.02424397394507182,0.0031129482348096617,0.02113102571026216
core_interaction_c025,768,100,0.0,0.0,0,16,5,3,0.001,75,grad_stability_var,20,all,30,"[0, 1, 2, 3, 92, 11, 52, 34, 42, 98, 56, 77, 65, 12, 19, 15, 24, 37, 39, 27]","[0, 1, 2, 3, 92, 11, 52, 34, 42, 98, 56, 77]","[[0, 1, 1.0], [0, 3, 0.10738754366503879], [0, 2, 0.10190467427109227], [1, 2, 0.07355761018532189], [1, 3, 0.0677598463252679], [0, 56, 0.022523169121417903], [0, 77, 0.019208933101742952], [0, 78, 0.01797581736169616], [0, 92, 0.01709057528463094], [0, 50, 0.016779991447009607]]",20,1,1.0,1,1.0,1,3.5,4.0,0.02424397394507182,0.0031129482348096617,0.02113102571026216
core_interaction_c025,768,100,0.0,0.0,0,16,5,3,0.001,75,feature_stability_var,4,all,30,"[0, 1, 2, 3]","[0, 1, 2, 3, 92, 52, 98, 11, 32, 34, 77, 58]","[[0, 1, 1.0], [0, 3, 0.10738754366503879], [0, 2, 0.10190467427109227], [1, 2, 0.07355761018532189], [1, 3, 0.0677598463252679], [0, 56, 0.022523169121417903], [0, 77, 0.019208933101742952], [0, 78, 0.01797581736169616], [0, 92, 0.01709057528463094], [0, 50, 0.016779991447009607]]",4,1,1.0,1,1.0,1,3.5,4.0,0.10434623924834746,0.004557246126096566,0.0997889931222509
core_interaction_c025,768,100,0.0,0.0,0,16,5,3,0.001,75,feature_stability_var,6,all,30,"[0, 1, 2, 3, 92, 52]","[0, 1, 2, 3, 92, 52, 98, 11, 32, 34, 77, 58]","[[0, 1, 1.0], [0, 3, 0.10738754366503879], [0, 2, 0.10190467427109227], [1, 2, 0.07355761018532189], [1, 3, 0.0677598463252679], [0, 56, 0.022523169121417903], [0, 77, 0.019208933101742952], [0, 78, 0.01797581736169616], [0, 92, 0.01709057528463094], [0, 50, 0.016779991447009607]]",6,1,1.0,1,1.0,1,3.5,4.0,0.10434623924834746,0.004557246126096566,0.0997889931222509
core_interaction_c025,768,100,0.0,0.0,0,16,5,3,0.001,75,feature_stability_var,10,all,30,"[0, 1, 2, 3, 92, 52, 98, 11, 32, 34]","[0, 1, 2, 3, 92, 52, 98, 11, 32, 34, 77, 58]","[[0, 1, 1.0], [0, 3, 0.10738754366503879], [0, 2, 0.10190467427109227], [1, 2, 0.07355761018532189], [1, 3, 0.0677598463252679], [0, 56, 0.022523169121417903], [0, 77, 0.019208933101742952], [0, 78, 0.01797581736169616], [0, 92, 0.01709057528463094], [0, 50, 0.016779991447009607]]",10,1,1.0,1,1.0,1,3.5,4.0,0.10434623924834746,0.004557246126096566,0.0997889931222509
core_interaction_c025,768,100,0.0,0.0,0,16,5,3,0.001,75,feature_stability_var,20,all,30,"[0, 1, 2, 3, 92, 52, 98, 11, 32, 34, 77, 58, 65, 29, 56, 12, 24, 15, 30, 42]","[0, 1, 2, 3, 92, 52, 98, 11, 32, 34, 77, 58]","[[0, 1, 1.0], [0, 3, 0.10738754366503879], [0, 2, 0.10190467427109227], [1, 2, 0.07355761018532189], [1, 3, 0.0677598463252679], [0, 56, 0.022523169121417903], [0, 77, 0.019208933101742952], [0, 78, 0.01797581736169616], [0, 92, 0.01709057528463094], [0, 50, 0.016779991447009607]]",20,1,1.0,1,1.0,1,3.5,4.0,0.10434623924834746,0.004557246126096566,0.0997889931222509
core_interaction_c025,768,100,0.0,0.0,0,16,5,3,0.001,75,edge_stability_var,4,all,30,"[0, 1, 2, 3]","[0, 1, 2, 3, 92, 65, 52, 33, 29, 98, 39, 34]","[[0, 1, 1.0], [0, 3, 0.10738754366503879], [0, 2, 0.10190467427109227], [1, 2, 0.07355761018532189], [1, 3, 0.0677598463252679], [0, 56, 0.022523169121417903], [0, 77, 0.019208933101742952], [0, 78, 0.01797581736169616], [0, 92, 0.01709057528463094], [0, 50, 0.016779991447009607]]",4,1,1.0,1,1.0,1,3.5,4.0,0.055040621349570974,0.0033405642046968375,0.051700057144874134
core_interaction_c025,768,100,0.0,0.0,0,16,5,3,0.001,75,edge_stability_var,6,all,30,"[0, 1, 2, 3, 92, 65]","[0, 1, 2, 3, 92, 65, 52, 33, 29, 98, 39, 34]","[[0, 1, 1.0], [0, 3, 0.10738754366503879], [0, 2, 0.10190467427109227], [1, 2, 0.07355761018532189], [1, 3, 0.0677598463252679], [0, 56, 0.022523169121417903], [0, 77, 0.019208933101742952], [0, 78, 0.01797581736169616], [0, 92, 0.01709057528463094], [0, 50, 0.016779991447009607]]",6,1,1.0,1,1.0,1,3.5,4.0,0.055040621349570974,0.0033405642046968375,0.051700057144874134
