function,samples,dimension,noise,nuisance_correlation,n_correlated_proxies,width_hidden,grid,k,lamb,probe_steps,method,top_m,heldout_seed,num_probe_rows,selected_screen_features,top_selection_variables,top_edge_pairs,effective_dim,screen_contains_all_true_vars,screen_true_var_recall,screen_contains_all_interaction_endpoints,screen_interaction_endpoint_recall,screen_contains_true_interactions,true_endpoint_rank_mean,true_endpoint_rank_worst,true_endpoint_score_mean,max_nuisance_score,endpoint_minus_max_nuisance
core_interaction_c025,1024,100,0.0,0.0,0,16,5,3,0.001,75,grad_stability_var,4,all,30,"[0, 1, 3, 2]","[0, 1, 3, 2, 12, 33, 64, 8, 44, 86, 83, 35]","[[0, 1, 1.0], [0, 3, 0.06510371984476136], [0, 2, 0.05845375925167136], [1, 3, 0.04102040369042057], [1, 2, 0.0384745864749554], [0, 95, 0.021615615719781038], [0, 63, 0.019912034105290917], [0, 19, 0.01922408712801678], [0, 48, 0.018963437426190794], [0, 35, 0.018917285025279982]]",4,1,1.0,1,1.0,1,3.5,4.0,0.017606687401663546,0.00788632006802885,0.009720367333634695
core_interaction_c025,1024,100,0.0,0.0,0,16,5,3,0.001,75,grad_stability_var,6,all,30,"[0, 1, 3, 2, 12, 33]","[0, 1, 3, 2, 12, 33, 64, 8, 44, 86, 83, 35]","[[0, 1, 1.0], [0, 3, 0.06510371984476136], [0, 2, 0.05845375925167136], [1, 3, 0.04102040369042057], [1, 2, 0.0384745864749554], [0, 95, 0.021615615719781038], [0, 63, 0.019912034105290917], [0, 19, 0.01922408712801678], [0, 48, 0.018963437426190794], [0, 35, 0.018917285025279982]]",6,1,1.0,1,1.0,1,3.5,4.0,0.017606687401663546,0.00788632006802885,0.009720367333634695
core_interaction_c025,1024,100,0.0,0.0,0,16,5,3,0.001,75,grad_stability_var,10,all,30,"[0, 1, 3, 2, 12, 33, 64, 8, 44, 86]","[0, 1, 3, 2, 12, 33, 64, 8, 44, 86, 83, 35]","[[0, 1, 1.0], [0, 3, 0.06510371984476136], [0, 2, 0.05845375925167136], [1, 3, 0.04102040369042057], [1, 2, 0.0384745864749554], [0, 95, 0.021615615719781038], [0, 63, 0.019912034105290917], [0, 19, 0.01922408712801678], [0, 48, 0.018963437426190794], [0, 35, 0.018917285025279982]]",10,1,1.0,1,1.0,1,3.5,4.0,0.017606687401663546,0.00788632006802885,0.009720367333634695
core_interaction_c025,1024,100,0.0,0.0,0,16,5,3,0.001,75,grad_stability_var,20,all,30,"[0, 1, 3, 2, 12, 33, 64, 8, 44, 86, 83, 35, 11, 91, 5, 19, 15, 55, 20, 10]","[0, 1, 3, 2, 12, 33, 64, 8, 44, 86, 83, 35]","[[0, 1, 1.0], [0, 3, 0.06510371984476136], [0, 2, 0.05845375925167136], [1, 3, 0.04102040369042057], [1, 2, 0.0384745864749554], [0, 95, 0.021615615719781038], [0, 63, 0.019912034105290917], [0, 19, 0.01922408712801678], [0, 48, 0.018963437426190794], [0, 35, 0.018917285025279982]]",20,1,1.0,1,1.0,1,3.5,4.0,0.017606687401663546,0.00788632006802885,0.009720367333634695
core_interaction_c025,1024,100,0.0,0.0,0,16,5,3,0.001,75,feature_stability_var,4,all,30,"[0, 1, 3, 2]","[0, 1, 3, 2, 86, 12, 64, 20, 33, 8, 52, 11]","[[0, 1, 1.0], [0, 3, 0.06510371984476136], [0, 2, 0.05845375925167136], [1, 3, 0.04102040369042057], [1, 2, 0.0384745864749554], [0, 95, 0.021615615719781038], [0, 63, 0.019912034105290917], [0, 19, 0.01922408712801678], [0, 48, 0.018963437426190794], [0, 35, 0.018917285025279982]]",4,1,1.0,1,1.0,1,3.5,4.0,0.06074983802100697,0.010016950722161185,0.050732887298845786
core_interaction_c025,1024,100,0.0,0.0,0,16,5,3,0.001,75,feature_stability_var,6,all,30,"[0, 1, 3, 2, 86, 12]","[0, 1, 3, 2, 86, 12, 64, 20, 33, 8, 52, 11]","[[0, 1, 1.0], [0, 3, 0.06510371984476136], [0, 2, 0.05845375925167136], [1, 3, 0.04102040369042057], [1, 2, 0.0384745864749554], [0, 95, 0.021615615719781038], [0, 63, 0.019912034105290917], [0, 19, 0.01922408712801678], [0, 48, 0.018963437426190794], [0, 35, 0.018917285025279982]]",6,1,1.0,1,1.0,1,3.5,4.0,0.06074983802100697,0.010016950722161185,0.050732887298845786
core_interaction_c025,1024,100,0.0,0.0,0,16,5,3,0.001,75,feature_stability_var,10,all,30,"[0, 1, 3, 2, 86, 12, 64, 20, 33, 8]","[0, 1, 3, 2, 86, 12, 64, 20, 33, 8, 52, 11]","[[0, 1, 1.0], [0, 3, 0.06510371984476136], [0, 2, 0.05845375925167136], [1, 3, 0.04102040369042057], [1, 2, 0.0384745864749554], [0, 95, 0.021615615719781038], [0, 63, 0.019912034105290917], [0, 19, 0.01922408712801678], [0, 48, 0.018963437426190794], [0, 35, 0.018917285025279982]]",10,1,1.0,1,1.0,1,3.5,4.0,0.06074983802100697,0.010016950722161185,0.050732887298845786
core_interaction_c025,1024,100,0.0,0.0,0,16,5,3,0.001,75,feature_stability_var,20,all,30,"[0, 1, 3, 2, 86, 12, 64, 20, 33, 8, 52, 11, 98, 15, 55, 53, 35, 13, 7, 19]","[0, 1, 3, 2, 86, 12, 64, 20, 33, 8, 52, 11]","[[0, 1, 1.0], [0, 3, 0.06510371984476136], [0, 2, 0.05845375925167136], [1, 3, 0.04102040369042057], [1, 2, 0.0384745864749554], [0, 95, 0.021615615719781038], [0, 63, 0.019912034105290917], [0, 19, 0.01922408712801678], [0, 48, 0.018963437426190794], [0, 35, 0.018917285025279982]]",20,1,1.0,1,1.0,1,3.5,4.0,0.06074983802100697,0.010016950722161185,0.050732887298845786
core_interaction_c025,1024,100,0.0,0.0,0,16,5,3,0.001,75,edge_stability_var,4,all,30,"[0, 1, 3, 2]","[0, 1, 3, 2, 11, 86, 38, 53, 52, 20, 15, 64]","[[0, 1, 1.0], [0, 3, 0.06510371984476136], [0, 2, 0.05845375925167136], [1, 3, 0.04102040369042057], [1, 2, 0.0384745864749554], [0, 95, 0.021615615719781038], [0, 63, 0.019912034105290917], [0, 19, 0.01922408712801678], [0, 48, 0.018963437426190794], [0, 35, 0.018917285025279982]]",4,1,1.0,1,1.0,1,3.5,4.0,0.024229146232295804,0.005624402067171656,0.01860474416512415
core_interaction_c025,1024,100,0.0,0.0,0,16,5,3,0.001,75,edge_stability_var,6,all,30,"[0, 1, 3, 2, 11, 86]","[0, 1, 3, 2, 11, 86, 38, 53, 52, 20, 15, 64]","[[0, 1, 1.0], [0, 3, 0.06510371984476136], [0, 2, 0.05845375925167136], [1, 3, 0.04102040369042057], [1, 2, 0.0384745864749554], [0, 95, 0.021615615719781038], [0, 63, 0.019912034105290917], [0, 19, 0.01922408712801678], [0, 48, 0.018963437426190794], [0, 35, 0.018917285025279982]]",6,1,1.0,1,1.0,1,3.5,4.0,0.024229146232295804,0.005624402067171656,0.01860474416512415
