dataset,function,formula,c,noise,samples,test_samples,dimension,outer_seed,method,R,top_m,width_hidden,grid,lamb,probe_steps,num_ok_probes,probe_test_mse_mean,probe_test_mse_min,selected_screen_features,top_selection_variables,runtime_sec,screen_contains_all_true_vars,screen_true_var_recall,screen_true_var_f1,screen_contains_all_interaction_endpoints,screen_interaction_endpoint_recall,screen_contains_true_interactions,residual_top1_pair,residual_top_pair,residual_true_pair_rank_worst,residual_true_pair_score_mean,residual_max_false_pair_score
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,30,2000,feature_stability_var,20,4,16,5,0.001,75,20,0.0047222618886735,0.0010701545979827,"[0, 1, 2, 3]","[0, 1, 3, 2, 4, 24, 29, 26, 9, 11, 21, 7]",329.79324746131897,1,1.0,1.0,1,1.0,1,0,"[1, 21]",304.0,0.0233124438673257,0.3322483897209167
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,30,2000,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0047222618886735,0.0010701545979827,"[0, 1, 2, 3]","[0, 1, 3, 2, 4, 24, 26, 29, 11, 9, 21, 7]",329.7936954498291,1,1.0,1.0,1,1.0,1,0,"[1, 21]",304.0,0.0233124438673257,0.3322483897209167
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,30,2001,feature_stability_var,20,4,16,5,0.001,75,20,0.0050561444048071,0.0006720629753544,"[0, 1, 2, 3]","[0, 1, 2, 3, 21, 8, 22, 25, 15, 28, 11, 14]",345.1446006298065,1,1.0,1.0,1,1.0,1,0,"[1, 21]",264.0,0.0324899554252624,0.3050873577594757
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,30,2001,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0050561444048071,0.0006720629753544,"[0, 1, 2, 3]","[0, 1, 2, 3, 21, 8, 22, 25, 15, 11, 14, 28]",345.1450505256653,1,1.0,1.0,1,1.0,1,0,"[1, 21]",264.0,0.0324899554252624,0.3050873577594757
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,30,2002,feature_stability_var,20,4,16,5,0.001,75,20,0.0040498704736819,0.0005264285136945,"[0, 1, 2, 3]","[0, 1, 3, 2, 21, 11, 19, 4, 22, 8, 17, 28]",344.759485244751,1,1.0,1.0,1,1.0,1,0,"[1, 21]",425.0,0.0026986019220203,0.2913179993629455
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,30,2002,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0040498704736819,0.0005264285136945,"[0, 1, 2, 3]","[0, 1, 3, 2, 21, 11, 22, 19, 17, 8, 4, 18]",344.7599296569824,1,1.0,1.0,1,1.0,1,0,"[1, 21]",425.0,0.0026986019220203,0.2913179993629455
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,30,2003,feature_stability_var,20,4,16,5,0.001,75,20,0.0131285043637035,0.0001020643103402,"[0, 1, 2, 3]","[0, 1, 3, 2, 29, 21, 7, 25, 18, 4, 28, 26]",345.4667160511017,1,1.0,1.0,1,1.0,1,0,"[1, 21]",360.0,0.0137807494029402,0.3536820411682129
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,30,2003,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0131285043637035,0.0001020643103402,"[0, 1, 2, 3]","[0, 1, 3, 2, 29, 21, 7, 25, 18, 4, 28, 26]",345.46715259552,1,1.0,1.0,1,1.0,1,0,"[1, 21]",360.0,0.0137807494029402,0.3536820411682129
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,30,2004,feature_stability_var,20,4,16,5,0.001,75,20,0.0154396195663139,0.0002724142395891,"[0, 1, 2, 3]","[0, 1, 3, 2, 21, 18, 8, 11, 22, 14, 7, 20]",334.423681974411,1,1.0,1.0,1,1.0,1,0,"[1, 21]",293.0,0.0229507833719253,0.324968010187149
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,30,2004,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0154396195663139,0.0002724142395891,"[0, 1, 2, 3]","[0, 1, 3, 2, 21, 18, 8, 11, 14, 22, 7, 20]",334.42410111427307,1,1.0,1.0,1,1.0,1,0,"[1, 21]",293.0,0.0229507833719253,0.324968010187149
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,30,2005,feature_stability_var,20,4,16,5,0.001,75,20,0.0061310741339663,0.0013759464491158,"[0, 1, 2, 3]","[0, 1, 2, 3, 23, 15, 6, 9, 11, 21, 5, 14]",342.6950030326843,1,1.0,1.0,1,1.0,1,0,"[21, 24]",294.0,0.0254976209253072,0.3244513869285583
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,30,2005,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0061310741339663,0.0013759464491158,"[0, 1, 2, 3]","[0, 1, 2, 3, 23, 15, 9, 6, 11, 5, 7, 17]",342.6954343318939,1,1.0,1.0,1,1.0,1,0,"[21, 24]",294.0,0.0254976209253072,0.3244513869285583
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,30,2006,feature_stability_var,20,4,16,5,0.001,75,20,0.0087822117289761,0.0002274048747494,"[0, 1, 2, 3]","[0, 1, 2, 3, 21, 14, 17, 15, 9, 28, 6, 24]",344.6527180671692,1,1.0,1.0,1,1.0,1,0,"[1, 21]",343.0,0.0164075307548046,0.2962326109409332
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,30,2006,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0087822117289761,0.0002274048747494,"[0, 1, 2, 3]","[0, 1, 2, 3, 21, 14, 20, 28, 17, 15, 9, 11]",344.6531314849853,1,1.0,1.0,1,1.0,1,0,"[1, 21]",343.0,0.0164075307548046,0.2962326109409332
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,30,2007,feature_stability_var,20,4,16,5,0.001,75,20,0.0233158441784325,0.0006073546828702,"[0, 1, 2, 3]","[0, 1, 3, 2, 21, 9, 25, 11, 7, 14, 22, 23]",342.41471815109253,1,1.0,1.0,1,1.0,1,0,"[1, 21]",365.0,0.010883267968893,0.2768704295158386
