dataset,function,formula,c,noise,samples,test_samples,dimension,outer_seed,method,R,top_m,width_hidden,grid,lamb,probe_steps,num_ok_probes,probe_test_mse_mean,probe_test_mse_min,selected_screen_features,top_selection_variables,runtime_sec,screen_contains_all_true_vars,screen_true_var_recall,screen_true_var_f1,screen_contains_all_interaction_endpoints,screen_interaction_endpoint_recall,screen_contains_true_interactions,residual_top1_pair,residual_top_pair,residual_true_pair_rank_worst,residual_true_pair_score_mean,residual_max_false_pair_score
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,10,2000,feature_stability_var,20,4,16,5,0.001,75,20,0.0048181169404415,0.0007200854597613,"[0, 1, 2, 3]","[0, 1, 2, 3, 8, 9, 7, 6, 5, 4]",371.71219873428345,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.3458904325962066,0.311610609292984
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,10,2000,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0048181169404415,0.0007200854597613,"[0, 1, 2, 3]","[0, 1, 2, 3, 8, 7, 6, 5, 4, 9]",371.7125301361084,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.3458904325962066,0.311610609292984
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,10,2001,feature_stability_var,20,4,16,5,0.001,75,20,0.0072767342207953,0.0044697858393192,"[0, 1, 3, 4]","[0, 1, 3, 4, 2, 9, 6, 5, 8, 7]",398.4488751888275,0,0.75,0.75,0,0.5,0,0,"[1, 2]",2.0,0.2816684246063232,0.2928619384765625
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,10,2001,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0072767342207953,0.0044697858393192,"[0, 1, 2, 4]","[0, 1, 4, 2, 3, 9, 6, 8, 5, 7]",398.4492344856262,0,0.75,0.75,0,0.5,0,0,"[1, 2]",2.0,0.2816684246063232,0.2928619384765625
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,10,2002,feature_stability_var,20,4,16,5,0.001,75,20,0.0071410321979783,0.0026953965425491,"[0, 1, 2, 3]","[0, 1, 2, 3, 6, 8, 4, 9, 7, 5]",415.94951128959656,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.1854591816663742,0.1735973358154297
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,10,2002,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0071410321979783,0.0026953965425491,"[0, 1, 2, 3]","[0, 1, 2, 3, 8, 6, 4, 9, 7, 5]",415.949857711792,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.1854591816663742,0.1735973358154297
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,10,2003,feature_stability_var,20,4,16,5,0.001,75,20,0.005951032161829,0.0008261905168183,"[0, 1, 2, 3]","[0, 1, 3, 2, 9, 7, 4, 8, 5, 6]",389.6345195770264,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.3682554066181183,0.3222169876098633
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,10,2003,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.005951032161829,0.0008261905168183,"[0, 1, 2, 3]","[0, 2, 1, 3, 9, 7, 4, 5, 8, 6]",389.6348559856415,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.3682554066181183,0.3222169876098633
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,10,2004,feature_stability_var,20,4,16,5,0.001,75,20,0.0060208938666619,0.0020970227196812,"[0, 1, 2, 3]","[0, 1, 3, 2, 5, 7, 4, 8, 9, 6]",378.2211365699768,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.3700383305549621,0.2777305543422699
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,10,2004,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0060208938666619,0.0020970227196812,"[0, 1, 2, 3]","[0, 1, 3, 2, 8, 5, 7, 4, 9, 6]",378.2214684486389,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.3700383305549621,0.2777305543422699
