dataset,c,samples,dimension,noise,method,R,top_m,width_hidden,grid,lamb,probe_steps,screen_contains_all_true_vars_mean,screen_contains_all_true_vars_std,screen_true_var_recall_mean,screen_true_var_recall_std,screen_true_var_f1_mean,screen_true_var_f1_std,screen_contains_all_interaction_endpoints_mean,screen_contains_all_interaction_endpoints_std,screen_interaction_endpoint_recall_mean,screen_interaction_endpoint_recall_std,screen_contains_true_interactions_mean,screen_contains_true_interactions_std,probe_test_mse_mean_mean,probe_test_mse_mean_std,probe_test_mse_min_mean,probe_test_mse_min_std,residual_top1_pair_mean,residual_top1_pair_std,residual_true_pair_rank_worst_mean,residual_true_pair_rank_worst_std,runtime_sec_mean,runtime_sec_std,num_outer_seeds,endpoint_successes,support_pair_successes,residual_top1_successes
diabetes,0.1,128,10,0.0,feature_edge_hybrid,20,4,16,5,0.001,75,0.8,0.4216370213557839,0.95,0.10540925533894596,0.95,0.10540925533894596,0.8,0.4216370213557839,0.9,0.21081851067789195,0.8,0.4216370213557839,0.0063322915328899,0.001165208581388133,0.0018624666554387299,0.0011306611831603092,0.6,0.5163977794943222,2.4,2.6331223544175333,387.6260926485062,19.960702487378775,10,8,8,6
diabetes,0.1,128,10,0.0,feature_stability_var,20,4,16,5,0.001,75,0.9,0.31622776601683794,0.975,0.07905694150420951,0.975,0.07905694150420951,0.9,0.31622776601683794,0.95,0.15811388300841897,0.9,0.31622776601683794,0.0063322915328899,0.001165208581388133,0.0018624666554387299,0.0011306611831603092,0.6,0.5163977794943222,2.4,2.6331223544175333,387.6257553577423,19.96069825093482,10,9,9,6
diabetes,0.1,256,10,0.0,feature_edge_hybrid,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0020069872093153697,0.0006340153853371834,0.00034245159040432,0.00013173069916217733,1.0,0.0,1.0,0.0,399.61644411087036,19.795611468880505,10,10,10,10
diabetes,0.1,256,10,0.0,feature_stability_var,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0020069872093153697,0.0006340153853371834,0.00034245159040432,0.00013173069916217733,1.0,0.0,1.0,0.0,399.61612532138827,19.795602421729367,10,10,10,10
diabetes,0.1,384,10,0.0,feature_edge_hybrid,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0012638668392900964,0.00032340937369308644,0.00023207697231551917,7.392319839362774e-05,1.0,0.0,1.0,0.0,344.3406009197235,22.315185927830914,10,10,10,10
diabetes,0.1,384,10,0.0,feature_stability_var,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0012638668392900964,0.00032340937369308644,0.00023207697231551917,7.392319839362774e-05,1.0,0.0,1.0,0.0,344.34028754234316,22.31518743794727,10,10,10,10
diabetes,0.25,128,10,0.0,feature_edge_hybrid,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.016939224342931995,0.006711077976819073,0.001931611238978803,0.0009199275222940339,1.0,0.0,1.0,0.0,364.3044640064239,8.73983496637499,10,10,10,10
diabetes,0.25,128,10,0.0,feature_stability_var,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.016939224342931995,0.006711077976819073,0.001931611238978803,0.0009199275222940339,1.0,0.0,1.0,0.0,364.3041459560394,8.73982734446423,10,10,10,10
diabetes,0.25,256,10,0.0,feature_edge_hybrid,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0008707890108780702,0.0003407567589662829,0.00024188313400372863,4.234004369418802e-05,1.0,0.0,1.0,0.0,382.60523388385775,12.601922942238033,10,10,10,10
diabetes,0.25,256,10,0.0,feature_stability_var,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0008707890108780702,0.0003407567589662829,0.00024188313400372863,4.234004369418802e-05,1.0,0.0,1.0,0.0,382.6049213409424,12.6019154901242,10,10,10,10
