dataset,function,formula,c,noise,samples,test_samples,dimension,outer_seed,method,R,top_m,width_hidden,grid,lamb,probe_steps,num_ok_probes,probe_test_mse_mean,probe_test_mse_min,selected_screen_features,top_selection_variables,runtime_sec,screen_contains_all_true_vars,screen_true_var_recall,screen_true_var_f1,screen_contains_all_interaction_endpoints,screen_interaction_endpoint_recall,screen_contains_true_interactions,residual_top1_pair,residual_top_pair,residual_true_pair_rank_worst,residual_true_pair_score_mean,residual_max_false_pair_score
wine,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,13,2000,feature_stability_var,20,4,16,5,0.001,75,20,0.0091111961519345,0.0032887689303606,"[0, 1, 2, 3]","[0, 1, 3, 2, 10, 7, 8, 5, 12, 4, 11, 6]",335.6042592525482,1,1.0,1.0,1,1.0,1,0,"[1, 10]",26.0,0.1096783950924873,0.3167153298854828
wine,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,13,2000,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0091111961519345,0.0032887689303606,"[0, 1, 2, 3]","[0, 1, 3, 2, 12, 4, 7, 8, 10, 6, 5, 11]",335.60463094711304,1,1.0,1.0,1,1.0,1,0,"[1, 10]",26.0,0.1096783950924873,0.3167153298854828
wine,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,13,2001,feature_stability_var,20,4,16,5,0.001,75,20,0.0192644593422301,0.0020478786900639,"[0, 1, 3, 8]","[0, 1, 8, 3, 12, 9, 6, 2, 4, 11, 5, 10]",350.4785828590393,0,0.75,0.75,0,0.5,0,0,"[1, 5]",13.0,0.2023027241230011,0.3445577025413513
wine,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,13,2001,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0192644593422301,0.0020478786900639,"[0, 1, 3, 8]","[0, 1, 8, 3, 9, 12, 6, 2, 4, 5, 11, 10]",350.4789354801178,0,0.75,0.75,0,0.5,0,0,"[1, 5]",13.0,0.2023027241230011,0.3445577025413513
wine,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,13,2002,feature_stability_var,20,4,16,5,0.001,75,20,0.0077278603450395,0.0026213224045932,"[0, 1, 2, 3]","[0, 1, 3, 2, 8, 11, 9, 12, 7, 4, 5, 6]",329.6985020637512,1,1.0,1.0,1,1.0,1,0,"[0, 8]",28.0,0.1119700968265533,0.3720054030418396
wine,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,13,2002,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0077278603450395,0.0026213224045932,"[0, 1, 2, 3]","[0, 1, 3, 2, 8, 11, 9, 7, 4, 12, 10, 6]",329.69883918762207,1,1.0,1.0,1,1.0,1,0,"[0, 8]",28.0,0.1119700968265533,0.3720054030418396
wine,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,13,2003,feature_stability_var,20,4,16,5,0.001,75,20,0.0053482035640627,0.0026368675753474,"[0, 1, 2, 3]","[0, 1, 2, 3, 12, 5, 4, 8, 11, 9, 6, 7]",352.2650091648102,1,1.0,1.0,1,1.0,1,0,"[0, 8]",76.0,0.0074989986605942,0.3584046959877014
wine,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,13,2003,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0053482035640627,0.0026368675753474,"[0, 1, 2, 5]","[0, 1, 2, 5, 3, 12, 6, 4, 8, 11, 7, 9]",352.26538252830505,0,0.75,0.75,0,0.5,0,0,"[0, 8]",76.0,0.0074989986605942,0.3584046959877014
wine,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,13,2004,feature_stability_var,20,4,16,5,0.001,75,20,0.0110072933603078,0.002686942461878,"[0, 1, 2, 3]","[0, 1, 3, 2, 11, 12, 7, 4, 10, 8, 5, 9]",341.8787813186645,1,1.0,1.0,1,1.0,1,0,"[8, 10]",31.0,0.081272505223751,0.3250540792942047
wine,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,13,2004,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0110072933603078,0.002686942461878,"[0, 1, 3, 12]","[0, 1, 12, 3, 2, 10, 11, 4, 8, 7, 9, 5]",341.8791377544403,0,0.75,0.75,0,0.5,0,0,"[8, 10]",31.0,0.081272505223751,0.3250540792942047
