dataset,c,samples,dimension,noise,method,R,top_m,width_hidden,grid,lamb,probe_steps,screen_contains_all_true_vars_mean,screen_contains_all_true_vars_std,screen_true_var_recall_mean,screen_true_var_recall_std,screen_true_var_f1_mean,screen_true_var_f1_std,screen_contains_all_interaction_endpoints_mean,screen_contains_all_interaction_endpoints_std,screen_interaction_endpoint_recall_mean,screen_interaction_endpoint_recall_std,screen_contains_true_interactions_mean,screen_contains_true_interactions_std,probe_test_mse_mean_mean,probe_test_mse_mean_std,probe_test_mse_min_mean,probe_test_mse_min_std,residual_top1_pair_mean,residual_top1_pair_std,residual_true_pair_rank_worst_mean,residual_true_pair_rank_worst_std,runtime_sec_mean,runtime_sec_std,num_outer_seeds,endpoint_successes,support_pair_successes,residual_top1_successes
wine,0.1,128,13,0.0,feature_edge_hybrid,20,4,16,5,0.001,75,0.4,0.5163977794943222,0.85,0.12909944487358055,0.85,0.12909944487358055,0.4,0.5163977794943222,0.7,0.2581988897471611,0.4,0.5163977794943222,0.01126419913489368,0.0047797047906271255,0.00278579860460008,0.0005395565148890535,0.0,0.0,26.1,20.08564993554685,346.9805760383606,11.15641306911721,10,4,4,0
wine,0.1,128,13,0.0,feature_stability_var,20,4,16,5,0.001,75,0.6,0.5163977794943222,0.9,0.12909944487358055,0.9,0.12909944487358055,0.6,0.5163977794943222,0.8,0.25819888974716115,0.6,0.5163977794943222,0.01126419913489368,0.0047797047906271255,0.00278579860460008,0.0005395565148890535,0.0,0.0,26.1,20.08564993554685,346.98023841381075,11.156421045703052,10,6,6,0
wine,0.1,256,13,0.0,feature_edge_hybrid,20,4,16,5,0.001,75,0.9,0.31622776601683794,0.975,0.07905694150420951,0.975,0.07905694150420951,0.9,0.31622776601683794,0.95,0.15811388300841897,0.9,0.31622776601683794,0.0019227530443458201,0.00022858647602623408,0.00131216523004691,0.0002769301932053682,0.0,0.0,5.9,3.414023367751831,366.8233372449875,13.928288670163274,10,9,9,0
wine,0.1,256,13,0.0,feature_stability_var,20,4,16,5,0.001,75,0.6,0.5163977794943222,0.9,0.1290994448735806,0.9,0.1290994448735806,0.6,0.5163977794943222,0.8,0.2581988897471611,0.6,0.5163977794943222,0.0019227530443458201,0.00022858647602623408,0.00131216523004691,0.0002769301932053682,0.0,0.0,5.9,3.414023367751831,366.82300491333007,13.928289511655272,10,6,6,0
wine,0.1,384,13,0.0,feature_edge_hybrid,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.00137013531682125,0.00018727593325714348,0.0009371967578772001,0.0001600952499252175,0.7,0.48304589153964794,1.5,0.97182531580755,318.04007802009585,12.883585601125922,10,10,10,7
wine,0.1,384,13,0.0,feature_stability_var,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.00137013531682125,0.00018727593325714348,0.0009371967578772001,0.0001600952499252175,0.7,0.48304589153964794,1.5,0.97182531580755,318.0397583007813,12.883588483432836,10,10,10,7
wine,0.25,128,13,0.0,feature_edge_hybrid,20,4,16,5,0.001,75,0.9,0.31622776601683794,0.975,0.07905694150420949,0.975,0.07905694150420949,0.9,0.31622776601683794,0.95,0.15811388300841897,0.9,0.31622776601683794,0.03258107412722893,0.0078332076834052,0.007720208005048332,0.0032295524746594217,0.6,0.5163977794943222,2.6,2.5473297566057065,321.8271319389343,18.061709026616285,10,9,9,6
wine,0.25,128,13,0.0,feature_stability_var,20,4,16,5,0.001,75,0.9,0.31622776601683794,0.975,0.07905694150420949,0.975,0.07905694150420949,0.9,0.31622776601683794,0.95,0.15811388300841897,0.9,0.31622776601683794,0.03258107412722893,0.0078332076834052,0.007720208005048332,0.0032295524746594217,0.6,0.5163977794943222,2.6,2.5473297566057065,321.82680373191835,18.061711110784426,10,9,9,6
wine,0.25,256,13,0.0,feature_edge_hybrid,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.005168817925659823,0.0021425223183577868,0.00039865042926976455,0.00017485221102291182,1.0,0.0,1.0,0.0,336.00032036304475,5.514434986020099,10,10,10,10
wine,0.25,256,13,0.0,feature_stability_var,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.005168817925659823,0.0021425223183577868,0.00039865042926976455,0.00017485221102291182,1.0,0.0,1.0,0.0,336.0000047922134,5.514437816517368,10,10,10,10
