dataset,function,formula,c,noise,samples,test_samples,dimension,outer_seed,method,R,top_m,width_hidden,grid,lamb,probe_steps,num_ok_probes,probe_test_mse_mean,probe_test_mse_min,selected_screen_features,top_selection_variables,runtime_sec,screen_contains_all_true_vars,screen_true_var_recall,screen_true_var_f1,screen_contains_all_interaction_endpoints,screen_interaction_endpoint_recall,screen_contains_true_interactions,residual_top1_pair,residual_top_pair,residual_true_pair_rank_worst,residual_true_pair_score_mean,residual_max_false_pair_score
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,30,2000,feature_stability_var,20,4,16,5,0.001,75,20,0.013712790422141552,0.007991638034582138,"[0, 1, 2, 3]","[0, 1, 3, 2, 27, 4, 15, 7, 11, 28, 25, 21]",349.75493121147156,1,1.0,1.0,1,1.0,1,0,"[1, 21]",340.0,0.012253944762051105,0.30197250843048096
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,30,2000,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.013712790422141552,0.007991638034582138,"[0, 1, 2, 3]","[0, 1, 3, 2, 27, 4, 15, 7, 11, 28, 25, 21]",349.75543689727783,1,1.0,1.0,1,1.0,1,0,"[1, 21]",340.0,0.012253944762051105,0.30197250843048096
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,30,2001,feature_stability_var,20,4,16,5,0.001,75,20,0.016910840175114572,0.006104523316025734,"[0, 1, 2, 3]","[0, 1, 3, 2, 21, 11, 18, 8, 28, 24, 7, 4]",348.51176857948303,1,1.0,1.0,1,1.0,1,0,"[1, 21]",239.0,0.03186234086751938,0.2717304229736328
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,30,2001,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.016910840175114572,0.006104523316025734,"[0, 1, 2, 3]","[0, 1, 3, 2, 11, 21, 18, 8, 7, 24, 4, 29]",348.5122661590576,1,1.0,1.0,1,1.0,1,0,"[1, 21]",239.0,0.03186234086751938,0.2717304229736328
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,30,2002,feature_stability_var,20,4,16,5,0.001,75,20,0.014928422356024384,0.01055324450135231,"[0, 1, 2, 3]","[0, 1, 3, 2, 20, 18, 17, 4, 9, 19, 28, 27]",358.0721983909607,1,1.0,1.0,1,1.0,1,0,"[1, 21]",429.0,0.0007143488037399948,0.2529012858867645
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,30,2002,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.014928422356024384,0.01055324450135231,"[0, 1, 2, 3]","[0, 1, 3, 2, 20, 17, 18, 4, 8, 19, 28, 24]",358.0726866722107,1,1.0,1.0,1,1.0,1,0,"[1, 21]",429.0,0.0007143488037399948,0.2529012858867645
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,30,2003,feature_stability_var,20,4,16,5,0.001,75,20,0.021764253010042013,0.006333623081445694,"[0, 1, 2, 3]","[0, 1, 2, 3, 21, 24, 28, 26, 9, 13, 8, 7]",346.9063448905945,1,1.0,1.0,1,1.0,1,0,"[1, 21]",363.0,0.014476691372692585,0.31519725918769836
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,30,2003,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.021764253010042013,0.006333623081445694,"[0, 1, 2, 3]","[0, 1, 2, 3, 21, 24, 28, 26, 9, 8, 13, 7]",346.9068148136139,1,1.0,1.0,1,1.0,1,0,"[1, 21]",363.0,0.014476691372692585,0.31519725918769836
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,30,2004,feature_stability_var,20,4,16,5,0.001,75,20,0.02109645032323897,0.005869640037417412,"[0, 1, 2, 3]","[0, 1, 3, 2, 18, 21, 20, 24, 11, 9, 17, 14]",334.5930836200714,1,1.0,1.0,1,1.0,1,0,"[1, 21]",267.0,0.025749539956450462,0.3000287115573883
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,30,2004,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.02109645032323897,0.005869640037417412,"[0, 1, 2, 3]","[0, 1, 3, 2, 18, 21, 20, 24, 11, 9, 17, 7]",334.5935254096985,1,1.0,1.0,1,1.0,1,0,"[1, 21]",267.0,0.025749539956450462,0.3000287115573883
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,30,2005,feature_stability_var,20,4,16,5,0.001,75,20,0.01485217057634145,0.005987456068396568,"[0, 1, 2, 3]","[0, 1, 2, 3, 17, 8, 24, 21, 6, 11, 18, 4]",361.026460647583,1,1.0,1.0,1,1.0,1,0,"[21, 24]",278.0,0.024681303650140762,0.30890193581581116
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,30,2005,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.01485217057634145,0.005987456068396568,"[0, 1, 2, 3]","[0, 1, 2, 3, 17, 8, 20, 24, 18, 11, 4, 7]",361.02691316604614,1,1.0,1.0,1,1.0,1,0,"[21, 24]",278.0,0.024681303650140762,0.30890193581581116
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,30,2006,feature_stability_var,20,4,16,5,0.001,75,20,0.01592800880316645,0.005262153223156929,"[0, 1, 2, 3]","[0, 1, 2, 3, 21, 4, 20, 24, 17, 14, 18, 29]",364.44746589660645,1,1.0,1.0,1,1.0,1,0,"[1, 21]",345.0,0.013265049085021019,0.26532068848609924
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,30,2006,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.01592800880316645,0.005262153223156929,"[0, 1, 2, 3]","[0, 1, 2, 3, 20, 4, 9, 21, 18, 24, 14, 17]",364.4479007720947,1,1.0,1.0,1,1.0,1,0,"[1, 21]",345.0,0.013265049085021019,0.26532068848609924
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,30,2007,feature_stability_var,20,4,16,5,0.001,75,20,0.04873134735971689,0.006317418999969959,"[0, 1, 2, 3]","[0, 1, 3, 2, 21, 14, 22, 10, 11, 23, 27, 20]",390.6361882686615,1,1.0,1.0,1,1.0,1,0,"[1, 9]",374.0,0.008836474269628525,0.29486340284347534
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,30,2007,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.04873134735971689,0.006317418999969959,"[0, 1, 2, 3]","[0, 1, 2, 3, 21, 22, 14, 23, 10, 11, 7, 20]",390.6366276741028,1,1.0,1.0,1,1.0,1,0,"[1, 9]",374.0,0.008836474269628525,0.29486340284347534
