dataset,c,samples,dimension,noise,method,R,top_m,width_hidden,grid,lamb,probe_steps,screen_contains_all_true_vars_mean,screen_contains_all_true_vars_std,screen_true_var_recall_mean,screen_true_var_recall_std,screen_true_var_f1_mean,screen_true_var_f1_std,screen_contains_all_interaction_endpoints_mean,screen_contains_all_interaction_endpoints_std,screen_interaction_endpoint_recall_mean,screen_interaction_endpoint_recall_std,screen_contains_true_interactions_mean,screen_contains_true_interactions_std,probe_test_mse_mean_mean,probe_test_mse_mean_std,probe_test_mse_min_mean,probe_test_mse_min_std,residual_top1_pair_mean,residual_top1_pair_std,residual_true_pair_rank_worst_mean,residual_true_pair_rank_worst_std,runtime_sec_mean,runtime_sec_std,num_outer_seeds,endpoint_successes,support_pair_successes,residual_top1_successes
breast_cancer,0.1,128,30,0.05,feature_edge_hybrid,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.020083935880102217,0.010792357157744521,0.006807377515360713,0.0015035932701964784,0.0,0.0,328.5,59.96712062084985,357.82421844005586,15.378434088799274,10,10,10,0
breast_cancer,0.1,128,30,0.05,feature_stability_var,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.020083935880102217,0.010792357157744521,0.006807377515360713,0.0015035932701964784,0.0,0.0,328.5,59.96712062084985,357.82375729084015,15.378443538890291,10,10,10,0
breast_cancer,0.1,256,30,0.05,feature_edge_hybrid,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.006909572541480884,0.001172200037472272,0.004558361484669149,0.000591342244163384,0.0,0.0,380.7,39.36171292569016,371.66471164226533,17.540681540384575,10,10,10,0
breast_cancer,0.1,256,30,0.05,feature_stability_var,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.006909572541480884,0.001172200037472272,0.004558361484669149,0.000591342244163384,0.0,0.0,380.7,39.36171292569016,371.66425759792327,17.540674631047732,10,10,10,0
breast_cancer,0.1,384,30,0.05,feature_edge_hybrid,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.004686052235774696,0.0003945687363729838,0.003776629688218236,0.0002947737299760571,0.0,0.0,400.6,33.0528196813659,336.39900109767916,16.7079816780773,10,10,10,0
breast_cancer,0.1,384,30,0.05,feature_stability_var,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.004686052235774696,0.0003945687363729838,0.003776629688218236,0.0002947737299760571,0.0,0.0,400.6,33.0528196813659,336.3985510826111,16.707973985013744,10,10,10,0
breast_cancer,0.25,128,30,0.05,feature_edge_hybrid,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.02159537198022008,0.006658280298888832,0.006605842057615519,0.0010772902497752418,0.0,0.0,284.2,67.70983844480965,358.0164259910583,12.20931353207434,10,10,10,0
breast_cancer,0.25,128,30,0.05,feature_stability_var,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.02159537198022008,0.006658280298888832,0.006605842057615519,0.0010772902497752418,0.0,0.0,284.2,67.70983844480965,358.0159833431244,12.209318579301385,10,10,10,0
breast_cancer,0.25,256,30,0.05,feature_edge_hybrid,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.006355022195493802,0.0007812559655263156,0.0046229359926655885,0.0005711276970640776,0.0,0.0,351.1,57.964452708343394,384.56677267551424,22.540342507267273,10,10,10,0
breast_cancer,0.25,256,30,0.05,feature_stability_var,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.006355022195493802,0.0007812559655263156,0.0046229359926655885,0.0005711276970640776,0.0,0.0,351.1,57.964452708343394,384.5663135766983,22.540335140946464,10,10,10,0
