dataset,function,formula,c,noise,samples,test_samples,dimension,outer_seed,method,R,top_m,width_hidden,grid,lamb,probe_steps,num_ok_probes,probe_test_mse_mean,probe_test_mse_min,selected_screen_features,top_selection_variables,runtime_sec,screen_contains_all_true_vars,screen_true_var_recall,screen_true_var_f1,screen_contains_all_interaction_endpoints,screen_interaction_endpoint_recall,screen_contains_true_interactions,residual_top1_pair,residual_top_pair,residual_true_pair_rank_worst,residual_true_pair_score_mean,residual_max_false_pair_score
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,10,2000,feature_stability_var,20,4,16,5,0.001,75,20,0.01262972499243915,0.0060443393886089325,"[0, 1, 2, 3]","[0, 1, 2, 3, 8, 9, 6, 5, 7, 4]",365.95174908638,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.3165692687034607,0.3064340054988861
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,10,2000,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.01262972499243915,0.0060443393886089325,"[0, 1, 2, 8]","[0, 2, 1, 8, 3, 9, 6, 7, 5, 4]",365.95225262641907,0,0.75,0.75,0,0.5,0,1,"[2, 3]",1.0,0.3165692687034607,0.3064340054988861
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,10,2001,feature_stability_var,20,4,16,5,0.001,75,20,0.01598296840675175,0.005358593538403511,"[0, 1, 2, 3]","[0, 1, 2, 3, 8, 6, 4, 9, 5, 7]",360.22933650016785,1,1.0,1.0,1,1.0,1,0,"[1, 2]",2.0,0.2748764157295227,0.28925836086273193
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,10,2001,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.01598296840675175,0.005358593538403511,"[0, 1, 2, 8]","[0, 1, 2, 8, 6, 3, 4, 9, 5, 7]",360.229674577713,0,0.75,0.75,0,0.5,0,0,"[1, 2]",2.0,0.2748764157295227,0.28925836086273193
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,10,2002,feature_stability_var,20,4,16,5,0.001,75,20,0.014348184037953616,0.009559803642332554,"[0, 1, 2, 3]","[0, 1, 3, 2, 8, 7, 4, 5, 9, 6]",366.21778297424316,1,1.0,1.0,1,1.0,1,0,"[0, 9]",2.0,0.1411152333021164,0.16827860474586487
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,10,2002,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.014348184037953616,0.009559803642332554,"[0, 1, 2, 3]","[0, 1, 2, 3, 8, 7, 5, 9, 4, 6]",366.21810269355774,1,1.0,1.0,1,1.0,1,0,"[0, 9]",2.0,0.1411152333021164,0.16827860474586487
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,10,2003,feature_stability_var,20,4,16,5,0.001,75,20,0.017016892693936823,0.009353352710604668,"[0, 1, 2, 3]","[0, 3, 2, 1, 5, 7, 8, 9, 6, 4]",416.2024075984955,1,1.0,1.0,1,1.0,1,0,"[3, 6]",2.0,0.32048171758651733,0.33015334606170654
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,10,2003,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.017016892693936823,0.009353352710604668,"[0, 2, 3, 5]","[0, 2, 3, 5, 1, 7, 8, 9, 6, 4]",416.202748298645,0,0.75,0.75,1,1.0,1,0,"[3, 6]",2.0,0.32048171758651733,0.33015334606170654
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,10,2004,feature_stability_var,20,4,16,5,0.001,75,20,0.014061232632957398,0.006945034023374319,"[0, 1, 3, 5]","[0, 1, 3, 5, 2, 8, 7, 6, 9, 4]",374.39354825019836,0,0.75,0.75,0,0.5,0,1,"[2, 3]",1.0,0.36178869009017944,0.2309296876192093
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,10,2004,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.014061232632957398,0.006945034023374319,"[0, 1, 3, 5]","[0, 1, 3, 5, 2, 8, 7, 4, 9, 6]",374.39385294914246,0,0.75,0.75,0,0.5,0,1,"[2, 3]",1.0,0.36178869009017944,0.2309296876192093
