dataset,c,samples,dimension,noise,method,R,top_m,width_hidden,grid,lamb,probe_steps,screen_contains_all_true_vars_mean,screen_contains_all_true_vars_std,screen_true_var_recall_mean,screen_true_var_recall_std,screen_true_var_f1_mean,screen_true_var_f1_std,screen_contains_all_interaction_endpoints_mean,screen_contains_all_interaction_endpoints_std,screen_interaction_endpoint_recall_mean,screen_interaction_endpoint_recall_std,screen_contains_true_interactions_mean,screen_contains_true_interactions_std,probe_test_mse_mean_mean,probe_test_mse_mean_std,probe_test_mse_min_mean,probe_test_mse_min_std,residual_top1_pair_mean,residual_top1_pair_std,residual_true_pair_rank_worst_mean,residual_true_pair_rank_worst_std,runtime_sec_mean,runtime_sec_std,num_outer_seeds,endpoint_successes,support_pair_successes,residual_top1_successes
diabetes,0.1,128,10,0.05,feature_edge_hybrid,20,4,16,5,0.001,75,0.5,0.5270462766947299,0.875,0.13176156917368242,0.875,0.13176156917368242,0.6,0.5163977794943222,0.8,0.2581988897471611,0.6,0.5163977794943222,0.014612465237732977,0.001532600118633661,0.00801993845961988,0.0016778856135581648,0.5,0.5270462766947299,5.7,12.46372514316825,376.63737931251524,25.7817485084555,10,6,6,5
diabetes,0.1,128,10,0.05,feature_stability_var,20,4,16,5,0.001,75,0.8,0.4216370213557839,0.95,0.10540925533894598,0.95,0.10540925533894598,0.8,0.4216370213557839,0.9,0.21081851067789198,0.8,0.4216370213557839,0.014612465237732977,0.001532600118633661,0.00801993845961988,0.0016778856135581648,0.5,0.5270462766947299,5.7,12.46372514316825,376.6370395898819,25.781753779518706,10,8,8,5
diabetes,0.1,256,10,0.05,feature_edge_hybrid,20,4,16,5,0.001,75,0.7,0.48304589153964794,0.925,0.12076147288491197,0.925,0.12076147288491197,0.7,0.48304589153964794,0.85,0.24152294576982394,0.7,0.48304589153964794,0.0074055388034321365,0.0010439304330497282,0.004359308164566755,0.0003134591697030663,1.0,0.0,1.0,0.0,403.8208829164505,17.98559883455714,10,7,7,10
diabetes,0.1,256,10,0.05,feature_stability_var,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0074055388034321365,0.0010439304330497282,0.004359308164566755,0.0003134591697030663,1.0,0.0,1.0,0.0,403.8205743789673,17.98559315810785,10,10,10,10
diabetes,0.1,384,10,0.05,feature_edge_hybrid,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.005127397477626801,0.0005366470303743525,0.0034851668402552604,0.0002507760368696698,1.0,0.0,1.0,0.0,346.02439057826996,19.95705030189503,10,10,10,10
diabetes,0.1,384,10,0.05,feature_stability_var,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.005127397477626801,0.0005366470303743525,0.0034851668402552604,0.0002507760368696698,1.0,0.0,1.0,0.0,346.0240784645081,19.957052360094128,10,10,10,10
diabetes,0.25,128,10,0.05,feature_edge_hybrid,20,4,16,5,0.001,75,0.7,0.48304589153964794,0.925,0.12076147288491197,0.925,0.12076147288491197,1.0,0.0,1.0,0.0,1.0,0.0,0.028699669551569967,0.008208784171960673,0.00965984775684774,0.002839454443973173,1.0,0.0,1.0,0.0,388.87078642845154,25.49287944983178,10,10,10,10
diabetes,0.25,128,10,0.05,feature_stability_var,20,4,16,5,0.001,75,0.7,0.48304589153964794,0.925,0.12076147288491199,0.925,0.12076147288491199,1.0,0.0,1.0,0.0,1.0,0.0,0.028699669551569967,0.008208784171960673,0.00965984775684774,0.002839454443973173,1.0,0.0,1.0,0.0,388.8704678058624,25.492873040130405,10,10,10,10
diabetes,0.25,256,10,0.05,feature_edge_hybrid,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.006940738359699025,0.0008743711249429165,0.004728315328247845,0.0006753576473304691,1.0,0.0,1.0,0.0,390.64857108592986,12.119737867234262,10,10,10,10
diabetes,0.25,256,10,0.05,feature_stability_var,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.006940738359699025,0.0008743711249429165,0.004728315328247845,0.0006753576473304691,1.0,0.0,1.0,0.0,390.6482647418976,12.119735310334434,10,10,10,10
