dataset,function,formula,c,noise,samples,test_samples,dimension,outer_seed,method,R,top_m,width_hidden,grid,lamb,probe_steps,num_ok_probes,probe_test_mse_mean,probe_test_mse_min,selected_screen_features,top_selection_variables,runtime_sec,screen_contains_all_true_vars,screen_true_var_recall,screen_true_var_f1,screen_contains_all_interaction_endpoints,screen_interaction_endpoint_recall,screen_contains_true_interactions,residual_top1_pair,residual_top_pair,residual_true_pair_rank_worst,residual_true_pair_score_mean,residual_max_false_pair_score
wine,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,13,2000,feature_stability_var,20,4,16,5,0.001,75,20,0.02211977313272655,0.008964483626186848,"[0, 1, 2, 3]","[0, 1, 3, 2, 10, 4, 7, 5, 9, 11, 8, 12]",332.38579845428467,1,1.0,1.0,1,1.0,1,0,"[1, 10]",20.0,0.13131213188171387,0.3019976317882538
wine,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,13,2000,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.02211977313272655,0.008964483626186848,"[0, 1, 2, 3]","[0, 1, 3, 2, 10, 7, 4, 9, 5, 11, 12, 8]",332.3861520290375,1,1.0,1.0,1,1.0,1,0,"[1, 10]",20.0,0.13131213188171387,0.3019976317882538
wine,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,13,2001,feature_stability_var,20,4,16,5,0.001,75,20,0.012456709193065763,0.008685949258506298,"[0, 1, 2, 3]","[0, 1, 3, 2, 4, 5, 11, 8, 12, 10, 6, 9]",320.594801902771,1,1.0,1.0,1,1.0,1,0,"[1, 5]",12.0,0.18827976286411285,0.35529571771621704
wine,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,13,2001,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.012456709193065763,0.008685949258506298,"[0, 1, 2, 3]","[0, 1, 3, 2, 4, 5, 11, 8, 9, 10, 6, 12]",320.5951566696167,1,1.0,1.0,1,1.0,1,0,"[1, 5]",12.0,0.18827976286411285,0.35529571771621704
wine,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,13,2002,feature_stability_var,20,4,16,5,0.001,75,20,0.024239083658903836,0.007518362253904343,"[0, 1, 3, 5]","[0, 1, 3, 5, 2, 8, 12, 4, 11, 10, 7, 6]",310.556161403656,0,0.75,0.75,0,0.5,0,0,"[0, 8]",26.0,0.1220771074295044,0.3399006724357605
wine,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,13,2002,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.024239083658903836,0.007518362253904343,"[0, 1, 2, 3]","[0, 1, 3, 2, 5, 10, 12, 8, 4, 6, 11, 7]",310.5565037727356,1,1.0,1.0,1,1.0,1,0,"[0, 8]",26.0,0.1220771074295044,0.3399006724357605
wine,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,13,2003,feature_stability_var,20,4,16,5,0.001,75,20,0.016023328900337218,0.0091614481061697,"[0, 1, 8, 11]","[0, 1, 11, 8, 12, 3, 4, 6, 10, 7, 9, 2]",320.06923365592957,0,0.5,0.5,0,0.0,0,0,"[0, 8]",71.0,0.008290769532322884,0.33680999279022217
wine,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,13,2003,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.016023328900337218,0.0091614481061697,"[0, 1, 8, 11]","[0, 1, 11, 8, 6, 10, 12, 3, 4, 7, 9, 5]",320.06958532333374,0,0.5,0.5,0,0.0,0,0,"[0, 8]",71.0,0.008290769532322884,0.33680999279022217
wine,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,13,2004,feature_stability_var,20,4,16,5,0.001,75,20,0.015864156372845172,0.006168701685965061,"[0, 1, 3, 11]","[0, 1, 11, 3, 6, 9, 8, 12, 4, 10, 2, 7]",326.6308825016022,0,0.75,0.75,0,0.5,0,0,"[8, 10]",34.0,0.08047342300415039,0.33146461844444275
wine,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.05,128,512,13,2004,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.015864156372845172,0.006168701685965061,"[0, 1, 6, 11]","[0, 1, 6, 11, 3, 10, 12, 9, 8, 4, 2, 7]",326.63119983673096,0,0.5,0.5,0,0.0,0,0,"[8, 10]",34.0,0.08047342300415039,0.33146461844444275
