dataset,c,samples,dimension,noise,method,R,top_m,width_hidden,grid,lamb,probe_steps,screen_contains_all_true_vars_mean,screen_contains_all_true_vars_std,screen_true_var_recall_mean,screen_true_var_recall_std,screen_true_var_f1_mean,screen_true_var_f1_std,screen_contains_all_interaction_endpoints_mean,screen_contains_all_interaction_endpoints_std,screen_interaction_endpoint_recall_mean,screen_interaction_endpoint_recall_std,screen_contains_true_interactions_mean,screen_contains_true_interactions_std,probe_test_mse_mean_mean,probe_test_mse_mean_std,probe_test_mse_min_mean,probe_test_mse_min_std,residual_top1_pair_mean,residual_top1_pair_std,residual_true_pair_rank_worst_mean,residual_true_pair_rank_worst_std,runtime_sec_mean,runtime_sec_std,num_outer_seeds,endpoint_successes,support_pair_successes,residual_top1_successes
wine,0.1,128,13,0.05,feature_edge_hybrid,20,4,16,5,0.001,75,0.3,0.48304589153964794,0.75,0.2041241452319315,0.75,0.2041241452319315,0.3,0.48304589153964794,0.5,0.408248290463863,0.3,0.48304589153964794,0.019148100034799425,0.008204870540710167,0.007769085513427853,0.0011730305300104594,0.0,0.0,26.3,18.409236811991963,321.91193387508395,7.722056822873085,10,3,3,0
wine,0.1,128,13,0.05,feature_stability_var,20,4,16,5,0.001,75,0.2,0.4216370213557839,0.775,0.14191155304938666,0.775,0.14191155304938666,0.2,0.4216370213557839,0.55,0.2838231060987733,0.2,0.4216370213557839,0.019148100034799425,0.008204870540710167,0.007769085513427853,0.0011730305300104594,0.0,0.0,26.3,18.409236811991963,321.91160266399385,7.722057167712106,10,2,2,0
wine,0.1,256,13,0.05,feature_edge_hybrid,20,4,16,5,0.001,75,0.1,0.31622776601683794,0.775,0.07905694150420949,0.775,0.07905694150420949,0.1,0.31622776601683794,0.55,0.15811388300841897,0.1,0.31622776601683794,0.006732352676335722,0.0007400757491234467,0.005175421619787813,0.0005486187934292801,0.1,0.31622776601683794,5.7,4.643992535164831,337.4043778181076,8.20217302340634,10,1,1,1
wine,0.1,256,13,0.05,feature_stability_var,20,4,16,5,0.001,75,0.1,0.31622776601683794,0.775,0.07905694150420949,0.775,0.07905694150420949,0.1,0.31622776601683794,0.55,0.15811388300841897,0.1,0.31622776601683794,0.006732352676335722,0.0007400757491234467,0.005175421619787813,0.0005486187934292801,0.1,0.31622776601683794,5.7,4.643992535164831,337.40405044555666,8.202168754224836,10,1,1,1
wine,0.1,384,13,0.05,feature_edge_hybrid,20,4,16,5,0.001,75,0.5,0.5270462766947299,0.875,0.13176156917368248,0.875,0.13176156917368248,0.5,0.5270462766947299,0.75,0.26352313834736496,0.5,0.5270462766947299,0.004948397487781844,0.000516740306181433,0.004078887798823416,0.00040448851329643926,0.6,0.5163977794943222,2.2,2.2010098692292237,294.13686099052427,6.662816411135038,10,5,5,6
wine,0.1,384,13,0.05,feature_stability_var,20,4,16,5,0.001,75,0.6,0.5163977794943222,0.9,0.12909944487358055,0.9,0.12909944487358055,0.6,0.5163977794943222,0.8,0.2581988897471611,0.6,0.5163977794943222,0.004948397487781844,0.000516740306181433,0.004078887798823416,0.00040448851329643926,0.6,0.5163977794943222,2.2,2.2010098692292237,294.13653483390806,6.662810917047168,10,6,6,6
wine,0.25,128,13,0.05,feature_edge_hybrid,20,4,16,5,0.001,75,0.6,0.5163977794943222,0.9,0.12909944487358058,0.9,0.12909944487358058,0.6,0.5163977794943222,0.8,0.2581988897471611,0.6,0.5163977794943222,0.039362677442841235,0.007102587488599264,0.0160412373021245,0.0035011062871563763,0.4,0.5163977794943222,3.0,2.4037008503093262,322.34244935512544,8.02116421685147,10,6,6,4
wine,0.25,128,13,0.05,feature_stability_var,20,4,16,5,0.001,75,0.5,0.5270462766947299,0.875,0.13176156917368248,0.875,0.13176156917368248,0.5,0.5270462766947299,0.75,0.26352313834736496,0.5,0.5270462766947299,0.039362677442841235,0.007102587488599264,0.0160412373021245,0.0035011062871563763,0.4,0.5163977794943222,3.0,2.4037008503093262,322.34212987422944,8.021165304002226,10,5,5,4
wine,0.25,256,13,0.05,feature_edge_hybrid,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.011604976647067815,0.002019363107744103,0.005414808634668589,0.0006869962859761,1.0,0.0,1.0,0.0,339.36380372047427,5.016010428110125,10,10,10,10
wine,0.25,256,13,0.05,feature_stability_var,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.011604976647067815,0.002019363107744103,0.005414808634668589,0.0006869962859761,1.0,0.0,1.0,0.0,339.3634835720062,5.01600974983304,10,10,10,10
wine,0.25,384,13,0.05,feature_edge_hybrid,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.006038494614247036,0.0008473407534619417,0.003909060312435031,0.0003739997163809452,1.0,0.0,1.0,0.0,294.2011998176575,4.200067998289279,10,10,10,10
wine,0.25,384,13,0.05,feature_stability_var,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.006038494614247036,0.0008473407534619417,0.003909060312435031,0.0003739997163809452,1.0,0.0,1.0,0.0,294.200878739357,4.200071670374161,10,10,10,10
wine,0.5,128,13,0.05,feature_edge_hybrid,20,4,16,5,0.001,75,0.9,0.31622776601683794,0.975,0.07905694150420949,0.975,0.07905694150420949,0.9,0.31622776601683794,0.95,0.15811388300841897,0.9,0.31622776601683794,0.09912299281917512,0.023496418571224927,0.023536736331880092,0.005546404798651861,1.0,0.0,1.0,0.0,319.1691736459732,6.401816795374683,10,9,9,10
wine,0.5,128,13,0.05,feature_stability_var,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.09912299281917512,0.023496418571224927,0.023536736331880092,0.005546404798651861,1.0,0.0,1.0,0.0,319.1688569545746,6.401818132849292,10,10,10,10
wine,0.5,256,13,0.05,feature_edge_hybrid,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.019061366107780486,0.008473702313210376,0.0056737750768661496,0.0010224776605499734,1.0,0.0,1.0,0.0,341.25562810897827,4.6248673335492425,10,10,10,10
wine,0.5,256,13,0.05,feature_stability_var,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.019061366107780486,0.008473702313210376,0.0056737750768661496,0.0010224776605499734,1.0,0.0,1.0,0.0,341.25530977249144,4.624867528669819,10,10,10,10
wine,0.5,384,13,0.05,feature_edge_hybrid,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.00778031705529429,0.0023239625659020654,0.00418778711464256,0.0004272118974566668,1.0,0.0,1.0,0.0,299.4705483675003,6.564344076010053,10,10,10,10
wine,0.5,384,13,0.05,feature_stability_var,20,4,16,5,0.001,75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.00778031705529429,0.0023239625659020654,0.00418778711464256,0.0004272118974566668,1.0,0.0,1.0,0.0,299.47022624015807,6.564346748117951,10,10,10,10
