function,metric,dimension,samples,test_samples,noise,rf_trees,rf_max_depth,rf_min_samples_leaf,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,num_true_variables_mean,num_true_interactions_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,true_interaction_score_mean_mean,true_interaction_score_mean_std,max_nontrue_interaction_score_mean,max_nontrue_interaction_score_std,rf_screen_contains_all_true_vars_mean,rf_screen_true_var_recall_mean,rf_screen_contains_all_interaction_endpoints_mean,rf_screen_interaction_endpoint_recall_mean,rf_screen_contains_true_interactions_mean,num_rows,num_failed
additive_sparse,rf_feature_importance,100,1024,2048,0.0,500,,2,0.017481362148523732,0.001231441498051772,0.11471836277522807,0.011356732561116396,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,1.0,1.0,,,,3,0
compositional,rf_feature_importance,100,1024,2048,0.0,500,,2,0.06661314733791025,0.0008760659896023919,0.41933714010018325,0.011510094523047694,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,1.0,3,0
compositional,rf_pair_permutation_joint,100,1024,2048,0.0,500,,2,0.06661314733791025,0.0008760659896023919,0.41933714010018325,0.011510094523047694,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.06497474276585184,0.017623148576117825,0.8575599983802406,0.11701513607589113,1.0,1.0,1.0,1.0,1.0,3,0
compositional,rf_pair_permutation_synergy,100,1024,2048,0.0,500,,2,0.06661314733791025,0.0008760659896023919,0.41933714010018325,0.011510094523047694,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.5773502691896258,0.07142013840703226,0.01683816559931601,0.04738130126888184,0.026243306615552242,1.0,1.0,1.0,1.0,1.0,3,0
core_interaction,rf_feature_importance,100,1024,2048,0.0,500,,2,0.034974878395329735,0.0014119088293953733,0.2235940128445181,0.010885362948420785,4.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,1.0,3,0
core_interaction,rf_pair_permutation_joint,100,1024,2048,0.0,500,,2,0.034974878395329735,0.0014119088293953733,0.2235940128445181,0.010885362948420785,4.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0014381307820396667,0.0007704497893289042,1.582864232024151,0.10083436745472169,1.0,1.0,1.0,1.0,1.0,3,0
core_interaction,rf_pair_permutation_synergy,100,1024,2048,0.0,500,,2,0.034974878395329735,0.0014119088293953733,0.2235940128445181,0.010885362948420785,4.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.00010226114869061236,0.0001011408355122509,0.05681056552902913,0.04729763294789922,1.0,1.0,1.0,1.0,1.0,3,0
core_interaction_c5,rf_feature_importance,100,1024,2048,0.0,500,,2,0.09515686297191754,0.00863703328213372,0.6220602845853236,0.04171523261014885,4.0,1.0,0.9166666666666666,0.14433756729740646,0.9973958333333334,0.004510548978043943,0.9642857142857143,0.061858957413174216,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,1.0,3,0
core_interaction_c5,rf_pair_permutation_joint,100,1024,2048,0.0,500,,2,0.09515686297191754,0.00863703328213372,0.6220602845853236,0.04171523261014885,4.0,1.0,0.9166666666666666,0.14433756729740646,0.9973958333333334,0.004510548978043943,0.9642857142857143,0.061858957413174216,0.0,0.0,0.08456732449151061,0.0348885841808188,0.31382996121718537,0.02697522855193148,1.0,1.0,1.0,1.0,1.0,3,0
core_interaction_c5,rf_pair_permutation_synergy,100,1024,2048,0.0,500,,2,0.09515686297191754,0.00863703328213372,0.6220602845853236,0.04171523261014885,4.0,1.0,0.9166666666666666,0.14433756729740646,0.9973958333333334,0.004510548978043943,0.9642857142857143,0.061858957413174216,1.0,0.0,0.06238711591958563,0.016502116701219274,0.0298505663213542,0.03186887876590722,1.0,1.0,1.0,1.0,1.0,3,0
correlated_proxy,rf_feature_importance,100,1024,2048,0.0,500,,2,0.03448533726757393,0.0017017570457995503,0.22173257393494303,0.009792108241336505,4.0,1.0,0.5,0.0,0.9878472222222222,0.0015035163260145568,0.7611111111111111,0.0481125224324688,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,1.0,3,0
correlated_proxy,rf_pair_permutation_joint,100,1024,2048,0.0,500,,2,0.03448533726757393,0.0017017570457995503,0.22173257393494303,0.009792108241336505,4.0,1.0,0.5,0.0,0.9878472222222222,0.0015035163260145568,0.7611111111111111,0.0481125224324688,0.0,0.0,0.0014140564299726665,0.0007183393023884021,1.2851783170315503,0.18464309992861497,1.0,1.0,1.0,1.0,1.0,3,0
