model,function,seed,samples,test_samples,dimension,noise,screen_method,top_m,selected_screen_features,screen_scores,screen_contains_all_true_vars,screen_true_var_recall,screen_contains_true_interactions,kan_width,kan_grid,kan_k,kan_steps,kan_lamb,train_mse,test_mse,baseline_mse,formula,true_variables,true_interactions,row_type,target,original_variable,local_variable,hidden,pair,pair_in_screened_set,ablated_mse,delta_mse,synergy,is_true_active,is_true_interaction
SCREENED_KAN,core_interaction_c5,0,1024,2048,100,0.0,rf,10,"[0, 1, 2, 3, 39, 55, 66, 79, 80, 97]","[0.15491718480823433, 0.018755429788209814, 0.13451333180377653, 0.15272009379727944, 0.004739861664667355, 0.003976517095182944, 0.005157293847773369, 0.004375911437597476, 0.0033582420336954622, 0.004565636119683017, 0.005006182817003616, 0.0035466058060945006, 0.0043386256263837335, 0.005564555280167515, 0.005880388738949885, 0.006424086501811665, 0.004434565238938018, 0.004189706506810273, 0.005452558204098153, 0.005281076987585602, 0.005543620729288331, 0.004675409935867974, 0.0062195914484943025, 0.006908765689061342, 0.005533794985874036, 0.005916078329307393, 0.006686086304980528, 0.005082954596916872, 0.006141605211824626, 0.005594365110034379, 0.0062319458780500745, 0.005231403200023906, 0.003784927692366032, 0.007529969455863913, 0.005902324723374556, 0.006342891157815119, 0.00442340902064069, 0.0059043006448286596, 0.005040325742168967, 0.008824166951127678, 0.00431886476194794, 0.006972706087477337, 0.0059466818290014045, 0.004456010589353344, 0.005514218580841004, 0.005428333830268142, 0.004979212968150174, 0.006262138742080361, 0.006391615002420386, 0.006852253502776859, 0.004450949337030884, 0.00505906602241307, 0.003764744364514426, 0.00501962254261469, 0.005798042170204845, 0.008506369031074767, 0.005568684342598952, 0.007328248276293649, 0.005074286986537105, 0.005538115592999451, 0.005188424145990687, 0.006218796657815783, 0.007130788461811316, 0.005529147650501927, 0.005056810338543448, 0.005814526856038792, 0.008822729672139318, 0.005677854201832532, 0.005304013616057419, 0.006456620896242499, 0.005464235536107782, 0.006725043386551491, 0.004920570688064465, 0.0049888654583640805, 0.005001376214193943, 0.0059155552666276335, 0.0051406139910354495, 0.004609641810000431, 0.004557554523836945, 0.008857060006169308, 0.009321955664291276, 0.005742220099402403, 0.007608427370090921, 0.00385384431710632, 0.006065232871077102, 0.005757087844951713, 0.006095207433322679, 0.006816129441610187, 0.006040559821328474, 0.0033668671622195195, 0.004953287099302457, 0.0046213000945580255, 0.0067196446650774795, 0.0036735171097895783, 0.004474737708140673, 0.006487182558510398, 0.004068466204357354, 0.00921554008708899, 0.004946059304795733, 0.004846548292602706]",1,1.0,1,8,5,3,50,0.0,2.2040130716050044e-05,5.696775406249799e-05,5.696775406249799e-05,sin(2*pi*x0) + x1^2 + 5.0*x2*x3,"[0, 1, 2, 3]","[(2, 3)]",feature_path,x0,0,0,,,,0.15473540127277374,0.15467843351871124,,1,
SCREENED_KAN,core_interaction_c5,0,1024,2048,100,0.0,rf,10,"[0, 1, 2, 3, 39, 55, 66, 79, 80, 97]","[0.15491718480823433, 0.018755429788209814, 0.13451333180377653, 0.15272009379727944, 0.004739861664667355, 0.003976517095182944, 0.005157293847773369, 0.004375911437597476, 0.0033582420336954622, 0.004565636119683017, 0.005006182817003616, 0.0035466058060945006, 0.0043386256263837335, 0.005564555280167515, 0.005880388738949885, 0.006424086501811665, 0.004434565238938018, 0.004189706506810273, 0.005452558204098153, 0.005281076987585602, 0.005543620729288331, 0.004675409935867974, 0.0062195914484943025, 0.006908765689061342, 0.005533794985874036, 0.005916078329307393, 0.006686086304980528, 0.005082954596916872, 0.006141605211824626, 0.005594365110034379, 0.0062319458780500745, 0.005231403200023906, 0.003784927692366032, 0.007529969455863913, 0.005902324723374556, 0.006342891157815119, 0.00442340902064069, 0.0059043006448286596, 0.005040325742168967, 0.008824166951127678, 0.00431886476194794, 0.006972706087477337, 0.0059466818290014045, 0.004456010589353344, 0.005514218580841004, 0.005428333830268142, 0.004979212968150174, 0.006262138742080361, 0.006391615002420386, 0.006852253502776859, 0.004450949337030884, 0.00505906602241307, 0.003764744364514426, 0.00501962254261469, 0.005798042170204845, 0.008506369031074767, 0.005568684342598952, 0.007328248276293649, 0.005074286986537105, 0.005538115592999451, 0.005188424145990687, 0.006218796657815783, 0.007130788461811316, 0.005529147650501927, 0.005056810338543448, 0.005814526856038792, 0.008822729672139318, 0.005677854201832532, 0.005304013616057419, 0.006456620896242499, 0.005464235536107782, 0.006725043386551491, 0.004920570688064465, 0.0049888654583640805, 0.005001376214193943, 0.0059155552666276335, 0.0051406139910354495, 0.004609641810000431, 0.004557554523836945, 0.008857060006169308, 0.009321955664291276, 0.005742220099402403, 0.007608427370090921, 0.00385384431710632, 0.006065232871077102, 0.005757087844951713, 0.006095207433322679, 0.006816129441610187, 0.006040559821328474, 0.0033668671622195195, 0.004953287099302457, 0.0046213000945580255, 0.0067196446650774795, 0.0036735171097895783, 0.004474737708140673, 0.006487182558510398, 0.004068466204357354, 0.00921554008708899, 0.004946059304795733, 0.004846548292602706]",1,1.0,1,8,5,3,50,0.0,2.2040130716050044e-05,5.696775406249799e-05,5.696775406249799e-05,sin(2*pi*x0) + x1^2 + 5.0*x2*x3,"[0, 1, 2, 3]","[(2, 3)]",feature_path,x1,1,1,,,,0.061815910041332245,0.06175894228726975,,1,
SCREENED_KAN,core_interaction_c5,0,1024,2048,100,0.0,rf,10,"[0, 1, 2, 3, 39, 55, 66, 79, 80, 97]","[0.15491718480823433, 0.018755429788209814, 0.13451333180377653, 0.15272009379727944, 0.004739861664667355, 0.003976517095182944, 0.005157293847773369, 0.004375911437597476, 0.0033582420336954622, 0.004565636119683017, 0.005006182817003616, 0.0035466058060945006, 0.0043386256263837335, 0.005564555280167515, 0.005880388738949885, 0.006424086501811665, 0.004434565238938018, 0.004189706506810273, 0.005452558204098153, 0.005281076987585602, 0.005543620729288331, 0.004675409935867974, 0.0062195914484943025, 0.006908765689061342, 0.005533794985874036, 0.005916078329307393, 0.006686086304980528, 0.005082954596916872, 0.006141605211824626, 0.005594365110034379, 0.0062319458780500745, 0.005231403200023906, 0.003784927692366032, 0.007529969455863913, 0.005902324723374556, 0.006342891157815119, 0.00442340902064069, 0.0059043006448286596, 0.005040325742168967, 0.008824166951127678, 0.00431886476194794, 0.006972706087477337, 0.0059466818290014045, 0.004456010589353344, 0.005514218580841004, 0.005428333830268142, 0.004979212968150174, 0.006262138742080361, 0.006391615002420386, 0.006852253502776859, 0.004450949337030884, 0.00505906602241307, 0.003764744364514426, 0.00501962254261469, 0.005798042170204845, 0.008506369031074767, 0.005568684342598952, 0.007328248276293649, 0.005074286986537105, 0.005538115592999451, 0.005188424145990687, 0.006218796657815783, 0.007130788461811316, 0.005529147650501927, 0.005056810338543448, 0.005814526856038792, 0.008822729672139318, 0.005677854201832532, 0.005304013616057419, 0.006456620896242499, 0.005464235536107782, 0.006725043386551491, 0.004920570688064465, 0.0049888654583640805, 0.005001376214193943, 0.0059155552666276335, 0.0051406139910354495, 0.004609641810000431, 0.004557554523836945, 0.008857060006169308, 0.009321955664291276, 0.005742220099402403, 0.007608427370090921, 0.00385384431710632, 0.006065232871077102, 0.005757087844951713, 0.006095207433322679, 0.006816129441610187, 0.006040559821328474, 0.0033668671622195195, 0.004953287099302457, 0.0046213000945580255, 0.0067196446650774795, 0.0036735171097895783, 0.004474737708140673, 0.006487182558510398, 0.004068466204357354, 0.00921554008708899, 0.004946059304795733, 0.004846548292602706]",1,1.0,1,8,5,3,50,0.0,2.2040130716050044e-05,5.696775406249799e-05,5.696775406249799e-05,sin(2*pi*x0) + x1^2 + 5.0*x2*x3,"[0, 1, 2, 3]","[(2, 3)]",feature_path,x2,2,2,,,,1.1601650714874268,1.1601081037333643,,1,
SCREENED_KAN,core_interaction_c5,0,1024,2048,100,0.0,rf,10,"[0, 1, 2, 3, 39, 55, 66, 79, 80, 97]","[0.15491718480823433, 0.018755429788209814, 0.13451333180377653, 0.15272009379727944, 0.004739861664667355, 0.003976517095182944, 0.005157293847773369, 0.004375911437597476, 0.0033582420336954622, 0.004565636119683017, 0.005006182817003616, 0.0035466058060945006, 0.0043386256263837335, 0.005564555280167515, 0.005880388738949885, 0.006424086501811665, 0.004434565238938018, 0.004189706506810273, 0.005452558204098153, 0.005281076987585602, 0.005543620729288331, 0.004675409935867974, 0.0062195914484943025, 0.006908765689061342, 0.005533794985874036, 0.005916078329307393, 0.006686086304980528, 0.005082954596916872, 0.006141605211824626, 0.005594365110034379, 0.0062319458780500745, 0.005231403200023906, 0.003784927692366032, 0.007529969455863913, 0.005902324723374556, 0.006342891157815119, 0.00442340902064069, 0.0059043006448286596, 0.005040325742168967, 0.008824166951127678, 0.00431886476194794, 0.006972706087477337, 0.0059466818290014045, 0.004456010589353344, 0.005514218580841004, 0.005428333830268142, 0.004979212968150174, 0.006262138742080361, 0.006391615002420386, 0.006852253502776859, 0.004450949337030884, 0.00505906602241307, 0.003764744364514426, 0.00501962254261469, 0.005798042170204845, 0.008506369031074767, 0.005568684342598952, 0.007328248276293649, 0.005074286986537105, 0.005538115592999451, 0.005188424145990687, 0.006218796657815783, 0.007130788461811316, 0.005529147650501927, 0.005056810338543448, 0.005814526856038792, 0.008822729672139318, 0.005677854201832532, 0.005304013616057419, 0.006456620896242499, 0.005464235536107782, 0.006725043386551491, 0.004920570688064465, 0.0049888654583640805, 0.005001376214193943, 0.0059155552666276335, 0.0051406139910354495, 0.004609641810000431, 0.004557554523836945, 0.008857060006169308, 0.009321955664291276, 0.005742220099402403, 0.007608427370090921, 0.00385384431710632, 0.006065232871077102, 0.005757087844951713, 0.006095207433322679, 0.006816129441610187, 0.006040559821328474, 0.0033668671622195195, 0.004953287099302457, 0.0046213000945580255, 0.0067196446650774795, 0.0036735171097895783, 0.004474737708140673, 0.006487182558510398, 0.004068466204357354, 0.00921554008708899, 0.004946059304795733, 0.004846548292602706]",1,1.0,1,8,5,3,50,0.0,2.2040130716050044e-05,5.696775406249799e-05,5.696775406249799e-05,sin(2*pi*x0) + x1^2 + 5.0*x2*x3,"[0, 1, 2, 3]","[(2, 3)]",feature_path,x3,3,3,,,,1.2850552797317505,1.284998311977688,,1,
SCREENED_KAN,core_interaction_c5,0,1024,2048,100,0.0,rf,10,"[0, 1, 2, 3, 39, 55, 66, 79, 80, 97]","[0.15491718480823433, 0.018755429788209814, 0.13451333180377653, 0.15272009379727944, 0.004739861664667355, 0.003976517095182944, 0.005157293847773369, 0.004375911437597476, 0.0033582420336954622, 0.004565636119683017, 0.005006182817003616, 0.0035466058060945006, 0.0043386256263837335, 0.005564555280167515, 0.005880388738949885, 0.006424086501811665, 0.004434565238938018, 0.004189706506810273, 0.005452558204098153, 0.005281076987585602, 0.005543620729288331, 0.004675409935867974, 0.0062195914484943025, 0.006908765689061342, 0.005533794985874036, 0.005916078329307393, 0.006686086304980528, 0.005082954596916872, 0.006141605211824626, 0.005594365110034379, 0.0062319458780500745, 0.005231403200023906, 0.003784927692366032, 0.007529969455863913, 0.005902324723374556, 0.006342891157815119, 0.00442340902064069, 0.0059043006448286596, 0.005040325742168967, 0.008824166951127678, 0.00431886476194794, 0.006972706087477337, 0.0059466818290014045, 0.004456010589353344, 0.005514218580841004, 0.005428333830268142, 0.004979212968150174, 0.006262138742080361, 0.006391615002420386, 0.006852253502776859, 0.004450949337030884, 0.00505906602241307, 0.003764744364514426, 0.00501962254261469, 0.005798042170204845, 0.008506369031074767, 0.005568684342598952, 0.007328248276293649, 0.005074286986537105, 0.005538115592999451, 0.005188424145990687, 0.006218796657815783, 0.007130788461811316, 0.005529147650501927, 0.005056810338543448, 0.005814526856038792, 0.008822729672139318, 0.005677854201832532, 0.005304013616057419, 0.006456620896242499, 0.005464235536107782, 0.006725043386551491, 0.004920570688064465, 0.0049888654583640805, 0.005001376214193943, 0.0059155552666276335, 0.0051406139910354495, 0.004609641810000431, 0.004557554523836945, 0.008857060006169308, 0.009321955664291276, 0.005742220099402403, 0.007608427370090921, 0.00385384431710632, 0.006065232871077102, 0.005757087844951713, 0.006095207433322679, 0.006816129441610187, 0.006040559821328474, 0.0033668671622195195, 0.004953287099302457, 0.0046213000945580255, 0.0067196446650774795, 0.0036735171097895783, 0.004474737708140673, 0.006487182558510398, 0.004068466204357354, 0.00921554008708899, 0.004946059304795733, 0.004846548292602706]",1,1.0,1,8,5,3,50,0.0,2.2040130716050044e-05,5.696775406249799e-05,5.696775406249799e-05,sin(2*pi*x0) + x1^2 + 5.0*x2*x3,"[0, 1, 2, 3]","[(2, 3)]",feature_path,x4,4,,,,,,,,0,
SCREENED_KAN,core_interaction_c5,0,1024,2048,100,0.0,rf,10,"[0, 1, 2, 3, 39, 55, 66, 79, 80, 97]","[0.15491718480823433, 0.018755429788209814, 0.13451333180377653, 0.15272009379727944, 0.004739861664667355, 0.003976517095182944, 0.005157293847773369, 0.004375911437597476, 0.0033582420336954622, 0.004565636119683017, 0.005006182817003616, 0.0035466058060945006, 0.0043386256263837335, 0.005564555280167515, 0.005880388738949885, 0.006424086501811665, 0.004434565238938018, 0.004189706506810273, 0.005452558204098153, 0.005281076987585602, 0.005543620729288331, 0.004675409935867974, 0.0062195914484943025, 0.006908765689061342, 0.005533794985874036, 0.005916078329307393, 0.006686086304980528, 0.005082954596916872, 0.006141605211824626, 0.005594365110034379, 0.0062319458780500745, 0.005231403200023906, 0.003784927692366032, 0.007529969455863913, 0.005902324723374556, 0.006342891157815119, 0.00442340902064069, 0.0059043006448286596, 0.005040325742168967, 0.008824166951127678, 0.00431886476194794, 0.006972706087477337, 0.0059466818290014045, 0.004456010589353344, 0.005514218580841004, 0.005428333830268142, 0.004979212968150174, 0.006262138742080361, 0.006391615002420386, 0.006852253502776859, 0.004450949337030884, 0.00505906602241307, 0.003764744364514426, 0.00501962254261469, 0.005798042170204845, 0.008506369031074767, 0.005568684342598952, 0.007328248276293649, 0.005074286986537105, 0.005538115592999451, 0.005188424145990687, 0.006218796657815783, 0.007130788461811316, 0.005529147650501927, 0.005056810338543448, 0.005814526856038792, 0.008822729672139318, 0.005677854201832532, 0.005304013616057419, 0.006456620896242499, 0.005464235536107782, 0.006725043386551491, 0.004920570688064465, 0.0049888654583640805, 0.005001376214193943, 0.0059155552666276335, 0.0051406139910354495, 0.004609641810000431, 0.004557554523836945, 0.008857060006169308, 0.009321955664291276, 0.005742220099402403, 0.007608427370090921, 0.00385384431710632, 0.006065232871077102, 0.005757087844951713, 0.006095207433322679, 0.006816129441610187, 0.006040559821328474, 0.0033668671622195195, 0.004953287099302457, 0.0046213000945580255, 0.0067196446650774795, 0.0036735171097895783, 0.004474737708140673, 0.006487182558510398, 0.004068466204357354, 0.00921554008708899, 0.004946059304795733, 0.004846548292602706]",1,1.0,1,8,5,3,50,0.0,2.2040130716050044e-05,5.696775406249799e-05,5.696775406249799e-05,sin(2*pi*x0) + x1^2 + 5.0*x2*x3,"[0, 1, 2, 3]","[(2, 3)]",feature_path,x5,5,,,,,,,,0,
SCREENED_KAN,core_interaction_c5,0,1024,2048,100,0.0,rf,10,"[0, 1, 2, 3, 39, 55, 66, 79, 80, 97]","[0.15491718480823433, 0.018755429788209814, 0.13451333180377653, 0.15272009379727944, 0.004739861664667355, 0.003976517095182944, 0.005157293847773369, 0.004375911437597476, 0.0033582420336954622, 0.004565636119683017, 0.005006182817003616, 0.0035466058060945006, 0.0043386256263837335, 0.005564555280167515, 0.005880388738949885, 0.006424086501811665, 0.004434565238938018, 0.004189706506810273, 0.005452558204098153, 0.005281076987585602, 0.005543620729288331, 0.004675409935867974, 0.0062195914484943025, 0.006908765689061342, 0.005533794985874036, 0.005916078329307393, 0.006686086304980528, 0.005082954596916872, 0.006141605211824626, 0.005594365110034379, 0.0062319458780500745, 0.005231403200023906, 0.003784927692366032, 0.007529969455863913, 0.005902324723374556, 0.006342891157815119, 0.00442340902064069, 0.0059043006448286596, 0.005040325742168967, 0.008824166951127678, 0.00431886476194794, 0.006972706087477337, 0.0059466818290014045, 0.004456010589353344, 0.005514218580841004, 0.005428333830268142, 0.004979212968150174, 0.006262138742080361, 0.006391615002420386, 0.006852253502776859, 0.004450949337030884, 0.00505906602241307, 0.003764744364514426, 0.00501962254261469, 0.005798042170204845, 0.008506369031074767, 0.005568684342598952, 0.007328248276293649, 0.005074286986537105, 0.005538115592999451, 0.005188424145990687, 0.006218796657815783, 0.007130788461811316, 0.005529147650501927, 0.005056810338543448, 0.005814526856038792, 0.008822729672139318, 0.005677854201832532, 0.005304013616057419, 0.006456620896242499, 0.005464235536107782, 0.006725043386551491, 0.004920570688064465, 0.0049888654583640805, 0.005001376214193943, 0.0059155552666276335, 0.0051406139910354495, 0.004609641810000431, 0.004557554523836945, 0.008857060006169308, 0.009321955664291276, 0.005742220099402403, 0.007608427370090921, 0.00385384431710632, 0.006065232871077102, 0.005757087844951713, 0.006095207433322679, 0.006816129441610187, 0.006040559821328474, 0.0033668671622195195, 0.004953287099302457, 0.0046213000945580255, 0.0067196446650774795, 0.0036735171097895783, 0.004474737708140673, 0.006487182558510398, 0.004068466204357354, 0.00921554008708899, 0.004946059304795733, 0.004846548292602706]",1,1.0,1,8,5,3,50,0.0,2.2040130716050044e-05,5.696775406249799e-05,5.696775406249799e-05,sin(2*pi*x0) + x1^2 + 5.0*x2*x3,"[0, 1, 2, 3]","[(2, 3)]",single_edge,x0->h0,0,0,0,,,5.800319922855124e-05,1.0354451660532504e-06,,1,
SCREENED_KAN,core_interaction_c5,0,1024,2048,100,0.0,rf,10,"[0, 1, 2, 3, 39, 55, 66, 79, 80, 97]","[0.15491718480823433, 0.018755429788209814, 0.13451333180377653, 0.15272009379727944, 0.004739861664667355, 0.003976517095182944, 0.005157293847773369, 0.004375911437597476, 0.0033582420336954622, 0.004565636119683017, 0.005006182817003616, 0.0035466058060945006, 0.0043386256263837335, 0.005564555280167515, 0.005880388738949885, 0.006424086501811665, 0.004434565238938018, 0.004189706506810273, 0.005452558204098153, 0.005281076987585602, 0.005543620729288331, 0.004675409935867974, 0.0062195914484943025, 0.006908765689061342, 0.005533794985874036, 0.005916078329307393, 0.006686086304980528, 0.005082954596916872, 0.006141605211824626, 0.005594365110034379, 0.0062319458780500745, 0.005231403200023906, 0.003784927692366032, 0.007529969455863913, 0.005902324723374556, 0.006342891157815119, 0.00442340902064069, 0.0059043006448286596, 0.005040325742168967, 0.008824166951127678, 0.00431886476194794, 0.006972706087477337, 0.0059466818290014045, 0.004456010589353344, 0.005514218580841004, 0.005428333830268142, 0.004979212968150174, 0.006262138742080361, 0.006391615002420386, 0.006852253502776859, 0.004450949337030884, 0.00505906602241307, 0.003764744364514426, 0.00501962254261469, 0.005798042170204845, 0.008506369031074767, 0.005568684342598952, 0.007328248276293649, 0.005074286986537105, 0.005538115592999451, 0.005188424145990687, 0.006218796657815783, 0.007130788461811316, 0.005529147650501927, 0.005056810338543448, 0.005814526856038792, 0.008822729672139318, 0.005677854201832532, 0.005304013616057419, 0.006456620896242499, 0.005464235536107782, 0.006725043386551491, 0.004920570688064465, 0.0049888654583640805, 0.005001376214193943, 0.0059155552666276335, 0.0051406139910354495, 0.004609641810000431, 0.004557554523836945, 0.008857060006169308, 0.009321955664291276, 0.005742220099402403, 0.007608427370090921, 0.00385384431710632, 0.006065232871077102, 0.005757087844951713, 0.006095207433322679, 0.006816129441610187, 0.006040559821328474, 0.0033668671622195195, 0.004953287099302457, 0.0046213000945580255, 0.0067196446650774795, 0.0036735171097895783, 0.004474737708140673, 0.006487182558510398, 0.004068466204357354, 0.00921554008708899, 0.004946059304795733, 0.004846548292602706]",1,1.0,1,8,5,3,50,0.0,2.2040130716050044e-05,5.696775406249799e-05,5.696775406249799e-05,sin(2*pi*x0) + x1^2 + 5.0*x2*x3,"[0, 1, 2, 3]","[(2, 3)]",single_edge,x0->h1,0,0,1,,,7.043679943308234e-05,1.3469045370584354e-05,,1,
SCREENED_KAN,core_interaction_c5,0,1024,2048,100,0.0,rf,10,"[0, 1, 2, 3, 39, 55, 66, 79, 80, 97]","[0.15491718480823433, 0.018755429788209814, 0.13451333180377653, 0.15272009379727944, 0.004739861664667355, 0.003976517095182944, 0.005157293847773369, 0.004375911437597476, 0.0033582420336954622, 0.004565636119683017, 0.005006182817003616, 0.0035466058060945006, 0.0043386256263837335, 0.005564555280167515, 0.005880388738949885, 0.006424086501811665, 0.004434565238938018, 0.004189706506810273, 0.005452558204098153, 0.005281076987585602, 0.005543620729288331, 0.004675409935867974, 0.0062195914484943025, 0.006908765689061342, 0.005533794985874036, 0.005916078329307393, 0.006686086304980528, 0.005082954596916872, 0.006141605211824626, 0.005594365110034379, 0.0062319458780500745, 0.005231403200023906, 0.003784927692366032, 0.007529969455863913, 0.005902324723374556, 0.006342891157815119, 0.00442340902064069, 0.0059043006448286596, 0.005040325742168967, 0.008824166951127678, 0.00431886476194794, 0.006972706087477337, 0.0059466818290014045, 0.004456010589353344, 0.005514218580841004, 0.005428333830268142, 0.004979212968150174, 0.006262138742080361, 0.006391615002420386, 0.006852253502776859, 0.004450949337030884, 0.00505906602241307, 0.003764744364514426, 0.00501962254261469, 0.005798042170204845, 0.008506369031074767, 0.005568684342598952, 0.007328248276293649, 0.005074286986537105, 0.005538115592999451, 0.005188424145990687, 0.006218796657815783, 0.007130788461811316, 0.005529147650501927, 0.005056810338543448, 0.005814526856038792, 0.008822729672139318, 0.005677854201832532, 0.005304013616057419, 0.006456620896242499, 0.005464235536107782, 0.006725043386551491, 0.004920570688064465, 0.0049888654583640805, 0.005001376214193943, 0.0059155552666276335, 0.0051406139910354495, 0.004609641810000431, 0.004557554523836945, 0.008857060006169308, 0.009321955664291276, 0.005742220099402403, 0.007608427370090921, 0.00385384431710632, 0.006065232871077102, 0.005757087844951713, 0.006095207433322679, 0.006816129441610187, 0.006040559821328474, 0.0033668671622195195, 0.004953287099302457, 0.0046213000945580255, 0.0067196446650774795, 0.0036735171097895783, 0.004474737708140673, 0.006487182558510398, 0.004068466204357354, 0.00921554008708899, 0.004946059304795733, 0.004846548292602706]",1,1.0,1,8,5,3,50,0.0,2.2040130716050044e-05,5.696775406249799e-05,5.696775406249799e-05,sin(2*pi*x0) + x1^2 + 5.0*x2*x3,"[0, 1, 2, 3]","[(2, 3)]",single_edge,x0->h2,0,0,2,,,0.0782528817653656,0.0781959140113031,,1,
SCREENED_KAN,core_interaction_c5,0,1024,2048,100,0.0,rf,10,"[0, 1, 2, 3, 39, 55, 66, 79, 80, 97]","[0.15491718480823433, 0.018755429788209814, 0.13451333180377653, 0.15272009379727944, 0.004739861664667355, 0.003976517095182944, 0.005157293847773369, 0.004375911437597476, 0.0033582420336954622, 0.004565636119683017, 0.005006182817003616, 0.0035466058060945006, 0.0043386256263837335, 0.005564555280167515, 0.005880388738949885, 0.006424086501811665, 0.004434565238938018, 0.004189706506810273, 0.005452558204098153, 0.005281076987585602, 0.005543620729288331, 0.004675409935867974, 0.0062195914484943025, 0.006908765689061342, 0.005533794985874036, 0.005916078329307393, 0.006686086304980528, 0.005082954596916872, 0.006141605211824626, 0.005594365110034379, 0.0062319458780500745, 0.005231403200023906, 0.003784927692366032, 0.007529969455863913, 0.005902324723374556, 0.006342891157815119, 0.00442340902064069, 0.0059043006448286596, 0.005040325742168967, 0.008824166951127678, 0.00431886476194794, 0.006972706087477337, 0.0059466818290014045, 0.004456010589353344, 0.005514218580841004, 0.005428333830268142, 0.004979212968150174, 0.006262138742080361, 0.006391615002420386, 0.006852253502776859, 0.004450949337030884, 0.00505906602241307, 0.003764744364514426, 0.00501962254261469, 0.005798042170204845, 0.008506369031074767, 0.005568684342598952, 0.007328248276293649, 0.005074286986537105, 0.005538115592999451, 0.005188424145990687, 0.006218796657815783, 0.007130788461811316, 0.005529147650501927, 0.005056810338543448, 0.005814526856038792, 0.008822729672139318, 0.005677854201832532, 0.005304013616057419, 0.006456620896242499, 0.005464235536107782, 0.006725043386551491, 0.004920570688064465, 0.0049888654583640805, 0.005001376214193943, 0.0059155552666276335, 0.0051406139910354495, 0.004609641810000431, 0.004557554523836945, 0.008857060006169308, 0.009321955664291276, 0.005742220099402403, 0.007608427370090921, 0.00385384431710632, 0.006065232871077102, 0.005757087844951713, 0.006095207433322679, 0.006816129441610187, 0.006040559821328474, 0.0033668671622195195, 0.004953287099302457, 0.0046213000945580255, 0.0067196446650774795, 0.0036735171097895783, 0.004474737708140673, 0.006487182558510398, 0.004068466204357354, 0.00921554008708899, 0.004946059304795733, 0.004846548292602706]",1,1.0,1,8,5,3,50,0.0,2.2040130716050044e-05,5.696775406249799e-05,5.696775406249799e-05,sin(2*pi*x0) + x1^2 + 5.0*x2*x3,"[0, 1, 2, 3]","[(2, 3)]",single_edge,x0->h3,0,0,3,,,0.13017961382865906,0.13012264607459656,,1,
