function,dimension,noise,screen_method,top_m,row_type,target,original_variable,local_variable,hidden,pair,pair_in_screened_set,is_true_active,is_true_interaction,train_mse_mean,train_mse_std,train_mse_min,train_mse_max,test_mse_mean,test_mse_std,test_mse_min,test_mse_max,screen_contains_all_true_vars_mean,screen_contains_all_true_vars_std,screen_contains_all_true_vars_min,screen_contains_all_true_vars_max,screen_true_var_recall_mean,screen_true_var_recall_std,screen_true_var_recall_min,screen_true_var_recall_max,screen_contains_true_interactions_mean,screen_contains_true_interactions_std,screen_contains_true_interactions_min,screen_contains_true_interactions_max,baseline_mse_mean,baseline_mse_std,baseline_mse_min,baseline_mse_max,ablated_mse_mean,ablated_mse_std,ablated_mse_min,ablated_mse_max,delta_mse_mean,delta_mse_std,delta_mse_min,delta_mse_max,synergy_mean,synergy_std,synergy_min,synergy_max
core_interaction_c5,100,0.0,rf,10,feature_pair_path,"x0,x1",,,,"(0, 1)",1,,0,0.00021444503727252595,0.00024894407733580103,2.2040130716050044e-05,0.0004956026677973568,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,0.23702389498551688,0.045458075426681024,0.20322349667549133,0.28870320320129395,0.2365690955472625,0.045004594714841396,0.20292776974383742,0.28769149957224727,0.00388239433838559,0.0035828313476388967,0.0010779243893921375,0.007918617106042802
core_interaction_c5,100,0.0,rf,10,feature_pair_path,"x2,x3",,,,"(2, 3)",1,,1,0.00021444503727252595,0.00024894407733580103,2.2040130716050044e-05,0.0004956026677973568,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,0.8387018442153931,0.058843518432395436,0.795044481754303,0.905620276927948,0.8382470447771387,0.05924560375124977,0.7940327781252563,0.9055633091738855,-1.277447962656879,0.22972508182433185,-1.5395431065371668,-1.1109996155137196
core_interaction_c5,100,0.0,rf,10,feature_path,x0,0,0,,,,1,,0.00021444503727252595,0.00024894407733580103,2.2040130716050044e-05,0.0004956026677973568,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,0.15031927327315012,0.003859472674609927,0.1475926637649536,0.15473540127277374,0.14986447383489576,0.004260160499401413,0.14658096013590693,0.15467843351871124,,,,
core_interaction_c5,100,0.0,rf,10,feature_path,x1,1,1,,,,1,,0.00021444503727252595,0.00024894407733580103,2.2040130716050044e-05,0.0004956026677973568,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,0.08327702681223552,0.05057557657704076,0.046970851719379425,0.14104431867599487,0.08282222737398115,0.05011638186120656,0.04667512478772551,0.1400326150469482,,,,
core_interaction_c5,100,0.0,rf,10,feature_path,x2,2,2,,,,1,,0.00021444503727252595,0.00024894407733580103,2.2040130716050044e-05,0.0004956026677973568,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,1.044633189837138,0.1044807614749777,0.956775426864624,1.1601650714874268,1.0441783903988835,0.10491408287073514,0.9557637232355773,1.1601081037333643,,,,
core_interaction_c5,100,0.0,rf,10,feature_path,x3,3,3,,,,1,,0.00021444503727252595,0.00024894407733580103,2.2040130716050044e-05,0.0004956026677973568,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,1.0719714164733887,0.19274528170262667,0.909777045249939,1.2850552797317505,1.0715166170351342,0.19297228271233188,0.909481318318285,1.284998311977688,,,,
core_interaction_c5,100,0.0,rf,10,feature_path,x4,4,,,,,0,,0.00021444503727252595,0.00024894407733580103,2.2040130716050044e-05,0.0004956026677973568,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,,,,,,,,,,,,
core_interaction_c5,100,0.0,rf,10,feature_path,x5,5,,,,,0,,0.00021444503727252595,0.00024894407733580103,2.2040130716050044e-05,0.0004956026677973568,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,,,,,,,,,,,,
core_interaction_c5,100,0.0,rf,10,shared_hidden_pair_edges,"x0,x1->h0",,,0,"(0, 1)",1,,0,0.00021444503727252595,0.00024894407733580103,2.2040130716050044e-05,0.0004956026677973568,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,0.0009731546463929893,0.0007925644644674584,6.01138781348709e-05,0.0014837661292403936,0.0005183552081386248,0.0006073629649640448,3.1461240723729134e-06,0.0011880391975864768,-2.0888299332000315e-05,3.7706587299205275e-05,-6.442575249820948e-05,1.273307134397328e-06
core_interaction_c5,100,0.0,rf,10,shared_hidden_pair_edges,"x0,x1->h1",,,1,"(0, 1)",1,,0,0.00021444503727252595,0.00024894407733580103,2.2040130716050044e-05,0.0004956026677973568,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,0.0018216799556588132,0.0015858855807126461,0.0005101155256852508,0.0035842061042785645,0.001366880517404449,0.0011799543930163237,0.00021438859403133392,0.002572502475231886,-0.00010328669911056447,0.00013377924625896073,-0.0002450358842907008,2.0759907783940434e-05
core_interaction_c5,100,0.0,rf,10,shared_hidden_pair_edges,"x0,x1->h2",,,2,"(0, 1)",1,,0,0.00021444503727252595,0.00024894407733580103,2.2040130716050044e-05,0.0004956026677973568,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,0.025906904057289164,0.03745771990998412,0.0010319484863430262,0.06898762285709381,0.0254521046190348,0.037834157114669545,2.0244857296347618e-05,0.06893065510303131,-0.004803027054246438,0.008745461673993213,-0.014897032491717255,0.0005016393261030316
core_interaction_c5,100,0.0,rf,10,shared_hidden_pair_edges,"x0,x1->h3",,,3,"(0, 1)",1,,0,0.00021444503727252595,0.00024894407733580103,2.2040130716050044e-05,0.0004956026677973568,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,0.18066107481718063,0.0804769504288737,0.10933319479227066,0.26790785789489746,0.18020627537892628,0.0800657165128667,0.10903746786061674,0.2668961542658508,0.014481355602280624,0.010327150539119286,0.003154922742396593,0.02337473878651508
