model,function,seed,samples,test_samples,dimension,noise,screen_method,top_m,selected_screen_features,screen_scores,screen_contains_all_true_vars,screen_true_var_recall,screen_contains_true_interactions,kan_width,kan_grid,kan_k,kan_steps,kan_lamb,train_mse,test_mse,baseline_mse,formula,true_variables,true_interactions,row_type,target,original_variable,local_variable,hidden,pair,pair_in_screened_set,ablated_mse,delta_mse,synergy,is_true_active,is_true_interaction
SCREENED_KAN,core_interaction,0,1024,2048,100,0.0,rf,10,"[0, 1, 2, 3, 23, 40, 52, 80, 93, 96]","[0.7214719311887784, 0.0880555802383202, 0.006067350273837756, 0.00635979713711802, 0.0014371169462600963, 0.0011990483560238173, 0.0017587135449562122, 0.001808500132161643, 0.001760428510932816, 0.0016990258937564576, 0.0017452845839545008, 0.0013491621809746629, 0.0014716519876688246, 0.0015265646675885827, 0.0021852923734279705, 0.0013527829686459773, 0.0014818648450161877, 0.0019161306853494207, 0.0020797283755057735, 0.001436509327610641, 0.0015800637214268883, 0.0012453311346661588, 0.001661080374651204, 0.003040977494320406, 0.0015886192304232654, 0.0020332443578156075, 0.00223962506227725, 0.0018499355648224779, 0.002197482858258126, 0.0017572677297619172, 0.0015241043274761706, 0.002079863346771627, 0.0015971205259260996, 0.00237227588437724, 0.001682299902091787, 0.0018439202870699186, 0.002038213514387841, 0.0020211958631580146, 0.0016666042264326462, 0.0016054425596932612, 0.0030246723162759264, 0.0022645785537340323, 0.0016847170053830166, 0.002154804649904006, 0.0020475039591715143, 0.0022807766415343196, 0.0019923490674847435, 0.0016499210899485071, 0.0013790096562225713, 0.0017955565837607253, 0.0015228579895525383, 0.001452765858258446, 0.0030143613392132466, 0.0015969591223031722, 0.0012698502480828708, 0.001839849110531928, 0.002122400201015627, 0.0019647176303221473, 0.0017162416281741757, 0.0021187236881700508, 0.001970230922633413, 0.001507694387135181, 0.0026397807057247542, 0.0018908537445258178, 0.0016449634358383862, 0.0013976792010880448, 0.002018376247221603, 0.0013827353635924831, 0.0018419501166439724, 0.002292012478411431, 0.0019886449107113357, 0.0018036505630768939, 0.001713024996321635, 0.00141331174620066, 0.002039194008049689, 0.0017778560668432544, 0.0019397960940136718, 0.0021081054960865415, 0.0014276170461229778, 0.0017258026147210768, 0.0032954960295807872, 0.0017695226776128262, 0.002387252179038316, 0.0017599371612303516, 0.001729900327851754, 0.002013127764562217, 0.00178270248757891, 0.0015845824197550696, 0.0025647294233582603, 0.0011683372955530419, 0.0015528978113613764, 0.0011739527086541766, 0.00196664240655015, 0.0031969595388720734, 0.0018792017973687678, 0.0011964701518065838, 0.0027545135451690177, 0.0019917698797327576, 0.0011557998296416118, 0.0018731758970196113]",1,1.0,1,8,5,3,50,0.0,1.8600023850012803e-06,5.574390343099367e-06,5.574390343099367e-06,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]",feature_path,x0,0,0,,,,1.2480599880218506,1.2480544136315075,,1,
SCREENED_KAN,core_interaction,0,1024,2048,100,0.0,rf,10,"[0, 1, 2, 3, 23, 40, 52, 80, 93, 96]","[0.7214719311887784, 0.0880555802383202, 0.006067350273837756, 0.00635979713711802, 0.0014371169462600963, 0.0011990483560238173, 0.0017587135449562122, 0.001808500132161643, 0.001760428510932816, 0.0016990258937564576, 0.0017452845839545008, 0.0013491621809746629, 0.0014716519876688246, 0.0015265646675885827, 0.0021852923734279705, 0.0013527829686459773, 0.0014818648450161877, 0.0019161306853494207, 0.0020797283755057735, 0.001436509327610641, 0.0015800637214268883, 0.0012453311346661588, 0.001661080374651204, 0.003040977494320406, 0.0015886192304232654, 0.0020332443578156075, 0.00223962506227725, 0.0018499355648224779, 0.002197482858258126, 0.0017572677297619172, 0.0015241043274761706, 0.002079863346771627, 0.0015971205259260996, 0.00237227588437724, 0.001682299902091787, 0.0018439202870699186, 0.002038213514387841, 0.0020211958631580146, 0.0016666042264326462, 0.0016054425596932612, 0.0030246723162759264, 0.0022645785537340323, 0.0016847170053830166, 0.002154804649904006, 0.0020475039591715143, 0.0022807766415343196, 0.0019923490674847435, 0.0016499210899485071, 0.0013790096562225713, 0.0017955565837607253, 0.0015228579895525383, 0.001452765858258446, 0.0030143613392132466, 0.0015969591223031722, 0.0012698502480828708, 0.001839849110531928, 0.002122400201015627, 0.0019647176303221473, 0.0017162416281741757, 0.0021187236881700508, 0.001970230922633413, 0.001507694387135181, 0.0026397807057247542, 0.0018908537445258178, 0.0016449634358383862, 0.0013976792010880448, 0.002018376247221603, 0.0013827353635924831, 0.0018419501166439724, 0.002292012478411431, 0.0019886449107113357, 0.0018036505630768939, 0.001713024996321635, 0.00141331174620066, 0.002039194008049689, 0.0017778560668432544, 0.0019397960940136718, 0.0021081054960865415, 0.0014276170461229778, 0.0017258026147210768, 0.0032954960295807872, 0.0017695226776128262, 0.002387252179038316, 0.0017599371612303516, 0.001729900327851754, 0.002013127764562217, 0.00178270248757891, 0.0015845824197550696, 0.0025647294233582603, 0.0011683372955530419, 0.0015528978113613764, 0.0011739527086541766, 0.00196664240655015, 0.0031969595388720734, 0.0018792017973687678, 0.0011964701518065838, 0.0027545135451690177, 0.0019917698797327576, 0.0011557998296416118, 0.0018731758970196113]",1,1.0,1,8,5,3,50,0.0,1.8600023850012803e-06,5.574390343099367e-06,5.574390343099367e-06,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]",feature_path,x1,1,1,,,,0.1447686105966568,0.1447630362063137,,1,
SCREENED_KAN,core_interaction,0,1024,2048,100,0.0,rf,10,"[0, 1, 2, 3, 23, 40, 52, 80, 93, 96]","[0.7214719311887784, 0.0880555802383202, 0.006067350273837756, 0.00635979713711802, 0.0014371169462600963, 0.0011990483560238173, 0.0017587135449562122, 0.001808500132161643, 0.001760428510932816, 0.0016990258937564576, 0.0017452845839545008, 0.0013491621809746629, 0.0014716519876688246, 0.0015265646675885827, 0.0021852923734279705, 0.0013527829686459773, 0.0014818648450161877, 0.0019161306853494207, 0.0020797283755057735, 0.001436509327610641, 0.0015800637214268883, 0.0012453311346661588, 0.001661080374651204, 0.003040977494320406, 0.0015886192304232654, 0.0020332443578156075, 0.00223962506227725, 0.0018499355648224779, 0.002197482858258126, 0.0017572677297619172, 0.0015241043274761706, 0.002079863346771627, 0.0015971205259260996, 0.00237227588437724, 0.001682299902091787, 0.0018439202870699186, 0.002038213514387841, 0.0020211958631580146, 0.0016666042264326462, 0.0016054425596932612, 0.0030246723162759264, 0.0022645785537340323, 0.0016847170053830166, 0.002154804649904006, 0.0020475039591715143, 0.0022807766415343196, 0.0019923490674847435, 0.0016499210899485071, 0.0013790096562225713, 0.0017955565837607253, 0.0015228579895525383, 0.001452765858258446, 0.0030143613392132466, 0.0015969591223031722, 0.0012698502480828708, 0.001839849110531928, 0.002122400201015627, 0.0019647176303221473, 0.0017162416281741757, 0.0021187236881700508, 0.001970230922633413, 0.001507694387135181, 0.0026397807057247542, 0.0018908537445258178, 0.0016449634358383862, 0.0013976792010880448, 0.002018376247221603, 0.0013827353635924831, 0.0018419501166439724, 0.002292012478411431, 0.0019886449107113357, 0.0018036505630768939, 0.001713024996321635, 0.00141331174620066, 0.002039194008049689, 0.0017778560668432544, 0.0019397960940136718, 0.0021081054960865415, 0.0014276170461229778, 0.0017258026147210768, 0.0032954960295807872, 0.0017695226776128262, 0.002387252179038316, 0.0017599371612303516, 0.001729900327851754, 0.002013127764562217, 0.00178270248757891, 0.0015845824197550696, 0.0025647294233582603, 0.0011683372955530419, 0.0015528978113613764, 0.0011739527086541766, 0.00196664240655015, 0.0031969595388720734, 0.0018792017973687678, 0.0011964701518065838, 0.0027545135451690177, 0.0019917698797327576, 0.0011557998296416118, 0.0018731758970196113]",1,1.0,1,8,5,3,50,0.0,1.8600023850012803e-06,5.574390343099367e-06,5.574390343099367e-06,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]",feature_path,x2,2,2,,,,0.21108733117580414,0.21108175678546104,,1,
SCREENED_KAN,core_interaction,0,1024,2048,100,0.0,rf,10,"[0, 1, 2, 3, 23, 40, 52, 80, 93, 96]","[0.7214719311887784, 0.0880555802383202, 0.006067350273837756, 0.00635979713711802, 0.0014371169462600963, 0.0011990483560238173, 0.0017587135449562122, 0.001808500132161643, 0.001760428510932816, 0.0016990258937564576, 0.0017452845839545008, 0.0013491621809746629, 0.0014716519876688246, 0.0015265646675885827, 0.0021852923734279705, 0.0013527829686459773, 0.0014818648450161877, 0.0019161306853494207, 0.0020797283755057735, 0.001436509327610641, 0.0015800637214268883, 0.0012453311346661588, 0.001661080374651204, 0.003040977494320406, 0.0015886192304232654, 0.0020332443578156075, 0.00223962506227725, 0.0018499355648224779, 0.002197482858258126, 0.0017572677297619172, 0.0015241043274761706, 0.002079863346771627, 0.0015971205259260996, 0.00237227588437724, 0.001682299902091787, 0.0018439202870699186, 0.002038213514387841, 0.0020211958631580146, 0.0016666042264326462, 0.0016054425596932612, 0.0030246723162759264, 0.0022645785537340323, 0.0016847170053830166, 0.002154804649904006, 0.0020475039591715143, 0.0022807766415343196, 0.0019923490674847435, 0.0016499210899485071, 0.0013790096562225713, 0.0017955565837607253, 0.0015228579895525383, 0.001452765858258446, 0.0030143613392132466, 0.0015969591223031722, 0.0012698502480828708, 0.001839849110531928, 0.002122400201015627, 0.0019647176303221473, 0.0017162416281741757, 0.0021187236881700508, 0.001970230922633413, 0.001507694387135181, 0.0026397807057247542, 0.0018908537445258178, 0.0016449634358383862, 0.0013976792010880448, 0.002018376247221603, 0.0013827353635924831, 0.0018419501166439724, 0.002292012478411431, 0.0019886449107113357, 0.0018036505630768939, 0.001713024996321635, 0.00141331174620066, 0.002039194008049689, 0.0017778560668432544, 0.0019397960940136718, 0.0021081054960865415, 0.0014276170461229778, 0.0017258026147210768, 0.0032954960295807872, 0.0017695226776128262, 0.002387252179038316, 0.0017599371612303516, 0.001729900327851754, 0.002013127764562217, 0.00178270248757891, 0.0015845824197550696, 0.0025647294233582603, 0.0011683372955530419, 0.0015528978113613764, 0.0011739527086541766, 0.00196664240655015, 0.0031969595388720734, 0.0018792017973687678, 0.0011964701518065838, 0.0027545135451690177, 0.0019917698797327576, 0.0011557998296416118, 0.0018731758970196113]",1,1.0,1,8,5,3,50,0.0,1.8600023850012803e-06,5.574390343099367e-06,5.574390343099367e-06,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]",feature_path,x3,3,3,,,,0.22851607203483582,0.22851049764449272,,1,
SCREENED_KAN,core_interaction,0,1024,2048,100,0.0,rf,10,"[0, 1, 2, 3, 23, 40, 52, 80, 93, 96]","[0.7214719311887784, 0.0880555802383202, 0.006067350273837756, 0.00635979713711802, 0.0014371169462600963, 0.0011990483560238173, 0.0017587135449562122, 0.001808500132161643, 0.001760428510932816, 0.0016990258937564576, 0.0017452845839545008, 0.0013491621809746629, 0.0014716519876688246, 0.0015265646675885827, 0.0021852923734279705, 0.0013527829686459773, 0.0014818648450161877, 0.0019161306853494207, 0.0020797283755057735, 0.001436509327610641, 0.0015800637214268883, 0.0012453311346661588, 0.001661080374651204, 0.003040977494320406, 0.0015886192304232654, 0.0020332443578156075, 0.00223962506227725, 0.0018499355648224779, 0.002197482858258126, 0.0017572677297619172, 0.0015241043274761706, 0.002079863346771627, 0.0015971205259260996, 0.00237227588437724, 0.001682299902091787, 0.0018439202870699186, 0.002038213514387841, 0.0020211958631580146, 0.0016666042264326462, 0.0016054425596932612, 0.0030246723162759264, 0.0022645785537340323, 0.0016847170053830166, 0.002154804649904006, 0.0020475039591715143, 0.0022807766415343196, 0.0019923490674847435, 0.0016499210899485071, 0.0013790096562225713, 0.0017955565837607253, 0.0015228579895525383, 0.001452765858258446, 0.0030143613392132466, 0.0015969591223031722, 0.0012698502480828708, 0.001839849110531928, 0.002122400201015627, 0.0019647176303221473, 0.0017162416281741757, 0.0021187236881700508, 0.001970230922633413, 0.001507694387135181, 0.0026397807057247542, 0.0018908537445258178, 0.0016449634358383862, 0.0013976792010880448, 0.002018376247221603, 0.0013827353635924831, 0.0018419501166439724, 0.002292012478411431, 0.0019886449107113357, 0.0018036505630768939, 0.001713024996321635, 0.00141331174620066, 0.002039194008049689, 0.0017778560668432544, 0.0019397960940136718, 0.0021081054960865415, 0.0014276170461229778, 0.0017258026147210768, 0.0032954960295807872, 0.0017695226776128262, 0.002387252179038316, 0.0017599371612303516, 0.001729900327851754, 0.002013127764562217, 0.00178270248757891, 0.0015845824197550696, 0.0025647294233582603, 0.0011683372955530419, 0.0015528978113613764, 0.0011739527086541766, 0.00196664240655015, 0.0031969595388720734, 0.0018792017973687678, 0.0011964701518065838, 0.0027545135451690177, 0.0019917698797327576, 0.0011557998296416118, 0.0018731758970196113]",1,1.0,1,8,5,3,50,0.0,1.8600023850012803e-06,5.574390343099367e-06,5.574390343099367e-06,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]",feature_path,x4,4,,,,,,,,0,
SCREENED_KAN,core_interaction,0,1024,2048,100,0.0,rf,10,"[0, 1, 2, 3, 23, 40, 52, 80, 93, 96]","[0.7214719311887784, 0.0880555802383202, 0.006067350273837756, 0.00635979713711802, 0.0014371169462600963, 0.0011990483560238173, 0.0017587135449562122, 0.001808500132161643, 0.001760428510932816, 0.0016990258937564576, 0.0017452845839545008, 0.0013491621809746629, 0.0014716519876688246, 0.0015265646675885827, 0.0021852923734279705, 0.0013527829686459773, 0.0014818648450161877, 0.0019161306853494207, 0.0020797283755057735, 0.001436509327610641, 0.0015800637214268883, 0.0012453311346661588, 0.001661080374651204, 0.003040977494320406, 0.0015886192304232654, 0.0020332443578156075, 0.00223962506227725, 0.0018499355648224779, 0.002197482858258126, 0.0017572677297619172, 0.0015241043274761706, 0.002079863346771627, 0.0015971205259260996, 0.00237227588437724, 0.001682299902091787, 0.0018439202870699186, 0.002038213514387841, 0.0020211958631580146, 0.0016666042264326462, 0.0016054425596932612, 0.0030246723162759264, 0.0022645785537340323, 0.0016847170053830166, 0.002154804649904006, 0.0020475039591715143, 0.0022807766415343196, 0.0019923490674847435, 0.0016499210899485071, 0.0013790096562225713, 0.0017955565837607253, 0.0015228579895525383, 0.001452765858258446, 0.0030143613392132466, 0.0015969591223031722, 0.0012698502480828708, 0.001839849110531928, 0.002122400201015627, 0.0019647176303221473, 0.0017162416281741757, 0.0021187236881700508, 0.001970230922633413, 0.001507694387135181, 0.0026397807057247542, 0.0018908537445258178, 0.0016449634358383862, 0.0013976792010880448, 0.002018376247221603, 0.0013827353635924831, 0.0018419501166439724, 0.002292012478411431, 0.0019886449107113357, 0.0018036505630768939, 0.001713024996321635, 0.00141331174620066, 0.002039194008049689, 0.0017778560668432544, 0.0019397960940136718, 0.0021081054960865415, 0.0014276170461229778, 0.0017258026147210768, 0.0032954960295807872, 0.0017695226776128262, 0.002387252179038316, 0.0017599371612303516, 0.001729900327851754, 0.002013127764562217, 0.00178270248757891, 0.0015845824197550696, 0.0025647294233582603, 0.0011683372955530419, 0.0015528978113613764, 0.0011739527086541766, 0.00196664240655015, 0.0031969595388720734, 0.0018792017973687678, 0.0011964701518065838, 0.0027545135451690177, 0.0019917698797327576, 0.0011557998296416118, 0.0018731758970196113]",1,1.0,1,8,5,3,50,0.0,1.8600023850012803e-06,5.574390343099367e-06,5.574390343099367e-06,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]",feature_path,x5,5,,,,,,,,0,
SCREENED_KAN,core_interaction,0,1024,2048,100,0.0,rf,10,"[0, 1, 2, 3, 23, 40, 52, 80, 93, 96]","[0.7214719311887784, 0.0880555802383202, 0.006067350273837756, 0.00635979713711802, 0.0014371169462600963, 0.0011990483560238173, 0.0017587135449562122, 0.001808500132161643, 0.001760428510932816, 0.0016990258937564576, 0.0017452845839545008, 0.0013491621809746629, 0.0014716519876688246, 0.0015265646675885827, 0.0021852923734279705, 0.0013527829686459773, 0.0014818648450161877, 0.0019161306853494207, 0.0020797283755057735, 0.001436509327610641, 0.0015800637214268883, 0.0012453311346661588, 0.001661080374651204, 0.003040977494320406, 0.0015886192304232654, 0.0020332443578156075, 0.00223962506227725, 0.0018499355648224779, 0.002197482858258126, 0.0017572677297619172, 0.0015241043274761706, 0.002079863346771627, 0.0015971205259260996, 0.00237227588437724, 0.001682299902091787, 0.0018439202870699186, 0.002038213514387841, 0.0020211958631580146, 0.0016666042264326462, 0.0016054425596932612, 0.0030246723162759264, 0.0022645785537340323, 0.0016847170053830166, 0.002154804649904006, 0.0020475039591715143, 0.0022807766415343196, 0.0019923490674847435, 0.0016499210899485071, 0.0013790096562225713, 0.0017955565837607253, 0.0015228579895525383, 0.001452765858258446, 0.0030143613392132466, 0.0015969591223031722, 0.0012698502480828708, 0.001839849110531928, 0.002122400201015627, 0.0019647176303221473, 0.0017162416281741757, 0.0021187236881700508, 0.001970230922633413, 0.001507694387135181, 0.0026397807057247542, 0.0018908537445258178, 0.0016449634358383862, 0.0013976792010880448, 0.002018376247221603, 0.0013827353635924831, 0.0018419501166439724, 0.002292012478411431, 0.0019886449107113357, 0.0018036505630768939, 0.001713024996321635, 0.00141331174620066, 0.002039194008049689, 0.0017778560668432544, 0.0019397960940136718, 0.0021081054960865415, 0.0014276170461229778, 0.0017258026147210768, 0.0032954960295807872, 0.0017695226776128262, 0.002387252179038316, 0.0017599371612303516, 0.001729900327851754, 0.002013127764562217, 0.00178270248757891, 0.0015845824197550696, 0.0025647294233582603, 0.0011683372955530419, 0.0015528978113613764, 0.0011739527086541766, 0.00196664240655015, 0.0031969595388720734, 0.0018792017973687678, 0.0011964701518065838, 0.0027545135451690177, 0.0019917698797327576, 0.0011557998296416118, 0.0018731758970196113]",1,1.0,1,8,5,3,50,0.0,1.8600023850012803e-06,5.574390343099367e-06,5.574390343099367e-06,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]",single_edge,x0->h0,0,0,0,,,5.579889148066286e-06,5.498804966919124e-09,,1,
SCREENED_KAN,core_interaction,0,1024,2048,100,0.0,rf,10,"[0, 1, 2, 3, 23, 40, 52, 80, 93, 96]","[0.7214719311887784, 0.0880555802383202, 0.006067350273837756, 0.00635979713711802, 0.0014371169462600963, 0.0011990483560238173, 0.0017587135449562122, 0.001808500132161643, 0.001760428510932816, 0.0016990258937564576, 0.0017452845839545008, 0.0013491621809746629, 0.0014716519876688246, 0.0015265646675885827, 0.0021852923734279705, 0.0013527829686459773, 0.0014818648450161877, 0.0019161306853494207, 0.0020797283755057735, 0.001436509327610641, 0.0015800637214268883, 0.0012453311346661588, 0.001661080374651204, 0.003040977494320406, 0.0015886192304232654, 0.0020332443578156075, 0.00223962506227725, 0.0018499355648224779, 0.002197482858258126, 0.0017572677297619172, 0.0015241043274761706, 0.002079863346771627, 0.0015971205259260996, 0.00237227588437724, 0.001682299902091787, 0.0018439202870699186, 0.002038213514387841, 0.0020211958631580146, 0.0016666042264326462, 0.0016054425596932612, 0.0030246723162759264, 0.0022645785537340323, 0.0016847170053830166, 0.002154804649904006, 0.0020475039591715143, 0.0022807766415343196, 0.0019923490674847435, 0.0016499210899485071, 0.0013790096562225713, 0.0017955565837607253, 0.0015228579895525383, 0.001452765858258446, 0.0030143613392132466, 0.0015969591223031722, 0.0012698502480828708, 0.001839849110531928, 0.002122400201015627, 0.0019647176303221473, 0.0017162416281741757, 0.0021187236881700508, 0.001970230922633413, 0.001507694387135181, 0.0026397807057247542, 0.0018908537445258178, 0.0016449634358383862, 0.0013976792010880448, 0.002018376247221603, 0.0013827353635924831, 0.0018419501166439724, 0.002292012478411431, 0.0019886449107113357, 0.0018036505630768939, 0.001713024996321635, 0.00141331174620066, 0.002039194008049689, 0.0017778560668432544, 0.0019397960940136718, 0.0021081054960865415, 0.0014276170461229778, 0.0017258026147210768, 0.0032954960295807872, 0.0017695226776128262, 0.002387252179038316, 0.0017599371612303516, 0.001729900327851754, 0.002013127764562217, 0.00178270248757891, 0.0015845824197550696, 0.0025647294233582603, 0.0011683372955530419, 0.0015528978113613764, 0.0011739527086541766, 0.00196664240655015, 0.0031969595388720734, 0.0018792017973687678, 0.0011964701518065838, 0.0027545135451690177, 0.0019917698797327576, 0.0011557998296416118, 0.0018731758970196113]",1,1.0,1,8,5,3,50,0.0,1.8600023850012803e-06,5.574390343099367e-06,5.574390343099367e-06,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]",single_edge,x0->h1,0,0,1,,,7.669646947761066e-06,2.0952566046616994e-06,,1,
SCREENED_KAN,core_interaction,0,1024,2048,100,0.0,rf,10,"[0, 1, 2, 3, 23, 40, 52, 80, 93, 96]","[0.7214719311887784, 0.0880555802383202, 0.006067350273837756, 0.00635979713711802, 0.0014371169462600963, 0.0011990483560238173, 0.0017587135449562122, 0.001808500132161643, 0.001760428510932816, 0.0016990258937564576, 0.0017452845839545008, 0.0013491621809746629, 0.0014716519876688246, 0.0015265646675885827, 0.0021852923734279705, 0.0013527829686459773, 0.0014818648450161877, 0.0019161306853494207, 0.0020797283755057735, 0.001436509327610641, 0.0015800637214268883, 0.0012453311346661588, 0.001661080374651204, 0.003040977494320406, 0.0015886192304232654, 0.0020332443578156075, 0.00223962506227725, 0.0018499355648224779, 0.002197482858258126, 0.0017572677297619172, 0.0015241043274761706, 0.002079863346771627, 0.0015971205259260996, 0.00237227588437724, 0.001682299902091787, 0.0018439202870699186, 0.002038213514387841, 0.0020211958631580146, 0.0016666042264326462, 0.0016054425596932612, 0.0030246723162759264, 0.0022645785537340323, 0.0016847170053830166, 0.002154804649904006, 0.0020475039591715143, 0.0022807766415343196, 0.0019923490674847435, 0.0016499210899485071, 0.0013790096562225713, 0.0017955565837607253, 0.0015228579895525383, 0.001452765858258446, 0.0030143613392132466, 0.0015969591223031722, 0.0012698502480828708, 0.001839849110531928, 0.002122400201015627, 0.0019647176303221473, 0.0017162416281741757, 0.0021187236881700508, 0.001970230922633413, 0.001507694387135181, 0.0026397807057247542, 0.0018908537445258178, 0.0016449634358383862, 0.0013976792010880448, 0.002018376247221603, 0.0013827353635924831, 0.0018419501166439724, 0.002292012478411431, 0.0019886449107113357, 0.0018036505630768939, 0.001713024996321635, 0.00141331174620066, 0.002039194008049689, 0.0017778560668432544, 0.0019397960940136718, 0.0021081054960865415, 0.0014276170461229778, 0.0017258026147210768, 0.0032954960295807872, 0.0017695226776128262, 0.002387252179038316, 0.0017599371612303516, 0.001729900327851754, 0.002013127764562217, 0.00178270248757891, 0.0015845824197550696, 0.0025647294233582603, 0.0011683372955530419, 0.0015528978113613764, 0.0011739527086541766, 0.00196664240655015, 0.0031969595388720734, 0.0018792017973687678, 0.0011964701518065838, 0.0027545135451690177, 0.0019917698797327576, 0.0011557998296416118, 0.0018731758970196113]",1,1.0,1,8,5,3,50,0.0,1.8600023850012803e-06,5.574390343099367e-06,5.574390343099367e-06,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]",single_edge,x0->h2,0,0,2,,,0.39704447984695435,0.39703890545661125,,1,
SCREENED_KAN,core_interaction,0,1024,2048,100,0.0,rf,10,"[0, 1, 2, 3, 23, 40, 52, 80, 93, 96]","[0.7214719311887784, 0.0880555802383202, 0.006067350273837756, 0.00635979713711802, 0.0014371169462600963, 0.0011990483560238173, 0.0017587135449562122, 0.001808500132161643, 0.001760428510932816, 0.0016990258937564576, 0.0017452845839545008, 0.0013491621809746629, 0.0014716519876688246, 0.0015265646675885827, 0.0021852923734279705, 0.0013527829686459773, 0.0014818648450161877, 0.0019161306853494207, 0.0020797283755057735, 0.001436509327610641, 0.0015800637214268883, 0.0012453311346661588, 0.001661080374651204, 0.003040977494320406, 0.0015886192304232654, 0.0020332443578156075, 0.00223962506227725, 0.0018499355648224779, 0.002197482858258126, 0.0017572677297619172, 0.0015241043274761706, 0.002079863346771627, 0.0015971205259260996, 0.00237227588437724, 0.001682299902091787, 0.0018439202870699186, 0.002038213514387841, 0.0020211958631580146, 0.0016666042264326462, 0.0016054425596932612, 0.0030246723162759264, 0.0022645785537340323, 0.0016847170053830166, 0.002154804649904006, 0.0020475039591715143, 0.0022807766415343196, 0.0019923490674847435, 0.0016499210899485071, 0.0013790096562225713, 0.0017955565837607253, 0.0015228579895525383, 0.001452765858258446, 0.0030143613392132466, 0.0015969591223031722, 0.0012698502480828708, 0.001839849110531928, 0.002122400201015627, 0.0019647176303221473, 0.0017162416281741757, 0.0021187236881700508, 0.001970230922633413, 0.001507694387135181, 0.0026397807057247542, 0.0018908537445258178, 0.0016449634358383862, 0.0013976792010880448, 0.002018376247221603, 0.0013827353635924831, 0.0018419501166439724, 0.002292012478411431, 0.0019886449107113357, 0.0018036505630768939, 0.001713024996321635, 0.00141331174620066, 0.002039194008049689, 0.0017778560668432544, 0.0019397960940136718, 0.0021081054960865415, 0.0014276170461229778, 0.0017258026147210768, 0.0032954960295807872, 0.0017695226776128262, 0.002387252179038316, 0.0017599371612303516, 0.001729900327851754, 0.002013127764562217, 0.00178270248757891, 0.0015845824197550696, 0.0025647294233582603, 0.0011683372955530419, 0.0015528978113613764, 0.0011739527086541766, 0.00196664240655015, 0.0031969595388720734, 0.0018792017973687678, 0.0011964701518065838, 0.0027545135451690177, 0.0019917698797327576, 0.0011557998296416118, 0.0018731758970196113]",1,1.0,1,8,5,3,50,0.0,1.8600023850012803e-06,5.574390343099367e-06,5.574390343099367e-06,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]",single_edge,x0->h3,0,0,3,,,0.06963291764259338,0.06962734325225028,,1,
