function,dimension,noise,screen_method,top_m,row_type,target,original_variable,local_variable,hidden,pair,pair_in_screened_set,is_true_active,is_true_interaction,train_mse_mean,train_mse_std,train_mse_min,train_mse_max,test_mse_mean,test_mse_std,test_mse_min,test_mse_max,screen_contains_all_true_vars_mean,screen_contains_all_true_vars_std,screen_contains_all_true_vars_min,screen_contains_all_true_vars_max,screen_true_var_recall_mean,screen_true_var_recall_std,screen_true_var_recall_min,screen_true_var_recall_max,screen_contains_true_interactions_mean,screen_contains_true_interactions_std,screen_contains_true_interactions_min,screen_contains_true_interactions_max,baseline_mse_mean,baseline_mse_std,baseline_mse_min,baseline_mse_max,ablated_mse_mean,ablated_mse_std,ablated_mse_min,ablated_mse_max,delta_mse_mean,delta_mse_std,delta_mse_min,delta_mse_max,synergy_mean,synergy_std,synergy_min,synergy_max
core_interaction,100,0.0,rf,10,feature_pair_path,"x0,x1",,,,"(0, 1)",1,,0,1.5102043183408872e-05,1.1580878329062579e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.8928703864415486,0.5794317460502771,1.2799575328826904,2.4316940307617188,1.8928372764691328,0.5794109456804946,1.2799519584923473,2.4316497575746325,0.060293922413923916,0.3404942198048256,-0.1588193159805087,0.4525665745677543
core_interaction,100,0.0,rf,10,feature_pair_path,"x2,x3",,,,"(2, 3)",1,,1,1.5102043183408872e-05,1.1580878329062579e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,0.19201065599918365,0.05626345638563111,0.1514441967010498,0.25624099373817444,0.19197754602676773,0.056257200900490925,0.1513947143612313,0.2561967205510882,-0.23184468886302056,0.03661033823343714,-0.27125105126197013,-0.1988874208436755
core_interaction,100,0.0,rf,10,feature_path,x0,0,0,,,,1,,1.5102043183408872e-05,1.1580878329062579e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.6201025644938152,0.7276541951977532,1.1536908149719238,2.458556890487671,1.6200694545213992,0.7276459718670356,1.1536413326321053,2.4585126173005847,,,,
core_interaction,100,0.0,rf,10,feature_path,x1,1,1,,,,1,,1.5102043183408872e-05,1.1580878329062579e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,0.21250700950622559,0.12854228226699996,0.13200072944164276,0.3607516884803772,0.21247389953380966,0.12852908340972286,0.13195645625455654,0.3607022061405587,,,,
core_interaction,100,0.0,rf,10,feature_path,x2,2,2,,,,1,,1.5102043183408872e-05,1.1580878329062579e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,0.19849667946497598,0.025125930992866197,0.16956467926502228,0.21483802795410156,0.19846356949256005,0.025138634369782593,0.16951519692520378,0.21479375476701534,,,,
core_interaction,100,0.0,rf,10,feature_path,x3,3,3,,,,1,,1.5102043183408872e-05,1.1580878329062579e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,0.22539177536964417,0.016725340930303766,0.20732459425926208,0.2403346598148346,0.22535866539722824,0.016731784898879724,0.2072751119194436,0.24029038662774838,,,,
core_interaction,100,0.0,rf,10,feature_path,x4,4,,,,,0,,1.5102043183408872e-05,1.1580878329062579e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,,,,,,,,,,,,
core_interaction,100,0.0,rf,10,feature_path,x5,5,,,,,0,,1.5102043183408872e-05,1.1580878329062579e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,,,,,,,,,,,,
core_interaction,100,0.0,rf,10,shared_hidden_pair_edges,"x0,x1->h0",,,0,"(0, 1)",1,,0,1.5102043183408872e-05,1.1580878329062579e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,4.4284881217511916e-05,3.4056879063904114e-05,5.65132495466969e-06,6.99622614774853e-05,1.1174908801573716e-05,1.0318987492452977e-05,7.693461157032289e-08,2.0479921658989042e-05,5.712716604951614e-07,1.273258146961953e-06,-3.193636075593531e-07,2.029635652434081e-06
core_interaction,100,0.0,rf,10,shared_hidden_pair_edges,"x0,x1->h1",,,1,"(0, 1)",1,,0,1.5102043183408872e-05,1.1580878329062579e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,0.04251298865832117,0.07109245352384158,3.429405114729889e-05,0.12458659708499908,0.04247987868590523,0.071077887666626,2.871966080419952e-05,0.12453711474518059,-0.0008236354475836075,0.0007508366268398816,-0.0014610454309149645,4.026344868179876e-06
