function,dimension,noise,screen_method,top_m,row_type,target,original_variable,local_variable,hidden,pair,pair_in_screened_set,is_true_active,is_true_interaction,train_mse_mean,train_mse_std,train_mse_min,train_mse_max,test_mse_mean,test_mse_std,test_mse_min,test_mse_max,screen_contains_all_true_vars_mean,screen_contains_all_true_vars_std,screen_contains_all_true_vars_min,screen_contains_all_true_vars_max,screen_true_var_recall_mean,screen_true_var_recall_std,screen_true_var_recall_min,screen_true_var_recall_max,screen_contains_true_interactions_mean,screen_contains_true_interactions_std,screen_contains_true_interactions_min,screen_contains_true_interactions_max,baseline_mse_mean,baseline_mse_std,baseline_mse_min,baseline_mse_max,ablated_mse_mean,ablated_mse_std,ablated_mse_min,ablated_mse_max,delta_mse_mean,delta_mse_std,delta_mse_min,delta_mse_max,synergy_mean,synergy_std,synergy_min,synergy_max,setting_label
core_interaction,100,0.0,rf,10,feature_pair_path,"x0,x1",,,,"(0, 1)",1.0,,0.0,1.5102043183408872e-05,1.158087832906258e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.8928703864415488,0.5794317460502771,1.2799575328826904,2.4316940307617188,1.8928372764691328,0.5794109456804946,1.279951958492347,2.4316497575746325,0.0602939224139239,0.3404942198048256,-0.1588193159805087,0.4525665745677543,core_d100_rf
core_interaction,100,0.0,rf,10,feature_pair_path,"x2,x3",,,,"(2, 3)",1.0,,1.0,1.5102043183408872e-05,1.158087832906258e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,0.1920106559991836,0.0562634563856311,0.1514441967010498,0.2562409937381744,0.1919775460267677,0.0562572009004909,0.1513947143612313,0.2561967205510882,-0.2318446888630205,0.0366103382334371,-0.2712510512619701,-0.1988874208436755,core_d100_rf
core_interaction,100,0.0,rf,10,feature_path,x0,0.0,0.0,,,,1.0,,1.5102043183408872e-05,1.158087832906258e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.6201025644938152,0.7276541951977532,1.1536908149719238,2.458556890487671,1.6200694545213992,0.7276459718670356,1.153641332632105,2.4585126173005847,,,,,core_d100_rf
core_interaction,100,0.0,rf,10,feature_path,x1,1.0,1.0,,,,1.0,,1.5102043183408872e-05,1.158087832906258e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,0.2125070095062255,0.1285422822669999,0.1320007294416427,0.3607516884803772,0.2124738995338096,0.1285290834097228,0.1319564562545565,0.3607022061405587,,,,,core_d100_rf
core_interaction,100,0.0,rf,10,feature_path,x2,2.0,2.0,,,,1.0,,1.5102043183408872e-05,1.158087832906258e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,0.1984966794649759,0.0251259309928661,0.1695646792650222,0.2148380279541015,0.19846356949256,0.0251386343697825,0.1695151969252037,0.2147937547670153,,,,,core_d100_rf
core_interaction,100,0.0,rf,10,feature_path,x3,3.0,3.0,,,,1.0,,1.5102043183408872e-05,1.158087832906258e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,0.2253917753696441,0.0167253409303037,0.207324594259262,0.2403346598148346,0.2253586653972282,0.0167317848988797,0.2072751119194436,0.2402903866277483,,,,,core_d100_rf
core_interaction,100,0.0,rf,10,feature_path,x4,4.0,,,,,0.0,,1.5102043183408872e-05,1.158087832906258e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,,,,,,,,,,,,,core_d100_rf
core_interaction,100,0.0,rf,10,feature_path,x5,5.0,,,,,0.0,,1.5102043183408872e-05,1.158087832906258e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,,,,,,,,,,,,,core_d100_rf
core_interaction,100,0.0,rf,10,shared_hidden_pair_edges,"x0,x1->h0",,,0.0,"(0, 1)",1.0,,0.0,1.5102043183408872e-05,1.158087832906258e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,4.428488121751192e-05,3.4056879063904114e-05,5.65132495466969e-06,6.99622614774853e-05,1.1174908801573716e-05,1.0318987492452975e-05,7.69346115703229e-08,2.047992165898904e-05,5.712716604951614e-07,1.273258146961953e-06,-3.193636075593531e-07,2.029635652434081e-06,core_d100_rf
core_interaction,100,0.0,rf,10,shared_hidden_pair_edges,"x0,x1->h1",,,1.0,"(0, 1)",1.0,,0.0,1.5102043183408872e-05,1.158087832906258e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,0.0425129886583211,0.0710924535238415,3.429405114729889e-05,0.124586597084999,0.0424798786859052,0.071077887666626,2.871966080419952e-05,0.1245371147451805,-0.0008236354475836,0.0007508366268398,-0.0014610454309149,4.026344868179876e-06,core_d100_rf
