function,interaction_strength,n,d,top_m,test_mse_mean,variable_f1_mean,explain_interaction_endpoint_recall_mean,interaction_f1_mean,true_interaction_mean_score_margin_mean,support_contains_all_true_mean,support_contains_interaction_endpoints_mean,num_runs
core_interaction_c025,0.25,256,100,4,0.0186659460887312,0.5,0.0,0.0,-2.315026065707207,0.0,0.0,10
core_interaction_c025,0.25,256,100,6,0.0261549869552254,0.5,0.0,0.0,-2.0151999950408936,0.0,0.0,10
core_interaction_c025,0.25,256,100,8,0.0314098417758941,0.5,0.0,0.0,-2.6279916286468508,0.0,0.0,10
core_interaction_c025,0.25,512,100,4,0.0130201655440032,0.7,0.4,0.0,-0.6207808375358581,0.0,0.0,10
core_interaction_c025,0.25,512,100,6,0.0134933101944625,0.6,0.2,0.0,-0.8311530709266662,0.0,0.0,10
core_interaction_c025,0.25,512,100,8,0.0151748623698949,0.55,0.1,0.0,-1.1716695964336394,0.0,0.0,10
core_interaction_c025,0.25,1024,100,4,0.0015178219196968,1.0,1.0,0.4,-0.0575229139998555,1.0,1.0,10
core_interaction_c025,0.25,1024,100,6,0.0015466716649825,0.975,0.95,0.6,-0.001917807618156,1.0,1.0,10
core_interaction_c025,0.25,1024,100,8,0.0035805030536721,0.925,0.85,0.5,-0.1570700373733416,1.0,1.0,10
core_interaction_c05,0.5,256,100,4,0.1375080704689026,0.5,0.0,0.0,-10.532142496109008,0.0,0.0,10
core_interaction_c05,0.5,256,100,6,0.1758516654372215,0.5,0.0,0.0,-6.79865574836731,0.0,0.0,10
core_interaction_c05,0.5,256,100,8,0.1820869237184524,0.5,0.0,0.0,-5.899770498275757,0.0,0.0,10
core_interaction_c05,0.5,512,100,4,0.0003063626107177,1.0,1.0,1.0,0.4009385633282363,1.0,1.0,10
core_interaction_c05,0.5,512,100,6,0.0003061255076318,1.0,1.0,0.9,0.3086641080677509,1.0,1.0,10
core_interaction_c05,0.5,512,100,8,0.0002946606444311,1.0,1.0,1.0,0.371899064257741,1.0,1.0,10
core_interaction_c05,0.5,1024,100,4,0.0002631307186675,1.0,1.0,1.0,0.3236670173704624,1.0,1.0,10
core_interaction_c05,0.5,1024,100,6,0.00028908715758,1.0,1.0,0.8,0.2949026896618306,1.0,1.0,10
core_interaction_c05,0.5,1024,100,8,0.0002598694714833,1.0,1.0,0.9,0.3784413411282002,1.0,1.0,10
core_interaction_c1,1.0,256,100,4,0.7039157211780548,0.5,0.0,0.0,-35.1023738861084,0.0,0.0,10
core_interaction_c1,1.0,256,100,6,0.5353985756635666,0.6,0.2,0.0,-19.541370391845703,0.0,0.0,10
core_interaction_c1,1.0,256,100,8,0.5194125056266785,0.55,0.1,0.0,-14.158942270278931,0.0,0.0,10
core_interaction_c1,1.0,512,100,4,0.0826439460914116,0.95,0.9,0.8,-5.298655500635505,0.8,0.8,10
core_interaction_c1,1.0,512,100,6,0.0004926215216983,1.0,1.0,1.0,0.9132527301087976,1.0,1.0,10
core_interaction_c1,1.0,512,100,8,0.0003762833424843,1.0,1.0,1.0,0.9030732586979866,1.0,1.0,10
core_interaction_c1,1.0,1024,100,4,0.0003527021166519,1.0,1.0,1.0,0.896655161678791,1.0,1.0,10
core_interaction_c1,1.0,1024,100,6,0.0002613209828268,1.0,1.0,1.0,0.8912419851869344,1.0,1.0,10
core_interaction_c1,1.0,1024,100,8,0.0002563977948739,1.0,1.0,1.0,0.8417620591819286,1.0,1.0,10
