model,function,screen_mode,seed,samples,test_samples,dimension,noise,top_m,selected_screen_features,screen_score_type,screen_scores,true_variables,true_interactions,num_true_variables,num_true_interactions,formula,grid,k,width_hidden,lamb,steps,opt,update_grid,grid_update_num,effective_dim,screen_contains_all_true_vars,screen_true_var_recall,screen_contains_all_interaction_endpoints,screen_interaction_endpoint_recall,screen_contains_true_interactions,status,error,traceback,train_mse,test_mse,variable_method,interaction_method,importance_scores,selected_variables,variable_precision,variable_recall,variable_f1,variable_auroc,variable_auprc,selected_interactions,interaction_precision,interaction_recall,interaction_f1,true_interaction_score_mean,max_nontrue_interaction_score,screen_endpoint_recall,screen_contains_all_endpoints,explain_interaction_endpoint_recall,explain_contains_all_interaction_endpoints,selected_interaction_endpoint_recall,selected_interaction_contains_all_endpoints,true_interaction_mean_score_margin,true_interaction_beats_all_false,true_interaction_rank_bucket,true_interaction_rank_lower_bound,failure_stage,interaction_strength,selected_support,variable_stability_scores,variable_mean_importance_scores,top_variables_by_stability,pair_stability_scores,top_pairs_by_stability,num_stability_rows,stability_seed_pool,true_interaction_best_rank,true_interaction_worst_rank,true_interaction_rank_mean
KAN_tuned_fixed,core_interaction_c1,raw,0,512,4096,50,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + x2*x3,5,3,8,0.001,50,LBFGS,0,10,50,1,1.0,1,1.0,1,ok,,,0.0002338732301723,0.0008915923535823,grad,fd,"[4.975038051605225, 1.171124815940857, 0.5670612454414368, 0.5732724070549011, 0.004439190961420536, 0.0008029475575312972, 0.0008134915260598063, 0.004731776658445597, 0.0028693787753582, 0.0003065578348468989, 0.00372490962035954, 0.00538531644269824, 0.0014452661853283644, 0.0009038667776621878, 0.0042053950019180775, 0.00034763323492370546, 0.0033072333317250013, 0.001953946892172098, 0.002095922129228711, 0.005809944588690996, 0.005072724539786577, 0.002906211419031024, 0.0023405449464917183, 0.0006683794781565666, 0.004956073593348265, 0.0032759332098066807, 0.004982493817806244, 0.006249365862458944, 0.002371107693761587, 0.008901125751435757, 0.0038617721293121576, 0.008551673032343388, 0.004192618653178215, 0.0022460315376520157, 0.0003500825841911137, 0.00642010010778904, 0.008822277188301086, 0.00530203664675355, 0.00962477270513773, 0.004029192961752415, 0.0017507653683423996, 0.0014482298865914345, 0.0022861778270453215, 0.009122306481003761, 0.008967231027781963, 0.002442981582134962, 0.002311104442924261, 0.009252842515707016, 0.005232316441833973, 0.011356011033058167]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,"[(2, 3)]",1.0,1.0,1.0,1.0731761455535889,0.6069813370704651,1.0,1.0,1.0,1.0,1.0,1.0,0.4661948084831238,1.0,1,1.0,recovered,1.0,,,,,,,,,,,
KAN_tuned_fixed,core_interaction_c1,raw,1,512,4096,50,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + x2*x3,5,3,8,0.001,50,LBFGS,0,10,50,1,1.0,1,1.0,1,ok,,,0.0007672152714803,0.0053705759346485,grad,fd,"[4.97821044921875, 1.1831690073013306, 0.5807833671569824, 0.5576257109642029, 0.027693727985024452, 0.01954614371061325, 0.039830081164836884, 0.025669535622000694, 0.03090113028883934, 0.01042458787560463, 0.0200883150100708, 0.02482217364013195, 0.045439139008522034, 0.010662281885743141, 0.01709223911166191, 0.013006171211600304, 0.015747996047139168, 0.022470908239483833, 0.023429550230503082, 0.008407706394791603, 0.025970790535211563, 0.03612580895423889, 0.012584326788783073, 0.016701990738511086, 0.05166219174861908, 0.032175205647945404, 0.01583843305706978, 0.040805090218782425, 0.03706381469964981, 0.017586443573236465, 0.008364950306713581, 0.030205149203538895, 0.025044778361916542, 0.008922036737203598, 0.052103713154792786, 0.029825840145349503, 0.035817671567201614, 0.0022263536229729652, 0.026358844712376595, 0.015660960227251053, 0.0424412339925766, 0.015566635876893997, 0.0388534739613533, 0.02630280703306198, 0.042180247604846954, 0.028763582929968834, 0.023183098062872887, 0.014616169035434723, 0.008350657299160957, 0.03487640619277954]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,"[(2, 3)]",1.0,1.0,1.0,1.0504846572875977,0.3478338420391083,1.0,1.0,1.0,1.0,1.0,1.0,0.7026508152484894,1.0,1,1.0,recovered,1.0,,,,,,,,,,,
KAN_tuned_fixed,core_interaction_c1,raw,2,512,4096,50,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + x2*x3,5,3,8,0.001,50,LBFGS,0,10,50,1,1.0,1,1.0,1,ok,,,0.0001806319633033,0.3134517669677734,grad,fd,"[4.692790508270264, 1.0436999797821045, 0.143978089094162, 0.12958616018295288, 0.10598517954349518, 0.2418746054172516, 0.22763404250144958, 0.16704317927360535, 0.15203475952148438, 0.21099971234798431, 0.16159434616565704, 0.2894517183303833, 0.17396683990955353, 0.2886415719985962, 0.24799472093582153, 0.11961490660905838, 0.3365190625190735, 0.3228287100791931, 0.19195318222045898, 0.21208803355693817, 0.3999604880809784, 0.24222709238529205, 0.360970139503479, 0.3475123643875122, 0.2468724101781845, 0.34480375051498413, 0.3509886860847473, 0.5577335357666016, 0.06439707428216934, 0.17049258947372437, 0.2159002423286438, 0.16683313250541687, 0.09623465687036514, 0.25047191977500916, 0.2563672363758087, 0.10276030749082565, 0.06227688491344452, 0.24457424879074097, 0.14122213423252106, 0.5436497926712036, 0.183223694562912, 0.4382227659225464, 0.2162638008594513, 0.1641099601984024, 0.20956869423389435, 0.2671743929386139, 0.025691993534564972, 0.18806681036949158, 0.3804456889629364, 0.06648160517215729]","[0, 1, 27, 39]",0.5,0.5,0.5,0.592391304347826,0.5425595238095238,"[(0, 39)]",0.0,0.0,0.0,0.0384589657187461,1.0192511081695557,1.0,1.0,0.0,0.0,0.0,0.0,-0.9807921424508096,0.0,>1,2.0,variable_ranking_misses_endpoint,1.0,,,,,,,,,,,
KAN_tuned_fixed,core_interaction_c1,raw,3,512,4096,50,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + x2*x3,5,3,8,0.001,50,LBFGS,0,10,50,1,1.0,1,1.0,1,ok,,,0.0001105195115087,0.3174209594726562,grad,fd,"[4.614447593688965, 1.0050019025802612, 0.4650039076805115, 0.4286094307899475, 0.3805743455886841, 0.3748384714126587, 0.16793766617774963, 0.29354336857795715, 0.07265936583280563, 0.43127089738845825, 0.15727420151233673, 0.09087002277374268, 0.15487049520015717, 0.14089250564575195, 0.18458282947540283, 0.14550071954727173, 0.3286139965057373, 0.21836404502391815, 0.14328479766845703, 0.11151997745037079, 0.2913147211074829, 0.38901594281196594, 0.1124349981546402, 0.1953703761100769, 0.1914806365966797, 0.3407784104347229, 0.2058536410331726, 0.38313525915145874, 0.1701764017343521, 0.31981033086776733, 0.26857373118400574, 0.4807973802089691, 0.1496810019016266, 0.25865060091018677, 0.025712374597787857, 0.04696491360664368, 0.2743009328842163, 0.19681966304779053, 0.16300660371780396, 0.21846085786819458, 0.18350476026535034, 0.05698488652706146, 0.0687980130314827, 0.13172732293605804, 0.09525363147258759, 0.2680821418762207, 0.1676960289478302, 0.20105628669261932, 0.24671059846878052, 0.17075900733470917]","[0, 1, 2, 31]",0.75,0.75,0.75,0.9836956521739132,0.8541666666666666,"[(0, 1)]",0.0,0.0,0.0,0.3951514363288879,3.7032880783081055,1.0,1.0,0.5,0.0,0.0,0.0,-3.308136641979217,0.0,>1,2.0,variable_ranking_misses_endpoint,1.0,,,,,,,,,,,
KAN_tuned_fixed,core_interaction_c1,raw,4,512,4096,50,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + x2*x3,5,3,8,0.001,50,LBFGS,0,10,50,1,1.0,1,1.0,1,ok,,,0.0001369422097923,0.0002621773164719,grad,fd,"[4.932068824768066, 1.2966276407241821, 0.6242374777793884, 0.6007111072540283, 0.00010213506175205112, 0.0028483550995588303, 0.0015383472200483084, 0.0008349410491064191, 0.0007640059338882565, 0.0004529902944341302, 0.00019541196525096893, 0.0012702670646831393, 0.002127827610820532, 0.00046365789603441954, 0.001423738431185484, 0.000949919514823705, 0.002806649310514331, 0.005681934766471386, 0.0006089449743740261, 0.002418490359559655, 0.000567709852475673, 0.005204249173402786, 0.0007104743272066116, 0.0040510608814656734, 0.0023788451217114925, 0.0019183281110599637, 0.0013938070042058825, 0.00019586991402320564, 0.003360654693096876, 0.0033287000842392445, 0.0009984663920477033, 0.0015225643292069435, 0.00043980436748825014, 0.0023644540924578905, 0.0008019896340556443, 0.0020399438217282295, 0.0028670746833086014, 0.0008355284808203578, 0.0021667415276169777, 0.0005498152459040284, 0.00038387830136343837, 0.00035349049721844494, 0.0010025384835898876, 0.0034890156239271164, 0.00019010010873898864, 0.0006136161391623318, 0.0015705733094364405, 0.0003334336797706783, 8.035638165893033e-05, 0.002987455576658249]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,"[(2, 3)]",1.0,1.0,1.0,1.169736385345459,0.1052873283624649,1.0,1.0,1.0,1.0,1.0,1.0,1.064449056982994,1.0,1,1.0,recovered,1.0,,,,,,,,,,,
KAN_tuned_fixed,core_interaction_c1,raw,5,512,4096,50,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + x2*x3,5,3,8,0.001,50,LBFGS,0,10,50,1,1.0,1,1.0,1,ok,,,0.0001562750403536,0.0002441489486955,grad,fd,"[4.801273822784424, 1.166956901550293, 0.5674683451652527, 0.5817935466766357, 0.0008817979833111167, 2.008243973250501e-05, 0.0012784928549081087, 0.005058524198830128, 0.00018660289060790092, 0.003769094590097666, 1.7643978935666382e-05, 0.0018642258364707232, 0.0012723529944196343, 0.0006779852556064725, 0.00013324309838935733, 0.0001082518429029733, 1.96008404600434e-05, 0.0014543761499226093, 0.000792926934082061, 0.0008439694647677243, 0.00022438372252508998, 0.0005642754258587956, 0.0010174026247113943, 5.548392437049188e-05, 0.0028738153632730246, 0.0012993679847568274, 0.003875523339956999, 0.001863348064944148, 0.0001669327903073281, 0.0017227015923708677, 0.0020727748051285744, 2.1954496332909912e-05, 0.0020194074604660273, 0.0009023398743011057, 1.859552867244929e-05, 0.001517504919320345, 6.428333290386945e-05, 0.000672169669996947, 0.0026291715912520885, 0.00045167957432568073, 3.963260678574443e-05, 0.00010214239591732621, 0.00013678659161087126, 0.0006962770130485296, 0.0012627716641873121, 0.00040702050318941474, 0.0015416417736560106, 0.0007894083391875029, 0.0012907908530905843, 0.0012767381267622113]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,"[(2, 3)]",1.0,1.0,1.0,1.1063332557678225,0.2289400398731231,1.0,1.0,1.0,1.0,1.0,1.0,0.8773932158946993,1.0,1,1.0,recovered,1.0,,,,,,,,,,,
KAN_tuned_fixed,core_interaction_c1,raw,6,512,4096,50,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + x2*x3,5,3,8,0.001,50,LBFGS,0,10,50,1,1.0,1,1.0,1,ok,,,0.0002978604461532,0.3203271627426147,grad,fd,"[4.516426086425781, 1.0565438270568848, 0.2954346239566803, 0.28144150972366333, 0.30793166160583496, 0.2008204609155655, 0.13181504607200623, 0.25156766176223755, 0.23407955467700958, 0.10669343918561935, 0.23362356424331665, 0.15075057744979858, 0.1876472681760788, 0.2705633342266083, 0.06444355845451355, 0.19691456854343414, 0.23575538396835327, 0.07803909480571747, 0.31958723068237305, 0.2825000286102295, 0.1173010766506195, 0.16759724915027618, 0.28273144364356995, 0.16994765400886536, 0.3005774915218353, 0.11085239797830582, 0.0551193505525589, 0.20652848482131958, 0.18999101221561432, 0.2041643112897873, 0.2543376088142395, 0.269011914730072, 0.1325957477092743, 0.2305348813533783, 0.23651699721813202, 0.1249815970659256, 0.23045866191387177, 0.34676963090896606, 0.169386088848114, 0.35722219944000244, 0.17924830317497253, 0.10805922001600266, 0.26125800609588623, 0.2394939363002777, 0.2639681398868561, 0.2843373417854309, 0.13904957473278046, 0.09542374312877655, 0.036189690232276917, 0.46423548460006714]","[0, 1, 39, 49]",0.5,0.5,0.5,0.9184782608695652,0.6602564102564102,"[(0, 1)]",0.0,0.0,0.0,0.26873779296875,1.5620131492614746,1.0,1.0,0.0,0.0,0.0,0.0,-1.2932753562927246,0.0,>1,2.0,variable_ranking_misses_endpoint,1.0,,,,,,,,,,,
KAN_tuned_fixed,core_interaction_c1,raw,7,512,4096,50,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + x2*x3,5,3,8,0.001,50,LBFGS,0,10,50,1,1.0,1,1.0,1,ok,,,9.695469634607434e-05,0.4020737707614898,grad,fd,"[4.360169410705566, 1.1480828523635864, 0.21198809146881104, 0.37379541993141174, 0.42086881399154663, 0.1519729197025299, 0.2313612997531891, 0.3003825545310974, 0.1398358941078186, 0.2589111924171448, 0.30149179697036743, 0.2849441170692444, 0.46439823508262634, 0.25080031156539917, 0.1787092238664627, 0.2022954821586609, 0.2499866783618927, 0.058248795568943024, 0.1988724321126938, 0.18364939093589783, 0.23958057165145874, 0.4817095994949341, 0.4225424528121948, 0.4267665147781372, 0.23102843761444092, 0.41210365295410156, 0.13472360372543335, 0.1264360100030899, 0.46090245246887207, 0.3143535554409027, 0.4120693802833557, 0.2892116904258728, 0.39859411120414734, 0.322593629360199, 0.4097660779953003, 0.28839290142059326, 0.11238324642181396, 0.21117042005062103, 0.22736623883247375, 0.33740806579589844, 0.46846574544906616, 0.16499045491218567, 0.38190996646881104, 0.396396666765213, 0.2576315999031067, 0.2680679261684418, 0.15507933497428894, 0.4664382338523865, 0.3277791142463684, 0.39347150921821594]","[0, 1, 21, 40]",0.5,0.5,0.5,0.7391304347826086,0.5686936936936937,"[(0, 1)]",0.0,0.0,0.0,0.2425050586462021,4.88913631439209,1.0,1.0,0.0,0.0,0.0,0.0,-4.646631255745888,0.0,>1,2.0,variable_ranking_misses_endpoint,1.0,,,,,,,,,,,
KAN_tuned_fixed,core_interaction_c1,raw,8,512,4096,50,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + x2*x3,5,3,8,0.001,50,LBFGS,0,10,50,1,1.0,1,1.0,1,ok,,,0.0001190593247883,0.3125966489315033,grad,fd,"[4.471047401428223, 1.036228895187378, 0.25508737564086914, 0.2891807556152344, 0.3025871217250824, 0.16913370788097382, 0.2371746152639389, 0.27270275354385376, 0.19137313961982727, 0.19484283030033112, 0.24960939586162567, 0.13540314137935638, 0.3575860857963562, 0.19129587709903717, 0.17029377818107605, 0.27079012989997864, 0.2265528440475464, 0.1870950609445572, 0.22610928118228912, 0.2294522374868393, 0.149362713098526, 0.18819817900657654, 0.15601924061775208, 0.2746448218822479, 0.25801578164100647, 0.19247525930404663, 0.19374701380729675, 0.32182031869888306, 0.1584494709968567, 0.28935664892196655, 0.24558834731578827, 0.1317553073167801, 0.21064960956573486, 0.07790081202983856, 0.07475928962230682, 0.10879078507423401, 0.2807457447052002, 0.14685332775115967, 0.33712950348854065, 0.18907871842384338, 0.17642557621002197, 0.21204012632369995, 0.2816197872161865, 0.12181156128644943, 0.17637331783771515, 0.17465679347515106, 0.11113269627094269, 0.23544210195541382, 0.3349111080169678, 0.1672292798757553]","[0, 1, 12, 38]",0.5,0.5,0.5,0.9021739130434784,0.6458333333333333,"[(0, 4)]",0.0,0.0,0.0,0.0926631018519401,1.1116912364959717,1.0,1.0,0.0,0.0,0.0,0.0,-1.0190281346440315,0.0,>1,2.0,variable_ranking_misses_endpoint,1.0,,,,,,,,,,,
KAN_tuned_fixed,core_interaction_c1,raw,9,512,4096,50,0.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",none,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 2, 3]","[(2, 3)]",4,1,sin(2*pi*x0) + x1^2 + x2*x3,5,3,8,0.001,50,LBFGS,0,10,50,1,1.0,1,1.0,1,ok,,,0.0002504071453586,0.0009702076204121,grad,fd,"[4.5591325759887695, 1.1989374160766602, 0.5941857099533081, 0.5490140914916992, 0.006265290081501007, 0.000714518188033253, 0.008814114145934582, 0.0091486107558012, 0.00359703553840518, 0.0025122063234448433, 0.00387845397926867, 0.005719998851418495, 0.003018116345629096, 0.005242937244474888, 0.0022261212579905987, 0.0011648216750472784, 0.006097173783928156, 0.007988407276570797, 0.004939708858728409, 0.0054511455819010735, 0.012577635236084461, 0.005694080144166946, 0.007838143035769463, 0.009994437918066978, 0.009837377816438675, 0.0030408580787479877, 0.007558668963611126, 0.00817839615046978, 0.002807941986247897, 0.001757022924721241, 0.013090310618281364, 0.00950387679040432, 0.0006312874611467123, 0.007421829737722874, 0.0045065321028232574, 0.007307869847863913, 0.001500202575698495, 0.01312418282032013, 0.0010813615517690778, 0.005276697687804699, 0.005781975574791431, 0.003255571238696575, 0.007193428464233875, 0.009889638982713223, 0.009966016747057438, 0.0011498555541038513, 0.000793741550296545, 0.0024094523396342993, 0.007675115019083023, 0.002984727034345269]","[0, 1, 2, 3]",1.0,1.0,1.0,1.0,1.0,"[(2, 3)]",1.0,1.0,1.0,1.106507420539856,0.3982463479042053,1.0,1.0,1.0,1.0,1.0,1.0,0.7082610726356506,1.0,1,1.0,recovered,1.0,,,,,,,,,,,
