function,interaction_strength,screen_mode,n,d,top_m,test_mse_mean,variable_f1_mean,explain_interaction_endpoint_recall_mean,interaction_f1_mean,true_interaction_mean_score_margin_mean,support_contains_all_true_mean,support_contains_interaction_endpoints_mean,num_runs
core_interaction_c025,0.25,ss_kan_pair,512,50,4,0.0003439848849666,1.0,1.0,0.7,0.0358109712600708,1.0,1.0,10
core_interaction_c025,0.25,ss_kan_pair,512,50,5,0.000296085193986,1.0,1.0,0.9,0.1040121622383594,1.0,1.0,10
core_interaction_c025,0.25,ss_kan_pair,512,50,6,0.0003309977386379,1.0,1.0,0.8,0.0934925179928541,1.0,1.0,10
core_interaction_c025,0.25,ss_kan_pair,512,50,8,0.0013150307757314,0.975,0.95,0.4,-0.1113169461488723,1.0,1.0,10
core_interaction_c025,0.25,ss_kan_pair,512,50,10,0.0002728249441133,1.0,1.0,0.6,0.0009374253451824,1.0,1.0,10
core_interaction_c025,0.25,ss_kan_pair,1024,50,4,0.0015364070306532,1.0,1.0,0.6,-0.0164826449006795,1.0,1.0,10
core_interaction_c025,0.25,ss_kan_pair,1024,50,5,0.0007486588285246,1.0,1.0,0.7,0.0045285604894161,1.0,1.0,10
core_interaction_c025,0.25,ss_kan_pair,1024,50,6,0.0015762999726575,0.975,0.95,0.8,0.0368815026478841,1.0,1.0,10
core_interaction_c025,0.25,ss_kan_pair,1024,50,8,0.0040974880379508,0.925,0.85,0.5,-0.0880886815953999,1.0,1.0,10
core_interaction_c025,0.25,ss_kan_pair,1024,50,10,0.0015015296303317,0.95,0.9,0.8,0.062059720698744,1.0,1.0,10
core_interaction_c025,0.25,ss_kan_pair,512,100,4,0.0132863758131861,0.7,0.4,0.0,-0.8297859281301498,0.0,0.0,10
core_interaction_c025,0.25,ss_kan_pair,512,100,5,0.0140195450745522,0.675,0.35,0.0,-0.8647358447313309,0.0,0.0,10
core_interaction_c025,0.25,ss_kan_pair,512,100,6,0.0143258223310112,0.625,0.25,0.0,-0.9695603013038636,0.0,0.0,10
