function,interaction_strength,screen_mode,dimension,samples,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,effective_dim_mean,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,explain_contains_all_interaction_endpoints_mean,explain_interaction_endpoint_recall_mean,selected_interaction_endpoint_recall_mean,selected_interaction_contains_all_endpoints_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,true_interaction_score_mean_mean,true_interaction_score_mean_std,max_nontrue_interaction_score_mean,max_nontrue_interaction_score_std,true_interaction_mean_score_margin_mean,true_interaction_mean_score_margin_std,true_interaction_beats_all_false_mean,num_runs
core_interaction_c01,0.1,exclude_interaction,100,1024,0.40925701409578324,0.17477277628227633,1.4485419511795044,0.7071998210069218,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.11180339887498948,0.5059895833333333,0.05997786502147873,0.088,0.10733126291998991,0.0,0.0,0.0,0.0,104.33321342468261,83.43763663804614,-104.33321342468261,83.43763663804614,0.0,5
core_interaction_c01,0.1,oracle_support,100,1024,0.0019768771715461602,6.381971078721676e-05,0.0021551156882195998,9.983310772252089e-05,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0011254414916038,0.00012471042824950247,0.31465658247470857,0.19952116645407453,-0.31353114098310475,0.19957306281556667,0.0,5
core_interaction_c01,0.1,random,100,1024,0.4298969030380249,0.1773198856319001,1.3556527078151703,0.6534912887621301,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.11180339887498948,0.5059895833333333,0.05997786502147873,0.088,0.10733126291998991,0.0,0.0,0.0,0.0,95.47287521362304,69.11918601388754,-95.47287521362304,69.11918601388754,0.0,5
core_interaction_c01,0.1,raw,100,1024,0.0011422446579672,0.00016339057274472222,0.0027779954019933597,0.00015060904386348954,100.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.8296875,0.0891827283041833,0.577528451794384,0.048799083389688434,0.0,0.0,0.0014011457096785,0.0002203915209321122,0.2679383546113968,0.1355678101630614,-0.2665372089017183,0.1357263048668208,0.0,5
core_interaction_c01,0.1,rf,100,1024,0.0020181680563836997,6.785601584140968e-05,0.0022029995452612,0.0001287839841260544,4.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.7447916666666666,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.39874585568904874,0.21259819963868487,-0.39874585568904874,0.21259819963868487,0.0,5
core_interaction_c01,0.1,ss_kan_pair,100,1024,0.0020067090168595313,7.322733526511857e-05,0.002173143345862627,9.431968000059274e-05,4.0,0.8,0.95,0.8,0.9,0.8,0.8,0.9,0.1,0.0,0.95,0.11180339887498947,0.9747395833333334,0.056484008806635275,0.952,0.10733126291998989,0.0,0.0,0.0008977513061836362,0.0005184939176675586,0.39031525142490864,0.3115589986106335,-0.389417500118725,0.31186033650525263,0.0,5
core_interaction_c01,0.1,ss_kan_variable,100,1024,0.0019957046257331966,6.339847529484143e-05,0.0021577731240540743,8.766093479192396e-05,4.0,0.8,0.95,0.8,0.9,0.8,0.8,0.9,0.1,0.0,0.95,0.11180339887498947,0.9747395833333334,0.056484008806635275,0.952,0.10733126291998989,0.0,0.0,0.0009398354450240731,0.0005330555867668912,0.3940192859619856,0.32477859171301193,-0.3930794505169615,0.32518904438793483,0.0,5
core_interaction_c025,0.25,exclude_interaction,100,1024,0.4244276642799377,0.18136737405949557,1.489158347249031,0.714225620242824,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.11180339887498948,0.5059895833333333,0.05997786502147873,0.088,0.10733126291998991,0.0,0.0,0.0,0.0,96.23764324188232,50.68539623620171,-96.23764324188232,50.68539623620171,0.0,5
core_interaction_c025,0.25,oracle_support,100,1024,0.00028250494506204,5.091105385518407e-05,0.00029631548095488,5.327888222981605e-05,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,1.0,0.0,1.0,0.0,1.0,0.0,0.4,0.5477225575051661,0.2873805940151214,0.006724045799829379,0.4083568185567856,0.20123563061597957,-0.12097622454166417,0.19918842799299052,0.4,5
core_interaction_c025,0.25,random,100,1024,0.41800998747348783,0.18021834290419964,1.3975454479455949,0.670568117675364,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.11180339887498948,0.5059895833333333,0.05997786502147873,0.088,0.10733126291998991,0.0,0.0,0.0,0.0,90.013525390625,53.21928437823787,-90.013525390625,53.21928437823787,0.0,5
core_interaction_c025,0.25,raw,100,1024,0.0007422505761496,0.001201601115630886,0.00532085513696068,0.01124476916550268,100.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8,0.9,0.22360679774997896,0.9744791666666666,0.057066318175775926,0.9255102040816328,0.1665642473035558,0.8,0.4472135954999579,0.21682657022029156,0.12023475171018595,0.21739715039730068,0.1238473218915119,-0.0005705801770090946,0.2431732798052368,0.8,5
core_interaction_c025,0.25,rf,100,1024,0.01108635943382974,0.00038495683363053346,0.012537195719778479,0.0003054281244347583,4.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.7447916666666666,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.4496398746967315,0.4151006175033508,-0.4496398746967315,0.4151006175033508,0.0,5
core_interaction_c025,0.25,ss_kan_pair,100,1024,0.0002645403437782079,1.7002897672466095e-05,0.00027879391564056277,1.656831871625669e-05,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,1.0,0.0,1.0,0.0,1.0,0.0,0.4,0.5477225575051661,0.2877294600009918,0.006344010366411529,0.42594499588012696,0.24556871452011533,-0.13821553587913513,0.24341405315836567,0.4,5
core_interaction_c025,0.25,ss_kan_variable,100,1024,0.00028208505536895243,4.92203867695013e-05,0.00029756303410977125,5.218230209316434e-05,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,1.0,0.0,1.0,0.0,1.0,0.0,0.4,0.5477225575051661,0.288224196434021,0.0071665926116528675,0.41660207211971284,0.20962750100888114,-0.12837787568569184,0.20747919459259526,0.4,5
core_interaction_c05,0.5,exclude_interaction,100,1024,0.41780109107494356,0.16868375299394398,1.4193595409393311,0.6475481161864058,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.11180339887498948,0.5059895833333333,0.05997786502147873,0.088,0.10733126291998991,0.0,0.0,0.0,0.0,119.68027038574219,57.56731645202538,-119.68027038574219,57.56731645202538,0.0,5
core_interaction_c05,0.5,oracle_support,100,1024,0.00021584420464928,3.7903536274231103e-05,0.00024756003404028,4.158750244860972e-05,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5915666460990906,0.017426881482490247,0.31084907948970797,0.14363325683200023,0.28071756660938263,0.13564289869598273,1.0,5
core_interaction_c05,0.5,random,100,1024,0.45198655873537064,0.19163136980020945,1.349744826555252,0.6053299847168291,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.11180339887498948,0.5059895833333333,0.05997786502147873,0.088,0.10733126291998991,0.0,0.0,0.0,0.0,117.44231033325195,85.79239061514477,-117.44231033325195,85.79239061514477,0.0,5
core_interaction_c05,0.5,raw,100,1024,0.00039154367696022003,0.00037325362113313997,0.00125290841388048,0.0017986862177380403,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5590721368789673,0.030848294994159604,0.2002908587455749,0.16415833645592065,0.35878127813339233,0.1937919713819448,1.0,5
core_interaction_c05,0.5,rf,100,1024,0.03829860240221018,0.0036208229760895535,0.05196873843669886,0.0035149401223437482,4.0,0.0,0.75,0.0,0.5,0.0,0.0,0.5,0.2,0.0,0.75,0.0,0.8731770833333334,0.0011646187382811286,0.7474999999999999,0.027950849718747367,0.0,0.0,0.0,0.0,1.8840880393981934,1.2076503351932204,-1.8840880393981934,1.2076503351932204,0.0,5
