function,interaction_strength,screen_mode,dimension,samples,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,effective_dim_mean,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,explain_contains_all_interaction_endpoints_mean,explain_interaction_endpoint_recall_mean,selected_interaction_endpoint_recall_mean,selected_interaction_contains_all_endpoints_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,true_interaction_score_mean_mean,true_interaction_score_mean_std,max_nontrue_interaction_score_mean,max_nontrue_interaction_score_std,true_interaction_mean_score_margin_mean,true_interaction_mean_score_margin_std,true_interaction_beats_all_false_mean,num_runs
core_interaction_c01,0.1,exclude_interaction,100,256,0.00200305511243636,0.0019566700834554905,3.4470125913619993,1.5851402470578264,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.11180339887498948,0.5059895833333333,0.05997786502147873,0.088,0.10733126291998991,0.0,0.0,0.0,0.0,113.09103965759277,63.59234730493031,-113.09103965759277,63.59234730493031,0.0,5
core_interaction_c01,0.1,oracle_support,100,256,0.0018237442011012999,0.00019489819607184676,0.0025028882082551197,0.0003394351352496365,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.00188427655957636,0.0008906074900400938,0.4290258914232254,0.24970523164623992,-0.427141614863649,0.25005143862434936,0.0,5
core_interaction_c01,0.1,random,100,256,0.010805398924276201,0.009634209856454619,3.6394937515258787,1.7707696681475416,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.11180339887498948,0.5059895833333333,0.05997786502147873,0.088,0.10733126291998991,0.0,0.0,0.0,0.0,84.18096160888672,35.36217534407527,-84.18096160888672,35.36217534407527,0.0,5
core_interaction_c01,0.1,raw,100,256,5.8497884310781956e-05,1.1706537416936396e-05,0.36416151877492664,0.7683296376131357,100.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.45,0.11180339887498948,0.6567708333333333,0.09758504348416076,0.4835170789938477,0.09690178729096946,0.0,0.0,0.01327588688582176,0.024371272997314442,1.611202073097229,0.8141911567973559,-1.5979261862114071,0.791117819513104,0.0,5
core_interaction_c01,0.1,rf,100,256,0.00180247945245352,0.0002195166355283144,0.00254694349132474,0.00020406374728101993,4.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.7447916666666666,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.5682365953922272,0.3270616170515276,-0.5682365953922272,0.3270616170515276,0.0,5
core_interaction_c01,0.1,ss_kan_variable,100,256,0.0021980824880301953,0.0008478963795824553,0.0029031040612608194,0.0009011263616875835,4.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.7447916666666666,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.3771721661090851,0.24675348252217935,-0.3771721661090851,0.24675348252217935,0.0,5
core_interaction_c025,0.25,exclude_interaction,100,256,0.0031274310196749604,0.0024184212799001127,3.027645838260651,1.410326899683862,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.11180339887498948,0.5059895833333333,0.05997786502147873,0.088,0.10733126291998991,0.0,0.0,0.0,0.0,86.14630889892578,44.30960937327138,-86.14630889892578,44.30960937327138,0.0,5
core_interaction_c025,0.25,oracle_support,100,256,0.00024154278798954,8.3123256337347e-05,0.0003937555244192,8.973627122364755e-05,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6,1.0,0.0,1.0,0.0,1.0,0.0,0.6,0.5477225575051661,0.2860209763050079,0.010639194948252257,0.1995139636099338,0.16899290080033166,0.08650701269507412,0.1770890237394231,0.6,5
core_interaction_c025,0.25,random,100,256,0.0063304760260507005,0.006717007377676647,3.543322205543518,1.7427168914446864,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.11180339887498948,0.5059895833333333,0.05997786502147873,0.088,0.10733126291998991,0.0,0.0,0.0,0.0,83.66010894775391,31.47466474830265,-83.66010894775391,31.47466474830265,0.0,5
core_interaction_c025,0.25,raw,100,256,5.288287065923214e-05,1.033079037292266e-05,0.06019014567136762,0.022424793264734885,100.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1,0.0,0.0,0.55,0.1118033988749895,0.7390625,0.12117632713093943,0.5740931978905891,0.0757844217063584,0.0,0.0,0.00250065932050344,0.0008673979678468961,1.4990314960479736,0.21505002300156403,-1.4965308367274701,0.2144063730449585,0.0,5
