n,function,interaction_strength,screen_mode,test_mse_mean,variable_f1_mean,explain_interaction_endpoint_recall_mean,interaction_f1_mean,true_interaction_mean_score_margin_mean,num_runs
256,core_interaction_c01,0.1,raw,0.3641615187749266,0.45,0.0,0.0,-1.5979261862114071,5
256,core_interaction_c01,0.1,ss_kan_variable,0.0029031040612608,0.5,0.0,0.0,-0.3771721661090851,5
256,core_interaction_c01,0.1,rf,0.0025469434913247,0.5,0.0,0.0,-0.5682365953922272,5
256,core_interaction_c01,0.1,oracle_support,0.0025028882082551,1.0,1.0,0.0,-0.427141614863649,5
512,core_interaction_c01,0.1,raw,0.0044749011285602,0.5,0.0,0.0,-0.6176650353940204,5
512,core_interaction_c01,0.1,ss_kan_variable,0.0022811012342572,0.5,0.0,0.0,-0.5448133990168571,5
512,core_interaction_c01,0.1,rf,0.0022633858025073,0.5,0.0,0.0,-0.5933924786746502,5
512,core_interaction_c01,0.1,oracle_support,0.0019229248515329,1.0,1.0,0.0,-0.580131366616115,5
1024,core_interaction_c01,0.1,raw,0.0027779954019933,0.5,0.0,0.0,-0.2665372089017183,5
1024,core_interaction_c01,0.1,ss_kan_variable,0.002157773124054,0.95,0.9,0.0,-0.3930794505169615,5
1024,core_interaction_c01,0.1,rf,0.0022029995452612,0.5,0.0,0.0,-0.3987458556890487,5
1024,core_interaction_c01,0.1,oracle_support,0.0021551156882195,1.0,1.0,0.0,-0.3135311409831047,5
256,core_interaction_c025,0.25,raw,0.0601901456713676,0.55,0.1,0.0,-1.49653083672747,5
256,core_interaction_c025,0.25,ss_kan_variable,0.0201313542202115,0.5,0.0,0.0,-2.7545802354812623,5
256,core_interaction_c025,0.25,rf,0.0190626554191112,0.5,0.0,0.0,-2.0244449377059937,5
256,core_interaction_c025,0.25,oracle_support,0.0003937555244192,1.0,1.0,0.6,0.0865070126950741,5
512,core_interaction_c025,0.25,raw,0.0365078318864106,0.5,0.0,0.0,-1.1468828914687037,5
512,core_interaction_c025,0.25,ss_kan_variable,0.0130600644275546,0.75,0.5,0.0,-0.6752029061317444,5
512,core_interaction_c025,0.25,rf,0.0134042587131261,0.5,0.0,0.0,-0.8233126699924469,5
512,core_interaction_c025,0.25,oracle_support,0.0003179672639816,1.0,1.0,0.6,-0.0289010792970657,5
1024,core_interaction_c025,0.25,raw,0.0053208551369606,0.9,0.8,0.8,-0.000570580177009,5
1024,core_interaction_c025,0.25,ss_kan_variable,0.0002975630341097,1.0,1.0,0.4,-0.1283778756856918,5
1024,core_interaction_c025,0.25,rf,0.0125371957197784,0.5,0.0,0.0,-0.4496398746967315,5
1024,core_interaction_c025,0.25,oracle_support,0.0002963154809548,1.0,1.0,0.4,-0.1209762245416641,5
256,core_interaction_c05,0.5,raw,0.1829196900129318,0.5,0.0,0.0,-1.8586565773934125,5
256,core_interaction_c05,0.5,ss_kan_variable,0.1497341975569725,0.5,0.0,0.0,-10.831096363067626,5
256,core_interaction_c05,0.5,rf,0.1533733785152435,0.55,0.1,0.0,-13.742723083496092,5
256,core_interaction_c05,0.5,oracle_support,0.0003917761176125,1.0,1.0,0.6,0.0943866312503814,5
512,core_interaction_c05,0.5,raw,0.0589568642899393,0.8,0.6,0.0,-1.0520850686356429,5
512,core_interaction_c05,0.5,ss_kan_variable,0.000246490779682,1.0,1.0,1.0,0.379047605395317,5
512,core_interaction_c05,0.5,rf,0.0735369816422462,0.55,0.1,0.0,-6.994066619873047,5
512,core_interaction_c05,0.5,oracle_support,0.0002635667915455,1.0,1.0,1.0,0.356017854809761,5
1024,core_interaction_c05,0.5,raw,0.0012529084138804,1.0,1.0,1.0,0.3587812781333923,5
1024,core_interaction_c05,0.5,ss_kan_variable,0.0002375950105488,1.0,1.0,1.0,0.2173922419548034,5
1024,core_interaction_c05,0.5,rf,0.0519687384366988,0.75,0.5,0.0,-1.8840880393981931,5
1024,core_interaction_c05,0.5,oracle_support,0.0002475600340402,1.0,1.0,1.0,0.2807175666093826,5
256,core_interaction_c1,1.0,raw,0.5852651715278625,0.55,0.1,0.0,-1.3955477947369217,5
256,core_interaction_c1,1.0,ss_kan_variable,0.7200397610664367,0.5,0.0,0.0,-34.467416000366214,5
256,core_interaction_c1,1.0,rf,0.7126063227653503,0.7,0.4,0.0,-37.64907913208008,5
256,core_interaction_c1,1.0,oracle_support,0.0008251278195529,1.0,1.0,1.0,0.7491160586476326,5
512,core_interaction_c1,1.0,raw,0.2435445152223109,0.7,0.4,0.2,-0.8657879382371902,5
512,core_interaction_c1,1.0,ss_kan_variable,0.1513176223263144,0.9,0.8,0.6,-11.0788160353899,5
512,core_interaction_c1,1.0,rf,0.2017989084008149,0.8,0.6,0.4,-16.51860353052616,5
512,core_interaction_c1,1.0,oracle_support,0.0005169524287338,1.0,1.0,1.0,0.7997135072946547,5
1024,core_interaction_c1,1.0,raw,0.0786056911223567,0.9,0.8,0.8,0.50327869951725,5
1024,core_interaction_c1,1.0,ss_kan_variable,0.0003732861223397,1.0,1.0,1.0,0.9407702684402466,5
1024,core_interaction_c1,1.0,rf,0.0004015819751657,1.0,1.0,1.0,0.867756062746048,5
1024,core_interaction_c1,1.0,oracle_support,0.0003082604845985,1.0,1.0,1.0,0.9108268246054648,5
