source_file,function,explain_method,variable,is_true_active,selection_frequency,mean_importance
compositional.csv,compositional,grad,0,1,1.0,
compositional.csv,compositional,grad,1,1,1.0,
compositional.csv,compositional,grad,2,1,1.0,
compositional.csv,compositional,grad,3,0,0.0,
compositional.csv,compositional,grad,4,0,0.0,
compositional.csv,compositional,grad,5,0,0.0,
compositional.csv,compositional,grad,6,0,0.0,
compositional.csv,compositional,grad,7,0,0.0,
compositional.csv,compositional,grad,8,0,0.0,
compositional.csv,compositional,grad,9,0,0.0,
compositional.csv,compositional,grad,10,0,0.0,
compositional.csv,compositional,grad,11,0,0.0,
compositional.csv,compositional,grad,12,0,0.0,
compositional.csv,compositional,grad,13,0,0.0,
compositional.csv,compositional,grad,14,0,0.0,
compositional.csv,compositional,grad,15,0,0.0,
compositional.csv,compositional,grad,16,0,0.0,
compositional.csv,compositional,grad,17,0,0.0,
compositional.csv,compositional,grad,18,0,0.0,
compositional.csv,compositional,grad,19,0,0.0,
compositional.csv,compositional,perm,0,1,1.0,
compositional.csv,compositional,perm,1,1,1.0,
compositional.csv,compositional,perm,2,1,1.0,
compositional.csv,compositional,perm,3,0,0.0,
compositional.csv,compositional,perm,4,0,0.0,
compositional.csv,compositional,perm,5,0,0.0,
compositional.csv,compositional,perm,6,0,0.0,
compositional.csv,compositional,perm,7,0,0.0,
compositional.csv,compositional,perm,8,0,0.0,
compositional.csv,compositional,perm,9,0,0.0,
compositional.csv,compositional,perm,10,0,0.0,
compositional.csv,compositional,perm,11,0,0.0,
compositional.csv,compositional,perm,12,0,0.0,
compositional.csv,compositional,perm,13,0,0.0,
compositional.csv,compositional,perm,14,0,0.0,
compositional.csv,compositional,perm,15,0,0.0,
compositional.csv,compositional,perm,16,0,0.0,
compositional.csv,compositional,perm,17,0,0.0,
compositional.csv,compositional,perm,18,0,0.0,
compositional.csv,compositional,perm,19,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,0,1,1.0,
core_d100_n2048_noise01.csv,core_interaction,grad,1,1,1.0,
core_d100_n2048_noise01.csv,core_interaction,grad,2,1,0.2,
core_d100_n2048_noise01.csv,core_interaction,grad,3,1,0.2,
core_d100_n2048_noise01.csv,core_interaction,grad,4,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,5,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,6,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,7,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,8,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,9,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,10,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,11,0,0.2,
core_d100_n2048_noise01.csv,core_interaction,grad,12,0,0.2,
core_d100_n2048_noise01.csv,core_interaction,grad,13,0,0.2,
core_d100_n2048_noise01.csv,core_interaction,grad,14,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,15,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,16,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,17,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,18,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,19,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,20,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,21,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,22,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,23,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,24,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,25,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,26,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,27,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,28,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,29,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,30,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,31,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,32,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,33,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,34,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,35,0,0.2,
core_d100_n2048_noise01.csv,core_interaction,grad,36,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,37,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,38,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,39,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,40,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,41,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,42,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,43,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,44,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,45,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,46,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,47,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,48,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,49,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,50,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,51,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,52,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,53,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,54,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,55,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,56,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,57,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,58,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,59,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,60,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,61,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,62,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,63,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,64,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,65,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,66,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,67,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,68,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,69,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,70,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,71,0,0.2,
core_d100_n2048_noise01.csv,core_interaction,grad,72,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,73,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,74,0,0.2,
core_d100_n2048_noise01.csv,core_interaction,grad,75,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,76,0,0.2,
core_d100_n2048_noise01.csv,core_interaction,grad,77,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,78,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,79,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,80,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,81,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,82,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,83,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,84,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,85,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,86,0,0.2,
core_d100_n2048_noise01.csv,core_interaction,grad,87,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,88,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,grad,89,0,0.0,
