source_file,setting,explain_method,variable,is_true_active,selection_count,num_runs,selection_frequency
core_d100_nonoracle.csv,core_d100_nonoracle,perm,0,True,5,5,1.0
core_d100_nonoracle.csv,core_d100_nonoracle,perm,1,True,4,5,0.8
core_d100_nonoracle.csv,core_d100_nonoracle,perm,19,False,1,5,0.2
core_d100_nonoracle.csv,core_d100_nonoracle,perm,23,False,1,5,0.2
core_d100_nonoracle.csv,core_d100_nonoracle,perm,27,False,1,5,0.2
core_d100_nonoracle.csv,core_d100_nonoracle,perm,29,False,1,5,0.2
core_d100_nonoracle.csv,core_d100_nonoracle,perm,31,False,1,5,0.2
core_d100_nonoracle.csv,core_d100_nonoracle,perm,40,False,1,5,0.2
core_d100_nonoracle.csv,core_d100_nonoracle,perm,44,False,1,5,0.2
core_d100_nonoracle.csv,core_d100_nonoracle,perm,51,False,1,5,0.2
core_d100_nonoracle.csv,core_d100_nonoracle,perm,71,False,1,5,0.2
core_d100_nonoracle.csv,core_d100_nonoracle,perm,80,False,1,5,0.2
core_d100_nonoracle.csv,core_d100_nonoracle,perm,91,False,1,5,0.2
core_d100_nonoracle.csv,core_d100_nonoracle,perm,2,True,0,5,0.0
core_d100_nonoracle.csv,core_d100_nonoracle,perm,3,True,0,5,0.0
