source_file,setting,explain_method,variable,is_true_active,selection_count,num_runs,selection_frequency
core_d50_noise01_seeds.csv,core_d50_noise01_seeds,perm,0,True,5,5,1.0
core_d50_noise01_seeds.csv,core_d50_noise01_seeds,perm,1,True,5,5,1.0
core_d50_noise01_seeds.csv,core_d50_noise01_seeds,perm,3,True,3,5,0.6
core_d50_noise01_seeds.csv,core_d50_noise01_seeds,perm,2,True,1,5,0.2
core_d50_noise01_seeds.csv,core_d50_noise01_seeds,perm,7,False,1,5,0.2
core_d50_noise01_seeds.csv,core_d50_noise01_seeds,perm,35,False,1,5,0.2
core_d50_noise01_seeds.csv,core_d50_noise01_seeds,perm,36,False,1,5,0.2
core_d50_noise01_seeds.csv,core_d50_noise01_seeds,perm,38,False,1,5,0.2
core_d50_noise01_seeds.csv,core_d50_noise01_seeds,perm,42,False,1,5,0.2
core_d50_noise01_seeds.csv,core_d50_noise01_seeds,perm,48,False,1,5,0.2
