setting,explain_method,true_active_mean_freq,true_active_min_freq,inactive_max_freq,num_inactive_selected_at_least_once
capacity_d100_w2_g3,grad,0.55,0.0,0.2,9.0
capacity_d100_w2_g3,perm,0.2,0.0,0.2,16.0
capacity_d100_w2_g5,grad,0.4,0.0,0.2,12.0
capacity_d100_w2_g5,perm,0.25,0.0,0.4,14.0
capacity_d100_w4_g3,grad,0.45,0.0,0.4,10.0
capacity_d100_w4_g3,perm,0.25,0.0,0.4,14.0
capacity_d100_w4_g5,grad,0.5,0.0,0.4,9.0
capacity_d100_w4_g5,perm,0.4,0.0,0.2,12.0
capacity_d100_w8_g3,grad,0.55,0.0,0.4,7.0
capacity_d100_w8_g3,perm,0.45,0.0,0.2,11.0
capacity_d100_w8_g5,grad,0.45,0.0,0.2,11.0
capacity_d100_w8_g5,perm,0.4,0.0,0.4,11.0
compositional,grad,1.0,1.0,,0.0
compositional,perm,1.0,1.0,,0.0
core_d100_c05,grad,0.5,0.0,0.2,10.0
core_d100_c05,perm,0.45,0.0,0.2,11.0
core_d100_c1,grad,0.45,0.0,0.2,11.0
core_d100_c1,perm,0.4,0.0,0.4,10.0
core_d100_c2,grad,0.39999999999999997,0.0,0.2,12.0
core_d100_c2,perm,0.30000000000000004,0.0,0.4,13.0
core_d100_c5,grad,0.39999999999999997,0.2,0.4,11.0
core_d100_c5,perm,0.3,0.0,0.2,14.0
core_d100_n2048_noise01,grad,0.6000000000000001,0.2,0.2,8.0
core_d100_n2048_noise01,perm,0.65,0.2,0.2,7.0
core_d100_noise00,grad,0.5,0.0,0.2,10.0
core_d100_noise00,perm,0.45,0.0,0.4,9.0
core_d100_noise00_interactions,grad,0.45,0.0,0.2,11.0
core_d100_noise00_interactions,perm,0.4,0.0,0.2,12.0
core_d100_noise00_lamb0.0001,grad,0.45,0.0,0.2,11.0
core_d100_noise00_lamb0.0001,perm,0.5,0.0,0.2,10.0
core_d100_noise00_lamb0.001,grad,0.4,0.0,0.2,12.0
core_d100_noise00_lamb0.001,perm,0.45,0.0,0.4,10.0
core_d100_noise00_lamb0.01,grad,0.5,0.0,0.2,10.0
core_d100_noise00_lamb0.01,perm,0.35,0.0,0.2,13.0
core_d100_noise00_lamb0.05,grad,0.45,0.0,0.2,11.0
core_d100_noise00_lamb0.05,perm,0.45,0.0,0.4,10.0
core_d100_noise00_lamb001,grad,0.45,0.0,0.2,11.0
core_d100_noise00_lamb001,perm,0.5,0.0,0.4,7.0
core_d100_noise01_seeds,grad,0.5,0.0,0.2,10.0
core_d100_noise01_seeds,perm,0.45,0.0,0.2,11.0
core_d100_nonoracle,grad,0.45,0.0,0.2,11.0
core_d100_nonoracle,perm,0.45,0.0,0.2,11.0
core_d50_noise01_seeds,grad,0.75,0.4,0.2,5.0
core_d50_noise01_seeds,perm,0.7000000000000001,0.2,0.2,6.0
core_interaction,grad,1.0,1.0,,0.0
core_interaction,perm,1.0,1.0,,0.0
core_interaction_with_interactions,grad,1.0,1.0,,0.0
core_interaction_with_interactions,perm,1.0,1.0,,0.0
correlated_proxy,grad,1.0,1.0,,0.0
correlated_proxy,perm,1.0,1.0,,0.0
correlated_proxy_d100_n512_noise005,grad,0.25,0.0,0.6,13.0
correlated_proxy_d100_n512_noise005,perm,0.39999999999999997,0.2,0.8,8.0
earlystop_d100_steps10,grad,0.5,0.0,0.2,10.0
earlystop_d100_steps10,perm,0.45,0.0,0.6,8.0
earlystop_d100_steps20,grad,0.45,0.0,0.2,11.0
earlystop_d100_steps20,perm,0.4,0.0,0.6,10.0
earlystop_d100_steps5,grad,0.4,0.0,0.4,11.0
earlystop_d100_steps5,perm,0.4,0.0,0.4,10.0
earlystop_d100_steps50,grad,0.5,0.0,0.2,10.0
earlystop_d100_steps50,perm,0.4,0.0,0.2,12.0
sweep,grad,0.8843749999999999,0.725,0.0625,15.0
sweep,perm,0.90625,0.8,0.1,12.0
synthetic,grad,1.0,1.0,,0.0
synthetic,perm,1.0,1.0,,0.0
